,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292272024,272342,1478205,1643942,1988893,2177687,2368293,2549294,2646998,98164,128177,107378,41556,40292,59523,39520,38741,0.0906025833862482,0.49672809295431697,0.5485872891464476,0.6494334673060986,0.7107870285065535,0.7778826503126998,0.8318682335899935,0.8635308288119157
1,2000,9312181.820184859,181605,1730266,2493512,3162201,3835297,4936283,5746536,6066211,636861,775243,738859,415303,428272,575914,562896,583473,0.020933519781477113,0.2026799109663214,0.2908454577412302,0.355428129787014,0.4317127343285205,0.5650333874374686,0.6568005798533376,0.6949723177810768
2,3000,15520302.808603393,97763,602936,1007553,1598692,2036714,4002915,7017464,8020655,597852,1227872,1058111,928044,917586,877459,848102,1009075,0.006551403737490339,0.04218568612115022,0.06966807060328284,0.10955754149984191,0.13947500500729026,0.27337005381755763,0.47828298505055516,0.5527206316232406
3,4000,21728423.459527172,71002,307039,378353,596691,1522319,3077238,5844463,6882616,784848,2140162,1055179,886217,822769,895010,1812003,2120587,0.003390156572702174,0.01567464272592017,0.018301578194013842,0.02862897463177402,0.07281852873571462,0.14770685591096794,0.29344946858682414,0.35101353554261383
4,5000,27936543.637846164,55862,305167,377290,495659,782785,2067441,4125986,4766405,1152448,1335097,1332055,1035476,1063529,1130807,800455,1211975,0.0020856407009339716,0.01147181971546749,0.014181441528001663,0.018425253847645616,0.02912903559757593,0.07712681161990699,0.15204792610551726,0.17835292552673893
5,6000,34144663.208686024,50000,263318,304571,426725,549555,1809913,4955107,5865236,1303747,1444812,1608754,1282047,1274121,1217335,867740,1511556,0.0015224910195037618,0.008052574867070195,0.009361072347678223,0.012985119544049293,0.016718768936363343,0.05496689523453519,0.14890520283157085,0.17973268565853384
6,7000,40352782.0368706,88480,324646,393528,518675,608630,775889,3729172,4705462,1413150,1714087,2666360,1271892,1337693,1426907,901475,1323324,0.002272235133506689,0.00840209535260468,0.01044216932069038,0.01327183182140068,0.015599861874589694,0.019932474202958256,0.09452594299384738,0.1205618073290901
7,8000,46560899.98758215,50743,237345,272863,343717,459320,1112996,4004424,5040005,1584221,1507838,2673947,1221367,1366671,1130697,987369,1807663,0.001128206909496584,0.005268121400170731,0.006217405890019451,0.007580955897674093,0.010163244517927404,0.024499032071334248,0.0878673193238225,0.11261766386638065
8,9000,52769016.92554507,58530,232889,286742,363115,501659,2252954,6336777,6909180,1854225,1698866,2768082,1401069,1592120,1265118,909729,1607624,0.0011495676950932254,0.0045601784169294465,0.005734732769036802,0.007068902198046039,0.009802450522348802,0.04374336791971632,0.12219174719671774,0.1350467531260319
9,10000,58977132.71606746,75423,234304,270418,344507,433716,1115876,5620233,6489928,2132580,2267543,3544447,1652736,1687478,1832818,991357,1758628,0.0013268289817800118,0.00413164689028979,0.004878313155980063,0.006009779775029679,0.007570581497646205,0.019527331905972535,0.09692433929865789,0.11342358616682918
10,11000,65185247.22380257,75199,345813,389715,466847,504921,573395,1339055,1689314,3783792,2925676,5426908,2900602,2500031,2512032,1455312,2447877,0.0012247103871709012,0.005554374904975118,0.006521516579309004,0.00749537864946513,0.008054865730977148,0.009148964162001874,0.021011397474320275,0.026926758229962818
11,12000,71393360.31409371,44564,247362,264370,314830,344493,369118,983063,1184540,5324732,3700174,5848740,3821594,2851085,3273025,2064700,3478447,0.0006745107494610062,0.003654163933903925,0.004033435524275269,0.00465919447090633,0.0050259930593399066,0.005418616897554108,0.014179748974612088,0.01744153002922532
12,13000,77601471.85149974,132826,534261,606077,717833,767231,896459,1687146,1940581,5390537,3035572,5625093,3076956,2359326,2585872,1397087,2490547,0.00183941670708396,0.007164950749122549,0.008420498636788136,0.009632172605191829,0.010196825081440809,0.01195030102771454,0.022139749612673322,0.0258362016422602
13,14000,83809581.70149642,154947,856980,992089,1108191,1233613,1390456,2072043,2345699,5056062,3286850,5477112,3461158,2668887,2835764,2009167,3434212,0.001967493016023966,0.010642708982811049,0.01266510559134136,0.013792317869446402,0.015203382279856785,0.01717167399869679,0.02533047060410679,0.029184301219535518
14,15000,90017689.72858298,133737,644854,752780,893218,1002652,1462587,2074879,2339204,4733526,3650691,5254352,3508324,2666325,2896663,1876987,3412383,0.0015681340374705235,0.007466439838051092,0.008880962219897998,0.01032510170982421,0.011478378192663929,0.01678799085502684,0.023540531624637723,0.02700993840170738
15,16000,96225795.79824066,98501,341503,374823,442401,496035,598874,923443,1023455,5230406,4099746,6693905,3689158,2952916,2945670,1915732,3882882,0.0010824834117244965,0.0037069102685711995,0.004186474748362685,0.004780819905782346,0.005318105338582634,0.00642016715645655,0.0097915637293549,0.011083200192665992
16,17000,102433899.77494264,53312,288413,312499,379585,508750,643899,999911,1079214,6917019,5698180,8059364,5656216,4951111,4324712,3230491,5943130,0.0005581421793453873,0.0029814529800470595,0.0033112639700313266,0.003922236875215244,0.005218869980982439,0.0065630856253450056,0.01007940162891422,0.01118463457714333
17,18000,108642001.52415466,71419,333193,359355,429269,472849,594764,1110768,1279308,8525693,6109488,8095620,6468155,5323442,5197339,3578394,6204801,0.0007133603011618134,0.0032496326145511514,0.0035740222030135483,0.004201358905466259,0.00457661239353084,0.005749586160244089,0.010572338283212183,0.01248870521113411
18,19000,114850100.91037095,79787,504981,547301,633201,687909,753320,1257780,1523584,10245262,8606453,8517460,8345928,7201906,7674089,6868591,8537781,0.0007627467412703945,0.004753046510846569,0.005147064864694996,0.005945316344861652,0.0063903440329190885,0.007028811639585785,0.011648105319549696,0.014331208285968105
19,20000,121058197.79925013,67616,382912,417252,491553,545255,576817,828888,1001795,11780945,10347185,10580977,10756582,10156603,9951124,9263570,11472411,0.0006187564041732937,0.003458662244327274,0.0037768147766696187,0.0044564442364528065,0.004916565906802332,0.005191541638853718,0.0074143813197216964,0.009141650840498004
20,21000,127266292.05489826,56440,374531,411721,493436,529989,552886,948933,1112729,16035994,14872855,13844648,14237581,14790092,14800647,13595396,15439688,0.0005074157040570346,0.0033323209060424175,0.0036300038095085194,0.0043655810580759185,0.004712010182965986,0.004916043470253674,0.008348073543307914,0.009950485480661969
21,22000,133474383.54328847,143630,546494,579583,668814,734258,849300,1512403,1766948,19122293,19059562,18855802,18066851,18743637,18878599,17919645,19934862,0.0012560330057597702,0.0047764266257517675,0.005056623386855529,0.005795236976833666,0.006399836330908567,0.007411267381124107,0.01308819542206339,0.015562404843553328
22,23000,139682472.1283965,135254,587358,662427,790633,902495,1121995,2330529,2651418,18381229,18212125,18446054,17136673,17220565,17713048,16357830,18715604,0.0011150256708979858,0.004835402333864669,0.005463927508139103,0.006451734825863919,0.007369597788917082,0.00919898579515209,0.01889751277424041,0.021918547128009756
23,24000,145890557.67618632,156579,576329,625176,746200,838418,1348948,3844211,4452071,20214243,19647291,20392927,19002711,19062892,19741172,18433863,21766145,0.0012458910845964618,0.004565225656575273,0.004981576119258398,0.005880783853983103,0.0066106869942763975,0.010693258574105333,0.03016091865371621,0.03586781120660355
24,25000,152098640.05075955,198301,728009,847343,1037128,1179955,3859116,6739107,7399983,20914432,19742512,21082595,19759235,19232382,19923154,18365686,21547114,0.0015116224959277928,0.005500380002962939,0.006467475030800341,0.007836879723028855,0.00888077241965538,0.029196911736855485,0.05039226903970214,0.05668247031538201
25,26000,158306719.11791086,237241,815608,911757,1142267,1454995,4636961,7877894,8350578,24376055,23738697,23798139,22843434,22931221,23978962,21837392,25249791,0.0017713717882495979,0.006060934738903645,0.006778430039189689,0.008432299563721197,0.010747845956088097,0.03451975302416273,0.0577264808611053,0.06275943776937327
26,27000,164514794.74182725,269522,1451310,1667844,2215889,3189929,5586975,8910473,9485583,20218976,20365295,19441524,19327758,19719158,21122097,18700577,21757725,0.0018678434506978077,0.0100680890505989,0.011496563022750754,0.015262306124067478,0.02203056025567739,0.038962758131931674,0.06110839627296512,0.06644562694621324
