,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292270157,2316373,2802665,2865941,2913188,2934491,2945094,2965592,2982060,0,0,0,0,0,0,0,0,0.746239612135679,0.9029027892080606,0.9232877003158559,0.9385087303289732,0.9453716761746234,0.9487875244026396,0.9553911325303277,0.9606964412749255
1,2000,9312181.820187189,6225152,7872300,8102228,8265593,8419508,8469616,8621232,8658285,538716,526038,545784,532898,532191,531165,544382,547905,0.709543084521549,0.8959903412817434,0.9242368605885368,0.9414883001041608,0.9589426882590404,0.9645370431962628,0.9832833979797614,0.9879063815119289
2,3000,15520302.80860382,6644497,9253022,9928286,10324167,10653608,10851373,11372040,11533168,2238656,2228714,2264100,2231753,2221858,2210161,2254195,2264807,0.5002765918828462,0.6961562032381259,0.7489539910747394,0.776922022997235,0.8011168338351365,0.8152710283661708,0.8572250553115957,0.8700668889740134
3,4000,21728423.459526002,5668873,8333770,9278736,9650610,10078056,10310113,11262347,11538188,4864089,4852737,4875397,4868330,4867624,4865503,4871158,4874690,0.3361456696441332,0.4938329483655313,0.5505679364049944,0.57239362422083,0.597721123733911,0.6114073196719452,0.6681004713985609,0.6846072431196798
4,5000,27936543.63784822,5221549,8289800,9572570,10104491,10685312,10997046,12170542,12580517,7388032,7380997,7403577,7402164,7398631,7397216,7404283,7404283,0.25410837981970674,0.40328774252766775,0.4662049166512049,0.4920767599609277,0.5202725412468943,0.5354141184123052,0.5927521676578265,0.6127195257208871
5,6000,34144663.20869036,3147772,5150307,6084384,6592769,7277339,7624025,9235319,10081295,9755392,9763170,9771652,9763174,9765999,9764586,9770945,9773771,0.12906379912157395,0.21123837477535062,0.24963612201641183,0.2704005872475633,0.29851262307496806,0.312715375539598,0.37890480725698966,0.41366130192004763
6,7000,40352782.036862805,2024709,3522941,4637164,5073363,5719773,6154899,8399369,9036461,11901772,11901060,11909546,11901770,11903182,11898238,11906009,11907422,0.07116474941932352,0.12382171439168371,0.1630322229858155,0.17831924549561373,0.2010493290798028,0.2163063654095578,0.2952661445681611,0.3176778563635511
7,8000,46560899.98757774,1959050,3766537,5004539,5450260,5994760,6458697,9259612,10204429,15096524,15102894,15134213,15123614,15120078,15119377,15132800,15133506,0.062262477437132105,0.11973222338018961,0.15924488005936427,0.17336929155250994,0.19066804304189403,0.20541934315814706,0.2946284377248371,0.324698541789163
8,9000,52769016.92555314,2026710,3539163,4289221,4649634,5133454,5447583,7806048,8708913,18475616,18469241,18488804,18487392,18486684,18487391,18488099,18488804,0.05909912535066861,0.10318326882606085,0.12512235584169112,0.13563050205750937,0.14974050952564139,0.15890678615507067,0.22770825498174127,0.2540507265492568
9,10000,58977132.71605623,1280207,2443306,3047018,3516260,4063242,4333300,7203319,8552136,20126729,20107644,20126729,20124611,20122492,20124610,20127437,20126732,0.032952218704252786,0.0628592266249882,0.07842950673742209,0.09050274846244709,0.10457546190411465,0.11153201123306253,0.18541506869571012,0.22012993025489036
10,11000,65185247.22381264,1888433,3412210,3875151,4226962,4653198,5030259,7261452,8150945,22890683,22889640,22916955,22899418,22900212,22882494,23054727,23063392,0.04464954385170793,0.08067528105091037,0.09167985731434071,0.09996166748031156,0.11004361177354705,0.11891091280480574,0.1723560962794793,0.1935086894129024
11,12000,71393360.3140713,1796186,3397291,3759228,4104964,4634676,5011575,6677317,7307397,29948945,29928801,29999629,29992048,29987722,29963786,30083534,30090402,0.04333963904155152,0.08193240338736953,0.0908163598849591,0.09915057689137122,0.11193345130546994,0.12096612342690304,0.16163991950083598,0.17692187916502047
12,13000,77601471.85152376,1013676,2122939,2603231,3007782,3589638,3997490,5547574,6043183,35547060,35535055,35552713,35536136,35531191,35530501,35541114,35543235,0.024103915745602597,0.050466361503834656,0.06190981781869322,0.07150262654781699,0.08532479287858108,0.09501777399214015,0.1318955492386288,0.14368607560354868
13,14000,83809581.7014978,1357072,2796569,3355207,3732158,4331295,4690524,6486513,7087867,38723086,38718433,38730149,38726362,38687769,38722203,38731936,38731936,0.030099300885673346,0.062020353895023,0.07442877602779861,0.08278375024479467,0.09599115684144988,0.10403186290899147,0.14389644576723032,0.15723684965571508
14,15000,90017689.72857916,2159804,3940109,4554151,5042858,5681369,6102126,8361610,9089402,41223904,41215139,41225317,41217794,41153744,41221253,41226624,41226624,0.04426391532754086,0.0807357185470357,0.09333735469954911,0.10333747490051913,0.11626914108733395,0.12505269665369026,0.17137584258796426,0.18629234398288458
15,16000,96225795.7982353,1691184,3524160,4049422,4569167,5295934,5752428,7992170,8917627,44857356,44854261,44865571,44859907,44850227,44858498,44866985,44866984,0.03292262732998363,0.0686014154305754,0.0788435412015396,0.08895333278370092,0.1030827321990041,0.11198619056417686,0.15561438973728367,0.17363382616858772
