,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292277146,1386050,1575858,1772391,1847873,1879668,1915138,2123042,2368196,10100,10100,12345,7295,5050,6172,8417,7856,0.4479856617781115,0.5093335658874725,0.5732710289538268,0.5967106398235344,0.6065380938910883,0.6182075049216449,0.6858160222175333,0.7648706347263289
1,2000,9312181.820185423,3955014,4708346,5301555,5530354,5627330,5804784,6353187,6913643,0,0,0,0,0,0,0,0,0.4247140011191543,0.5056114765493537,0.5693139483711709,0.5938838079828085,0.6042976939949771,0.6233538081717155,0.6822447330472652,0.7424299840251977
2,3000,15520302.808602275,5223279,6609055,7041150,7439816,7646005,7853027,8506498,9297889,1727,2288,2849,1165,561,561,1727,2849,0.3365823684093888,0.42589564976676836,0.4537567881205265,0.4793962198000524,0.4926631573060047,0.5060024256104072,0.5481493988182,0.5991890882797802
3,4000,21728423.459529433,6532186,8050159,8796670,9135287,9291740,9655488,10499350,11454358,102625,102064,108236,85229,76297,71810,84106,89157,0.3020552518430405,0.37223828703414896,0.4068729753831404,0.422085890189734,0.42913752685526935,0.44584477707207504,0.4850857514741084,0.5293320834799261
4,5000,27936543.6378498,6032796,8148601,9042938,9551308,9743987,9955086,10745754,11772858,206504,204248,227301,176068,178078,191316,185910,29272,0.21755453936551913,0.2938307418329468,0.3263509623192545,0.3440613959429912,0.35102757937433243,0.35880354380006446,0.3872255365493201,0.4218562872349307
5,6000,34144663.20868704,4942988,7130096,8077921,8611614,8860847,9018411,9606074,10509011,507088,473212,519421,429721,412287,436208,422851,402291,0.14694840425725614,0.21175493612703206,0.24023383831308373,0.255424255117991,0.2626807831497528,0.26754150981311825,0.2848623300714957,0.31144849375155775
6,7000,40352782.03686942,3990802,5678771,6446794,6927851,7428294,7735904,8346095,9120762,1822450,1814782,1874642,1756242,1719209,1766147,1825283,1793395,0.10357559328015206,0.14735510391216727,0.1675443250069452,0.17949409437690933,0.1922756146036741,0.20048143593263226,0.216626960187919,0.23653804432313666
7,8000,46560899.98757011,3923600,5060544,5461043,6521415,6954982,7355072,8376586,9550929,5789075,5787949,5833982,5762039,5661853,5798887,5790576,5759512,0.09623312179908963,0.12411522534983399,0.13408927730958467,0.15984306527544562,0.17005242205554896,0.18043937138832772,0.20545792087778894,0.23408343370352086
8,9000,52769016.92554662,2505605,3574836,4106787,4649745,4994534,5384097,6218443,7250682,8454156,8459083,8474501,8463281,8353237,8451745,8467214,8467208,0.05654096498711045,0.08067798083397616,0.0927154731051352,0.10494679532721551,0.11244953951888831,0.12148981121954726,0.14036546120821952,0.16366559686502774
9,10000,58977132.716068506,3144183,4613174,5561509,6321773,6573369,6920253,7990045,9333755,10817587,10800847,10919518,10866196,10842304,10860181,10876180,10836591,0.06528680769824909,0.09575611592782758,0.11572586431636729,0.13139991510264235,0.13656159532163578,0.1438215172240224,0.16610991152636487,0.19388554152652065
10,11000,65185247.22381014,3717027,5904121,6697267,7447689,7700056,8077284,9240774,10410422,13116804,13130067,13198949,13132889,13070295,13121871,13161986,13139092,0.07138732733035233,0.11342043144631059,0.12882754165659363,0.14308072206790487,0.1477513778949992,0.15514330006715962,0.17762773387552758,0.2000228826746731
11,12000,71393360.31407142,3286517,4695427,5085688,5601616,5781591,5986145,6547615,7322162,19425614,19425883,19479416,19379372,19225351,19380678,19426535,19390475,0.0632414763599264,0.09035318323463438,0.09796381429298391,0.10769441416751707,0.11082636803702064,0.11509010367612822,0.1259960553762567,0.14080299498340917
12,13000,77601471.85151398,2093366,3118865,3525585,4081797,4219687,4343202,4805167,5366353,24103856,24048719,24148103,24101162,23894170,24056940,24121167,24080175,0.03913008022283217,0.05823911627190659,0.06595627321064804,0.07629482915760143,0.0785682179988539,0.08111382899087193,0.08984928214865943,0.10026575056445404
13,14000,83809581.70150018,1029988,1661422,1914823,2325591,2438025,2549691,2874366,3174611,28807722,28789932,28857088,28826851,28714253,28825819,28852026,28832515,0.018726421353565743,0.03019688436792609,0.034845061088605814,0.04229675336835439,0.04425102921536097,0.04637170820487398,0.05230156187462206,0.0577442775773516
14,15000,90017689.72858906,2208393,3258786,3508431,4379212,4615867,4861864,5542137,6118700,32444804,32239125,32469703,32459007,32338883,32456690,32463507,32452366,0.03835821276027119,0.05640129718188621,0.06096531259289144,0.07608256117760094,0.08002708900897045,0.08446455104888037,0.09629425242879938,0.1062914199674904
15,16000,96225795.79823637,3593187,4755540,5062669,5900703,6125424,6423694,7264137,8071681,35877685,35722613,35942192,35880358,35758723,35906646,35881961,35856448,0.05954100223639492,0.0785998319436944,0.0839808618101911,0.09778208950490788,0.101301811325298,0.10649510182896872,0.1203791078954151,0.13370495614722885
16,17000,102433899.77491045,3761499,5086022,5566680,6077962,6280218,6537861,7466092,8212789,40829559,40610567,40921499,40858517,40604647,40848264,40838914,40829325,0.061058992802856885,0.0822670304513904,0.0904968742866971,0.09870766085560626,0.10157357105483952,0.10615886184718869,0.12121265888888591,0.13331459603459195
17,18000,108642001.52416623,5606751,7191739,8027774,8917853,9261127,9713907,10892045,11988093,45701161,45566140,45869563,45689624,45576297,45683376,45661933,45616318,0.08907969695522702,0.11401729324370198,0.12788692280784114,0.14166030499128654,0.14684886294184213,0.15429032827712202,0.17294431802373458,0.19020964676096452
18,19000,114850100.91041553,6210966,8114683,8759847,9586220,9888143,10314691,11503286,12508020,49339225,48902494,49371034,49260092,48967080,49255700,49182210,49134484,0.09480816602869635,0.1230474217362146,0.1337808770547187,0.14615366210870773,0.15008636312298745,0.15724956485366973,0.1751736783459795,0.19033557909151355
19,20000,121058197.79921412,6404405,8485608,9192877,9832514,10131628,10511453,11625948,12655715,51854414,51744024,51926227,51850759,51688582,51847034,51809378,51785243,0.09254414496440769,0.1224224070618037,0.13297576929637456,0.14207308015726847,0.14605281985884633,0.15187510833504225,0.16788658685749816,0.18269344849923413
20,21000,127266292.054914,5430715,6929666,7652576,8584845,8858311,9300144,10615883,11837108,55003626,54932993,55032144,55013219,54837972,54999819,55015320,54977181,0.07515243066001855,0.09580187950143317,0.10594125086354368,0.11881633039296917,0.12230452112217666,0.1286923743038212,0.14693065986616,0.16374676389377663
