,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292272005,2933373,2998782,3016516,3026049,3029267,3032200,3034400,3038800,0,0,0,0,0,0,0,0,0.9450115027973227,0.9660835783180527,0.9717967399209609,0.9748678783872136,0.9759045849417505,0.9768494762793691,0.9775582253222471,0.9789757234080031
1,2000,9312181.820186924,6802718,7099996,7348986,7433273,7615208,7757537,7929075,8019859,0,0,0,0,0,0,0,733,0.7305181676385533,0.7624417281682201,0.7891798229356827,0.7982310852099311,0.8177683970357807,0.833052570256224,0.8514733875590113,0.8612901337773775
2,3000,15520302.808602905,8205189,8755858,9020661,9255317,9565392,9814617,10223706,10369591,23034,23034,16433,16444,11643,8457,8802,10269,0.5294603262895655,0.5649936197234582,0.5818328656884455,0.5969686072517854,0.6167774725894705,0.6327175451007121,0.6591048877958852,0.6685730752081488
3,4000,21728423.45952707,9463981,10439731,11023778,11502994,11882402,12262578,13131244,13385665,26568,26568,25101,19955,18888,13273,5868,5134,0.4360908687116581,0.4810524620565095,0.5079304341792568,0.5298851008971914,0.5473356176668209,0.5647014982859605,0.6044981229057423,0.6161895980320566
4,5000,27936543.637851305,8951782,11164287,12253214,12776958,14034497,14694349,15801908,16183053,3945,3945,3944,2477,3211,1743,36680,49151,0.32047795180322003,0.3996866580423111,0.4386707345132223,0.4573969900496667,0.502428306065508,0.5260230488306883,0.5663793990219292,0.5802999660152842
5,6000,34144663.20868687,7326300,9585632,10456750,11255760,13024678,14172954,16663803,17299329,55003,55003,27199,50363,46199,44745,53436,68090,0.21491267308475784,0.2811888397044611,0.3064925908924245,0.3301361204396314,0.3819725697992537,0.4156301464790456,0.4888003267818371,0.507660464978621
6,7000,40352782.03687395,5263918,6974394,7783317,8560685,10050539,11390633,15457937,16198540,426953,426953,76159,392059,380083,383658,410401,435174,0.13184242198548837,0.17468376157095497,0.1932465140603828,0.2142274801209324,0.2514350854999457,0.2849858052803821,0.3870058969626664,0.40579936515826737
7,8000,46560899.987564474,4851257,6292670,6860388,7523691,8973834,10310535,15369978,16478563,34594,34594,16311,20572,28189,19070,160598,195737,0.1042691203831364,0.13524972306380612,0.14739388936988831,0.16165960416115507,0.19285001474335314,0.2215326514396807,0.3312473699873599,0.35540828368099747
8,9000,52769016.92555997,5816666,7318977,7973271,8586677,10189559,11779711,17768163,18995466,48947,48947,40085,36471,31793,23194,57135,108007,0.11033115108179967,0.13882714894601425,0.1512124503347851,0.16283448578647056,0.1932137917305401,0.22332974151573431,0.3370807937590296,0.3607121478842017
9,10000,58977132.71604988,6816693,8086072,8693498,9315161,10674709,13050183,18066507,19688602,140869,140869,114023,83083,117397,63748,225128,580897,0.1158586995411213,0.1374334719659333,0.14769009048174006,0.15816811791533875,0.18135842558819407,0.22151473833831034,0.3075045198426155,0.337155327883381
10,11000,65185247.223817945,9775685,10954247,11431546,12071968,12834236,14031849,19348656,21139681,377403,377403,61894,51269,103515,65222,692509,774631,0.15084107667953064,0.16902656046031747,0.1755368148920666,0.18534056001488897,0.19720181933484338,0.2154767132195119,0.30001293995072315,0.32820181267234805
11,12000,71393360.31407368,6068783,7148495,7519310,8183305,8761232,10399623,16047964,17457329,207801,207801,186334,122128,128806,158591,247174,752119,0.08525300718962218,0.10042057783743104,0.10559786567739102,0.11481918769045994,0.12293954665580203,0.14599082863802257,0.22556323580235943,0.24712658887722602
12,13000,77601471.85151207,4780174,5721615,6168638,7010425,7702575,9171097,14664956,15756654,175413,175413,148419,77488,81457,129913,142384,507842,0.06173856800805827,0.0738977946814125,0.07964357469325463,0.09042911176272406,0.09936240356447451,0.11838017894512781,0.18932518322591796,0.20438334568431216
13,14000,83809581.70148861,3284064,4387957,4991041,6200189,7070914,8523726,14463863,15657974,122224,122224,59058,54001,87280,76273,178867,417367,0.03924205626988727,0.05243273441194987,0.059594146751721,0.07402717464401512,0.08445675592163368,0.10179612070970825,0.17294917365739726,0.18776301907857226
14,15000,90017689.72861028,3186583,4260706,4732752,5739667,6738435,7986315,12785130,13719435,181347,181347,165661,150617,165469,161447,193551,189659,0.035470978706540396,0.04742742046914482,0.05267273390448243,0.0638684094822275,0.0749946405927214,0.08887879970811592,0.14233512484465105,0.1527299985173821
15,16000,96225795.79822159,3034483,4013372,4636606,5450743,6208893,6971730,11355232,12215520,241307,241307,64551,55601,54868,57243,252416,248328,0.031614305998744076,0.04181271422340856,0.04821699230005964,0.05667809045657456,0.0645610179931613,0.0724949039695742,0.11831647508792241,0.12727487274076996
16,17000,102433899.77492225,4017297,5070760,6008209,7063075,7991816,8930907,13581314,14603100,114658,114658,69427,64803,77518,66264,124729,126861,0.039262380470303795,0.049558224944184534,0.058694279735223925,0.06899616410145243,0.07807833631295893,0.08724346256893695,0.13274776735194704,0.14273797946715225
17,18000,108642001.52416587,3436349,4201971,4911864,5926038,6873957,7535956,11367034,12486933,172814,172814,57747,30691,133303,38773,81299,89367,0.03168041614799055,0.038738844605652106,0.04523550879015193,0.05456188652360902,0.06334936363160883,0.06938979717645442,0.1047067100313732,0.11503113724264492
