,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292273817,183161,1664934,1664934,2195822,2301564,2381310,2426373,2437422,501770,529478,529936,529936,529936,529936,529936,530688,0.07038452890036359,0.6466811284668839,0.6467961889241263,0.8530363973321181,0.8941152164379895,0.9250950684212774,0.9426012138069131,0.947170251333481
1,2000,9312181.820188627,417765,2897407,2897407,4303636,4515393,4724251,5074577,5114203,2116271,2144242,2144536,2144536,2144536,2144536,2156245,2157750,0.05805588902351754,0.40421753986262593,0.4042341199169005,0.6004253150843807,0.6299687670506536,0.6591077626483048,0.709142230781495,0.7148300701627434
2,3000,15520302.808598392,469049,3490195,3490195,5388378,5569466,5826254,6362502,6436392,3448696,3463111,3463112,3466460,3463793,3466026,3476139,3475411,0.038855556467089755,0.2894699740540765,0.28946999806215423,0.44702573988739075,0.4619467896113683,0.4833350098484628,0.5282643196414994,0.534366941793973
3,4000,21728423.4595321,431047,2094327,2094327,3116737,3241134,3433842,3843738,3886655,8013193,8075523,8075522,8079696,8078602,8079378,8110084,8108556,0.03142834539104823,0.15339795424479163,0.1533979430092345,0.22835366954472447,0.23744882008962936,0.2515811094761871,0.2822471867015763,0.28536658022173755
4,5000,27936543.63784582,343379,1813610,1813610,2639854,2706205,2760898,3091465,3142292,14385902,14421260,14425773,14427840,14425584,14421071,14424223,14420463,0.025340423662372626,0.13418956261646525,0.134234385929089,0.1954187515524596,0.2002970234934012,0.2042768369245908,0.22878860581070784,0.23248544339114088
5,6000,34144663.20869368,238939,1358098,1358098,2665123,2751690,2834691,3237505,3276290,18511055,18516084,18516083,18511007,18511007,18511007,18525323,18524571,0.015283675835443322,0.08689836624717193,0.08689836068695052,0.1704734301703499,0.17601065056488957,0.18131977332491572,0.2072754006726874,0.2097484417010364
6,7000,40352782.03686394,340743,1287704,1287704,1951824,2069059,2225625,2660576,2722628,23073230,23086492,23095517,23091626,23091626,23087245,23096869,23094611,0.019719434813649333,0.07457907849634875,0.07461808097918667,0.1130760880575768,0.11986792747723247,0.128905634110774,0.15418343812443835,0.15775877954763515
7,8000,46560899.98757297,547640,2462351,2462351,3479154,3586128,3663245,3871488,3893708,26252495,26277830,26277079,26255406,26258413,26255276,26264857,26264860,0.026966174858887713,0.12139932473282562,0.12139482997353297,0.17134052498940702,0.17663491188025623,0.18040543852490837,0.1907508770241799,0.19184570006681465
8,9000,52769016.925549984,693268,2416371,2416371,3621233,3969387,4330449,4963186,5076747,28271543,28281863,28288635,28271336,28270582,28263819,28279937,28279181,0.02829957089073361,0.09867912813986725,0.09870642571462712,0.14781942058128517,0.16202614624415188,0.17671552840162622,0.20266935365022845,0.2073001638489331
9,10000,58977132.71606779,484745,1676720,1676720,3128563,3595110,4049024,4807925,4878660,29362392,29374673,29352875,29376733,29396286,29396272,29407567,29399291,0.016368368868986804,0.056641239143039875,0.056599561618402,0.10569326867237346,0.12153506065961256,0.13687985751545909,0.16259707856945035,0.16494306943801545
10,11000,65185247.22381079,450852,1687139,1687139,3366323,3782351,4193449,5269651,5420885,30154544,30140778,30209613,30214235,30206718,30203709,30211987,30184910,0.012870195528748348,0.0481428036254486,0.048237552726103985,0.09626038212608454,0.1081335060087448,0.1198760607143815,0.15067657308117563,0.1548809362988698
11,12000,71393360.31406593,566311,2357167,2357167,4927028,5282400,5923639,7455215,7611254,30908248,30765296,30956538,30991532,30990033,30951692,30990790,30931400,0.01398812965138407,0.0580181960375582,0.058292587426684625,0.12195061970214478,0.13074170745737063,0.14647365568595277,0.18452328507932841,0.18810887907855697
12,13000,77601471.85151976,343618,814217,814217,2718341,3048008,3700668,4848909,4995618,33439701,33390524,33332078,33387598,33374497,33302276,33321331,33309944,0.0077808926900895525,0.018416637497447617,0.018392323209368903,0.06148162925349647,0.06891739736287349,0.0835380401125959,0.10950527497776869,0.11278947108681839
13,14000,83809581.70149559,273755,797374,797374,2456544,2725008,3029990,3937737,4113879,42922304,42464763,40834754,42768136,42667348,41328867,41187730,41049759,0.006695358932883578,0.019285947430485555,0.018554443208907857,0.05985520144361,0.06623383698053666,0.07132624818794128,0.09238775048015631,0.09620898170506471
14,15000,90017689.72858584,675834,1319284,1319284,2331397,2462024,2748855,3808220,3947020,47353552,46760080,46015555,47054297,46892712,46305173,46342376,46264006,0.015840798290578776,0.03049831019970066,0.029982272636034896,0.054264732180910775,0.05709044107790975,0.06288484868230851,0.08719387852977206,0.09021000436178751
15,16000,96225795.79822183,509720,1029228,1029228,1965022,2196929,2390279,3114893,3207892,52067353,51822591,51179863,51991958,51906125,51334800,51331304,51234921,0.011542979500638673,0.023179137737400803,0.02284841130075629,0.04442350240925721,0.04957006585184618,0.05324629043080129,0.06938252055508008,0.07130094745627807
16,17000,102433899.77492368,631364,1860880,1860880,2805842,2923702,3045653,3671071,3716967,56111168,55774445,54949332,55929155,55864604,55263296,55187696,55117160,0.013629679766463648,0.0398821634109642,0.03918915317541796,0.06033453174681152,0.06278175246906643,0.06456675887661834,0.07770086708952587,0.07855501071461966
17,18000,108642001.52418244,767656,2261612,2261612,3521616,3705704,3945815,4402036,4464585,59199889,59205207,58473305,59250287,59232400,58766513,58636553,58514088,0.015526359227157512,0.04574754536105113,0.0450801427322285,0.07129973182598873,0.07499967386270713,0.07911331030044642,0.08803112720549228,0.08906385057990134
18,19000,114850100.91038954,520720,855040,855040,2594748,3160549,3523145,4137253,4224630,63092708,62655397,61211376,63030772,62928262,61260328,61302443,61264937,0.010060784956876625,0.016381738681150008,0.015940721958407015,0.05007297575171346,0.06087128395923541,0.06574286115918512,0.07726300573077488,0.07883954609273656
19,20000,121058197.79924011,320841,566157,566157,2117609,2542172,2901987,3789848,3920144,67247715,65764667,64925142,66481389,66200970,64913012,64956845,64937069,0.005962425596458889,0.010239118244331408,0.010085982171091142,0.0388005280372766,0.04634160532689576,0.0516871920306171,0.06755359382441369,0.0698514816767741
20,21000,127266292.05492377,436082,683472,683472,2619294,2866793,3137371,3793168,3887724,70371378,69356643,69277893,69663565,69853981,69135359,69130346,69094723,0.007664692130108962,0.011802385460008029,0.01178635746354454,0.045471701322448196,0.04993341928454105,0.05397076625341145,0.0652465171275688,0.0668320291709741
21,22000,133474383.54325771,79879,420552,420552,2123958,2483691,2758703,3277015,3367022,72475810,72612872,72601265,72708159,72762823,72642956,72666075,72612128,0.0013095224258539923,0.006909982833750192,0.006908665270716284,0.03495293670068338,0.04090968800300135,0.0453499631919416,0.05389090863576319,0.05532200491003651
22,23000,139682472.1284263,115111,621307,621307,1728714,1950719,2130505,2756045,2924848,74422507,74442878,74506602,74581498,74549239,74493404,74510816,74435613,0.0017638838723476314,0.009523465133411721,0.009532776452017298,0.026554349195907927,0.029949672483687,0.032681936729065976,0.04228901279674369,0.04482741451573907
23,24000,145890557.67616916,164929,995158,995158,2130779,2326603,2495038,3055227,3116353,76102601,76296368,76336987,76494354,76467744,76392854,76349701,76359790,0.002363287418849435,0.014299440867558053,0.014307791682375363,0.030704547037516336,0.03351352209451942,0.035901013530257854,0.04393427326078643,0.044819769781832754
24,25000,152098640.05075645,93801,604946,604946,1560699,1677903,1788673,2424428,2505111,72576069,72983083,73143782,73259613,73200017,73159363,73030458,73029674,0.0011795519028192653,0.007646359610561775,0.007661922457147703,0.019796020554581732,0.021266568859136924,0.022658846987538502,0.03066249832889392,0.031682607287312994
25,26000,158306719.11789536,81916,443015,443015,931871,999774,1067619,1497549,1643118,67986130,68195000,68323963,68751720,68556925,68339369,68296107,68218721,0.0009069471401816825,0.0049162861871538885,0.004923332192887734,0.01040557209735697,0.011139568729112587,0.011866738306740907,0.016637471568780347,0.018239033326611417
26,27000,164514794.74183583,20974,173402,173402,378138,445939,520320,801373,825727,66065330,66184353,66229197,66416054,66333957,66240986,66218155,66165187,0.00021304331166248743,0.001763462025882714,0.001764266626891464,0.003854667217341117,0.0045420166527055505,0.005294594833165312,0.008152598116321257,0.008395834197605583
27,28000,170722866.78815365,9762,56173,56173,72922,96901,195552,295039,297016,65991336,65749055,66066689,66428059,66287295,65820416,65827176,65740054,9.320975189168338e-05,0.000535114416092292,0.0005367385011299198,0.0006991910867520949,0.000927854354037172,0.0018641318532672752,0.002812689423017939,0.002829186912712588
28,29000,176930935.12173796,7757,77779,77779,176052,213019,268064,453637,456655,64125511,63896602,64057570,64652392,64495524,64077809,63847365,63859064,6.876442387760326e-05,0.0006881006668675794,0.0006890819629246684,0.0015679932701755464,0.0018945899505748815,0.002375335174240823,0.004011519971571871,0.004038626012550424
29,30000,183138999.6071043,359615,1085918,1087498,1353607,1371924,1384776,1502556,1521417,61844998,61773560,61764012,61950579,61917141,61821433,61835168,61737602,0.002964820974122574,0.008947506007603455,0.008959819658398439,0.011169441710841546,0.011317463828422091,0.01141447227081876,0.012386715078108061,0.012532120963910287
