,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292271004,756452,926062,1044654,1086796,1197064,1247931,1278877,1339724,1396075,1332298,1322106,1327250,1177864,1046505,883178,970271,0.44289131422160183,0.5226783682665086,0.5862405152554895,0.6116555034752061,0.6214651099666445,0.6065114266041849,0.5758417771249208,0.6278613325556718
1,2000,9312181.820185281,2637161,3554970,3746760,3822195,3945099,4027859,4252631,4328423,3127428,3171552,3563919,3508366,2675606,2673646,2131051,2677284,0.4263970849402372,0.578925957776223,0.6518073576669259,0.6585658674258171,0.5944479663746025,0.606739062513273,0.5921951718309286,0.6523722169212136
2,3000,15520302.808602413,3974037,6575322,6921563,7000529,7187639,7447051,8293975,8565924,2611551,3078592,3594497,3930426,3670733,2790525,2140207,2911520,0.307856023488785,0.5284901812260183,0.5803853518231268,0.6040210017421377,0.6065738348393037,0.5850102894150674,0.6198741114146273,0.6793616901828026
3,4000,21728423.459529284,3739530,7781896,8712741,8986784,9532600,9933915,10593130,11001864,8920808,8404295,8173300,7998780,7753862,7456311,7160585,7952776,0.2919770672235219,0.5840454048185392,0.6427636772186625,0.6545533412058545,0.6821394737578472,0.6960367659776439,0.7271586673224467,0.7986458736202251
4,5000,27936543.637847707,2814183,6538406,7675756,8085343,9298554,10122891,11857969,12362789,10956179,10789411,9942078,9693384,9514046,9295888,8819899,9345900,0.16573159999918016,0.38131191599744313,0.42656204160103567,0.44319861035617697,0.5047390523691415,0.5430544502655065,0.6202955186248134,0.6650005906643949
5,6000,34144663.20869486,1895730,5329094,6872371,7588123,8817240,10806759,13881058,14954145,7468314,7742314,7572481,7398343,7678337,7493892,6913480,7795667,0.07106407196761796,0.20184166029608513,0.2586302828283048,0.28370717694216513,0.3331493736785921,0.40549516992867646,0.5097486177379104,0.5675413545759784
6,7000,40352782.03686234,782189,3420816,4771258,5602575,7512773,10294218,14942980,16667684,8356374,8629861,8628295,8417523,8408543,8149578,7229912,7641693,0.024446150302210725,0.10783420593661532,0.15039669497117558,0.17543540177748487,0.23518397139874164,0.31966440321330825,0.4511378387008735,0.5095423139601704
7,8000,46560899.987570345,703081,3305378,4797934,5761592,8178591,12285344,17737501,19893766,11245998,10149755,9346169,9670107,9256969,8755936,7728814,8620408,0.01990890418575877,0.09077929301944103,0.12892566660235974,0.1561796733927964,0.21924206869043114,0.3249664251509199,0.45677435422031015,0.5243412765052541
8,9000,52769016.925552696,604998,2746825,4341470,5004037,6998621,9995402,15586184,17954044,11921794,11313042,10581514,10629296,10603688,9686562,7956322,8835573,0.014811239459354602,0.06625884459195068,0.10290891138215245,0.11874869814255581,0.16598046732557922,0.2320063240888256,0.34780733508425055,0.408664616195898
9,10000,58977132.71606538,452173,2303035,3156061,3744280,6241413,10220196,17115439,19343566,11423942,11575671,9783307,9718820,9422013,8682526,7446422,8676671,0.009508783599819262,0.04858573800519429,0.06415563242054004,0.07601315988192223,0.1259489036806137,0.20320659942123395,0.33214055777934454,0.38456040640720185
10,11000,65185247.22379655,549576,2743630,3676478,4413596,7046059,10857453,18877211,21590962,10467257,10977149,10112429,10418469,10302684,9747257,7667791,8428607,0.010043789944627617,0.0506129174403611,0.06675667086910439,0.08058892896647081,0.12838429158762207,0.19584860411010138,0.32819968474527184,0.3804129686828694
11,12000,71393360.31408393,835750,3805567,4909388,5722057,7944566,12568323,21400371,24778367,9754388,10725389,10449027,10650745,10570730,10150008,9143314,10023374,0.013558791923742682,0.06272777740165751,0.08055528271511118,0.09420168971014439,0.13061858651910976,0.2052193834123235,0.3437808044675818,0.4037538296519639
12,13000,77601471.85153502,1264050,4729471,6270579,7186024,9942911,14649798,24308989,27952824,8632601,9233400,8775458,8978377,9016149,8431335,8074012,9358316,0.018327833766062975,0.0691766035214552,0.09110768805420434,0.10471728236021487,0.14497141059645047,0.21179368245929517,0.3496314844797729,0.409606262360026
13,14000,83809581.7015006,2050994,6565424,8193185,9415063,12826144,17871340,28493730,32498294,8237837,8696621,8723546,8998299,8916434,8496191,7972165,8780652,0.027139693652716138,0.08740733874265773,0.10911729356136801,0.1258508430816031,0.17125924592087893,0.23729299442687182,0.3757212631879666,0.43314351050045735
14,15000,90017689.72856605,2225790,6685917,9097458,10975819,14943105,19059540,27152014,31612320,9087150,9428879,9498905,9548438,9639106,9191835,8498586,9187125,0.02750247320066201,0.08296334118292262,0.11298553537125666,0.1363976769291078,0.18590903580065585,0.23580994056922533,0.3330754725960677,0.39109364268524033
15,16000,96225795.79824817,1922789,7302697,9910100,11865371,15985348,20719022,29875897,33166947,11815466,12289245,12505009,12617537,12272453,11573053,10826274,11805725,0.0227790722367241,0.08700258624580524,0.11837084168692219,0.14191625529042368,0.1904075224070001,0.2447531091742578,0.34983681841427894,0.39287987662630885
16,17000,102433899.77491152,2901033,10151088,13517647,15693770,19442313,23773112,32315415,34790143,12141910,13018796,12483130,12596023,12528584,12347673,11296678,12878089,0.03212946139776044,0.11352766558940389,0.15027828037298524,0.17468990322779648,0.21625320852747024,0.26389285966432185,0.35457976851446954,0.3884744350921139
17,18000,108642001.52417564,4603417,12827380,16411589,19195580,23152765,28485171,37699673,40981958,14772258,14731810,14472303,14453513,14341292,13758065,13106625,14375871,0.049040477018182274,0.13659199062220845,0.17427674992276573,0.20379963943335827,0.24552058109450792,0.30021067889338904,0.39461479476620825,0.43474743019699635
18,19000,114850100.91039288,4983067,12825880,16055104,18469008,22193574,28305562,37786773,40783284,10822224,11399472,11462730,11555513,11680865,10661635,10779162,12280126,0.04790126596827785,0.12398068658538125,0.1552907657736568,0.17879937733060805,0.21511813869859536,0.2716765407059948,0.36308669255434656,0.39761425344628454
19,20000,121058197.79921651,5515997,14365902,17974094,20606189,24718972,29695953,40790374,43947154,6146192,6671334,7118634,7089763,7384760,7080544,7135396,8211366,0.04800192078831165,0.12559048760368582,0.15775112174094172,0.18080610685145304,0.21745600800480386,0.26054188702912334,0.3580527634133427,0.38944074281317237
20,21000,127266292.05492163,4578589,14061437,17569241,19834973,24527856,29937895,41692167,45101698,7242065,7609792,7671045,7789402,8322815,7680740,7407365,8581887,0.0381472067127322,0.11751502838162477,0.1469058464499989,0.16601514310325768,0.2062143852468208,0.25034709030945923,0.34784365273765433,0.38001368401458496
21,22000,133474383.54325032,3525881,13224839,17092855,19462310,23049920,27117970,39635564,43418380,10171989,10648106,10176914,11109660,11342411,10728400,9725400,11633802,0.028595397624360325,0.10767108850419399,0.1386310283846025,0.15905164034568317,0.18872961371222743,0.22092755475330736,0.3202900166541356,0.35635401152929963
22,23000,139682472.12843847,3334664,12373988,16569328,19029734,23094280,27455379,39595134,43556123,10678594,11218181,11026039,11520139,12017595,11436149,10352330,12375987,0.025849331418393108,0.09632239349399048,0.12878740376284753,0.14848148855818086,0.1808976792948759,0.2140831669107853,0.3061554974607378,0.3421359324786682
23,24000,145890557.6762135,4717742,14950497,19687549,22720829,27035298,31830595,44152909,48384296,11161106,11666754,11990432,12042733,12207868,11868459,11098519,12835426,0.03501641208588781,0.11138484076986008,0.14703159463499568,0.16975120107452735,0.20223484480661566,0.2375025858750364,0.32756318128002004,0.3636409613854055
24,25000,152098640.0507629,4554671,13515962,17649236,20981987,26708922,33258203,46530670,50467779,10364713,10821231,10820069,11000089,11280377,10839297,9841160,12033901,0.03213536162282949,0.09566966219732648,0.1249250744025323,0.1487044823901227,0.18966944642948644,0.2354407310817547,0.327087686239037,0.36031751704266723
25,26000,158306719.1178832,3541814,11910381,16591263,19613274,25923393,33533316,47819530,51635200,11476013,12028349,12437536,12758106,13199643,12470774,10640441,12972062,0.02412175282434759,0.08142270788498415,0.11374070002566533,0.13475411121997263,0.17865009545737215,0.22993862022764072,0.32383514103216765,0.35528483724372695
26,27000,164514794.741817,4055269,12182578,16454761,19162183,24425867,30461618,44045309,48160242,13496337,14301605,15127432,14909095,15277082,14282149,12626578,15470519,0.02685280369458505,0.08110191935168368,0.11014827960005166,0.12808457854927494,0.16367087481605294,0.2027629737171104,0.2899850294171878,0.32312708260883444
27,28000,170722866.7881465,3961500,14018499,18508602,21262591,26642086,33176013,48714805,53109527,15047143,15285669,14997557,14920657,14918297,14883379,13342934,15661254,0.02544712755208425,0.0901875432617265,0.11885416715612684,0.13647169079894314,0.17099682015890982,0.21288579339467928,0.3095363184935169,0.3425059629204366
28,29000,176930935.12174654,5218901,15311041,19810742,23333437,29014917,36259883,52848923,57419360,11737771,12003995,11870641,11648131,11892105,11710489,10810651,13036880,0.031592717699587713,0.0928352941532634,0.1200212449966182,0.14117280453938028,0.1758066085332534,0.21946365508104887,0.3181364833283573,0.35034437312169003
29,30000,183138999.60710478,3391145,12300257,16972832,20332613,25019694,31690281,46393768,51072857,10396615,10602974,10109715,10440852,10984128,10750772,8653748,11123711,0.01963122720409942,0.07129094898714007,0.09809225090735349,0.11773498026312078,0.14533247747470335,0.1838308882218238,0.2658893377674501,0.29690882370725813
