,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227161,2342255,2585533,2622170,2798499,2806266,2807759,2814478,2835382,57699,57699,28844,57512,50793,45871,6927,51167,0.7688696501190545,0.8487281927378826,0.8526781414612027,0.918580118220504,0.9191025290862951,0.9181114778384597,0.9087363791604649,0.9287523066166495
1,2000,9312181.82018829,7653328,8512509,8681851,8954205,8967470,9004854,9010827,9036210,64260,64260,10724,57728,51755,50529,13230,48395,0.8275727399957817,0.9204780452854957,0.933386052792341,0.9675562895420898,0.9683646525287986,0.9722728950033058,0.9690153443356097,0.9754337157573253
2,3000,15520302.808598908,9192534,11814089,12680885,14448222,14510987,14698930,14897703,15030115,76330,76330,22396,71011,62147,57003,39825,60654,0.595218219685143,0.7649643745437147,0.818232110736664,0.9352028674840795,0.9387269205766431,0.9505687778119744,0.9623542105221587,0.9722158107265675
3,4000,21728423.459534734,6585341,10612817,11911397,14850014,14949467,15584814,16574761,17022147,144140,144140,27679,108428,74096,90224,50851,73554,0.30509889347709446,0.4916918840459283,0.5488934733189048,0.686864806599713,0.6903685661877954,0.7202454173298902,0.7646041101207208,0.7860655559161117
4,5000,27936543.63784293,6271863,9459070,10260206,12539067,12668589,13188395,14394969,15154660,495061,495061,39909,330407,238472,318400,297439,282180,0.22855408662762425,0.34469966965106885,0.36779368311622823,0.45421303112769673,0.45738162445544905,0.477526483059093,0.5208189334863867,0.5480024851941261
5,6000,34144663.20869851,5417969,8860251,9630744,11628194,11806793,12284983,13536831,14191391,2018941,2018941,1216004,1730508,1738035,1771691,1581408,1581105,0.1686489400861782,0.27579927829921147,0.29247300775173746,0.35873814773613205,0.36433265824399613,0.3794827030648445,0.41570877706304843,0.43580590637693695
6,7000,40352782.03685902,3931971,7320304,8604355,10931387,11105984,11840832,13292866,14317678,2866263,2866263,2339876,2768989,2728338,2705596,2675614,2657933,0.10489026724871006,0.19527830772449778,0.2263535177146633,0.290853746168712,0.29518001619160017,0.3145210372006838,0.35280958449413674,0.37983115374728776
7,8000,46560899.98756483,3330858,6205898,7387199,9510507,9734075,10701784,12404860,13677518,4106479,4106479,3159532,3783036,3679714,3772589,3639940,3542177,0.07845727070393044,0.14617789751078566,0.17020659353678777,0.22232309221340796,0.2270010676202565,0.25010998922369615,0.2890163687763267,0.3179433755844793
8,9000,52769016.925552726,4387963,7381901,8379666,10653455,10759514,11358385,12686697,13807552,5178454,5178454,4385378,4685644,4526110,4662213,4281619,4349251,0.09220237648510726,0.15511270609569627,0.17319214069230474,0.22156213992089735,0.22302789540862078,0.23610766197599767,0.26164936752182666,0.2851635429471024
9,10000,58977132.71606165,2508098,5858039,6787060,8695179,8929736,9724448,11502444,12618454,5389764,5389764,4579091,5178929,5112556,5087674,4930084,4929145,0.046803902861687854,0.10931753397035485,0.12476662368520597,0.16162582390095717,0.16578123405799047,0.1804517661095313,0.21282279556888578,0.23346760042742765
10,11000,65185247.22381121,1590232,5018160,6000600,7934538,8146437,8743927,10644569,12010506,5728391,5728391,5217932,5554537,5430945,5344742,5397005,5391727,0.026745981893390888,0.0844000224483839,0.10006450976843705,0.13306126944018268,0.13633222541010218,0.14612054104985553,0.17803783158824335,0.2008663473072644
11,12000,71393360.31408334,2164317,5934817,6760224,8889850,9012174,9630430,11145541,12228890,5691449,5691449,5325712,5555146,5441241,5394098,5273796,5335927,0.032941461773518824,0.09032944219277012,0.10232275815028449,0.1350256851984272,0.13664722367876284,0.14591723698622308,0.16856646161574937,0.18512511592533856
12,13000,77601471.85151654,3075724,7730628,8644002,10555206,10661852,11338380,13661847,14937023,5880714,5880714,5647169,5708595,5616710,5562188,5448065,5487723,0.04288471137418361,0.10778787385382509,0.12013182891699457,0.14681852308957008,0.14811262447450024,0.15739162570480367,0.18934444811614395,0.20713141721082326
13,14000,83809581.70149338,2746809,7246605,8240764,10301274,10607176,11849019,13930855,15286934,5896964,5896964,5790465,5604707,5423102,5476692,5003091,5201061,0.035254995673792526,0.09300938941320029,0.10562493332922163,0.13172163550315474,0.13531894837468914,0.1512649290119844,0.17677293933526228,0.19446917285277934
14,15000,90017689.72858465,2409640,7366318,8809598,11457499,11790502,13109955,15489020,16788052,5660606,5660606,5408167,4820064,4327095,4674836,3648542,4229943,0.028564761766218884,0.087323051893316,0.10412064405870651,0.1344814353923468,0.13759388690608454,0.15361514675491764,0.17933510295452146,0.1956928890219492
15,16000,96225795.79824781,1398058,6458674,8027015,9882237,10129298,11142638,13686275,14951143,6012392,6012392,5679087,5414217,4716188,5246436,3723949,4392970,0.01549723146603137,0.07159328578759873,0.08865054408421891,0.10882133237607224,0.1106910874575287,0.12247435049784333,0.14795677571552276,0.16280826458337375
16,17000,102433899.7749039,1537115,6349378,7607663,8959272,9086105,9454895,10683103,11475231,5421421,5421421,5069426,4681855,4209895,4522182,3625155,4034191,0.015844508040728834,0.06544908531542973,0.0781359227348991,0.09165303928557958,0.09250391511547784,0.09656551038902739,0.10811900327584534,0.11661854636430256
17,18000,108642001.52420688,1390416,7244557,8583280,9917888,10110616,10330741,11470811,12060112,4863990,4863990,4396847,3783812,2656803,3849490,2575167,3369811,0.013397982670690088,0.06980820786212656,0.08233744809699398,0.09458381882237649,0.09539649064950093,0.09858281712824125,0.10814700986840611,0.11456123350284832
18,19000,114850100.91034675,1599974,8048638,9354366,10595459,10803078,11108019,12685608,13537435,4613813,4613813,3338391,2876613,1055517,3345781,2535694,3029867,0.014514040978060064,0.07301260004823291,0.08388684926023221,0.09462471159676131,0.09493490488537858,0.0996196291671141,0.11294729099291859,0.12106427009313722
19,20000,121058197.79920363,1443277,7454618,8627679,9645434,9718954,10077312,11042131,11728390,6020047,6020047,3146614,2997557,2825242,4456350,4171604,4860682,0.012546072672179909,0.06480126765086705,0.07317074982804421,0.08169898058070732,0.08220173414682967,0.08642497687818654,0.09446875506500757,0.10093494615037528
20,21000,127266292.05496693,1341306,9077440,10920491,12802179,12968975,13426624,14344151,15173815,3412444,3412444,1295346,1524713,1997448,2459817,2109211,2550757,0.010829748296594886,0.07329154598387116,0.08669055319497947,0.1018134104583149,0.10352913446147329,0.10757954660675004,0.1146091845470596,0.12166740088403837
21,22000,133474383.54324841,2090831,10504785,12913132,14821900,14971183,15222599,16050032,16754768,2400873,2400873,455219,999539,1337549,1511921,1557488,1845429,0.015951590762575317,0.08014422560639275,0.09707722976865911,0.11188463780503752,0.1133006027558495,0.11535552388627983,0.12166775100266108,0.12728786047218055
22,23000,139682472.12842155,1814138,10742585,13958841,15857440,16011327,16402786,17935414,18854291,2488207,2488207,467070,771358,948287,1671226,1627233,1843414,0.013223132893360119,0.07830199746282643,0.10026793577856735,0.11415530067191024,0.11541010591714548,0.11885108250335599,0.1299147653738526,0.13678482177695875
23,24000,145890557.67618394,1065806,10554002,13980753,16522183,16714514,17492928,19565233,20828958,3457633,3457633,986305,1515331,1331927,2298070,1963438,2630167,0.0074828625644181015,0.07409805018042098,0.09648269627560653,0.11443918309515279,0.11562446269597737,0.1218234204525266,0.13593847388886168,0.14539230209891277
24,25000,152098640.0507753,1877058,11769011,14524399,17576308,17807592,18748337,22059541,23603011,2309963,2309963,532613,945796,789974,1249880,1566447,1499361,0.012531374446706114,0.07857076537240894,0.09582885612706772,0.1162816889776534,0.11769049628673768,0.12428565533909168,0.14654367649157415,0.15672725094548512
25,26000,158306719.11795235,1221405,11497355,13888342,17232875,17556716,18615691,22007667,23660972,2204079,2204079,495718,1281165,1143380,797307,1484097,1467980,0.007824371189860064,0.07365253394377258,0.08800617131640566,0.10974567226844645,0.111709996100449,0.11818780065066506,0.14033477251417964,0.15086178410427986
26,27000,164514794.7417674,3200747,14649168,17180930,20202717,20433560,21079324,24132620,25599879,2059186,2059186,491644,1143436,1046765,980364,1548553,1683176,0.01970228682647561,0.09017335943928965,0.10474698188824018,0.12366131466123986,0.12500034430144635,0.1288983849112837,0.14808355240982976,0.15721687960738462
27,28000,170722866.7880826,4787459,16980174,20251503,23595998,23906992,24913280,28377582,29717030,2573826,2573826,1015914,1624645,1360335,1429600,1732046,2147617,0.028471521321573347,0.10098287757347381,0.11933219392188703,0.13954019001791157,0.1411586833734511,0.1471604894433626,0.16792380714918223,0.17628347006667666
28,29000,176930935.12181997,3311146,15213966,18019124,21996145,22433192,23259844,26801661,28421923,1764033,1764033,595406,1016998,785338,953280,1484064,1672648,0.01890280618022953,0.08685411350952267,0.10218657629428517,0.12503923998226316,0.1273559621503653,0.13217498542015715,0.15276226260763867,0.1621716351720604
29,30000,183138999.60707903,1850609,12769559,15052032,16958152,17298666,17822465,20936651,22180697,2010015,2010015,1245000,1442549,1356031,1400143,1297951,1781580,0.010217078199905466,0.07049980999838791,0.08275166873297012,0.09333232401260401,0.09516109310213097,0.09806634273336672,0.11513710001331867,0.12230377476728395
