,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292270306,1122550,2245122,2405431,2585617,2754999,2848291,2945585,3039319,0,0,0,0,0,0,0,0,0.3616391991285093,0.7232854857474474,0.7749304177086894,0.8329788972723343,0.8875467747181364,0.9176016000400347,0.9489457043026592,0.9791429237504448
1,2000,9312181.820187017,3185265,6192199,6688598,7221939,7838240,8218894,8568465,8930133,2606,1303,2606,1303,1303,1303,2606,2606,0.34214931609376076,0.6650498969629619,0.7184643134326645,0.7756452574962135,0.841836753691373,0.8827194681323235,0.9203926328651858,0.9592416639043609
2,3000,15520302.808600988,4135751,8346310,9377945,10366013,11278629,11972398,12676436,13443875,82451,320233,350181,345969,337499,347272,362255,362743,0.2678967936261587,0.5490968202841559,0.6181852142204287,0.6831280457349913,0.7428554792765424,0.7890577796239182,0.8362842075750104,0.8869419068609858
3,4000,21728423.459528267,3610069,8272235,9627937,11021989,12174098,13370435,14691948,16079800,510941,657508,762673,707616,695239,721943,755848,737191,0.170145963682831,0.39259020406060696,0.45922214988609716,0.5243370893920621,0.5788043186434851,0.6364909640984311,0.700531416770998,0.7660245786426472
4,5000,27936543.637855247,3857888,9628018,11572189,13401786,15146388,16624596,18065879,19620895,310823,384853,426119,368964,372871,390457,415876,408450,0.13964841136898978,0.349452892984047,0.4206474146559079,0.48614300479237343,0.5495054377912737,0.6035193390103415,0.656447700968926,0.7127589457563576
5,6000,34144663.20868908,3409676,9413577,11533455,13682763,15583766,17366463,19005974,21402143,179566,210940,243945,203806,201020,213688,229767,231886,0.1003876414382151,0.2774106732145902,0.3402127037250752,0.40313545753632657,0.45910705295213516,0.5118173849466248,0.5604019509023478,0.6310937871085467
6,7000,40352782.03686094,3352200,9109470,11516665,13549565,15767603,17702489,19732520,22198133,279407,342399,389771,318107,303461,334902,366570,349642,0.08365155160793232,0.22767765036409643,0.28818311486532633,0.3384457345419832,0.3937046269894982,0.4423644876663638,0.4934831031709067,0.5549097640721579
7,8000,46560899.98756322,2631184,7791695,10436474,12561397,15454992,18843008,22268075,25049228,183552,277534,330272,263202,256046,272279,293200,280621,0.05673424881270898,0.16834763059570262,0.22574804743746024,0.2713179606332548,0.3337661318217519,0.4070764606502907,0.48128770191701054,0.5412505833582251
8,9000,52769016.92555949,2532505,7767207,10223248,12592829,15304185,18416950,21868865,25330406,374938,447669,523827,391636,377476,398593,440487,436738,0.04833570991100225,0.1484519667010651,0.19567826271789593,0.24042494636945203,0.29211175563140906,0.3516670024702926,0.41791475952238266,0.4840302490176562
9,10000,58977132.7160632,2057414,7216904,9567822,11667727,13854029,16179854,19380771,23022327,873752,758418,1025753,856381,805307,855370,898488,905198,0.035409540282244016,0.12396192590642635,0.1651008491407488,0.2007497607223018,0.23815702583621054,0.2783785839228917,0.3336987475301697,0.39644498005043777
10,11000,65185247.2238034,1779981,6437080,8627729,11081506,13938546,16603431,19789122,23273293,523527,483668,692263,601163,586250,627185,672198,657928,0.02752758500453178,0.09948876174620215,0.13377779155109454,0.17158261409419737,0.2157703153148008,0.25718601872591673,0.3067460341449556,0.36067348341684624
11,12000,71393360.31408167,1934038,5980512,8167070,10721312,13553435,16086326,18971094,22045644,618720,633611,672905,475373,414156,409772,441562,422054,0.027326708993746653,0.08451855833256659,0.11548384358851539,0.15117902250267537,0.1909493792016363,0.22662035524074522,0.26738003053877274,0.31062756408114534
12,13000,77601471.85151827,1137392,4338692,6270710,8499616,11018031,13721142,17171613,20794992,910859,736741,957897,685674,649073,708584,818871,781280,0.01483091551507249,0.05644581008656846,0.08181651250151441,0.1105054649034265,0.14317982498842677,0.17844487810752802,0.22363937675419931,0.27069695478232536
13,14000,83809581.70148695,1052127,3929287,5217653,6792532,8464646,10906630,14025637,17061518,603485,566347,630825,492751,460683,503922,569861,544716,0.012644830627912364,0.047202478544839784,0.06272819175123263,0.08152652882749145,0.10155678277545124,0.13092303739124372,0.16849692528761037,0.20490656961085227
14,15000,90017689.72859442,721039,3381247,4725642,6327780,8250409,10864921,13512369,15984604,975643,955948,1074097,895494,834028,913233,1011819,938636,0.008097736142541409,0.037965201829355276,0.05313077485435054,0.07100116809588167,0.09251031904372593,0.12193465286583527,0.15181435661927586,0.1794429030274817
15,16000,96225795.79823327,601692,2697070,3863741,5643430,7556035,9909589,12613843,14720100,858133,840948,986010,799912,741540,721353,818247,773073,0.006309182613324426,0.028275664974641342,0.04056856037229426,0.05913940511080164,0.07913383140322709,0.10376050275415373,0.1322101150159051,0.1542135160577363
16,17000,102433899.7749126,307092,1732454,2477815,3745283,5243631,7010355,9335926,11214841,823978,720433,1388355,851123,837994,996386,1176417,1099703,0.003022263915134917,0.017032690507283996,0.0245217639780115,0.03686927172997848,0.051612621197721795,0.06911008303649682,0.09219986260919628,0.11067183001322678
