,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292260503,848910,1260245,1574281,2102196,2319412,2600976,2763297,2845840,0,0,0,0,0,0,0,0,0.27348370454080423,0.4059988352464052,0.5071682508960924,0.6772406377011232,0.7472186522910507,0.8379269320678551,0.8902200472446911,0.9168119891748269
1,2000,9312181.820188541,3126297,4499202,5333707,6410789,6888205,7541754,7915112,8168136,0,0,0,0,0,0,0,0,0.3357212155396578,0.4831522930797872,0.5727666300970067,0.6884303940566963,0.7396982933759487,0.8098804496761108,0.8499739537774345,0.8771452445539366
2,3000,15520302.808600299,4225474,5605337,6709121,8228739,8879662,9833080,10329329,10664974,826,826,826,0,0,0,0,0,0.2722691010858307,0.36118079682259246,0.43230329751078095,0.5301919106526833,0.5721320073136391,0.6335623809189582,0.6655365637760744,0.6871627526551991
3,4000,21728423.459535617,5086413,6432916,7181330,8304439,8961635,9882090,10462500,10914292,0,1653,0,0,0,0,1653,1653,0.23409029235242582,0.29608247631560314,0.33050396009510946,0.3821924317456893,0.4124383444886861,0.454800138555989,0.48154878883106783,0.5023430435888758
4,5000,27936543.637845986,6949416,8740381,9549790,10762896,11408783,12556576,13318298,13864218,827,826,0,0,0,0,1651,4129,0.24876455077530607,0.31287476174082407,0.3418386370124463,0.3852622622012327,0.4083820514053993,0.44946777105917457,0.47676209723306645,0.49634871097807615
5,6000,34144663.20868212,6914434,9283332,10187978,11532304,12272436,13675957,14564284,15210324,2479,9090,1653,1653,1653,1653,1653,2479,0.2025187948649667,0.2719547711487926,0.29839132336988056,0.33776471170862044,0.3594421208027897,0.4005492461388886,0.42656707510506775,0.4454994416008136
6,7000,40352782.036861256,7289075,10128102,11089100,12521668,13261888,14497815,15614587,16343572,9090,15702,826,826,826,826,0,827,0.1806744656225343,0.251086642631163,0.2748094786252785,0.3103113016023693,0.3286553937530401,0.35928407006481516,0.3869519327251456,0.4050255306111005
7,8000,46560899.98757845,6781000,9460350,10441371,12036800,12677605,13946605,15493689,16331142,4959,9915,4133,3306,4132,4132,9917,22314,0.14565273209297247,0.20322556015784363,0.22427182288636588,0.25853569673749494,0.27230423304689966,0.29956127976325625,0.33283269236514934,0.35091616243688456
8,9000,52769016.92555156,6948652,8945334,9931147,11174713,11642678,12534920,13394210,13912287,28087,20652,15695,3304,2478,2478,6610,11569,0.13175065380547196,0.16958504804130595,0.18825633415115336,0.211779816483607,0.2206450951127699,0.23755433377363538,0.25385896475305614,0.2637028049505401
9,10000,58977132.71607342,8386326,10762957,12337623,14218944,14941757,16174517,17268958,17995131,1653,3306,4054,7437,16528,14875,14875,19006,0.1422002167744022,0.18250396149155668,0.2092077142419447,0.24112289926780697,0.2534193309575518,0.2743198382580038,0.2928815596437446,0.30521883923924076
10,11000,65185247.2238127,6981321,9356285,10720217,12776063,13556741,14746727,15786388,16431246,7440,14876,23217,14876,11572,12397,4131,6608,0.1071119342206004,0.143566544494092,0.16451631361360533,0.19604097322268643,0.20800946016079103,0.22627101545133707,0.24219266122712915,0.25209556682485823
11,12000,71393360.3140558,7324601,10049029,11702331,13792553,14702531,15820076,17097834,17813545,3306,6613,7439,11574,12400,5786,3307,3306,0.10259973984300329,0.14076883144417174,0.16393051717462145,0.19322230098469959,0.20597272627480873,0.22160825818793956,0.23949882660521354,0.24952418332160783
12,13000,77601471.85151398,8595874,11869465,13836841,15790003,16590793,17506926,18738389,19381409,0,2480,3307,11259,5793,36567,85607,131770,0.11076947118281104,0.15295901037879814,0.17831402361740306,0.20350508678481988,0.21381078489883323,0.22570679398774876,0.2417361792440095,0.25018050330370845
13,14000,83809581.70150745,10039778,13740924,16118069,18096311,18973734,20159005,21689768,22560941,2376,14771,8983,17643,267672,549260,815521,799653,0.11979611915183343,0.1639829947101104,0.1923383513930678,0.21596720735230393,0.2271163547468874,0.24212019108298757,0.26134120702936087,0.2717860544264062
14,15000,90017689.72859144,13475063,18157116,20451173,22861769,23924299,25316816,26842580,28021313,5889,5063,5063,25654,248154,356348,392072,398325,0.14970329324519077,0.20171743298579473,0.22720337960656278,0.2540421362280237,0.26650799523273183,0.28236044109885217,0.2994967363157928,0.31267029268575375
15,16000,96225795.79824317,18431889,24635432,26786405,29042992,30083598,31473499,33148966,34429535,12397,22313,41093,64345,53748,94273,155479,156009,0.19157299534393502,0.25607630080986926,0.2784892422674228,0.3020232302956332,0.31281020513477675,0.32740039982571867,0.3450489922877635,0.35838046640309207
16,17000,102433899.77489877,17315389,23550720,26101759,28715962,30188314,32016042,33674326,34911087,42171,42930,114130,105467,218876,313159,371154,336621,0.16910925528044068,0.2300077834185479,0.25509986053939815,0.28062544516018467,0.2953412608549765,0.31351165059184066,0.3299374883982578,0.34193944656420266
17,18000,108642001.5241723,15864579,21775886,24582539,27103502,28222123,29616597,31156963,32170376,966024,1276310,1622544,1671818,1418796,1703915,1622550,1621580,0.14733628953067587,0.20281978061024622,0.22970158482113015,0.2533743619676539,0.26320909603507076,0.2769508784253911,0.2911336449240036,0.30060034843661865
18,19000,114850100.9103998,16985265,22771333,24851971,26968695,28007258,29488657,31320111,32577688,644527,576017,595381,546156,438980,499801,466172,477439,0.1487253591784042,0.19926944256104984,0.2175137361457739,0.23593844482918008,0.2447948921148467,0.257880014508979,0.27381566010496056,0.2848380675578011
19,20000,121058197.79919887,16269180,22323334,24707467,26805472,27992706,29399856,30999788,32070846,502702,407243,537264,668265,626050,721327,908023,860394,0.13495179039451236,0.18502409729913077,0.20500560542590351,0.22265542788124537,0.23243549593313997,0.2443129508416279,0.2580086799857631,0.2668172378055859
20,21000,127266292.05497026,15481552,21883359,24015854,26041906,27174158,28811720,30439047,31709758,1964925,2051706,2041583,1933803,1952652,2031270,2295022,2117681,0.1235545338719902,0.17476685176591983,0.19178207065713915,0.20778256457172997,0.21684916333193852,0.23006120434388933,0.2435683576442088,0.25337682721921545
21,22000,133474383.5432415,15646388,22350895,24642860,26973616,28145468,29890729,31815943,33293087,4806880,5096130,5212931,5016160,5090364,5258260,5559951,5243298,0.12160326087885659,0.1741018777177209,0.19212989960247032,0.20997967476111146,0.21922874903071732,0.233127692321155,0.24872832851949378,0.2596335113202567
22,23000,139682472.1284144,15537468,21308777,23658610,26149542,27505262,29060356,30979453,32509841,7388536,7589240,7818719,7866522,7828772,8211495,8551554,8149404,0.11744656221369187,0.16131619051674562,0.17941708345704574,0.1983791944337939,0.20860439997673325,0.2210400853080697,0.23624827342139343,0.24716097223749828
23,24000,145890557.67619848,15011724,20361478,22088387,24252535,25479265,27340397,29592138,30968454,6878488,6949750,7019599,7052590,7002832,7309250,7553440,7356428,0.10798863749721074,0.14654785977243215,0.1590569202557525,0.17468229624739534,0.18345224443664745,0.19728776888064933,0.2139132179207711,0.22354385935353144
24,25000,152098640.0507598,15525731,21387864,23186386,25138906,26132195,27595419,29848952,31104787,7006236,7078223,7228704,7233391,7281450,7397746,7726810,7859583,0.10700581537382485,0.14748174384654994,0.16004967374235543,0.17353303269572606,0.1804495377298815,0.19070662404006827,0.20675052736746072,0.21564746495156148
25,26000,158306719.11792612,15230775,20901484,22396762,23991872,24746404,25917288,27834506,28953779,6107731,6319995,6322093,6309163,6325579,6496609,6704998,6693795,0.10007146031877007,0.13752177449250497,0.14736202319978187,0.1578438009976035,0.16282549256308132,0.17072175219336477,0.18360283639753952,0.19097170751406026
26,27000,164514794.7418127,15272606,20962047,22385486,23874247,24784002,25979749,28026873,29373320,8028711,8087195,8055196,8070565,8167002,8246804,8362520,8271852,0.09759721525907927,0.134004785821673,0.1430751847762322,0.15260548145112668,0.1585184003264276,0.1662512513066349,0.17948424412222333,0.18799773919093823
27,28000,170722866.78808928,13899536,20305907,21653189,23381653,24291544,25722782,28311772,30148269,11739047,11822095,11830335,11811488,11974360,12108683,12181622,12183073,0.08742736222168265,0.1277898576042163,0.13627568744941568,0.1471364302438014,0.1530190393061547,0.1621720163082388,0.1785766980563469,0.19016215600921874
28,29000,176930935.121768,11226665,16238564,17112628,18488604,19342897,20531523,22252623,23532157,15534290,15536683,15591379,15568738,15670362,15759319,15875000,15791819,0.06955946941480651,0.10061426467497989,0.1060659171956849,0.11457828617720191,0.11994808542193486,0.12738919850805536,0.1381670472632733,0.14603627949788092
29,30000,183138999.60714626,14154385,20563514,21805901,23184498,23961401,25387053,27488234,28994961,13323816,13273582,13319401,13329447,13324820,13380283,13434340,13403333,0.0833517044785879,0.12105768372205085,0.12840626864538104,0.13653235429950897,0.14110365256560492,0.14954786126682634,0.16197689600057671,0.17082420907509632
