,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227404,532876,1403863,1803111,2129710,2296922,2375222,2510878,2670902,376496,378170,316570,315644,321226,312294,318993,324018,0.19536695640130064,0.5150107582995342,0.6468581386764195,0.7637703697779502,0.8253893263638495,0.8507953262043687,0.9015501001304352,0.9607413828550769
1,2000,9312181.820187734,1740685,2519918,3031615,3341774,3514359,3574503,3892968,4593138,3405626,3399963,3139550,3122309,3117574,3124551,3120638,3147635,0.2947038939428281,0.4262220456718453,0.49113815440685016,0.5398776512986008,0.5673255034074931,0.5776852407447846,0.6287556242930638,0.7450893202657387
2,3000,15520302.808602719,829318,1870697,2176615,2407397,2549130,2621245,3311385,4586260,6037714,6024383,5639712,5452692,5297556,5270110,5293319,5287247,0.08745691885823761,0.19700008400505487,0.22029198882569756,0.2391229702625068,0.24935861639993254,0.25572640914618283,0.32378901364980495,0.44818088416408575
3,4000,21728423.45953196,706295,1492459,1971938,2261805,2558930,2698982,4786879,7099115,5183432,5157914,5144074,5075599,5075935,4926117,5055705,5137027,0.04268935416059624,0.09006717648873996,0.11890354848176551,0.13582110383114973,0.15366652294752123,0.16063163747789314,0.287108488733779,0.42787929378430783
4,5000,27936543.637846693,987683,2003900,2676930,3066171,3469521,3828867,6044030,9313275,4384694,4360746,4246689,4001711,4009020,3564558,4013518,4260759,0.04193653641592721,0.08499818461213375,0.11299900488723816,0.1281049692886363,0.14500125681673895,0.15710115116981854,0.2526448824448955,0.39336711084592124
5,6000,34144663.20869766,1825288,2601335,3524166,4411413,5236221,5725423,8500509,12269350,3037242,3002374,2849637,2717518,2709439,2406312,2695240,2907891,0.058676930747626484,0.08353062880404691,0.11261105763255591,0.14036951083864638,0.16657177201081375,0.18039446858320068,0.27029141181988664,0.39278546189172786
6,7000,40352782.03685491,4079004,5571653,6954227,8464199,9674095,10288793,13005415,16800684,1596385,1563642,1471064,1594923,1581658,1502952,1586097,1689599,0.10524724463218607,0.14363950824138352,0.17885595984746044,0.21838665009724556,0.24951804313963236,0.2648349552685181,0.3354791617502489,0.4345395976318112
7,8000,46560899.987573296,4620822,6249078,7751397,9477930,10778336,11669737,14266286,20464316,1375170,1340525,1353906,1435658,1433352,1393610,1401051,1620179,0.10226286044888044,0.13819164484410548,0.1714645526338411,0.21003610357613275,0.23884160519796055,0.25836699530148144,0.3159064150973064,0.45536243189464304
8,9000,52769016.9255487,6671682,8531698,9927041,11317620,12679145,13489736,17022350,25306794,1556150,1532318,1540145,1604713,1591331,1549521,1603893,1746719,0.13027355038918315,0.16651537235834193,0.19377824704840352,0.22120148485687868,0.24774752454507468,0.2633711198487451,0.3326943959867962,0.4959947910799207
9,10000,58977132.71607855,9136025,11088280,12286559,13341400,14373988,14993759,17827970,24607407,1458649,1411385,1439042,1510879,1487824,1491875,1471783,2220628,0.15883633242310494,0.1926194037240475,0.21353782941161484,0.232160601000987,0.25002888921466365,0.26082789911205817,0.31002280810432636,0.43356100103586837
10,11000,65185247.223783076,8249290,10453527,11824199,12822515,13613645,14142866,17112956,22537389,1407989,1399678,1427827,1450640,1437928,1229162,1311605,2471086,0.12934532198067697,0.16388545445640235,0.1854560450924469,0.2011860676410535,0.2135563528908518,0.22113401641945327,0.26791890057003925,0.35936682497561895
11,12000,71393360.31407976,5769878,8097482,9422684,10617620,11771277,12322918,14963674,21518174,1289268,1266547,1256198,1242249,1257840,1157445,1281435,2105090,0.08230443914956978,0.11546912824533298,0.13434652456859425,0.1513535537942216,0.16783616842487312,0.17545037955146717,0.21342551831186155,0.31056012659082627
12,13000,77601471.85152698,5303065,7008618,8038000,8860465,9727205,10255129,13723799,20455936,1885730,1913139,1948683,1817325,1856989,1810994,1967694,2310346,0.07003913413935668,0.09259839312022321,0.10624856164622094,0.116917130667962,0.12842130058590667,0.13530893709483832,0.18145066119717737,0.2716911955910822
13,14000,83809581.70149726,5664459,8036815,9677798,10475346,11394598,11864742,15336453,23275350,2231757,2231895,2276766,2162004,2204835,2142121,2286177,2518290,0.06943625943357663,0.0985173191954767,0.11869819430046101,0.12829953190158025,0.1396315589542898,0.1452811425515827,0.18812331325164014,0.286320336567752
14,15000,90017689.72858644,5314383,7437957,9319248,10664576,11835973,12358054,15887110,23801872,2675423,2584264,2736594,2347628,2703334,2518558,2705907,2686926,0.06084548980752116,0.08506994822654139,0.10677281170918831,0.12164444497616475,0.13555586479721274,0.14123630435937867,0.18195837381291333,0.2725485382673781
15,16000,96225795.79821777,3126782,4364580,5458280,6400596,7428370,7886710,11891594,21480885,3056262,2884478,3005123,2642391,2977788,2728321,2897492,2997014,0.03356013358156153,0.04675935698095893,0.05855224851052945,0.06839456219615868,0.07966250620682941,0.08435211771249179,0.12741680193513905,0.23041044391733803
