,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226828,494407,731092,731092,906732,907572,910092,991168,1014146,0,0,0,0,0,0,0,0,0.15927749456464352,0.23552761602536848,0.23552761602536848,0.2921115623395064,0.29238217561042346,0.2931940154231747,0.3193133506051665,0.32671591219937207
1,2000,9312181.82018761,1205389,2510468,2512148,3418032,3442391,3466003,3876287,3957275,6719,6719,6719,6719,6719,1680,1680,1680,0.12953563119772885,0.26978432438134076,0.26996486349395266,0.3673145619995168,0.3699322716686323,0.3722681190486206,0.4163349167276025,0.42503348116205614
2,3000,15520302.808603125,2109498,4250914,4260153,5944271,6004747,6072123,7084977,7372851,840,840,840,840,840,840,0,840,0.13592596767142043,0.2739085786940725,0.2745038956914416,0.3830204094889694,0.3869171938523093,0.3912585812334918,0.4564973433425987,0.47507127604396865
3,4000,21728423.45952619,1774759,3433383,3435064,5901429,5924948,5959951,7545234,7841205,165893,164108,165264,147062,143153,130553,132079,132789,0.08230754749918151,0.159215951298991,0.15930244389499493,0.27345026452884236,0.27449032946377344,0.275950863357977,0.34937551649727383,0.3630921339540046
4,5000,27936543.63785197,636814,1707739,1709418,4058351,4083532,4120662,5695882,5890668,49127,40834,35478,40239,38269,35749,30865,32679,0.02283517359351399,0.061218697146271976,0.061267122273671114,0.14547987816613173,0.1463722059162585,0.14768977204719652,0.20411193269723824,0.21110581191715033
5,6000,34144663.20869085,331083,925367,925367,2165066,2176455,2193920,3663034,3802764,41613,35734,23031,11758,12691,999,4199,8557,0.009708310487594641,0.027129758144510126,0.02711965812011499,0.06343046355892189,0.0637658728506119,0.06425555226265271,0.1072930343772986,0.11140005180297449
6,7000,40352782.0368609,73441,456166,456167,1014031,1022813,1027851,1955780,2077585,4179154,2960568,1854940,1073823,3646496,3032076,2718133,3943436,0.0020302359477231227,0.012199491571970459,0.011849157663518631,0.02581613731281407,0.02786479130503366,0.027541038451545173,0.05196753656675342,0.057061859828425605
7,8000,46560899.9875758,18224,356694,356693,900895,903415,904255,1552946,1646110,2671086,1760107,1734958,750864,1617308,1532526,1104311,1548062,0.00041522162762318374,0.007961778714473173,0.007957289555652015,0.019665887192150056,0.020101085828870553,0.02008189325800442,0.034163276096771174,0.036569789277768945
8,9000,52769016.9255451,117029,213259,213259,471667,471667,475867,1260101,1398572,1732179,1381891,1277062,521280,603337,561597,417060,678531,0.002293029990822067,0.004150047237687342,0.004141598436267613,0.009027510620644535,0.009041710961559396,0.009114930419443276,0.024069797463199216,0.026848895247378417
9,10000,58977132.71607053,2518,40441,40441,275722,276561,277401,859829,946489,3426300,3001574,2817322,997710,790310,1061460,613189,826042,4.532785337116211e-05,0.0007224760400361921,0.0007201057034265879,0.004755514751332223,0.004752983357581011,0.0047897397542103716,0.014732195003526566,0.01627637570241533
