,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227428,1300403,1775843,2036678,2142046,2277379,2391574,2633584,2755405,35753,36206,45172,39135,36332,41764,41764,40493,0.4238176731736086,0.5788550028027916,0.6658228679984325,0.6988900414330584,0.7423665112691312,0.7809739844187983,0.860002905944619,0.8994105348654762
1,2000,9312181.820186213,3807672,4768786,5730015,5960305,6325464,6564230,7037926,7386443,920134,922793,940685,918851,904699,918033,928391,920167,0.4537238206437569,0.568430680972318,0.6844672013950002,0.710123921919685,0.7523612162266542,0.7820006698254346,0.8394682251678222,0.8801751615395861
2,3000,15520302.808603203,5129160,6070026,7360796,7643180,8125969,8333183,8944460,9559548,2790002,2784018,2793987,2752144,2738088,2748975,2745154,2750369,0.40290956805464384,0.4765931424444727,0.5783917443745957,0.5986125419155983,0.6357246472286424,0.6524915126198925,0.7001452690693127,0.7485980854152634
3,4000,21728423.459526468,6204370,7245683,9219596,9515088,10028931,10226586,11126675,11886631,3521084,3504864,3527879,3480842,3465558,3478804,3492710,3467246,0.3407620324645368,0.3975997672733621,0.5065560549851743,0.5214437881044495,0.5491433434816552,0.5603725613391697,0.6101584686936032,0.6509235796183009
4,5000,27936543.637853615,6223002,7117845,10006204,10288143,11166099,11337720,12678012,13650456,5042724,5037807,5055857,5001248,4994726,4997394,5037334,4928150,0.27182017236261546,0.3108400743922955,0.43732096673383136,0.4485725042506062,0.4867137894765637,0.49425197441891117,0.5536440864335583,0.5932815743182587
5,6000,34144663.208689734,5175907,5955250,8844346,9035554,9810237,10014488,11545376,12590079,8782243,8785856,8803079,8724755,8724204,8727539,8754588,8670654,0.20407780319902666,0.23483951555731325,0.3490052526774248,0.3554518736189306,0.385918952897848,0.3940055498716175,0.45472003942897354,0.4942323329185754
6,7000,40352782.03686668,4533461,5238845,7425398,7655814,8371041,8651075,9918171,10868726,11015559,11020621,11046515,10984095,10995701,10986204,11004695,10998304,0.1545293156855036,0.17860412648817314,0.2533723585695511,0.26067947778494877,0.28514554936465347,0.2945891410684444,0.3379494884126834,0.370257852527639
7,8000,46560899.98756829,4867458,5743198,7788707,7986715,8663205,8821885,9861752,10694360,11689675,11699971,11723904,11632698,11638459,11639941,11657239,11634020,0.139583797292331,0.16474598258836057,0.22357573548475387,0.22866092571391583,0.24806985866434517,0.25262436243920317,0.2825420520647528,0.306192823516057
8,9000,52769016.925563484,4025470,4824395,6160139,6387222,7053190,7248721,8292193,8992597,10694741,10715155,10747210,10568536,10594996,10577531,10635780,10536203,0.09567532444579054,0.11471942834975096,0.14659386282250872,0.1513542466794699,0.16724015982371648,0.17180530244392406,0.19680882849446776,0.21292914594442378
9,10000,58977132.71605265,3191657,4018149,5136962,5400809,5893357,5994959,6863515,7455471,10899929,10895930,10930996,10800826,10810164,10793863,10858777,10811495,0.06638607808495167,0.08357006008625652,0.10691727475111842,0.11210508584296305,0.12235266526199136,0.12441992906103527,0.14263818656858798,0.15478817168271894
10,11000,65185247.22380024,3014977,3915862,5213380,5496800,5975335,6111915,6841056,7512329,10449558,10443382,10485463,10326682,10364161,10362159,10424730,10329262,0.05508247073810526,0.0715332220411352,0.09530896828897588,0.100199485305081,0.10899701942435873,0.11148432527277159,0.12492679665608987,0.13694638733314815
11,12000,71393360.31407803,2071088,2733950,3841282,4096141,4617034,4826745,5524568,6223386,9387166,9385786,9416506,9266695,9289339,9287428,9337700,9265282,0.03340130809366211,0.04409058135627297,0.06197929924829136,0.06593209178848049,0.07434355943957834,0.07771793804801935,0.08902601264798223,0.10017026389483223
12,13000,77601471.85150796,1580176,2239807,3369770,3670689,4111446,4279035,5034122,5800946,10474434,10484410,10512148,10357964,10368993,10373453,10427614,10343455,0.023540082365849584,0.03337164855272455,0.05022811092057619,0.054588005850406913,0.06115267606123352,0.06364957755859883,0.07494168358066085,0.08624913834149035
13,14000,83809581.70150363,2294882,2869741,4506404,4807106,5430346,5653431,6765704,7480577,9949490,9960380,10005663,9765074,9832490,9816448,9902796,9777910,0.031070662750792132,0.038859472193070024,0.06105914264831834,0.06492184429639176,0.07340577839841769,0.07640480565138053,0.09154374575733107,0.10104563125579216
14,15000,90017689.72858655,2365326,3196335,4886370,5142707,5772073,6066064,7187406,8075187,11313818,11331345,11367170,11116000,11164354,11149138,11230262,11118588,0.030053489721025686,0.04062121593047872,0.06212762505400184,0.06517866749990231,0.07320011191241795,0.07691359695402274,0.09122529072480663,0.10234827549467798
15,16000,96225795.79824245,3305701,3971115,5377151,5565627,6143737,6298111,7341154,8149484,11765309,11762118,11797362,11655239,11641806,11647894,11690379,11703771,0.03913902376500142,0.04701565339702307,0.06368886355098934,0.0658104570988903,0.07263475055568565,0.07446520741344374,0.0868411640711592,0.09641846630453013
16,17000,102433899.7749151,1467858,2109255,2912667,3175005,3708222,3973053,5217165,5946024,11547302,11488201,11597341,11411002,11207899,11233456,11353050,11378989,0.016150434012671692,0.023192465706600086,0.03206492010796368,0.03488138784431225,0.040648740145360726,0.04356396565136888,0.05728059205522342,0.06530151915362792
17,18000,108642001.5241679,2077284,2831542,4039051,4493500,5249835,5522940,6561606,7334049,13353787,13341116,13413805,13197119,13132703,13161553,13238202,13178534,0.021800009690318416,0.029711602199980956,0.04241444390868972,0.04707952779827863,0.05496674230804417,0.05784367465138206,0.06877719789700619,0.07682571343999509
18,19000,114850100.91039407,2035085,2586485,3673437,3986788,4477965,4698627,5653106,6241006,12653064,12591146,12694439,12461389,12269507,12265832,12440846,12407259,0.019913346428863235,0.025293481654163646,0.03595921098550718,0.038937768877188875,0.04365313973432031,0.045802607455380756,0.05520112420451011,0.060921835861005864
19,20000,121058197.79921317,1466589,1987501,2833630,3096929,3624937,3862070,4968117,5553446,11983390,11925665,12070250,11812690,11578375,11496009,11791025,11799941,0.013445717022941932,0.01821181043838405,0.025999480284006754,0.028348341843876763,0.03311054865925534,0.03525002596541532,0.04546760818209598,0.05082861618601253
20,21000,127266292.05492687,1239536,1809418,2691276,3133342,3731352,3950908,4899917,5465281,13778639,13737003,13852874,13547914,13406893,13381403,13534193,13603950,0.010922210184398448,0.015937895983164144,0.02372978476582548,0.0275535234813723,0.03277157644403129,0.034692117916490836,0.043082973414863175,0.048083480431530476
21,22000,133474383.54327178,981008,1673943,2234576,2504910,2953505,3331140,4420222,5219217,15794605,15700758,15907260,15630867,15084503,15192564,15349607,15588723,0.00833624954213587,0.014213224669601161,0.019006810174934163,0.021256239405247252,0.024947275784440774,0.028162738896499204,0.03741993957026257,0.044273552660666515
22,23000,139682472.12842607,1375746,2476628,2971287,3237494,3482943,3773752,5224405,6107542,15090218,15112521,15373059,15032400,14524944,14487702,14764673,14962169,0.011041986595586601,0.01988142387120877,0.023902349188394244,0.02597266046235764,0.027828473860766076,0.030143048276927594,0.04182274292736193,0.04896990984467851
23,24000,145890557.67617273,857081,1743579,1955454,2513980,2852129,3129790,4290249,4873360,18584232,18601634,18774545,18468220,17982005,17989277,18250799,18428245,0.006732430579923771,0.013697806137757305,0.015383223237040224,0.019729507760161743,0.022298188356651656,0.02447035700857577,0.03361216790517864,0.0382337327613153
24,25000,152098640.0507679,323822,840644,882857,1054003,1234387,1400325,2036221,2354826,21112637,21089154,21243269,20967220,20746038,20779327,20940944,20921083,0.002472187809826461,0.006416665123579215,0.006746815151037846,0.008037760893551979,0.009397507021009818,0.010663511462770415,0.015524982988507432,0.01795143965890936
25,26000,158306719.11792946,252652,592891,646675,867951,967302,1049670,1384354,1615366,17529005,17567456,17626095,17319786,17325010,17281522,17408123,17348257,0.001794687472964318,0.0042126908075623476,0.004596759532840192,0.006156251368869742,0.0068611879232565115,0.007443137974288629,0.009825179513082741,0.011459872473981331
26,27000,164514794.74181914,438059,868397,960019,1222973,1362860,1519285,2044814,2393141,13953028,13971242,14031311,13759760,13770909,13759782,13830416,13733404,0.002909496942548346,0.005768410431294213,0.006379563897172139,0.008112319446540844,0.009040897369026208,0.010077840679181299,0.01357017905289015,0.01587159388984375
27,28000,170722866.78808022,573316,1344234,1526033,1778987,1948989,2118094,2767399,3330900,14312310,14299711,14420365,14085627,14100421,14089630,14151989,13982021,0.0036654559115007986,0.008593574226447319,0.009763330609186556,0.011357369437860698,0.012443867736793625,0.013522634425704385,0.01767505579004094,0.021251001825672855
28,29000,176930935.1218028,1092580,2118017,2615677,3249330,3690119,4050758,5087886,6062199,16704752,16725707,16815687,16460184,16456281,16469896,16550741,16398328,0.006818985378746921,0.013220648444691754,0.01633621426243054,0.02024873677779228,0.022995026972914622,0.02524449562441852,0.03172390473686507,0.03776303835519444
29,30000,183138999.60704708,862939,1586338,2037490,2358015,2603221,2925317,4027387,4748371,18650223,18698546,18771205,18358119,18343903,18349991,18476254,18146712,0.0052461877205245725,0.00964688411642777,0.012395919802118249,0.014310003632175978,0.0157967139411154,0.017751893920156157,0.024458398195369577,0.028779351258580825
