,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292268895,520019,852684,1475860,1719909,1872463,2076419,2204803,2300346,0,0,0,0,0,0,0,0,0.16752862205836427,0.274699531307922,0.47546107382818226,0.5540835716306121,0.6032301632157113,0.6689363540290003,0.7102963709021166,0.7410763753583428
1,2000,9312181.820186041,811437,1143515,2947226,3446898,3939694,4659725,5090735,5385183,0,0,0,0,0,0,0,0,0.08713715170821149,0.1227977526728698,0.3164914578462472,0.3701493448643958,0.42306884423797597,0.5003902511760565,0.5466747855980217,0.5782944431268002
2,3000,15520302.808602527,918837,1100113,3395954,3828753,4346503,5155801,5890729,6370244,0,0,0,0,0,0,847,847,0.059202259861238726,0.07088218661495664,0.21880719995473963,0.24669318938015922,0.2800527189193009,0.33219719122633773,0.3795705901449672,0.4104682585886121
3,4000,21728423.459534097,919322,1268684,3900439,4607680,5519800,6793749,7896378,8591824,0,0,0,0,0,0,0,0,0.04230965038545471,0.05838822141710981,0.17950860573313004,0.21205772285233243,0.2540359179891626,0.31266644874867844,0.36341237617656935,0.3954186559370482
4,5000,27936543.637844242,546871,709603,3944077,4639170,5886767,7549764,9579731,10833747,0,0,0,0,0,0,847,847,0.019575471006340998,0.025400529471324297,0.14117984855711196,0.16606098664673563,0.2107192312804756,0.2702468887300973,0.3429207842636157,0.3878101606144884
5,6000,34144663.20868811,644232,907406,5646462,6708958,8430654,9962673,12716362,14042172,0,0,0,0,0,0,847,847,0.018867721613258587,0.026575339005514353,0.16536880054986916,0.19648628422531653,0.246909859630855,0.29177833558085875,0.37243528732339654,0.41126545182219204
6,7000,40352782.03686836,538678,766599,5697070,6842469,8410290,9740963,12265191,13335285,0,0,0,3388,2541,3388,5082,5082,0.013349215910512347,0.018997426231965767,0.14118159176224493,0.16958046491969236,0.20843221214751717,0.24141534792565686,0.3039873645534314,0.33050917370295374
7,8000,46560899.98756975,1002108,1452397,5678889,6473241,7701565,8840274,11045395,11874164,847,2541,0,4234,8469,8469,6775,6775,0.0215229136501957,0.03119519312069749,0.12196690788872379,0.13904004641845064,0.1654385138781784,0.18989929875757713,0.23725921178733766,0.2550614795825392
8,9000,52769016.92555153,413205,527659,4578724,5412442,6917235,7994113,9596817,10379642,0,0,0,0,0,0,0,0,0.00783044718424383,0.009999409326583452,0.08676917378354485,0.10256855850917351,0.1310851594934787,0.15149255123093136,0.18186461600259754,0.19669955221345092
9,10000,58977132.716065854,461846,632825,3883773,4147125,5708357,6738578,8658523,9482677,0,0,0,0,0,0,1694,1694,0.007830933426748116,0.010730006205059428,0.0658521840778134,0.07031750797322653,0.09678932727166976,0.1142574704748974,0.14681574547814732,0.1607902748405798
10,11000,65185247.223805666,394013,993780,4064289,4435154,5446604,6498597,7562493,8160469,0,0,0,0,0,0,3389,3389,0.00604451186090012,0.015245474126806277,0.062349828728051844,0.068039229563285,0.08355577729573907,0.09969429091352301,0.11602143918686307,0.125195402867782
11,12000,71393360.31407028,307173,1279953,3389381,3949688,4888107,5588164,6652525,7156801,5082,3389,5083,1694,1694,2541,2541,4236,0.004302849252766721,0.017929030877026467,0.047478117241694096,0.055324216451599656,0.06846887392284642,0.07827566700720913,0.09318460082007864,0.10025057834459872
12,13000,77601471.85152102,68060,1043850,2226838,2543148,3280536,3536648,4441074,4775685,0,0,0,0,0,0,0,0,0.00087704522061415,0.013451420122510733,0.02869582170117503,0.03277190418328584,0.042274146633156935,0.0455744964060328,0.05722924957528307,0.061541165213174945
13,14000,83809581.70149815,49701,603701,1441759,1639909,1870512,2470987,2948413,3193081,0,0,0,0,0,0,0,0,0.0005930228858201253,0.007203245592493018,0.017202794367057767,0.01956708250663761,0.02231859367419517,0.029483347247822256,0.03517990354016163,0.03809923561452308
