,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292267884,1201,3055861,3085208,3095766,3100768,3101493,3102219,3104397,0,0,0,0,0,0,0,0,0.0003869125456802579,0.9844720722356526,0.9939264623089902,0.9973278133974933,0.9989392509940733,0.9991728160195672,0.999406703203717,1.0001083647561664
1,2000,9312181.820188235,24789,8319931,8715151,8838766,8958644,9101413,9205678,9225570,7367,3991,3630,7367,7367,4975,1597,2322,0.0026641046038032297,0.8938290115362879,0.9362520796305525,0.9499131547274783,0.9627965922075994,0.9778887668272452,0.9887325208658467,0.9909461772984536
2,3000,15520302.80860091,203111,8230091,9447977,9925340,10863940,11720302,12447374,12719942,1498026,917053,1088092,1120904,1198772,892601,662134,692700,0.014484880221121925,0.5635794160798855,0.6546451631907605,0.6892884996053787,0.7585739363473334,0.8012401505962204,0.8377461691507113,0.8578555929905043
3,4000,21728423.459530327,258131,6780546,7647840,8429854,9202318,10466146,12595531,13187540,1442463,483180,707493,1206166,1323904,1097788,1130891,1134245,0.012724613188266877,0.319155956622297,0.3638202416740632,0.4107664089403216,0.45099410541138124,0.5073108882433944,0.6115067921241284,0.6403528077565642
4,5000,27936543.637846418,129881,8564022,9388896,9983271,10529164,11717804,14173223,14930457,1141131,428909,473057,908736,1079519,552967,763382,751665,0.004847135655472358,0.31133254868149146,0.34186831860822464,0.36937035862356277,0.39204506612257034,0.42791356859516316,0.521589029237574,0.5492191890536535
5,6000,34144663.20869295,74011,7774911,8614038,9317302,10000076,11382174,14147702,14897823,732583,255462,315350,439859,614690,328016,528412,503711,0.0022150970408823653,0.229421488931573,0.2546323641529469,0.2764383956159263,0.2982428866781017,0.33658493492146324,0.42085900394335146,0.44284783937091843
6,7000,40352782.036872,21777,5796921,6401327,7089774,7800626,8881565,10664228,11243125,359843,213707,263004,144800,234583,219539,173414,151512,0.0005445211210889606,0.14442089147980897,0.1596747927641922,0.17632752604939117,0.19444108128658938,0.22130195139824993,0.2654155234650181,0.2796708907377298
7,8000,46560899.98756501,20864,5013913,5711797,6598888,7305426,8451268,10342343,10972323,837219,471286,549161,321457,461606,383525,450662,445998,0.00045630621921437524,0.10878617905875182,0.12413782060146983,0.14271123468711794,0.1584715375895039,0.1830175059166057,0.224296022995785,0.23793443175827875
8,9000,52769016.92554554,20502,5218914,6112811,7141983,8012891,9566068,12619192,13427441,650168,417249,464051,259292,373866,287159,299053,270258,0.0003933701611347588,0.09968935542773487,0.11686865466467165,0.1360125769107864,0.1529319194325151,0.18227380618977126,0.2405031575380256,0.2557668271557234
9,10000,58977132.71606916,34866,4274414,5289257,6312952,7011664,7956543,10556672,11225906,285785,211373,230846,135190,190275,103928,124830,98425,0.0005940568986193855,0.07273647138490386,0.09003559706784332,0.10728660048601682,0.11927264481230111,0.13514710195193944,0.179375683071065,0.1906615555173985
10,11000,65185247.22380394,85719,3744670,4196622,4851673,5376215,6202611,8867593,9599299,399210,245926,246284,211941,265070,154502,125336,129882,0.0013231091709450134,0.0576641382975738,0.06462409917966926,0.074671788800283,0.0828126975295553,0.09537966970320969,0.1362988794973263,0.14755583904534886
