,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292271633,3321,18654,18654,41077,47746,81863,162110,178989,47420,45938,47420,3705,45938,2223,741,39269,0.0010864868994559158,0.006099820792573699,0.006102778266320582,0.013249125233494394,0.015612846765424244,0.026391774743024357,0.0522376098398769,0.05840168652677212
1,2000,9312181.82018504,83342,232083,239504,467138,526389,790343,1231812,1288413,62569,62569,62569,6668,55901,3704,2223,48503,0.009010323093538173,0.0250911042993643,0.0258934081518894,0.05020012962494434,0.05686830490839377,0.08490571877242643,0.13231121896364276,0.1390822183075497
2,3000,15520302.808605792,121978,1164122,1267237,2082453,2408333,2830129,3212954,3293826,100192,100192,100192,0,97229,8150,741,42389,0.007910319291086121,0.07549375062534029,0.0821807972542434,0.13417605478968547,0.15615129836545258,0.18244592062230772,0.20702607712921228,0.21280813685424566
3,4000,21728423.459522575,246747,1311576,1409252,3286706,3714273,4300390,4831156,4913354,70100,67136,70100,5995,70100,21558,16649,58245,0.011392710080313813,0.0605493095667042,0.065067455596633,0.15130472203531137,0.17149402200690356,0.1981119755875883,0.22251318099341721,0.22673343503735263
4,5000,27936543.637851633,420778,4313834,4511870,6560674,7091481,7681561,8163216,8285997,112102,76412,112102,17720,96538,62303,66064,62101,0.015122603553976974,0.15483896688194726,0.16215491612461225,0.2349910614108112,0.2547226854853194,0.27557920231085603,0.2928982961926971,0.297261441516616
5,6000,34144663.20868538,598358,6851465,7084895,8526658,8952802,9411019,9642462,9752668,143562,103643,143562,68591,127256,72181,71847,110556,0.017598194726915282,0.20127084787699417,0.2083725158345814,0.2502242027127383,0.26318296233094907,0.27620585263967196,0.28299574478795425,0.28655571718687994
6,7000,40352782.03686869,274010,5951999,6168445,7400558,7636227,7925740,8101175,8179041,104028,89957,104028,2560,86980,30320,22085,60437,0.00680791260641264,0.14782864825182412,0.15325803612080952,0.18340811094516365,0.18964547118689004,0.19655893017527376,0.2008687078379586,0.20299242926952837
7,8000,46560899.98756924,77472,5689621,5875229,6753757,7021120,7323418,7548513,7638114,81138,70019,81138,2222,61124,27261,36175,60250,0.001666789946573295,0.12238144081462543,0.1264040250802338,0.1450590371531424,0.15099255535934092,0.1573790092357991,0.16224734271974434,0.16425822009029667
8,9000,52769016.92555469,50549,5499632,5718815,7141943,7528750,8047069,8651485,8768680,197874,191947,197874,15733,194908,60771,38394,127916,0.0009615351157874155,0.10460134061839275,0.10878239813234304,0.1353838561041753,0.1432026172932529,0.15267191800246413,0.16406946324556418,0.16657478369232268
9,10000,58977132.71606666,64663,2321196,2422611,4236752,4552706,5449577,6848019,6993809,211620,211619,211620,18341,209398,33927,11166,89035,0.001100356263586567,0.03949928883826601,0.041225046596720175,0.0718595459079847,0.07746948256549566,0.09245471015354975,0.11613510947721131,0.11876438994041157
10,11000,65185247.223807335,48951,1196157,1290374,2198037,2486901,3030237,3571755,3687196,204684,199497,204684,25188,194316,40073,17790,101770,0.0007533175702309936,0.018406450581558285,0.019857845730817513,0.03373288830893066,0.03826535415281146,0.046515141545090816,0.05480887473840466,0.05665333441421035
11,12000,71393360.31407619,4597,170924,190202,327426,404617,825949,1091574,1137498,932965,927961,932965,10379,917598,104813,44493,279831,6.524232484800773e-05,0.0024256443824033818,0.0026994171570025594,0.004586891636808591,0.005741222041654816,0.011585998468465262,0.01529910762556208,0.01599552168162246
12,13000,77601471.85149431,8740,93146,97592,147577,210212,404937,487316,514224,2158176,2096569,2158176,64554,2138729,173974,84549,832006,0.00011584859729887962,0.0012336417435461484,0.001293580813225659,0.0019033126939950432,0.002785639536236886,0.005229886167530143,0.0062865756543715266,0.006698288105778069
13,14000,83809581.70150661,0,63365,81189,210793,248760,366199,422787,432968,832453,798405,832453,68713,806401,11266,4451,251554,0.0,0.0007633309455165204,0.0009784503425282521,0.002517205795313269,0.0029969935838312363,0.004370004300616463,0.005044882055084001,0.0051816445637837055
14,15000,90017689.72858834,0,12692,17104,111429,134407,175670,206518,209483,120584,120584,120584,739,110321,4296,740,54703,0.0,0.00014118363318969227,0.0001902619651809405,0.0012378668583872775,0.0014949497677520381,0.0019515984535555515,0.002294212374699165,0.002328546523605254
15,16000,96225795.79822063,0,4447,4447,15630,43148,110432,121750,123232,84607,55694,84607,9631,63972,28909,34105,43091,0.0,4.624098255953265e-05,4.625488883160455e-05,0.00016244671602509198,0.00044870197231844107,0.00114797893856626,0.0012657018396255504,0.0012812282650870074
16,17000,102433899.7749443,0,14071,19261,85235,148164,240951,315609,329690,38531,23832,38531,10263,25824,16886,16182,42732,0.0,0.00013739860060362754,0.00018810421047785788,0.0008321809563088163,0.0014467999606360203,0.002352646216862722,0.0030815859487664863,0.0032199066302736026
