,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292275335,1126584,1696188,2031887,2207623,2516738,2657688,2810985,2909103,0,0,0,0,0,0,0,0,0.3629387871461641,0.546441646154994,0.6545899847663893,0.7112048583114763,0.8107889312156596,0.8561971937582237,0.9055831492246118,0.9371927122196547
1,2000,9312181.820187334,2085791,3023913,4047475,4666300,5556185,6102133,6706304,6992565,1346,1346,1346,0,1346,673,0,1346,0.2240175898577958,0.32477352822006467,0.4347058715421066,0.5010963155685171,0.5967439558920511,0.6553323545987076,0.7201646326816553,0.7510136721387608
2,3000,15520302.80860157,1876940,2627403,4050412,4713303,6594613,7573554,8933465,9405535,0,0,0,0,0,0,0,0,0.1209344961336562,0.16928812745482366,0.26097506279034743,0.30368627842672125,0.424902341231717,0.4879772059474658,0.5755986278211627,0.6060149158164183
3,4000,21728423.45952624,940943,1735324,2268023,2930434,4186034,4961047,6273463,6775593,11434,11434,11434,0,672,8744,14125,14797,0.04332750640937719,0.07990628734402196,0.10443542389827531,0.1348663885098958,0.19265840774171272,0.22841253294021738,0.2889093106872988,0.3120433619243459
4,5000,27936543.637851045,796958,1871294,2042730,2812637,3579011,4452057,5700535,6185650,18560,18560,18560,2691,4434,17215,18560,16542,0.02854640257470059,0.06702826480143466,0.07316896615808881,0.10068919015448692,0.1281324986334026,0.15946146333777586,0.20418863604000564,0.22154905577133407
5,6000,34144663.20868914,712779,1750269,1824012,2573466,3139355,3894012,5086347,5546581,545814,545814,545814,429811,472504,494213,507693,528717,0.02121438730156464,0.05209312346172129,0.05428793077616136,0.07633033608068895,0.09323295784340097,0.11571946217214346,0.1512129947627117,0.16499850890903392
6,7000,40352782.036868334,688673,1568095,1612306,2381135,2861018,3571328,4881388,5395156,465266,465266,465266,336626,360119,404381,411117,421699,0.017265376950609167,0.03931292684534675,0.040421318753209236,0.05950434114176719,0.07153857189661243,0.08939852177572828,0.12221293217231212,0.1351116871790995
7,8000,46560899.987567455,411134,954813,985023,1395034,1692939,2284461,3304393,3696851,328832,328832,328832,221444,222147,236996,237510,238182,0.008892831705269177,0.020652612819672365,0.021306055361072936,0.030104669342132063,0.0365339783842308,0.04931494980675874,0.07133314295190513,0.07980643538645978
8,9000,52769016.92555642,440466,1083522,1112676,1649923,1996623,2756293,4033009,4601602,198032,198032,198032,134749,165403,169580,180551,180126,0.00837850005328463,0.020610646757604604,0.021165211220136242,0.03134693546671112,0.0379560043693116,0.052401568554829976,0.07668999140817451,0.08750140797823476
9,10000,58977132.71607593,581829,1502040,1628704,2280215,2843604,3755602,5132959,5738179,125186,125186,125186,80981,101406,113927,117198,118212,0.009886316977872685,0.025522350301280767,0.027674598562686205,0.03871585720901365,0.048298410204142044,0.06380219959672227,0.08720633185816425,0.09749038769636752
10,11000,65185247.223786116,605806,1581560,1661044,2335749,2916117,3841692,5242423,5890263,271955,271955,271955,177026,199181,206647,215354,235679,0.009332541598899449,0.024364193308015127,0.02558865747054723,0.03593005555342535,0.044872957688469016,0.059122418561945375,0.08069003564378181,0.09068979457576813
11,12000,71393360.31407505,477861,1361204,1460140,2162878,2848819,3838688,5328255,5896532,87526,87526,87526,43069,56405,63099,77063,85456,0.006701569438136075,0.01908965813378488,0.020477146281868596,0.030313513234014444,0.03993468725231559,0.053815700787886236,0.07471300671338149,0.08269114142001391
12,13000,77601471.85152155,1307985,2492124,2637155,3474120,4219063,5543370,7204316,7940349,82436,82436,82436,65653,64270,75214,76760,81092,0.016873081374557973,0.03214854225965046,0.03401945046183437,0.044806646159922824,0.054413402847309576,0.07150312879304291,0.09292928445574872,0.10242918075489989
13,14000,83809581.70150918,1051776,2464892,2684417,3632450,4414185,5645183,7510316,8329515,122749,122749,122749,87850,82312,107376,114012,117370,0.012567998645036936,0.029453761367593843,0.03207693388964391,0.04338718187233245,0.05272099539059058,0.06744365877443317,0.08973373413652236,0.09952556911397525
14,15000,90017689.72857404,1445390,3017303,3329369,4223177,5162611,6394080,8041797,8837361,92137,92137,92137,73218,70064,80507,82618,88775,0.016073184496988076,0.03355334394337557,0.03702361452310635,0.04695315808562761,0.05739574511481487,0.07109495545682164,0.08941780826361394,0.09827051762687418
15,16000,96225795.79823637,3171084,5128918,5942270,7064684,8451361,9982904,11915960,12850100,73096,73096,73096,66365,65795,66469,66469,69731,0.03297966678683071,0.0533413831412155,0.06180034478978814,0.07346844653046315,0.08788852880453597,0.10381628420658924,0.12391892078240452,0.13363795645093504
16,17000,102433899.77492976,3398419,5810756,6669868,7970151,9304868,10864621,12936463,13956935,51113,51113,51113,42360,45053,48419,51701,55740,0.03319326526509594,0.056755204493250486,0.06514638065735123,0.07783993694712917,0.09087774980466258,0.10611486040567897,0.1263546119813139,0.13632726970950845
17,18000,108642001.52416706,2407845,4474585,5251668,6326856,7727274,9093074,11133162,12034938,64885,64885,64885,58149,51417,64213,61600,64969,0.022176357938774902,0.04121112388358599,0.048368092357942524,0.05826700612406304,0.07115970536359235,0.08374709158840603,0.10253380760912051,0.11084239198857516
18,19000,114850100.91040885,2689287,5055136,5594013,6591352,7777934,9414681,11605264,12538238,62282,62282,62282,50490,48814,54367,54373,58244,0.023428330858860303,0.04403895855835976,0.04873350720572617,0.05741615278769524,0.06775127883426878,0.0820124640463346,0.10109491190349182,0.10922584874452958
19,20000,121058197.7991898,2235573,4357903,4928572,6065055,7211597,8652106,10509185,11404578,318165,318165,318165,280262,284293,309248,313957,314127,0.01851559046466485,0.03609327328283816,0.04081970068864411,0.05021658103251575,0.059711549543675746,0.07165367495443056,0.08703673923030304,0.09445248884284366
20,21000,127266292.05494165,2051776,4252275,4589762,5819854,6940824,8686115,10788060,11669026,410102,410102,410102,355596,363894,385775,388454,400752,0.01617403139028038,0.03352043757705739,0.03618082805428861,0.0458578684138687,0.05469419101910911,0.06845901326394145,0.08502714237082498,0.09197947681416478
21,22000,133474383.54324889,2705124,5083082,5277774,6874356,8113448,9894308,12002879,12848931,353431,353431,353431,319054,325147,333359,354008,358616,0.020320798103673033,0.038183936509533216,0.039646456092517324,0.05162659296913239,0.06093499452672137,0.0743144949796145,0.09016560350748438,0.09652448569494536
22,23000,139682472.1284423,2356893,4845459,5083581,6418291,7418323,9116977,11362775,12206050,416994,416994,416994,387756,386439,399417,415167,436636,0.01692374184667844,0.03479296567331002,0.03650280793429292,0.0460770600521685,0.05325580946845559,0.06545646914186813,0.08158968100603681,0.08765827646538005
23,24000,145890557.6761632,1462491,3514385,3864203,5145867,6109925,7397099,9639005,10390803,666872,666872,666872,596539,614980,650795,664958,681467,0.010070609303094221,0.024199805862500885,0.026608627800680205,0.035416922505731654,0.04205748204711848,0.05093026085764883,0.06637263004245739,0.07155752406144433
24,25000,152098640.05078363,2229933,5350660,5636233,7376253,8655429,10515144,13253851,14259374,1818033,1818033,1818033,1694308,1720707,1789099,1791940,1814446,0.01483846148722602,0.03560446091485295,0.03750472606286035,0.04904282276596546,0.057557839933050574,0.06995659707621188,0.0881787105666079,0.09488272595840325
25,26000,158306719.11789465,1510920,4018826,4391207,6090615,6993469,8327467,10544386,11350474,1029144,1029144,1029144,995019,973318,1008960,1012684,1001392,0.00960670965881449,0.025552441261810555,0.027920108742192702,0.0387168595561264,0.04444999567993565,0.05294078597622338,0.06703614661609257,0.07215568733723322
26,27000,164514794.7418592,1684886,4764080,5101965,7024631,8173019,10204746,13488249,14665416,697133,697133,697133,586610,591204,664151,662549,675420,0.010285130321631692,0.02908160175980993,0.031144169351163008,0.04285188060284947,0.049858711385053586,0.062280780636280016,0.08231958578858933,0.08951093730128319
27,28000,170722866.78807497,2199493,5713513,5977026,8119739,9224699,10979258,13988082,15073385,1363504,1363504,1363504,986682,941969,970478,993360,1040506,0.012987135542971422,0.03373603269368408,0.035291972652726926,0.04783740726903897,0.054332961600394615,0.0646780765701442,0.08241396716874681,0.08883295193438477
28,29000,176930935.1217904,2196225,5972517,6246805,8471802,9659589,11666871,14889210,16198939,1982718,1982718,1982718,1418789,1409758,1517639,1472019,1687213,0.01255357177187519,0.03413877030734314,0.035706594229830184,0.0482690354325751,0.05503375238474738,0.06651075635623213,0.08485866850827363,0.09243662942026594
29,30000,183138999.60707664,1945086,5848658,6073321,7849591,8710952,10586416,13754151,14909736,1565426,1565426,1565426,1423342,1435787,1484824,1501251,1534019,0.010712384855128458,0.03221095385089703,0.03344826496141231,0.043197108622159315,0.047940550279850926,0.05827785661750342,0.07572297666909165,0.08209981879439164
