,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227603,883425,2410075,2565914,2707202,2758359,2794814,2816865,2823518,0,0,0,0,0,0,0,0,0.28460301054745396,0.7764265225063306,0.8266314052758975,0.8721485574441389,0.8886292278016408,0.9003735216007833,0.9074774421210107,0.9096207636584046
1,2000,9312181.820183894,561838,4785740,5193644,5621359,5893391,6120252,6263227,6304865,0,0,0,0,0,0,0,0,0.060333658733148,0.5139225256133898,0.5577257940499961,0.6036564908790614,0.632868978913861,0.6572307240323128,0.6725842687504909,0.6770556161537118
2,3000,15520302.808602884,1063270,7357540,7802939,8140337,8605009,9028113,9517129,9579179,0,4887,0,0,815,0,4073,13032,0.06850832829180567,0.47420836739163896,0.5027568789234473,0.5244960166297671,0.554464754644158,0.5816969624455863,0.6133660765144947,0.6177217847182891
3,4000,21728423.459526226,1838035,13156410,14037290,14811418,15489367,15979201,16665632,16756595,0,34214,1629,0,1629,0,65169,53765,0.08459127296666176,0.6064480028435809,0.6460819623506531,0.6816609602435902,0.7129154293264189,0.7354054485252753,0.7693041703930794,0.7730961496482226
4,5000,27936543.63785112,2003891,16262258,17187219,18319651,19854399,20752683,21550901,21647712,5703,5703,5703,3259,0,0,6515,5700,0.07174474359659555,0.5822330308942377,0.6153491483785972,0.655835904638865,0.7106963287004248,0.7428507716996983,0.7716032546702782,0.7750468364179165
5,6000,34144663.20869443,2109082,19627585,20917478,22853675,24912262,26290644,27445310,27592944,2443,2443,0,1628,0,0,814,814,0.061773428532422014,0.5748772305967897,0.612613393552925,0.6693510070299894,0.7296092466261745,0.7699781321405882,0.803814175497568,0.8081380582296416
6,7000,40352782.03686349,2727328,23310594,25647360,28327039,29975421,31260714,32874452,33095721,0,0,0,0,13033,12219,13848,13848,0.06758711202386253,0.5776700594944126,0.6355784832027284,0.7019847844473868,0.743074057615175,0.7749201212544738,0.8149558927352388,0.8204411393160681
7,8000,46560899.98757005,3448458,24108993,26627900,29540629,31197024,32635552,35724008,36105647,2443,13846,4073,0,4888,2443,6517,15476,0.07406727419941457,0.5179488482007493,0.5719440460817752,0.6344514175603607,0.6700965711652722,0.7009586251690618,0.7673607876950761,0.775707769031001
8,9000,52769016.925551474,4559629,23985217,26125547,28236262,30349110,32244813,36259975,36550216,20368,8146,18739,15482,21184,20372,24445,14666,0.08644067844155366,0.4546023706440418,0.4952684237393404,0.5352487191587915,0.5753622152181089,0.6112917790686334,0.6874636322990858,0.6928379433874708
9,10000,58977132.71605265,4555140,27325011,28933764,30384471,31716531,33463782,38189426,38474803,1628,6514,4072,0,5702,3259,6519,7218,0.07723782987413973,0.46336653056959937,0.4906267988923312,0.5151907120728815,0.5378287522430149,0.5674340159698747,0.6476009590791199,0.652448001413278
