,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292271726,5414,5414,5414,5414,6961,6961,7734,7734,0,0,0,0,0,0,49,0,0.0017441669627915547,0.0017441669627915547,0.0017441669627915547,0.0017441669627915547,0.002242546403397121,0.002242546403397121,0.0024916143764337597,0.0024915750443719772
1,2000,9312181.820186617,793608,793608,793608,799796,808304,808304,910256,910256,133761,98191,89548,85802,76753,80691,91519,101272,0.0864645471751059,0.08613075652965829,0.08605003900978274,0.08668578744721817,0.08752208649296557,0.08755942195517018,0.09871915042888178,0.09882367950287432
2,3000,15520302.808600271,2931519,2931519,3278663,3479164,3617394,3617394,3873358,3873358,3391357,3245928,3199048,3225999,3064877,3127464,3265103,3291583,0.24169610832306201,0.23883244936809134,0.26609814105228013,0.28298991583128197,0.2904271644813819,0.2918938958109932,0.31605833119765314,0.31674272210210647
3,4000,21728423.459529288,3684424,3684424,4655967,4753928,5136470,5136470,5728588,5728588,7124829,7039573,7026254,7084270,7054775,7076535,7156982,7173397,0.2522956940642652,0.2508313370165571,0.31668571177991767,0.3246297584314448,0.35004723018727485,0.35056709680719317,0.39313804443510797,0.39358142123125095
4,5000,27936543.637849793,3032154,3038341,4183567,4277084,4536316,4536316,5112652,5112652,10333626,10367837,10361420,10383853,10346277,10378438,10383079,10386173,0.17225292206561613,0.17294050510549466,0.23803912201165223,0.2436711321497969,0.25788784748941773,0.25836021798508374,0.2912617027738105,0.29131305004886116
5,6000,34144663.208688244,1252271,1371190,3675993,3731232,4177823,4177823,5264149,5264149,13495433,13546504,13541246,13559040,13508597,13559039,13559812,13552081,0.060644924161536155,0.06656856984684514,0.1784166656805781,0.18125426479316975,0.202452490593437,0.20294857020836576,0.255729271328333,0.25563326379627105
6,7000,40352782.03687157,838888,961335,3422692,3542391,4201278,4201278,6067765,6067765,16228098,16255872,16251371,16273117,16216558,16266085,16265383,16273045,0.034773015004791956,0.039894534134419145,0.14201210023611444,0.14711130717872428,0.1740652553432526,0.174423167841101,0.25190619338816217,0.25198634813614734
7,8000,46560899.987565845,1404579,1550331,3714788,3892995,4384319,4384319,5655704,5655704,18894772,18902940,18923003,18933986,18905093,18932826,18930716,18952685,0.0507689041499146,0.05605370029810515,0.13440921361242736,0.1409131328150562,0.15853158803036216,0.1586907216903062,0.20469295472462956,0.20485583738561908
8,9000,52769016.92555541,1484747,1559195,2974709,3179547,3469968,3469968,4655017,4655017,21900985,21883444,21871862,22083988,21962773,22160881,22201920,22236502,0.048099827147411664,0.05048295538367324,0.09627776431737352,0.10361883665529083,0.11263846408492137,0.11336750491567332,0.152288488872105,0.15246097517187482
9,10000,58977132.71606547,1090658,1121814,2598075,2685076,3009091,3009091,3701250,3701250,24017838,23923428,23975267,24188401,24133286,24337955,24322623,24334495,0.0311979406008666,0.03200272293860744,0.07422675754131336,0.07718234806358375,0.08635932262360106,0.08686958520393513,0.10680428118376004,0.1068408829124334
10,11000,65185247.22380203,1927581,1929903,3416356,3439638,4215178,4215178,4756574,4756574,26395916,26417776,26419996,26517071,26445219,26633212,26663303,26666047,0.04969358684939615,0.04978150338614552,0.08812933986359264,0.08895268243560826,0.10880678701752151,0.10933736638105032,0.12347699722437677,0.12348579338001903
11,12000,71393360.31408656,2338974,2699570,4421976,4499974,5273127,5273127,6257560,6257560,29051806,29099473,29126918,29207944,29111191,29256716,29309689,29328340,0.05524062680008537,0.06382884552446592,0.10462143861410933,0.10667131898132692,0.12471278284776241,0.12514349649426543,0.14869330086002794,0.14875922924265164
12,13000,77601471.8515051,2020926,2248352,3720803,3787857,4358726,4358726,5428349,5428349,31510961,31543443,31579811,31601468,31525151,31622270,31635383,31649446,0.04384689956054167,0.048815636623288264,0.08084895093216338,0.08234471049671581,0.09459796093631943,0.09479777430841418,0.11809464619747076,0.11813078747696172
