,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226551,109087,897804,1172964,1291464,1378022,1513172,1580819,1632403,317794,273289,292969,234125,218952,217172,221598,207772,0.039151673014969794,0.3171587530165074,0.41726281271120697,0.4499975493694436,0.4776326222314286,0.5241532301179924,0.5484265377706493,0.5636188961028827
1,2000,9312181.820187973,275985,2626871,3971063,4644940,5048282,5567215,5943328,6139059,439127,412564,383871,396263,350952,361591,343384,309969,0.031103718571881125,0.29516671986084414,0.4447720380680469,0.5209715446805819,0.5633470071961737,0.6219941355651293,0.662667184516312,0.6819499963645396
2,3000,15520302.808600435,1364773,4458101,5851603,6661016,7065979,7725655,8229951,8525717,597056,424656,499031,369033,301215,365455,369128,394459,0.09145281971839171,0.29532361590893136,0.38955443151289376,0.43963417483457096,0.46428400235702405,0.5097811009105391,0.5431889674540841,0.5636523229965091
3,4000,21728423.45952912,2190457,5735283,6636791,7852064,8813270,9695877,10544355,11036441,3527944,3258220,3347516,3235976,3190689,3184019,3261989,3186331,0.12035160968537864,0.3105154208272168,0.36106982283724637,0.42460923667266376,0.4754232519211448,0.5228465018199996,0.5710011330616594,0.5952101157994265
4,5000,27936543.63784857,2324724,4944997,5973344,6777914,7585835,8239330,8754434,9124086,7744137,7298020,7581172,7337185,7281110,7427760,7342180,7469425,0.11512862442273454,0.2396003263979343,0.2934529571001899,0.32903519566606737,0.36725614833376724,0.4017464002494264,0.4250888327479561,0.44579240299742995
5,6000,34144663.208691716,1822037,3957860,4907399,5927262,6415636,6917690,7343911,7682064,12549203,11674838,12210894,11737096,11862165,12056336,12067121,12223756,0.0843712975964582,0.17614111205765104,0.22373714947521833,0.2645205499015914,0.2879226530128232,0.3131830642783081,0.3326416922037985,0.3504446201457408
6,7000,40352782.03686704,1852681,4765579,5566156,6729347,7337864,8187893,9120006,9581160,15585490,14784375,15325238,14791425,14941401,15184821,15144538,15360056,0.0748035351318269,0.18638544799167664,0.22240120691829476,0.26326250950973734,0.288762896804159,0.3253300093720761,0.36178664355446566,0.3833579412612585
7,8000,46560899.98757061,737047,5560150,7333433,8758884,9541658,10533030,11447532,11943631,18849993,17886295,18480042,17996533,18081859,18217496,18396079,18390855,0.026597721984725847,0.1939050251053195,0.2611541642796665,0.306636726933641,0.3350414083172379,0.3716219126192123,0.4064478877764534,0.4239833839551855
8,9000,52769016.92554787,596365,5688655,7437037,8759907,9841709,11313952,12629024,13379670,21721671,20810710,21486581,20872287,20918739,20976721,20962004,20983183,0.019208244125926085,0.17800238959005737,0.23773842349426152,0.2746333878252423,0.3089991560828965,0.35587086967532466,0.39705155682368964,0.42093185383587145
9,10000,58977132.71607092,458320,5506119,7953030,9735122,10888233,12183730,13924433,14725470,23327995,22446706,23027518,22347669,22377253,22735567,22460321,22684417,0.012856411946070316,0.15072692807001017,0.22122712754539414,0.26577298743603456,0.2974936826150006,0.3361811157788158,0.3813156829864176,0.4057417503611987
