,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292268303,123971,872520,1341476,1681382,1980367,2129568,2281270,2410489,0,0,0,0,0,0,1760,880,0.03993833072483481,0.28108987040544053,0.4321681050199523,0.5416717650965485,0.6379923708169567,0.6860587644289795,0.7353478184893217,0.776780113054709
1,2000,9312181.820188355,442857,2861901,4147231,5169576,6032307,6353427,6867520,7154984,0,0,0,0,0,0,1759,5279,0.047556738963140485,0.30732872867618827,0.4453554580526989,0.5551412225213013,0.6477866429671996,0.6822705057397055,0.737616339518839,0.7687824981345616
2,3000,15520302.80860091,447068,4506100,5906582,7277412,8341915,8824883,9646117,10118705,189356,189356,143585,178797,179677,180311,190167,158534,0.029161147421709634,0.2939218338082032,0.3841250176741993,0.47436099759647216,0.543779315399441,0.5752860307951414,0.6292258020694171,0.6586940036706341
3,4000,21728423.459525973,294031,3358201,4630785,6420168,7414686,7869307,8460623,8839633,4220181,4220181,4052079,4103215,4103674,4045431,4037155,4053142,0.01679386155861819,0.19180685941282777,0.2619763950970315,0.36426054277559844,0.4206973844948728,0.44502122692252466,0.47823721737964614,0.5001127150502003
4,5000,27936543.637846425,170223,1846287,3043104,4968294,5891399,6294634,7055324,7475618,8377961,8377961,8109121,8171512,8061348,8023964,8008608,7907298,0.008703238018414154,0.09439779119921406,0.15347955483590425,0.2513678748930826,0.29641967341350717,0.3161134375596538,0.35404189014946336,0.37323512503508294
5,6000,34144663.20869705,403091,2314196,3275222,4658108,5739767,6283397,7235442,7817543,8221049,8221049,7648898,7705747,7521307,7440417,7316846,7178341,0.015549182176332804,0.08926980556683396,0.1236130368080455,0.17618377255826095,0.2155914136071616,0.2352958009334718,0.2696992432785181,0.28990022960857165
6,7000,40352782.03686494,243120,3512854,4096849,5492874,6797893,7454848,8694329,9411721,8015818,8015818,7322254,7336727,7180327,7013156,6891201,6725001,0.0075183310258451356,0.10863277072007316,0.12403219819639459,0.16636978566539184,0.20492583357021427,0.2236032279353368,0.25983019123995893,0.2798793351747553
7,8000,46560899.98757467,268401,3342323,3630714,4832749,5946734,6430641,7654658,8506034,9616469,9616469,8675593,8885398,8891732,8772365,8630094,8225093,0.007264992119929251,0.09046892618603618,0.09583435607875036,0.12827298231072898,0.15786741034369423,0.17017439289759376,0.2018058356710771,0.22188222104616084
8,9000,52769016.92554316,966225,3275225,3471894,4092678,4775782,5093558,6158182,6737873,10970521,10970521,10253387,10507840,10539331,10432870,10303230,9961001,0.023116262406215858,0.07835748458112586,0.08166159142132585,0.09684249937503128,0.11309063506700882,0.12031227142512689,0.14501513914712966,0.15739746059988666
9,10000,58977132.716076076,1199260,3611927,3823187,4521965,5204312,5600679,7060319,7483291,12017183,12017183,11373322,11749785,11737387,11715742,11677467,11506208,0.025537931945217782,0.07691505254664929,0.08031262502917415,0.09574886625404827,0.11016807819583435,0.11850432065459546,0.1492678413919606,0.15763946130726575
10,11000,65185247.223789394,562495,1969947,2082130,2562384,3205529,3519113,4537205,4932451,17625538,17625538,14345889,17432596,17465383,17414257,17336289,17098473,0.011827132864778737,0.04142050134769603,0.04095508033037489,0.053659512808861026,0.06717389188215615,0.07366631890011614,0.09482348557683346,0.10257396299957729
11,12000,71393360.3141011,166657,1204422,1212893,1438069,1714909,1920421,2875441,3349696,22900260,22900260,21945453,22764460,22784145,22761231,22682443,22614281,0.003436715716679771,0.024836976646134778,0.02452870234316505,0.029572311746950977,0.03527950387428946,0.03948872951041371,0.0590307298353341,0.06867075080344263
12,13000,77601471.85149765,56498,805191,831594,1068732,1322421,1573312,2383392,2627088,30495812,30495812,29938296,30355238,30262124,30295771,30266490,30269847,0.0011993887821147619,0.017093296273492285,0.017447305706001753,0.02262046967297315,0.027934922216258696,0.03325840166577282,0.05035159847483053,0.05550386254945724
13,14000,83809581.70149463,52906,413580,443503,624973,792245,941379,1603471,1826558,36655367,36655367,36437987,36543070,36559720,36540805,36528982,36500947,0.0011219781802096907,0.0087707960490516,0.009362213849769489,0.013222321205908612,0.016767139023709337,0.01991545086823103,0.03391393108639675,0.03860939998638965
14,15000,90017689.72859812,83312,710929,869850,1154434,1377321,1555956,2019475,2204731,42618128,42618128,42470666,42479358,42497905,42468275,42478959,42477370,0.001757653382472826,0.014998640790618684,0.018294520493336602,0.024284276667317615,0.028984159079557186,0.03272292643097846,0.04248062514603769,0.04637602381697347
15,16000,96225795.79823983,17397,1892518,2327866,2475741,2569213,2652454,2896675,3053056,47918845,47918845,47851833,47844283,47864754,47858926,47856064,47831358,0.0003601345088548603,0.03917692938029444,0.04812229276541106,0.05117121926973044,0.053125675222602635,0.05484030724056756,0.05988610836385514,0.06308691946641529
16,17000,102433899.77490544,16036,1035354,1654371,1789610,1905530,1970199,2267038,2377766,51172992,51172992,50025945,50910339,50903083,50803537,51354226,51169682,0.0003128309797090709,0.02019773049175015,0.03156717347787371,0.03473381833639941,0.03697845520911591,0.038159697009868786,0.04438238995006574,0.04638256669477458
