,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292267856,719393,1906432,2418262,2628920,2824740,3023380,3065246,3084601,0,6240,11093,2080,0,0,0,0,0.2317586819105396,0.6154107122967427,0.7818581666192685,0.847497232971212,0.9100144415360972,0.9740080369348704,0.9874955312208401,0.993730912004888
1,2000,9312181.82018449,2045851,4180390,5017678,5876539,6776010,8134040,8632139,8878474,8321,10401,27038,24958,16639,20106,19412,16639,0.21989269181258367,0.4494182437548649,0.5403985223246981,0.632755182149068,0.7289525884692246,0.8753738300683068,0.9289091591669948,0.9551323867521906
2,3000,15520302.808604306,1940080,5362834,6609013,7704968,8885832,10866595,12441716,12972286,61599,126526,149224,76025,74765,73304,76915,46114,0.1255008197336799,0.34837675423502695,0.42996416076537564,0.49888820283376495,0.5753009128014911,0.7034761337553206,0.8056338514706003,0.8383176759990714
3,4000,21728423.459527984,1658412,5028054,6485511,8334227,10243116,12042538,14437773,15258859,65406,115659,161818,121440,140163,111111,138702,116316,0.07655498607700126,0.23264279816751451,0.3007200652031562,0.3857191363899006,0.47447620984576355,0.5570784075285069,0.6687336391562531,0.7060329044066884
4,5000,27936543.637848206,1072314,3631602,4770470,6262562,8784278,10865790,13714232,15604257,72498,99142,114025,68789,139297,142820,186553,191072,0.03848378709742916,0.1304576500079092,0.171460753143697,0.22472431243149343,0.31601252147180264,0.39094401821004904,0.49420672529147314,0.562407343572199
5,6000,34144663.208694905,856198,3921644,4960120,6640883,8672250,11838198,14887070,16100299,63413,117822,179847,56971,95811,83274,112106,104585,0.025122259152968642,0.11525148561241998,0.14603700398444147,0.19481761802302588,0.2547002156444324,0.347554761418188,0.43743612649232644,0.47298067005872735
6,7000,40352782.036862224,751633,3351412,3873623,4965625,6676519,10468233,13827930,15554034,69372,183904,255482,136907,219920,235935,255151,211807,0.018658623967340443,0.08343304975868314,0.09660558183316341,0.12347424979435272,0.16636040045854655,0.2609435629470342,0.3448565324791338,0.3874852064683639
7,8000,46560899.9875783,1533753,4222016,4939026,5933571,7960838,11732630,16370192,17967843,80410,101041,186052,52361,127417,136341,146691,152651,0.03299778036784656,0.09087449019440234,0.10650225745910669,0.12758024932980078,0.1714460662390898,0.25272464091989044,0.35269785604621867,0.38716916479243374
8,9000,52769016.925549954,981958,3202240,3957684,5468634,8137002,11191891,15867389,17426965,62035,152059,292758,93651,117333,154047,221646,230709,0.018630510875903356,0.06085946672422587,0.07541856224192574,0.10381767461718691,0.1545440030276298,0.21271305515971017,0.3019635182601466,0.33170015723945834
9,10000,58977132.71606484,1055077,3452445,4800143,6478587,9480224,12577897,17248322,19002069,70526,178083,225324,97463,96806,135585,167352,139881,0.017911013022453768,0.05871599994679398,0.08170204636929705,0.11003096707644014,0.16100834571988587,0.21375877229969598,0.2932900240399696,0.32295983319716653
10,11000,65185247.22380316,1254696,4133056,5347326,7361789,10069798,12845147,17437642,19349155,74820,220471,202774,101486,141939,147800,231270,212213,0.019270277488538833,0.06361995284585686,0.08228874240571792,0.11311253162958818,0.1548168178246947,0.1975038619796686,0.2684614975910939,0.2978028536169448
11,12000,71393360.31407791,1411003,4009373,4980579,6466001,9529590,12523797,18139472,20212146,153672,226741,333268,134748,242939,267341,271712,222838,0.01980641736919513,0.05633783139684536,0.07008967815558668,0.09073992307765684,0.13393581969014234,0.17607898095206875,0.2550485320572843,0.28399603294750486
12,13000,77601471.85149962,1363853,3593298,4233957,5301279,7238077,9658014,14810097,16486635,93868,306489,430988,212171,355259,395119,470732,385725,0.01759637677114969,0.04648811433082924,0.054864979311876165,0.06850144582870042,0.09370138331460587,0.12509351424197482,0.192012899506915,0.21351389674060778
13,14000,83809581.70152485,1835083,4817120,5742552,6999061,9245241,12674021,18502368,20594531,277795,504135,752502,370796,358530,377828,426920,327329,0.021968678900130614,0.05782479046369276,0.06913982553487938,0.08388258459365489,0.11078639287934902,0.15190884091135148,0.22189706615783938,0.24669352267759095
14,15000,90017689.72856796,1572554,4020139,5112792,6536379,9152893,11926094,16256423,18191733,367854,609286,870511,493824,478590,767767,841504,636810,0.017541069509164616,0.04496377110371647,0.057352258062672294,0.07301269831016889,0.10222230319208489,0.13362581877264285,0.182295563184109,0.2035304760396708
15,16000,96225795.7982359,1558350,4576680,5534878,7038170,9660878,12769141,18238204,20460001,281938,522325,643361,368994,516030,633381,592874,549028,0.016242311240779118,0.047821463128005615,0.05790685298698997,0.07342379328296687,0.10093931292618488,0.13357901907752254,0.19071051743539255,0.21384502707225908
16,17000,102433899.7749337,1732210,4808845,5749931,7038367,9333969,12186558,17514736,20052477,444268,739426,916929,684806,921614,895643,889254,860993,0.016984177409548513,0.04728718111706592,0.056640096292350735,0.06917375613751098,0.09194915599373515,0.12001937385051151,0.1724831069756266,0.19741954460782035
17,18000,108642001.52414584,2048429,5162968,6195441,7676086,10519641,15011093,20565783,23339913,495396,927478,1243414,791525,897285,967131,955249,1017679,0.018941223259593184,0.04793195783707517,0.057686429056686736,0.07117340829070383,0.09763486637084913,0.13941129371159816,0.1909778363442493,0.21686466825158057
18,19000,114850100.91038942,1794929,5260290,6442956,8351192,11761597,16087057,22765471,25493408,414684,911761,1455597,924775,1040507,1080193,1116251,1018279,0.01568508289182491,0.046167865918856896,0.05681894428579694,0.07330408698210635,0.10334451249567556,0.1413999298713587,0.20016442789843877,0.22395677739453995
19,20000,121058197.7992289,2126242,5892130,7155651,9023571,12052614,16106484,23170399,26241825,481523,941930,1327312,732906,682231,724670,713094,849679,0.01763394125389828,0.04905355542555265,0.05976445386029278,0.07499313623154519,0.10012475347427245,0.13384868119941556,0.19253295953489769,0.21830254013718312
