,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292274133,6339,1727208,2373264,2604408,2752506,2779449,2842815,2901203,21060,21060,18226,0,8716,9509,4419,6004,0.002056113754861129,0.5602360192942389,0.7690833389196179,0.8390325805743767,0.8892405627502019,0.8981750292186652,0.9171431217061607,0.9364589958200653
1,2000,9312181.82018872,9510,5022108,6767847,7292198,7761151,7910993,8115872,8359520,8260,8260,2377,2377,3170,0,5090,335,0.0010221496035536443,0.539783985405214,0.7269590642033255,0.7832815124315549,0.8337244757996944,0.8495316299397252,0.8720094479346648,0.8977295440337345
2,3000,15520302.808599165,10302,6641337,9084498,9665259,10595217,11074401,12210744,12891236,5548,5548,0,0,793,792,2378,1585,0.0006640130718849674,0.4280658690344878,0.5853299456867975,0.6227493831270402,0.6827030705653683,0.7135792575281312,0.7868799566056339,0.8306895040553391
3,4000,21728423.459527552,1585,5877607,9602983,10313482,11210953,11848966,14074158,15179408,126104,126104,58662,55519,101859,107877,112956,108994,7.337175079599829e-05,0.27208221834751745,0.44315130177761386,0.4758698594948184,0.5183880694957553,0.5480419295682742,0.6511151343986533,0.7021188060682391
4,5000,27936543.637848474,0,3765430,9099606,10598114,11912610,12596518,14962627,16375622,36449,36449,10290,756,12274,22900,13860,22577,0.0,0.1349611909520882,0.32584413641747123,0.3793740895152449,0.4266041745941918,0.4512674218897105,0.5358592030072119,0.5866461836991786
5,6000,34144663.208697975,0,2559401,5695122,6436517,7926449,8778618,11484687,13323101,41878,41878,11096,1584,4755,22140,6341,3170,0.0,0.07504961792232795,0.16684813413081417,0.18851600819765232,0.2321754631425911,0.25726755159074205,0.3364162693699651,0.39023193621202756
6,7000,40352782.0368619,0,2220933,4914022,5380978,5991525,6604486,8919384,10874205,64242,64242,18227,4756,5547,37296,7926,11095,0.0,0.05512567588619401,0.12183156589948885,0.1333640955590726,0.14849902340336443,0.16382007633397452,0.22107859281616035,0.26955255961565966
7,8000,46560899.987574935,0,1613605,3339716,3563014,3925378,4250951,5636584,7279955,35657,35657,11886,792,4755,4754,2376,4753,0.0,0.034682355134199525,0.07174622433230168,0.07652503729052408,0.08431492772968248,0.09130805202678306,0.12106449082243746,0.15636936196508916
8,9000,52769016.92554137,792,1976779,3777748,3987019,4255260,4454464,5413579,6781584,42879,42879,24556,4752,5543,6336,3170,7132,1.5021012938942048e-05,0.03749144310155167,0.07162359674759014,0.07556286448084337,0.08064783615280767,0.08442451979053403,0.10259626852269002,0.12853187503763952
9,10000,58977132.7160714,0,1702882,3663340,3918547,4195117,4362755,5230880,6431368,44782,44782,12680,1585,4753,5544,3963,6338,0.0,0.02889553834708325,0.062127940331099134,0.0664435880929031,0.07113698006079835,0.07398062516180827,0.08869931911722354,0.10906022262316994
10,11000,65185247.223804,2376,1590030,2825652,3028342,3154231,3249563,3927191,4947369,72596,58338,44575,21392,22977,15053,25350,13469,3.6490604442341886e-05,0.024414332246844,0.04337769174828131,0.046472726170040404,0.048405787416039854,0.049862717745485376,0.06027006130030131,0.07591275142148834
11,12000,71393360.31407148,0,1992578,2844156,2927797,3062609,3151187,3793526,4814859,73857,65936,46248,11877,9502,1584,3169,2512,0.0,0.02793565054622201,0.039863645601800474,0.04101619725549807,0.042903382814154865,0.044139355576993736,0.053137916150285916,0.0674436445805753
12,13000,77601471.85152519,0,1681518,2625701,2714631,2853632,3000055,3733410,4611616,292732,284017,182749,119974,108010,110601,52288,114994,0.0,0.021748232701516945,0.033915581441915664,0.03503586114457858,0.03682416466911055,0.038714947541991035,0.04814247957977154,0.059515106736900525
13,14000,83809581.70150012,792,1820682,2561677,2633121,2798340,2924385,3617276,4514004,772002,754570,528956,367061,245535,268950,77465,178127,9.537850246202348e-06,0.021921398392471907,0.03075957917489394,0.031556105662477456,0.033487368197904245,0.03500554090193081,0.043200579926760574,0.05397495495099921
14,15000,90017689.7285887,4750,2657119,3506094,3575313,3734077,3835352,4580885,5806250,1122109,1110221,891379,585857,338456,371172,142301,375997,5.343347735701789e-05,0.02988634181129924,0.03933848457698321,0.039978080409584164,0.041638145697152844,0.04278305613177084,0.050969292759708025,0.0647717576862341
15,16000,96225795.79823339,2374,2686680,3679778,3816007,4019444,4133299,4956313,6115646,687786,592729,471503,336009,295344,315981,92127,161819,2.4848748733762066e-05,0.028093630058610968,0.03842937890788631,0.039795760606178586,0.04189956290890751,0.043095683259270906,0.051556474042433305,0.06366221973971482
16,17000,102433899.77491188,0,2143430,2900255,2939793,3075601,3163666,3881157,4828953,1045446,581418,613710,311810,292279,319115,97520,185901,0.0,0.021044455300920962,0.02848408558667421,0.028787043101836454,0.030111143495340265,0.030981468618609544,0.03792548660150551,0.04722784854332873
17,18000,108642001.52416265,0,1943130,2644028,2694147,2843679,2937471,3642297,4547138,612127,516241,100378,81405,95898,106216,36090,39796,0.0,0.01797101810503125,0.024359576668865728,0.024816987804597738,0.026197891105017784,0.02706453899802521,0.033536820868076425,0.041869665335556354
18,19000,114850100.91041744,0,2035251,2972870,3055559,3243109,3328101,4124878,5200253,445524,436696,144262,105143,58531,93381,126640,141698,0.0,0.01778857120451529,0.025917338020793705,0.026629135219915338,0.02825215303293526,0.029001360465844755,0.03595496481073682,0.045334542788998504
19,20000,121058197.79919124,0,2521460,3456387,3540817,3817691,3982534,5096725,6444308,438507,420401,173396,121256,105817,127760,129674,134429,0.0,0.020901077994628165,0.02859240325133349,0.029278208521919803,0.03156358704785022,0.03293243679984953,0.04214659072877963,0.0532923184911774
20,21000,127266292.05494094,0,2416394,3814320,3906194,4182036,4359641,5573743,7189859,481767,449253,75162,62642,57608,49787,72502,80462,0.0,0.01905417456524234,0.029988883645835858,0.030708191143201183,0.032875397077402314,0.0342694605398663,0.043820873625924975,0.05653034616273031
21,22000,133474383.54323745,0,3548627,5141091,5353751,5659785,5899754,7294051,8972317,521870,266418,121422,86075,73620,77525,107025,130661,0.0,0.026639750750101842,0.038552507124733695,0.04013658362167923,0.04242693107349095,0.044227083489284225,0.054691425845667344,0.06728713454876495
22,23000,139682472.12844825,792,3266750,5033867,5225635,5603284,5792354,7157356,8788292,1012687,303772,125075,441745,396352,400661,208099,519078,5.711410018169274e-06,0.023437942791756827,0.036070227043335026,0.037529500942489344,0.04022858842526957,0.04158729666904019,0.05131663860147604,0.0631508886014118
23,24000,145890557.67617702,0,2842193,3977865,4136582,4496134,4682038,5943477,7309378,411499,294843,80017,40607,45908,37080,52230,97922,0.0,0.019521130867906317,0.027281052395479635,0.02836190194663991,0.030828240939814334,0.032100969237051934,0.04075387516234444,0.05013544042262195
24,25000,152098640.0507717,0,2782482,3747470,3852781,4130651,4351429,5512820,7000452,764815,543350,370203,188998,213086,151252,53188,216600,0.0,0.018359517500628687,0.024698534255289357,0.02536232031086158,0.027195812174601028,0.02863773478321334,0.03625771060984536,0.04609137458029838
25,26000,158306719.11791968,0,3554917,4670457,4749053,4983657,5133075,6212806,7709785,847800,730502,317351,175864,189899,260600,218861,492924,0.0,0.02255998440005533,0.029561843658454767,0.030032424705846217,0.03151882890310664,0.032478336251775757,0.03929970381005347,0.04885368224139841
26,27000,164514794.7418189,0,3053345,4019061,4184659,4545676,4791123,6077334,7531409,423648,379573,165903,70792,108293,113010,96321,146220,0.0,0.018602619033243485,0.02445444540212462,0.025447319027924763,0.02764900385228347,0.029142767564987883,0.03696259831205491,0.045820248863445594
27,28000,170722866.78811407,0,3392252,4370771,4505912,4796951,4988804,6507308,8120449,545797,469099,256436,170322,212394,215857,188756,213874,0.0,0.01992468092818809,0.025640068720819115,0.026419494388652594,0.028132881937175565,0.029258644592967144,0.03815839523205552,0.04762475495993936
28,29000,176930935.12177134,0,3431505,4485991,4621757,4886912,5080435,6467835,8079805,804262,558744,362275,263213,326243,288957,285323,356225,0.0,0.019456043371547226,0.025406496242913194,0.026160732387857318,0.02767147317145123,0.028761198521552508,0.03661475041645174,0.04575856301521276
29,30000,183138999.60709906,0,3065534,4011718,4111658,4401664,4550976,5970989,7793015,518945,417834,255379,124353,163171,157528,160135,209256,0.0,0.016777114954442358,0.021935906488961297,0.02246627838933035,0.024055986156792435,0.024871239475939583,0.03263212400416404,0.04260113662400373
