,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292269346,23025,341972,1169980,1408297,1634977,1730568,2252248,2450250,0,0,0,0,0,0,0,0,0.007417703051030408,0.11016923985958613,0.37691918417565934,0.45369506856273484,0.5267219926716414,0.5575174607433481,0.7255811883290829,0.7893692465054183
1,2000,9312181.82018911,1771,880992,2858911,3685049,4105998,4416288,5706497,6223668,6157,6157,6157,5272,4386,5272,5272,6157,0.00019030682103467797,0.09466899315470526,0.307210764557353,0.3959476422567424,0.4411353750469977,0.47451711527492424,0.613146265543599,0.6687783581339651
2,3000,15520302.808598144,173608,1612395,4730618,5773006,6278757,6715248,8578404,9273116,928,928,42,41,927,927,41,42,0.011186533100793247,0.10389561563438049,0.3048027387129514,0.37196576135086745,0.40457535647286813,0.4327009077439555,0.5527228925511817,0.5974845470936121
3,4000,21728423.459530286,174416,1551119,5495389,6780631,7528565,8126174,10235059,10868786,0,0,0,0,0,0,0,0,0.008027089509041189,0.07138663340619243,0.2529124586620513,0.312062723401405,0.34648464091387643,0.37398820099098284,0.4710447133480735,0.5002105201163525
4,5000,27936543.63784542,43568,1536354,4234717,6044954,7096955,7817926,10933094,11836808,0,0,0,0,0,0,0,0,0.001559534370636272,0.05499441949285069,0.15158342617099066,0.21638159961244982,0.2540384054663731,0.2798458571449446,0.3913545691883309,0.42370338125739965
5,6000,34144663.20869976,138757,1160425,3378983,5308220,6295931,6923090,9947414,11014334,0,0,0,0,0,0,0,0,0.0040637975882756965,0.033985545351764776,0.09896079452730008,0.15546265510235027,0.18438989898707953,0.20275760102492552,0.2913314429021952,0.32257849294567487
6,7000,40352782.03686005,54987,961560,2068913,4265166,5027248,5651006,8733324,9766832,1771,1771,1771,886,886,886,886,886,0.0013627167842156468,0.02382988617364827,0.05127289123214481,0.10569927113471743,0.12458517427304493,0.14004313440037622,0.2164290865545057,0.2420414641998071
7,8000,46560899.98756927,40869,1237993,1904548,3266308,3714905,4163849,6827214,7634540,3543,3543,2657,0,0,0,0,1771,0.0008778204486760696,0.026590706176266445,0.04090678422956169,0.07015130723143306,0.07978593628971513,0.08942801795308199,0.14662976879361686,0.16397514657197154
8,9000,52769016.92555004,93011,1381676,1712394,2617231,2841475,3079501,5317279,6011649,0,0,0,0,0,0,0,0,0.001762606268205185,0.026183470538201577,0.03245074666477029,0.049597873003633164,0.05384741209048744,0.05835812716285316,0.1007651707345991,0.11392383921954856
9,10000,58977132.71607286,23738,1151887,1358289,2372110,2560707,2863176,4953046,5519675,885,885,0,0,0,0,886,0,0.00040250102234853875,0.01953137143525113,0.023030773749871187,0.040220843075226956,0.043418641803556826,0.04854722276486167,0.08398374389345704,0.09359008730676627
10,11000,65185247.223798335,0,925511,1052777,1758370,1852644,2041851,3932098,4368764,0,0,0,0,0,0,0,0,0.0,0.014198166600833374,0.01615054087906633,0.026974968645329316,0.028421216132530406,0.031323820756401846,0.060321900544459996,0.06702074757806575
11,12000,71393360.31408405,5313,1037578,1406221,2089616,2206122,2418980,4288246,4772043,0,0,0,0,0,0,0,0,7.441868510777862e-05,0.014533256250095751,0.019696803649716838,0.029269052343341977,0.030900940791895874,0.0338824225300234,0.06006505340460968,0.06684155191751914
