,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292277575,2775414,2948876,2997685,3016239,3036866,3047042,3053983,3097593,0,0,0,0,0,0,0,0,0.8941236436771792,0.9500059284388511,0.9657301702724079,0.9717075019731151,0.9783526685674067,0.9816309550493726,0.9838670582796523,0.9979163972614264
1,2000,9312181.820187708,7863912,8539450,8767079,8814862,8891689,8926435,8990977,9202821,63417,63828,63072,65414,62278,58313,63455,61448,0.85026618720319,0.9233481077853788,0.9478835445184577,0.9532911576686544,0.9612736708239158,0.964616548326966,0.9721313186994448,0.9948206465433965
2,3000,15520302.808600007,12850533,14021216,14442662,14592258,14709554,14781377,14946360,15316943,62703,67052,65428,62293,59876,62255,71391,70225,0.8313407747074979,0.9073311611688167,0.9345052728581954,0.9439933200121048,0.9514325951090609,0.9562253386081816,0.9674700836650353,0.9913829036818248
3,4000,21728423.459530707,17552682,18663525,19238554,19403436,19523762,19617060,19830418,20389214,293715,307810,309261,287889,277250,277150,283037,270647,0.8188906339985881,0.8712880718967462,0.8981935701897429,0.9049884477751355,0.9101489033610717,0.9144939593916848,0.9246938980289168,0.950201622169659
4,5000,27936543.637842953,20335641,21860756,22777086,22960841,23174979,23261903,23475269,24133355,2746032,2776983,2796190,2809530,2790770,2821184,2794651,2792756,0.8072738375607414,0.8688846484512468,0.9059970407780739,0.913791082813735,0.921625213595456,0.9262022656824619,0.9337112896849145,0.9598138254905483
5,6000,34144663.20869321,19804101,21711069,22541325,22754060,23009141,23134972,23466226,24096016,7941160,8030479,8046381,8082888,8068245,8081563,8052682,8112054,0.7557806619318688,0.8313899000824447,0.863709144523374,0.8730817382083059,0.8823735229223063,0.8876523443010611,0.8993654338591057,0.9256089471029085
6,7000,40352782.036867306,20071784,22302969,23377831,23689990,24015443,24156979,24489710,25145180,12972020,13105469,13089999,13113839,13092914,13115045,13137299,13141654,0.7330615551522633,0.8185382892552634,0.8574997999428853,0.869710324954097,0.8809816308545801,0.886893759466971,0.8998447672901909,0.9240770895617325
7,8000,46560899.98757866,19926648,22250524,23271241,23552653,23796692,23985784,24251824,24800730,18367685,18504421,18523327,18555755,18520508,18555754,18572222,18590472,0.706788779100903,0.7930618809955052,0.8300019766443314,0.8410116430551061,0.8486576083009633,0.8564777348648209,0.8664869419971507,0.8866768149208769
8,9000,52769016.9255501,17395388,19154059,20313428,20575609,20884919,20978336,21356632,21878658,28134285,28194188,28182114,28224310,28164249,28175119,28154275,28196136,0.7061326282165968,0.779417796072053,0.826188969855605,0.8382910850152208,0.8488159312534164,0.8529894717586036,0.8676358283420317,0.8903578732297223
9,10000,58977132.71606669,13025962,15004023,16482074,16816727,17183341,17422979,17747494,18152734,37411243,37460686,37365747,37331490,37293342,37337536,37281698,37375934,0.6040076329563903,0.6973281043099113,0.7626569724192479,0.776910495132474,0.7924509706353113,0.8051434242794373,0.8180289647230246,0.840357715264118
10,11000,65185247.22379792,10972249,13664316,15612539,16019884,16305469,16592014,16936203,17467788,43468031,43645038,43463054,43487755,43426843,43421937,43316412,43533361,0.5052327557514721,0.6343631975915757,0.7187367702307133,0.7383288278093867,0.7493871716091268,0.7623846661826671,0.7744446755705503,0.8067559481631161
11,12000,71393360.31407589,11653735,14036601,16303265,16914801,17286507,17471340,17782780,18271983,47590701,47839289,47880607,47901033,47857005,47852154,47777882,47816324,0.48959802542350694,0.5959309884407008,0.6933796643134968,0.7200138485157733,0.7344598077877346,0.7421599287184124,0.7530137549405749,0.7749906628040149
12,13000,77601471.85151589,12558588,15349202,17770002,18304342,19095834,19341547,19665684,20292476,53341436,53399347,53383807,53445735,53329517,53373344,53294779,53332630,0.5176656818178311,0.6342088595183248,0.7337619918746088,0.75776376073791,0.7867447890711359,0.7983095977756223,0.8090645699986104,0.836153456524852
13,14000,83809581.70150727,9880491,12439774,14633116,15277796,15739962,16036636,16336962,16766809,61321275,61351852,61263813,61260160,61187597,61262013,61073605,61098137,0.43936127033245076,0.5539194818595173,0.6490404560489312,0.6775249583885686,0.6957816569892414,0.7112357084836369,0.7185511409728419,0.738253740365854
14,15000,90017689.72857535,10704127,13063451,14866394,15255350,15610587,15812478,16043818,16396053,69716394,69740369,69731216,69765464,69700018,69672886,69555869,69572706,0.5272632418694965,0.6442395016019365,0.7328229735195096,0.753267823717524,0.7683255841782712,0.7772244063377491,0.7840855519565022,0.8019596991453567
15,16000,96225795.7982508,10753342,12972774,14538573,14954677,15409602,15581686,15799882,16140546,74263219,74249428,74278127,74258327,74185963,74199249,74120972,74118684,0.489621145040524,0.5903056464604932,0.6624199195660684,0.6807646860611815,0.6991705491170057,0.7074048484639179,0.714770773302897,0.7301064990894517
16,17000,102433899.7748996,11537627,13954369,15381201,15744782,16145011,16267047,16510425,16906124,79932379,80071197,79938760,79855787,79791994,79798034,79729239,79779803,0.5127487655354477,0.6240018990755758,0.6837566316063777,0.6973471236047545,0.7130588370303201,0.7186403719551191,0.7271821924004503,0.7462722600678448
17,18000,108642001.52415729,10772590,12962541,14437395,14933363,15320484,15527004,15754245,16246850,85511962,85673988,85698190,85673645,85595873,85552087,85482376,85506671,0.46574023311758633,0.5643736227500156,0.6292500696668915,0.6501711597995107,0.6647747357627051,0.6724582710670164,0.6802461025791242,0.7022527723576493
18,19000,114850100.91041172,11863278,13630676,14777938,15176323,15479047,15676169,16047139,16509137,85994159,86143110,85985328,85843437,85834237,85859942,85779203,85871357,0.41112080266974504,0.4748207864258006,0.5119713931533998,0.5232012563344997,0.5334684174075437,0.5407410510733681,0.5520001153542881,0.5696981570712064
19,20000,121058197.79921126,13985345,16077204,17467536,17869902,18276770,18641153,19181383,19858800,87066480,87405753,87471021,87461364,87581731,87639023,87728167,87789208,0.4114338993578169,0.47774252646205406,0.520065622199309,0.5318924428057124,0.5459587509524935,0.5577981237418213,0.5754985081038064,0.5969162309963139
20,21000,127266292.05494308,17509494,19493753,20783996,21282746,21804342,22175677,23169673,24287664,87520571,87903543,88193451,88468141,88592992,88610230,88617089,88784334,0.4405378374138814,0.49523352580863556,0.5319294793735155,0.5485505216436974,0.563808673400579,0.5736662200221276,0.5994864361643464,0.63114418360217
21,22000,133474383.54323864,19218211,21147679,22465540,23107816,23621034,23891342,24840802,25689335,87649892,87964657,88212123,88285415,88402548,88317436,88167396,88269632,0.41938732657548994,0.4646848180884511,0.4963415377484045,0.5113596690725415,0.5240752615308888,0.5290734493761693,0.5482775030295984,0.5682883794954162
22,23000,139682472.12844062,14999052,17329954,18660024,19278943,19689746,20458884,22096037,23097981,94468796,94581897,94632982,94707786,94674455,94917955,94884700,94948965,0.3317370602069933,0.38425128616756055,0.4142116580409323,0.4286620910470031,0.4374719718002868,0.4570335013622136,0.4932396400572778,0.516346302418904
23,24000,145890557.6761856,13738656,15740956,17316752,17773548,18273555,19008385,20745492,21830741,98730755,98973153,98939984,98866529,98812833,98957194,98913550,98943894,0.29132132070895284,0.33550355371617163,0.3688294017328152,0.37796736052521723,0.38815714067939494,0.40500794128346307,0.4416094814510006,0.4650115533358756
24,25000,152098640.05076003,14737934,17579255,19526320,20300240,21107198,22030520,23782664,25362131,100324630,100470064,100355460,100302738,100263946,100393649,100347894,100658760,0.28465892415037397,0.3404946706784336,0.3773699254828306,0.39192753087118254,0.4072021333690213,0.42608111039748775,0.4595617612289614,0.49304413180927065
