,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292261602,2316876,2641576,2812780,2820650,2835797,2836584,2842880,2847602,0,0,0,0,0,0,0,0,0.7464016579397791,0.851006573495487,0.90616142401227,0.9086968126338388,0.9135765497940553,0.9138300886562123,0.9158583995534674,0.9173796327264087
1,2000,9312181.820188537,6255550,8010041,8535540,8585118,8653068,8656216,8695561,8716022,0,0,0,787,2361,2361,1574,1574,0.671759864743851,0.8601680201984959,0.9165993711049756,0.9220012861430967,0.9294559118942058,0.9297940494438752,0.9339412815933554,0.9361388824799092
2,3000,15520302.808599874,9081188,13136141,13749906,13774659,13815708,13829663,13902348,13937825,0,787,1574,0,787,787,2361,1574,0.5851166766519574,0.846427244380964,0.8860201224974263,0.8875251449583442,0.8902151439766092,0.8911143344005957,0.8958886540156679,0.8981292973092101
3,4000,21728423.45953617,8633165,14155432,15193662,15511779,16142894,16220942,16523126,16616620,0,0,0,0,0,0,2361,2361,0.39732127901856945,0.6514707349275018,0.6992528486152918,0.7138934414126669,0.742939036974411,0.7465310140980778,0.7605209655810201,0.7648242764167562
4,5000,27936543.637838364,6810928,14567436,15307179,15736743,16636766,17275728,17864549,18057907,50757,74728,54199,73067,77089,76302,79450,78663,0.24424371054887933,0.5228458973871167,0.548991815387973,0.5647803109619722,0.5971676838714621,0.6200853612316479,0.6412926356299616,0.6482153913558159
5,6000,34144663.20869562,3738138,12941269,13564285,13885742,14690527,15469894,16200185,16525356,375178,605340,389891,455285,532388,543421,616886,608485,0.11069573542203219,0.38585361187743833,0.40184791993665664,0.41216973237030324,0.43705839336337177,0.4603964908177284,0.48318696760483093,0.4927620522876136
6,7000,40352782.036858365,3052599,12408519,12939613,13263130,13988401,14668839,15768342,16344146,98369,242566,82573,105370,151773,160419,217633,206353,0.07583265460124664,0.30936056262069184,0.3213197375796257,0.329539946266699,0.3479614401512835,0.3649658266309935,0.39288111240147744,0.4071133197175387
7,8000,46560899.987575024,2530188,7827634,8574301,9331255,10569604,11618412,12557545,13067320,3541,9036,13227,14797,14011,12436,15046,18192,0.054345608406938264,0.16814866966635844,0.18420471851060607,0.2004733887709327,0.2270743379395644,0.24959818229665434,0.2697886905964196,0.2807597702198255
8,9000,52769016.92555818,1333412,5035181,5775897,6559594,8015041,9214819,10161518,10526320,225519,267243,268568,270144,283518,274860,288236,282736,0.02537729790828034,0.09590496898522592,0.11001614497029924,0.12494732999889935,0.15270962768912577,0.1755398989085111,0.19362360507580278,0.20055374117532895
9,10000,58977132.71606296,496955,2593530,3461121,4729660,6460212,7886868,8845941,9314300,2362,4724,3935,3150,2362,787,10777,10776,0.008426569429029494,0.04397870218405327,0.05868972913193868,0.0801990942814816,0.10954196042750246,0.13372934359091548,0.15001674925605563,0.1579595640417564
10,11000,65185247.223802686,159933,1052454,1265031,2845469,4542741,6735244,7465191,7726624,787,3847,1019,787,3146,3161,3933,4722,0.0024535449008995405,0.016146538681071,0.01940701047585712,0.04365256673493097,0.06969307393762135,0.10332967829342775,0.11452961771172585,0.11854191069295625
11,12000,71393360.31407988,80309,482714,619302,1402399,3024755,4328062,5109192,5323443,87197,497355,151636,252518,302160,357012,505124,491595,0.0011262560803652502,0.006808761620087126,0.00869296758272882,0.019712994032437023,0.042547530308064525,0.060927428038163235,0.0720739048629033,0.07508195284586032
12,13000,77601471.85151416,64228,520135,531907,582134,1156696,2755592,3669506,3881273,324691,908762,578210,595630,694275,772121,922152,924654,0.0008311422822259232,0.0067820657401080325,0.006905796862062438,0.007559608284297375,0.015040152903157421,0.03586639701441253,0.04785522363925271,0.050618597755532124
13,14000,83809581.70149988,206894,941204,946739,1007489,1118337,1609372,2072824,2420140,110816,998978,563420,579617,697305,799698,1021886,994111,0.002471888304038544,0.011365742524866447,0.01137276458937256,0.012104883182557017,0.01345573776081889,0.019387715392870992,0.025037826967352666,0.02922328375966314
14,15000,90017689.72858071,92955,440685,440685,448559,452416,725896,1089338,1158392,8096,233346,16980,41793,138098,181024,226206,227201,0.0010327232481495362,0.004908261080931846,0.0048964613871267685,0.004985324029090959,0.005033578716803814,0.008080175217022362,0.01213186323207245,0.012901054626193148
15,16000,96225795.79823709,344195,755466,757824,760973,762545,1146792,1332295,1435705,1500,8455,3219,2433,3219,786,6979,21133,0.0035770072115851844,0.00785166160000383,0.007875740031251006,0.007908401638338312,0.007924803360846711,0.011917816401417609,0.01384651198521504,0.014923445062231524
16,17000,102433899.77492058,211027,513911,524148,528864,551449,1221815,1544093,1722481,4025,6337,6093,3730,5441,1576,2558,4030,0.002060209489308766,0.005017311611028894,0.005117243222358418,0.005163166293311067,0.005383747901662475,0.011928021887746608,0.015074419345135022,0.016816198280686874
17,18000,108642001.52416015,37938,68775,68774,68775,76045,215495,605010,819149,20453,18253,26911,45027,40151,35440,96589,95144,0.0003492677145139543,0.0006331488365521011,0.0006331900997191733,0.000633304935992478,0.0007002182709868524,0.0019841803015931215,0.005573796127637695,0.007546501286945828
18,19000,114850100.91041028,18078,72991,72992,75349,76934,78494,82424,87925,788,7086,9449,2359,1573,8666,4724,2359,0.00015740625295775152,0.0006355719593128125,0.0006355937447737815,0.0006560773311396734,0.0006698736274618495,0.0006834989484521373,0.0007176954111465726,0.0007655788310456116
19,20000,121058197.7991848,20665,37725,37724,37725,37725,38510,40085,40085,1576,1576,1577,1576,1577,0,3149,5506,0.0001707052426614069,0.0003116310321510561,0.00031162277412797267,0.0003116310321510561,0.0003116310347253146,0.0003181114596128518,0.00033113034439807636,0.0003311367917906138
20,21000,127266292.05497217,273795,595665,595665,595665,595665,597237,597237,605880,11806,28348,21251,7863,10226,9436,18087,22019,0.002151554797696675,0.004681504439765606,0.004681243332246338,0.004680750850245754,0.0046808377664502385,0.00469316167721452,0.0046934807429463475,0.004761550248617062
21,22000,133474383.54322219,18892,341282,343644,345218,345218,347514,347514,348300,61460,76429,81154,14174,81945,76426,12604,11033,0.00014160547193075717,0.0025583750603118986,0.0025761727276319684,0.0025866735949354124,0.0025879877732960218,0.0026050923597342353,0.002603846593304685,0.0026097052005839075
22,23000,139682472.12844396,0,3928,3929,7071,8642,14203,17345,18917,10242,11818,13385,16533,22031,19283,12598,4724,0.0,2.8123302095998863e-05,2.813077740235226e-05,5.0627948690461646e-05,6.187865318320211e-05,0.00010169465618415698,0.0001241856922134053,0.00013543316851446108
23,24000,145890557.67619085,1572,3929,3928,5500,11001,11786,11786,11786,3940,5553,5511,7090,7090,4336,3940,5513,1.0775491440134712e-05,2.6932171738424272e-05,2.6925309272571722e-05,3.770132481500943e-05,7.540950441634885e-05,8.078898654432365e-05,8.078876724772756e-05,8.07896383495678e-05
24,25000,152098640.050766,4714,9478,9478,9478,9477,9478,9478,9478,12595,12558,11808,8661,19681,17311,16524,30670,3.09956117172123e-05,6.231996953433428e-05,6.231966221004775e-05,6.231837271038315e-05,6.231631291503285e-05,6.232191722125315e-05,6.232159471555605e-05,6.232739213153097e-05
