,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226733,1848037,1848037,1848037,1878252,1878252,1878252,1940838,1940838,389497,374479,389497,388662,388662,389497,393668,392834,0.6807860313543026,0.6770403860475618,0.6807860313543026,0.6917039655922902,0.6917039655922902,0.6919167337901143,0.7160726379903547,0.7158523669980127
1,2000,9312181.82018758,6243591,6243591,6243591,6369461,6371964,6371964,6792826,6792826,1300303,1020001,1300303,1188149,1141994,1165877,1152317,1173923,0.7792917416908486,0.7529492102728607,0.7792917416908486,0.7840269901633573,0.7799042249990412,0.7821907159930307,0.8324679574586195,0.8346780497014755
2,3000,15520302.808603015,7360970,7360970,7360970,7394982,7427779,7427779,7612387,7612387,4777209,4663996,4777209,4713227,4703191,4707962,4728197,4744137,0.6851815809432263,0.6780362907731056,0.6851815809432263,0.684272242646174,0.6866693375668516,0.6869723338807417,0.7053662311142024,0.7064096020054506
3,4000,21728423.459527377,6778064,6778064,6778064,6804061,6834669,6834669,7044253,7044253,8573273,8413301,8573273,8559165,8565292,8565841,8569178,8572517,0.515240325137529,0.5090500684918664,0.515240325137529,0.5166624241532417,0.5192281958905088,0.5192498524522375,0.5353082759695706,0.5354441384689704
4,5000,27936543.6378465,6193891,6193891,6193891,6246108,6289498,6289498,6421329,6421329,12119257,11837943,12119257,12096277,12080311,12013330,12013761,11990356,0.3915899826446648,0.38474716774069584,0.3915899826446648,0.3943183623611758,0.39665777764813387,0.3949892366608107,0.4032793228450716,0.4026874100465048
5,6000,34144663.208696306,7117763,7117763,7117763,7367645,7388501,7388501,7444312,7444312,13326618,12790412,13326618,13192378,13173210,13208798,13190262,13184672,0.34190352305636756,0.333318313549733,0.34190352305636756,0.35163920911796476,0.3523123040865945,0.3529111850094916,0.3552624542146558,0.3551677062207618
6,7000,40352782.03686988,7794375,7794375,7794375,8017042,8049189,8049189,8110955,8110955,14132439,13728360,14132439,14046364,13966673,14039781,14015335,14044329,0.2972644175188668,0.29275283381574396,0.2972644175188668,0.3047561241049115,0.3050540338764118,0.30590159551627893,0.3079628404623062,0.30830223991630873
7,8000,46560899.987567484,7175282,7175282,7175282,7257672,7291879,7291879,7357633,7357633,16388318,16005773,16388318,16362973,16345762,16371002,16382571,16369120,0.2378080206379604,0.23483070461201278,0.2378080206379604,0.2403367622879541,0.24133197746773036,0.2415337409554306,0.24380518228928819,0.24369656254218072
8,9000,52769016.92555338,7843655,7843655,7843655,8060738,8111185,8111185,8285708,8285708,19900802,19660942,19900802,19883282,19869307,19879423,19888704,19877963,0.23863951899322508,0.236910633361716,0.23863951899322508,0.24511351253812244,0.24654275123866667,0.24661858149905772,0.2519960201948276,0.2519137276280087
9,10000,58977132.716065705,6120936,6120936,6120936,6235430,6265568,6265568,6396228,6396228,24878850,24790073,24878850,24849649,24812525,24827644,24864348,24853090,0.1795086295391664,0.1790424813024665,0.1795086295391664,0.18270992528712676,0.1833935297039472,0.1834747235044942,0.18750237054049834,0.1874405108802843
10,11000,65185247.22379756,5541957,5541957,5541957,5619675,5700913,5700913,5736884,5736884,31267438,31087351,31267438,31252424,31237823,31258261,31275165,31278916,0.16339371931226113,0.16253076036204733,0.16339371931226113,0.16561177249934347,0.1679335952682852,0.16803476036433743,0.16917930077957596,0.1691980167991015
11,12000,71393360.31407875,4758907,4758907,4758907,5022659,5048906,5048906,5138861,5138861,36953825,36560699,36953825,36934424,36921080,36940264,36960057,36980912,0.13818151019170624,0.13662197548128582,0.13818151019170624,0.14575780732813604,0.14646277977549363,0.1465443324447109,0.14924101103883558,0.14933145567261485
12,13000,77601471.85150576,4293802,4293802,4293802,4729193,4732279,4732279,4797297,4797297,39890484,39317248,39890484,39826223,39799785,39837907,39844348,39886880,0.1138607669708274,0.11215591092180704,0.1138607669708274,0.1251929012722173,0.12518697958081992,0.1253133547801515,0.12705673818978358,0.12720002430063332
