,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629225191,2941719,3033523,3070387,3083240,3091618,3092639,3092639,3095153,0,0,0,0,0,0,0,0,0.9477002389396906,0.9772756921816962,0.9891517488710919,0.9932924540747813,0.9959914992935247,0.9963204232811516,0.9963204232811516,0.9971303301419681
1,2000,9312181.820187645,8294559,8716259,8866388,8910612,8934435,8980868,9011655,9073467,0,0,0,0,0,0,0,0,0.8907213325687471,0.9360061012881258,0.9521278870198583,0.9568769351864359,0.9594351970911117,0.9644214614163356,0.9677275609528864,0.9743653179462045
2,3000,15520302.808603154,13265947,14359942,14674201,14783025,14851518,14921595,14996558,15072317,0,0,0,0,0,0,1675,1675,0.8547479494180018,0.9252359426930802,0.9454841945394167,0.9524959134048293,0.9569090360638817,0.961424218587328,0.9663585070122159,0.9712403175005119
3,4000,21728423.45952849,17741059,19912473,20727857,20956864,21106167,21214321,21298432,21427984,2513,2513,2513,0,0,0,838,838,0.8165852949200191,0.916531117860096,0.9540616048571273,0.9644907758280024,0.9713620980975675,0.9763396336376607,0.9802484514292733,0.9862110099584442
4,5000,27936543.63785033,19947966,23188872,25247699,25909208,26221612,26565625,26808910,27087402,35196,42738,45252,40224,29330,36872,41062,52794,0.7149463265687943,0.8313269369215796,0.9052179916163223,0.9287679642459297,0.9395997873623556,0.952184145563904,0.9610484718652069,0.9714404393887779
5,6000,34144663.20868753,20422067,24651218,28857114,29844075,30565240,31246447,31724657,32111769,0,0,0,0,0,0,838,5864,0.5981042154430726,0.7219640108714828,0.8451427335402095,0.8740480120596615,0.8951688822698124,0.9151194963917486,0.9291477099035759,0.9406238574386736
6,7000,40352782.03686352,16296871,20114248,26928734,28543021,30153200,31622328,32811420,33700962,1676,0,1676,0,0,0,1675,3351,0.4038766864311398,0.49846000658950873,0.6673604925574714,0.7073371291705505,0.7472396815776943,0.7836467872552634,0.8131479508114735,0.835227688073484
7,8000,46560899.9875741,14311097,18029576,25745398,27620948,29591491,31321185,32631499,33473018,2539,2539,2539,0,877,4227,13428,14265,0.30737974225122466,0.38724679343441426,0.5529704537251893,0.5932219524831203,0.6355557643924994,0.6727539360116985,0.7010369759438496,0.7191286332284991
8,9000,52769016.92554349,12453903,16063058,23797507,25842593,28256328,30585994,32568531,33749497,143412,129388,161009,35592,105197,118599,144327,148514,0.23665101840862846,0.3051514292154398,0.4523552200205108,0.49006096297534685,0.5365415581313512,0.5809259490257745,0.6188830954838855,0.6413754168741902
9,10000,58977132.71607795,11431937,14230280,21257488,23415040,26342853,29688232,32691203,34163804,70249,50677,76115,26203,22734,22733,58443,69331,0.19406793024564267,0.2414922096887171,0.360901879530639,0.3971954320783835,0.446834393594041,0.5035795825753013,0.5548528515745166,0.5799538092536821
10,11000,65185247.2237919,10833877,13352380,20735896,23266327,26706238,30020067,33721690,35285200,350557,43854,362923,335664,327280,328240,347941,352245,0.16710000406579215,0.2049753519106995,0.3198881905007234,0.35877373212576164,0.4117649556892577,0.46286543713641404,0.5200970238277096,0.5442475095970694
11,12000,71393360.31409061,6463462,7810882,13930277,16557648,21916416,25731954,30689067,32612720,56177,50293,210474,130804,201169,190987,240013,252993,0.09060439030150674,0.10948340594345755,0.1956969957432382,0.23234709581595642,0.307848594002503,0.36139180201887694,0.43130883027231237,0.45842777077621966
12,13000,77601471.85150307,5022103,5991152,11835556,14201737,18508429,23224145,28527672,30554158,79112,47422,75763,23980,23143,24818,55799,71644,0.06478263832035071,0.07725131068553585,0.15266620809195647,0.18306517342922887,0.23857730984935235,0.299370285349708,0.3678821905979122,0.3940955222875249
13,14000,83809581.70151484,3910410,4284732,9392129,10873487,14949128,19333148,24323779,25848533,58696,38159,68749,38372,91180,92021,145974,147373,0.04669096890433567,0.05114789580770149,0.11215710062828287,0.1297998087737221,0.178564421873447,0.23093300662366495,0.2907330877575769,0.30896307187180405
14,15000,90017689.72857225,2645708,2977838,6866766,7884929,11342685,14405385,18959183,21001591,55328,44741,69576,55441,137116,129619,176675,164739,0.029409054510845696,0.033097036854749025,0.07634141190243497,0.08764708654393302,0.12619729191152526,0.16025914098767097,0.2110303746822039,0.23373290281185752
15,16000,96225795.79825675,1962086,2166604,4094473,4833988,6876253,9182316,13238123,15232610,61380,91508,224212,86332,104750,168414,98881,83667,0.020403451564830994,0.02253726583533589,0.04265005678035855,0.05028099605531243,0.07153743431414795,0.09559198708210721,0.13771505127136432,0.15843845138860913
16,17000,102433899.77488804,1516309,1833221,3295194,3590301,5112721,7736620,12067051,13582012,600111,682601,797481,311769,282680,258549,292457,258593,0.014890038151795822,0.01801668403325024,0.03242139028234006,0.0351569338864878,0.05005051345707833,0.07571904516428099,0.11814059672717626,0.1329285169647085
17,18000,108642001.52417338,804196,954767,2097372,2333357,4169458,6608422,11022407,12630201,178212,249487,344776,83802,107983,167812,162398,113548,0.007414419167244461,0.008808421911709325,0.01936681193676415,0.021494065028965552,0.03841613953574705,0.06092160751777102,0.10160810550477159,0.11637686330052402
18,19000,114850100.9104029,1055301,1344398,2852448,3245899,4334085,7229638,11545290,12981029,215069,192672,970752,360201,624557,711919,515066,340884,0.009205746118034914,0.011725345778079125,0.025047983038998817,0.02835096373164938,0.03794322050591068,0.0633411000507716,0.10097771001729532,0.113362306984921
19,20000,121058197.79920888,1139531,1474105,2659715,3228509,4317756,7039177,10688773,12269994,537255,452075,754144,584145,416567,228920,287138,279693,0.009455045517678111,0.012222472340431372,0.02210827412714741,0.026798376289215373,0.035789933967208226,0.05825721322027209,0.08850442330944933,0.10159087513459904
