,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629225647,67991,225026,291653,415893,476700,530563,607449,688445,40828,39387,38666,40107,40828,40828,45153,45153,0.022195833039682464,0.07342576313969768,0.09514370424589502,0.13573736757403493,0.15561991454775825,0.17320362643633785,0.19858363626160683,0.2250623697892694
1,2000,9312181.820187155,468785,1412637,2153070,3206728,4009600,4346504,4827350,5139177,18813,22416,20975,11066,15390,13949,11065,14016,0.05044295659306023,0.1520637901259324,0.23173200658088786,0.3447680968599609,0.4312885646523256,0.4674548469644056,0.5190075657928211,0.5527086846356712
2,3000,15520302.808601422,626025,1780199,2564731,4494052,5749966,6439886,7476337,8047428,50107,52991,49239,17492,21097,16771,22537,28806,0.040466520769693835,0.11509427249084263,0.16577599522109726,0.2898862700115366,0.37098455695123456,0.41538186779009445,0.4824138583801902,0.5194738829582811
3,4000,21728423.45952396,238770,891803,1606934,4695284,6207893,7137578,8439046,9036507,32258,24318,20151,20004,20004,21444,14235,12938,0.011005170496392356,0.04108913871908361,0.07402403866987572,0.2162886159793672,0.2859670650631574,0.32881488708777395,0.3886420169803117,0.4161319357489554
4,5000,27936543.637850754,363179,1062397,1343856,2912792,3734845,5056249,6355220,7504963,43951,35846,35831,38905,45682,42080,35538,49714,0.013020625393824434,0.038077793386740506,0.04816565144565138,0.10440998386322214,0.13390927281111434,0.18126353191961142,0.22777745298823393,0.2691221303196662
5,6000,34144663.20869474,437351,1274052,1485000,2585871,3415607,4144459,5302168,6369203,63113,61141,56817,14831,24640,28962,24994,37482,0.012832485533138245,0.03738029163180172,0.043563913980027964,0.07576571089444843,0.10010564703043952,0.12148245098780915,0.15539916191944922,0.18674082038700804
6,7000,40352782.03686549,351184,770380,850067,1661129,2648045,3589418,4768222,5977923,546812,594342,587377,549640,549239,548023,561561,584059,0.00882239522550909,0.019376514754745795,0.021377048698785407,0.04173361486039142,0.06652787159041137,0.09017559927132413,0.11983100482346022,0.15031719762433618
7,8000,46560899.987585396,54995,228546,276107,576746,755727,1153907,1967105,2575245,463862,695178,581855,573241,430324,457662,386872,435013,0.0011930267626915846,0.0049829369318957015,0.0060050616552507876,0.012541321143476678,0.01638234476420542,0.025028762628575507,0.04260197963515088,0.05583079628784412
8,9000,52769016.92553592,54274,187988,213194,397044,452544,533109,1081780,1767555,253797,292191,163051,303616,209534,209141,143654,155052,0.0010334908637335606,0.0035823050781835218,0.004052658215643782,0.00756773021831138,0.008610130366791193,0.010142889240364284,0.02055624778361533,0.03359478804727234
9,10000,58977132.716065556,111528,325738,364723,734691,1046789,1605228,3065476,3968692,339455,330162,194484,251028,254360,243026,181714,215954,0.001901985282228248,0.005554216970166004,0.006204603024298897,0.012510467083627503,0.017825946418800764,0.027330423322177156,0.05213800780642071,0.06753935313613685
10,11000,65185247.22379893,97319,192886,208670,422821,676930,1585549,3811870,4994355,515190,582115,440119,471007,399493,353651,254809,328037,0.0015048540882407954,0.0029857066269140336,0.003222945196412436,0.006533662429440156,0.010448747693228691,0.024456423909827524,0.05870698095185251,0.07700539358332366
11,12000,71393360.31408733,121285,343381,406092,590867,688318,930745,2169792,3223904,273231,313988,245269,292368,219485,190864,162761,210705,0.001705354042093623,0.004830951495782199,0.0057077005510560155,0.008310249699327062,0.009670936097865705,0.013071802930817373,0.030461515428677272,0.04529058358071642
12,13000,77601471.85150903,25239,184330,217106,415838,529023,786738,1756948,2677913,464728,476899,407196,478579,460871,439248,411098,461555,0.0003271981514877782,0.002390029444375631,0.0028124624216648558,0.005391887993629163,0.00685790613711108,0.010195895876640342,0.022761231904121066,0.034715010195757214
13,14000,83809581.7015056,35456,164995,188427,350557,438255,639106,1653744,2415051,1045862,861143,732559,997928,905165,745000,913652,1039105,0.0004284002716150879,0.00198912725281959,0.002268100057906687,0.004233184392906605,0.005286268421354697,0.0076940855766497625,0.019949640542724547,0.029177686250489724
14,15000,90017689.72858548,50671,179918,208937,446921,517472,765126,1709808,2437566,1823520,1713686,1393400,1680002,1516816,1544247,1844751,2046614,0.0005745391124599081,0.0020374840596469753,0.002357559091755497,0.005059233623741086,0.005847083516790844,0.008648086661973992,0.0193915278843449,0.027708721074646732
15,16000,96225795.7982254,135042,237704,277134,486937,560061,1267273,2812048,3570082,1941420,2206515,2002471,2081409,1986409,1952968,1942064,2015602,0.0014322839691806256,0.0025282473763029107,0.002941246242302198,0.00517223614238017,0.005942960995694279,0.013442611509568563,0.029825378634969642,0.03789485889017721
16,17000,102433899.77491379,215694,481576,614555,1058481,1473660,1899077,3344104,4477657,1768393,1696310,1616079,1673325,1575385,1507589,1475548,1559172,0.002142680317323468,0.004780499524318822,0.006095698114444049,0.010504912287018121,0.014611161023824025,0.018816471001653158,0.03312359939726102,0.044388293269957496
17,18000,108642001.52417886,468140,962150,1251669,1844259,2289868,2807775,4209005,5374987,975757,924992,893878,927374,953446,932661,912606,949811,0.004348066583625183,0.008932201183918215,0.011616619937878764,0.017121713572151715,0.021263800864019067,0.026068073449671745,0.03907016260065553,0.04991064787370276
18,19000,114850100.91039228,469864,739228,882019,1283902,1761891,2134166,3337132,4463043,1734083,1724006,1572461,1629569,1622376,1528949,1478554,1643538,0.004153823734956924,0.0065345489083269955,0.007786346896860817,0.011339833670947038,0.015560597030403548,0.018832900689957452,0.029435357379728046,0.039423889262786685
19,20000,121058197.79921198,476211,670969,719938,1242969,1673073,2374976,3620451,4485133,4402731,4196266,4159576,4409154,4185220,4067322,3838706,4121169,0.004082200458034744,0.005741553213007253,0.006158652590760083,0.0106556295664071,0.014315310788729479,0.020300523299578523,0.030886083401569047,0.0383551133978378
20,21000,127266292.05496645,73434,190827,254720,518364,613960,808852,1447331,2167964,3870919,3777848,3540122,3824125,3657951,3623222,3444820,3495693,0.0005951114550080321,0.0015453024893168157,0.002058739876024922,0.004199245787455938,0.004966978722956753,0.006541830445009322,0.011688853120382103,0.017515985351555165
21,22000,133474383.54322433,107202,303981,400294,569720,669313,868403,1881722,2552700,5216376,4937554,4369147,5058238,4719647,4721055,4387554,4691030,0.0008358308541778318,0.002364933078560004,0.0031005248951771363,0.004436513785630131,0.005198356332120679,0.006744703300687598,0.014577180388258828,0.019821661183432544
22,23000,139682472.12843037,265969,637321,877004,1703170,2074903,2551273,3828127,4748185,5921957,5872908,5886361,6151135,5941734,5792727,5437722,5628654,0.0019883969476689697,0.004762895717889788,0.006554779452133458,0.01275483370889855,0.01551436779126704,0.019055029177572604,0.028516027601360024,0.03541999076408997
23,24000,145890557.67620873,360747,997116,1232440,2170155,2774358,3296034,4633964,5762937,5625356,5536302,5498944,5514270,5455500,5413333,5365120,5564696,0.002571892355972626,0.007104280487941199,0.008778587037559307,0.01545955542723618,0.019755451707768316,0.023463120143476308,0.032975979841296306,0.041068245946691846
24,25000,152098640.0507474,395661,1159493,1293392,2157644,2949142,3433275,5074617,6543161,5409979,5549265,5442649,5614784,5528406,5472473,5422085,5608031,0.0026972841470215606,0.00791196140958287,0.008819223754401192,0.014729568555681062,0.02012101583312551,0.023415158897332027,0.034597328784032835,0.044666078203916215
25,26000,158306719.11794424,159945,660295,719162,1450240,2001387,2671746,5533269,7226978,3624020,3863375,3785229,3757762,3767403,3734584,3743211,3913026,0.0010340199706370737,0.004275321826078503,0.004654122863111616,0.009383693213104295,0.01295066556702337,0.017284784207459897,0.03579932331619748,0.046808764361113996
26,27000,164514794.7417965,446056,792271,853846,1294292,1685990,3339431,7482434,9172774,6289540,6614071,6553858,6540337,6505893,6484489,6462189,6675978,0.0028191201254686347,0.0050175260836393815,0.00540542502223635,0.008193046005674368,0.0106702216230519,0.021131586022849626,0.04734141499839439,0.05811481731395294
27,28000,170722866.78812218,117530,328078,399409,622833,758841,1567415,5756361,7689914,3753984,3733988,3685333,3632646,3579952,3434344,3402341,3675017,0.0007039036138796087,0.0019646697575367877,0.0023911332437811738,0.0037275251481639965,0.004540072793165901,0.009369530998759526,0.0344031969352599,0.04603419924143667
28,29000,176930935.1217308,101916,375673,511389,1007304,1335599,1661571,5715055,8683499,3133589,3041406,2948247,3142692,3056539,3037785,2984211,3271656,0.0005864071130787935,0.0021604118539938727,0.0029393096837439106,0.005796157334385555,0.007681401228648621,0.00955512623031354,0.032855203389748865,0.05000308099812556
29,30000,183138999.60712242,104729,428937,565935,1229867,1677934,2313820,5231474,7415115,4944973,4756493,4689750,4775443,4692784,4690933,4602644,4792882,0.0005877245269893574,0.002404591168486661,0.003171405882882524,0.006895281880417992,0.009403023730658638,0.012966349504330512,0.02930200956667953,0.04157710355284948
