,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226215,165278,572396,704091,757183,890085,991118,1085157,1103084,32407,31718,35165,20685,23443,17237,13100,15858,0.05380749913577835,0.18630604365378375,0.22942813476440319,0.2455694962439649,0.28893069738861754,0.3210802167691217,0.35107435201193615,0.35719288286351547
1,2000,9312181.820187567,580077,1273627,1359101,1392197,1450083,1494145,1538093,1549125,390588,418652,405820,350370,308125,362973,223004,308175,0.06501943617825504,0.14320826778013085,0.15259889811790484,0.15534771628030702,0.16104773980866469,0.16695833453226808,0.1692224566873156,0.17204840366477303
2,3000,15520302.80860191,494849,889929,1003754,1032305,1121923,1171024,1295362,1311841,2450053,2394142,2407580,2323597,2208726,2359237,2139426,2346811,0.037860714771826745,0.0677981180465812,0.07654809871688435,0.07822444593158395,0.08428175084975778,0.08897638056293534,0.09680695955344834,0.09958187389188686
3,4000,21728423.45952852,343144,707248,774070,787601,829050,872498,952793,975700,1144958,1010287,942953,941163,846905,990498,987517,1124933,0.016670856551084374,0.03413666095797569,0.037240917953105517,0.03788863864641564,0.03970257247368394,0.04207257865318976,0.04593786688441864,0.0473560536704482
4,5000,27936543.637850344,250085,270404,281423,294489,322855,383015,407827,408419,863507,831163,840007,908948,788384,882504,903744,1144256,0.009237419626964213,0.009976026664698594,0.010385939862398821,0.010895863766275524,0.011892334666762127,0.014157405146406947,0.015086376752076225,0.015243901734729552
5,6000,34144663.208681,183888,183911,183911,184600,184599,184600,185290,185289,657887,674701,692776,640592,602664,793237,688995,850799,0.00549136169018054,0.005494807518853414,0.005497776518637603,0.005509778165471712,0.005503518107299458,0.005534995680393143,0.0055383739115371,0.005565259677838416
6,7000,40352782.036872804,144111,166168,183655,225961,306922,319342,345979,357710,813014,839126,858745,752158,729782,899611,785803,973465,0.0036447103044613036,0.00420533093280302,0.004650195669501557,0.00570599594060952,0.00774605657608917,0.008094203624381523,0.008744134842277932,0.009083702484353865
7,8000,46560899.98756391,284896,357471,385992,426553,557251,602108,708270,749114,975005,947325,998894,828389,848333,948616,961573,1099282,0.0062496524435402935,0.007836943280535694,0.008471795559338543,0.009327128355492945,0.012190323946401873,0.013200566763202725,0.015532466086465775,0.01647794410231772
8,9000,52769016.9255622,290504,325284,350777,372764,454605,506314,601875,622453,1059876,1109318,1098170,874749,866795,916521,833936,895589,0.005618039572890884,0.006296668520440085,0.00678868299769374,0.0071831440137993165,0.008758873572927017,0.00976450585381364,0.01158898742956921,0.011999457620059604
9,10000,58977132.716061145,301480,424401,453747,464968,515310,539080,579386,582837,650730,646718,630793,575701,574348,562570,541664,566230,0.005168842684635212,0.007275809748068569,0.007776786036761376,0.007961585638184412,0.00882338064024345,0.009228520679343875,0.009914971381768932,0.009978222778600172
10,11000,65185247.2238,252009,883945,1053677,1154337,1467750,1606835,1809252,1847947,809611,768106,798179,770979,667930,742034,715315,742093,0.0039146642236497385,0.013722201625324714,0.01636473020230667,0.017920517174694714,0.022749706019371756,0.02493412292183109,0.028063500884713023,0.028675613760034115
11,12000,71393360.31407636,227645,353157,462220,529095,789824,901067,1090500,1118072,3071675,3046185,3126668,3052207,3057767,3164780,3102262,3140358,0.0033319582055610993,0.005167104542025835,0.00677079823749849,0.0077419676774904715,0.011558017742963023,0.013206591663671172,0.015968406233338072,0.016381286714026513
12,13000,77601471.85150725,193292,207563,207564,210320,210320,210320,215518,215518,6499734,6531440,6611751,6471027,6609180,6598633,6588512,6429081,0.002718527083032507,0.002920541817593093,0.0029238599266247574,0.0029568210973383692,0.0029625751544959406,0.0029621350836387767,0.003034910816992592,0.0030281124101851904
13,14000,83809581.70152116,358663,382344,382343,387172,387172,387172,396474,396474,9669964,9812342,9619968,9594181,9520549,9444632,9370584,9420030,0.004837669941109518,0.005167003546919334,0.0051535920046468795,0.005216868686825864,0.005211697957565036,0.005206377487700772,0.005326159838821931,0.0053297000846409546
14,15000,90017689.7285757,250174,262588,262588,267420,267421,267421,274323,274323,11801863,11833393,11945231,11218524,11176101,11263391,11038793,11150698,0.0031985086709899898,0.0033585772461649102,0.003363388373778586,0.003393690752020524,0.003391877362094236,0.0033956368644924174,0.0034733708796003725,0.003478299273086197
15,16000,96225795.79825819,20731,21820,21820,27343,27342,27342,28033,28033,19607186,19684157,19645427,18572316,18433915,19211044,18489797,19111621,0.0002705739513492359,0.0002850735931786261,0.00028492941915025477,0.00035211557899319433,0.00035147626872407753,0.00035502289316757086,0.0003606179946661743,0.00036352590264161387
16,17000,102433899.77491379,70449,76958,76958,76957,76958,76958,77649,77649,24855650,25089763,24921403,24412268,24291894,24636704,24025479,24618525,0.000908102466920836,0.0009950075494922451,0.000992846356420127,0.000986354658949134,0.0009848480242710394,0.0009892130331105792,0.0009903145508172667,0.0009978619292730384
17,18000,108642001.52413666,73673,75052,75053,76433,76433,76433,87487,87487,24425831,24556138,24514498,24407054,24478160,24447996,24428975,24628185,0.0008748082410002845,0.0008925638252909955,0.0008921339259576015,0.0009073787334894333,0.0009081453343367223,0.0009078199751179229,0.0010388772807604174,0.0010413406225256475
18,19000,114850100.91040349,65166,74145,74144,81051,81050,81050,83123,83123,25771658,25832608,25927006,25927551,25924550,25922017,25848408,26043955,0.0007315574663282451,0.0008329261763710564,0.0008337991392979011,0.0009114785853719365,0.0009114365800405503,0.0009114106189632874,0.0009339485270654181,0.0009360050382533523
19,20000,121058197.79921603,210632,216844,216845,218225,218225,218225,218225,218225,28512187,28569530,28523614,28414015,28431283,28432245,28355111,28508922,0.0022759706029574674,0.0023445466905280482,0.0023433941246282144,0.0023555175663101282,0.002355956694369432,0.0023559811630012944,0.0023540208587945906,0.002357933091485612
20,21000,127266292.0549283,22547,29450,29449,34280,34281,34281,40493,40493,32474195,32548578,32442087,32272566,32224150,32201483,32130036,32554838,0.00023785738158039587,0.00031092388888230007,0.0003105641643179739,0.00036086593740073156,0.00036069262812056323,0.00036060662553051033,0.00042563163276701553,0.0004275406855913744
21,22000,133474383.54328871,31716,55166,55856,57925,61373,64132,76545,77235,34482368,34507067,34493051,34397703,34393211,34425787,34332733,34475705,0.00032038947612023067,0.0005574163463942176,0.000564308426294138,0.0005846481703097767,0.0006194214140248093,0.0006474801485144863,0.0007720771197628768,0.0007801619287900677
22,23000,139682472.12840962,2762,3452,3453,3452,3452,3452,3453,3452,36242476,36243007,36259089,36165056,36138179,36177726,36109246,36235533,2.6701470450281864e-05,3.337217565572958e-05,3.338703391391465e-05,3.3347045638367927e-05,3.3338389743209025e-05,3.335112764507817e-05,3.333873172704871e-05,3.336976452937869e-05
23,24000,145890557.67617416,37337,37338,37337,38029,38029,38029,38720,38721,38569073,38579544,38510407,38491245,38479631,38527793,38451493,38530740,0.00034789865340251837,0.0003479419187360636,0.0003477085826839359,0.0003540897893328556,0.00035405150273631864,0.00035421032715301674,0.00036039033024630007,0.0003606656646604306
24,25000,152098640.0507288,6191,6191,6191,14455,14455,14454,16528,16528,40495840,40501119,40466493,40601173,40830654,40831865,40759527,40849106,5.547351856033984e-05,5.5476142675120554e-05,5.5458935114690884e-05,0.0001296442007370742,0.0001299115811569533,0.0001299040076735407,0.00014844738337792797,0.00014856691437883576
25,26000,158306719.11794496,22523,22523,22523,24187,24186,24187,25570,25569,41868112,42042017,42160620,42227641,42858587,42905995,42876149,42965812,0.00019343240663455914,0.0001937217366036985,0.0001939195562403535,0.0002083665755462342,0.00020949667661397003,0.00020959140581544144,0.00022151844155212104,0.00022168197423533118
26,27000,164514794.74180484,61815,64580,64580,66355,66356,66355,77420,77421,44116139,44221624,44385579,44342311,45044692,46252084,46191318,46323811,0.0005134193535562589,0.0005368550816456022,0.0005375877932875427,0.0005521646714281636,0.0005554192930042638,0.0005610813381816394,0.0006543080218048288,0.0006550499670019731
27,28000,170722866.7881198,2066,2758,2758,4138,4137,4138,4138,4138,46933720,46793323,46683344,46576045,46898936,47604853,47448780,47590411,1.66896699234563e-05,2.225458043092053e-05,2.223484852252394e-05,3.333150168807612e-05,3.3410343006143054e-05,3.3610028887578546e-05,3.356747640817882e-05,3.36060868234486e-05
28,29000,176930935.1218109,9368,11441,11441,14883,14884,14884,14884,14883,49325617,49236405,49207918,49322477,50606968,50616020,50416141,50681071,7.341386815130534e-05,8.959663338035038e-05,8.957664998696818e-05,0.00011663020005925601,0.0001178240387720546,0.00011783248229749208,0.00011764632036368327,0.00011788527539039795
