,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292268895,318125,324438,324438,2307119,2871982,2909888,2921813,2962188,0,0,0,0,0,0,0,0,0.1024867223934455,0.10452050998784966,0.10452050998784966,0.7432583559344396,0.9252338607559054,0.9374456067646942,0.9412873487357492,0.9542945044658406
1,2000,9312181.82018808,1493736,1873275,1873275,5353151,7041394,7337312,7577203,7720298,0,0,0,0,0,0,0,0,0.16040666181599864,0.20116392013941206,0.20116392013941206,0.5748546477469746,0.7561486809390694,0.7879261962103534,0.8136871837675267,0.8290536148320256
2,3000,15520302.808600327,2235420,3324769,3324769,4964018,6206201,6553469,7528821,7695255,884,884,884,0,884,0,884,884,0.14404018781690506,0.21423282927048323,0.21423282927048323,0.31984028025853134,0.399899060431357,0.4222513620268092,0.4851226126991165,0.49584685450563104
3,4000,21728423.459529117,1539594,3055915,3055915,4008693,4788355,5384015,7224458,7377315,0,0,0,0,0,0,0,0,0.070856222167596,0.1406413588032229,0.1406413588032229,0.18449074353997671,0.2203728682349497,0.2477867301338336,0.3324888256829179,0.33952371251144037
4,5000,27936543.637847953,923381,3483677,3483677,4619974,5031972,5608482,7905313,8123754,66356,106251,106251,103597,44786,102921,109789,110674,0.0331314956324887,0.12517572291936144,0.12517572291936144,0.1659893959526959,0.18041071722105542,0.20150025287666393,0.28409036924657255,0.29194968946991334
5,6000,34144663.208691284,532609,2430172,2430172,4253967,4754571,5327577,8516113,8810185,270017,334972,334972,285760,278582,300268,309723,326279,0.015722939118500593,0.07187797087526455,0.07187797087526455,0.12563806257339263,0.1403933029836296,0.15741386327482287,0.25169581939478175,0.26051466402513085
6,7000,40352782.036862716,397404,1034622,1034622,2314708,2566273,2904467,5760282,5947785,992230,1140645,1140645,1085608,1110917,1113708,1098668,1113955,0.010096504734685006,0.026385249011737565,0.026385249011737565,0.05894765938152385,0.06539630564422243,0.07401976400542558,0.14674339598113562,0.15157907229011672
7,8000,46560899.98757577,143608,509567,509567,1115112,1145380,1262725,3452164,3530088,637180,682006,682006,645970,663301,656006,659367,674045,0.0031270985895491873,0.011106784748080311,0.011106784748080311,0.024286479371780394,0.024955118029377707,0.027507415665566255,0.07520803283268125,0.0769302668695817
8,9000,52769016.92555237,90860,493413,493413,855194,870229,901434,1996424,2063733,489276,663300,663300,623964,632481,629478,635080,650478,0.0017379581151595006,0.009469459957819578,0.009469459957819578,0.016400290190921138,0.016691346760027002,0.01728887555540366,0.038294134641143784,0.039596908174035654
9,10000,58977132.71606326,39044,191244,191244,237252,239906,260670,516400,550995,1032803,1423970,1423970,1201747,1180628,1291091,1262404,1313864,0.0006738191673166644,0.003322910348880327,0.003322910348880327,0.004106454626992424,0.0041508738491814615,0.004518770784846793,0.008947456073830157,0.009555389631363532
