,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227243,178894,1715470,1911882,2130115,2204897,2220241,2266043,2309503,202193,187442,210734,198312,229367,226261,197535,209957,0.061647884348066846,0.5881708300184976,0.6607902407861329,0.7330692609038534,0.7670024303051406,0.7715064584243438,0.7796397792654153,0.7980028692395726
1,2000,9312181.82018685,133833,983231,1681492,2793672,3594447,4125635,4511488,4744654,2085931,1987943,2064325,2051988,2095139,2063851,1973228,2026417,0.018520392293349633,0.1342434380061513,0.23199851234873747,0.38479303296727985,0.49804983697005967,0.5691841476812792,0.6147317602122665,0.6512225026607872
2,3000,15520302.808603864,138878,741831,1125526,2011259,3558198,4877801,6432044,7131557,2794819,2672042,2817914,2827956,3113196,3130622,2645021,2904624,0.010913376818420278,0.05773785347688703,0.08860742785936719,0.15846234193952308,0.28678708540918846,0.393698681616775,0.4995652985010245,0.5652931648145872
3,4000,21728423.459527045,144180,764265,1075189,1948045,3121072,4806125,7555266,8568824,2560890,2367872,2610197,2656975,3046082,3024934,2453297,2662209,0.007522094603587957,0.03947537349840912,0.05623895094433349,0.10214457512936644,0.16706000191471782,0.25696408204469523,0.39196972408270175,0.44942450522569843
4,5000,27936543.63785231,370229,1380969,1752885,2732178,5611373,8057632,11660854,12981614,2683221,2616296,2854017,2807255,3224903,3171289,2510784,2936091,0.014660605469993173,0.05454010639041029,0.06988470600703768,0.10872484451806222,0.227074077445296,0.3253603533591114,0.45862362289620784,0.5192551586184081
5,6000,34144663.20868778,373740,1421562,1715830,2721801,4544172,6734776,10862121,12753679,2685267,2661845,2696570,2686600,3174199,2953836,2445381,2991984,0.011880075431860593,0.04515358156874646,0.05456070066359345,0.08652156942860739,0.14672598929677252,0.21592168604377762,0.34266141827725777,0.409392685443353
6,7000,40352782.03686601,409899,1460233,1729503,2525041,3597734,5357936,9855738,11738756,2256729,2174991,2219335,2304251,2519339,2440594,2209390,2364086,0.01075961857789666,0.038248231768829695,0.045353964416801354,0.06636369213711393,0.09509401500926741,0.14132489517064842,0.2583865113641262,0.3090065525968083
7,8000,46560899.98757252,547106,1411121,1721937,2541476,3864730,5399704,9145297,11118630,1914690,1894941,1942784,2013589,2212516,2152147,1909999,2154760,0.01225425405991437,0.03159276173590314,0.03859277698949931,0.05705116523664026,0.08714477625798021,0.12159098458610332,0.2048177483035643,0.2503849693558515
8,9000,52769016.92554572,470004,1412616,1646034,2239869,3331795,5061067,7825376,9522536,1794342,1737125,1788136,1896245,2009982,2011751,1673297,1900630,0.009220343252536558,0.027681043102634174,0.03228728044938898,0.04402883733715425,0.06563944733951577,0.099711182383699,0.1531513013497563,0.18719948823888996
9,10000,58977132.716077834,409096,1177737,1447143,2056992,2651037,3673276,6878122,8008909,1842829,1705956,1911339,1783498,1854230,1877664,1576251,1779584,0.007160251782063438,0.02056421864419929,0.025359202172847005,0.035965400873914984,0.0464093537609012,0.06433117649947055,0.11982606877053348,0.1400218921925364
10,11000,65185247.223807216,377347,1035270,1299099,1987190,2919188,4753349,8330780,9639179,2049510,2007614,2079496,2190356,2209385,2172699,1949002,2243442,0.005976757643018541,0.01638665374393733,0.020586063469757145,0.0315452564707183,0.04635407752934963,0.07543495913095137,0.1317405859648293,0.15314430473872173
11,12000,71393360.31407231,702697,1552202,1800520,2329219,3029679,4335461,7594083,9168715,1998573,1891739,2004250,2028097,2050946,2059841,1927603,2036864,0.0101260775801456,0.022333320729105332,0.025948163794728023,0.03357904070015208,0.04369157073588017,0.0625305197672268,0.10932124392836062,0.1321969171925959
12,13000,77601471.8515029,714824,1570042,1751160,2231380,2595842,3441203,6568770,7940248,2437632,2408867,2498029,2462416,2832202,2851244,2392837,2713113,0.009510211311878675,0.020880271445585106,0.0233166408025056,0.029696673383943897,0.03471803329302971,0.04603602020901148,0.0873406359917293,0.10602780087282752
13,14000,83809581.70150614,638759,1453706,1725549,2271105,2776819,3736275,6438349,7722270,2331304,2367294,2341566,2575042,2984763,2924843,2407499,2588442,0.00783962324707058,0.017849523153474926,0.02118069263307341,0.027957381285658868,0.0343560189136342,0.04619258292702413,0.07909317288120044,0.09507709481029113
14,15000,90017689.72858846,1003242,1972805,2184554,2600362,3019343,4217345,7776865,9140123,2973501,2893802,2932306,3180025,3444483,3374609,2761439,3036212,0.011525663167798576,0.022643675017645616,0.025085196923612486,0.02994509361954221,0.034876182991185695,0.04867491973434018,0.08912673802808724,0.10508125682251876
15,16000,96225795.79826581,772327,1444568,1619672,2084411,2558609,4136036,8195316,9361393,3395748,3212821,3345629,3499971,3653298,3573734,3447457,3746711,0.008319795349867612,0.015530822480767847,0.017438297710187158,0.02247929316924214,0.02763897551490645,0.04464051764984484,0.0883322131669077,0.10122713714588519
16,17000,102433899.77488267,1110519,2033937,2374754,3038554,3779078,5379189,8763131,9995393,3761319,3598090,3626986,3978444,4252123,4218522,3844177,4118552,0.011254585532059835,0.020578948102238225,0.02403428980091955,0.030862220646742225,0.03849062549219196,0.054769315374721884,0.08888483255003685,0.1016666596438933
17,18000,108642001.52417338,958378,2167883,2597290,3702006,4731530,6654873,10816180,12512699,3825829,3787253,3892280,4121013,4530592,4567964,3575141,3870855,0.009143417250605794,0.020675105615271326,0.02479519718246331,0.035418780976643825,0.045446796096842754,0.06394364202939917,0.10294568569041286,0.11942886391066648
18,19000,114850100.91038859,807700,1914801,2259843,2857021,4018549,6508266,11261266,13065489,3005485,2968241,2956504,3292282,3801607,3788238,2785999,3261729,0.007221626123220273,0.017114490244742566,0.020196356738892075,0.025610226409096153,0.036187334546318096,0.058600367664022185,0.1004895038466913,0.1170864739427535
19,20000,121058197.79921222,1287926,3269237,3747498,4616172,6117435,8491994,13976255,15791397,5236109,5051034,5184543,5379732,6496001,6109035,4760141,5799177,0.011119865073688432,0.028181337194472474,0.032341242765611615,0.03990519729067358,0.05339837372987654,0.07387608394185015,0.12017616961674525,0.13700790524248435
20,21000,127266292.05495143,1142328,2864280,3359121,4345595,5715328,8021104,12943730,14913813,9315209,9153398,9345747,9587235,10315453,10317284,9357520,9828947,0.009684760583909251,0.02425035829422153,0.028486308288641616,0.03692751377138228,0.04886949119975575,0.06858633633071161,0.10977749809800046,0.12699378543530176
21,22000,133474383.54325461,1633034,3617122,4308687,5595276,7545646,10533924,16206234,18463642,8140527,7795251,8073483,8826314,9311822,9135812,7532611,8653013,0.0130294722035974,0.028780609213348175,0.03435929870785738,0.04488858929386276,0.060772312573233414,0.08471968005789324,0.12868037087880418,0.1479205196965992
22,23000,139682472.12842488,1715260,4295090,5374456,7728240,11319016,15153531,21195872,23643970,6507144,6645376,7181429,7981918,8687102,9031200,7599304,8747741,0.012879712962643683,0.03228490492496781,0.04056161274738705,0.058680390915166365,0.08640775615888634,0.11598456527162396,0.16047367957884828,0.18057829115492094
23,24000,145890557.67618656,2494727,5362618,6468028,9245163,13385243,17832142,24862672,27853722,3798359,3786426,3880725,4362950,4947927,5208451,4765586,5541518,0.0175571004125654,0.03773724195591882,0.0455463391379984,0.0653240957845682,0.09496944207570797,0.1267548689830536,0.1761748590961477,0.19846036755409324
24,25000,152098640.05076408,3112258,6717011,7914099,10643281,14235856,18467844,27694547,32340209,4920023,4793115,4804481,5366755,5639253,5366408,3531921,5216863,0.02114612884918287,0.04559917896959533,0.05372989024821039,0.072535570549767,0.0972000244345262,0.12586085375986641,0.1864115138097449,0.22017849762821728
25,26000,158306719.11792612,2494673,5252427,6062916,7910409,10932867,16113468,26077855,30477343,7843039,7755640,8112093,8899663,9502003,8872211,6859119,9505743,0.016579901528693146,0.03488800632166703,0.04036706343434464,0.052945350812322815,0.07347123992586244,0.1078296318764878,0.1721906123285825,0.20481950989250522
26,27000,164514794.74181104,2781590,5127156,5918496,7762337,10410007,14643257,24983680,29021797,9487362,9333796,9674291,10503196,11205473,10655728,8599209,10594336,0.017942566362642232,0.03303984406319309,0.038223177120818484,0.050400989687880454,0.06790198326969017,0.09517318225108348,0.16023850265599368,0.1885506139809633
27,28000,170722866.7880888,2495995,4891175,5778066,7703675,9790475,14996304,25416450,29972626,8744450,8569530,8583347,8962901,9011055,8925018,6899349,8554419,0.015409429536932879,0.030163887446806387,0.03563638283591655,0.04762411368269009,0.06054273272770998,0.09268543501861438,0.15514530723773756,0.1848240296359393
28,29000,176930935.12181473,4146828,7168807,8087931,10723398,14195351,18949933,29169425,33521323,8723365,7569970,8546944,8814635,9593595,9675943,7727671,8881541,0.024653040270404575,0.04232856724005887,0.04803266002971099,0.06378559361721603,0.08483074363239171,0.113299655571407,0.17239280312583105,0.19947303693163718
