,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227645,742224,878424,924137,1058403,1147353,1178227,1713759,1876315,0,0,0,0,0,0,0,0,0.23911388618226853,0.2829918951095263,0.2977187337445611,0.34097368783139803,0.3696297002695741,0.3795760266103975,0.5521022958969777,0.6044711183579125
1,2000,9312181.820186485,2006512,2597492,2783255,3151375,3312512,3375892,4076730,4284845,59522,50699,83464,60479,59019,54901,50195,76994,0.2168578591447188,0.28046178462248644,0.30158631504714906,0.3406264837132413,0.3579870001610153,0.3646742564661654,0.44015718000319043,0.4639694485296864
2,3000,15520302.808599982,3061584,3864355,4070139,4413011,4599960,4665076,5683782,5943602,105271,76320,143652,107820,115750,113985,115750,137183,0.1986102940307885,0.2502175149954281,0.2646960674767758,0.2863270671444053,0.29861042103292706,0.30280278895687207,0.36896767277962683,0.3863716901351318
3,4000,21728423.459529236,1657684,2273902,2522374,2864759,2991905,3060900,4547502,4939782,82634,59470,112076,81476,81145,79380,79969,105850,0.0765822841943161,0.10493824744452615,0.11668826126719434,0.13234009115400241,0.13821160039094657,0.14138730913086542,0.21006127751527667,0.2284548603451732
4,5000,27936543.6378507,2385464,3157321,3504783,3951978,4182420,4332431,6074959,6552650,154120,143281,181156,78070,66640,66051,67814,102740,0.08586234344040633,0.11360022898859494,0.12627397050727698,0.14185910008474167,0.1500694101546791,0.15544866954078015,0.21798478362462287,0.2354205729571637
5,6000,34144663.20868848,2872081,3925325,4344247,5016202,5305531,5507254,8508686,9084337,103302,109185,129776,57411,50940,56233,51529,82480,0.08437033355960366,0.11533039071559023,0.12771604895665628,0.1471577107268688,0.15561606362334557,0.16155786483228282,0.24957183308279118,0.2666986124859664
6,7000,40352782.03687197,3934191,5412453,5984484,6752803,7154774,7418616,10460380,11194848,47447,40385,58182,17207,11912,16032,10146,26622,0.09760968359153792,0.13426274292370827,0.14851826285715305,0.16741556290760845,0.17735794972841346,0.18391704818109084,0.25928846073517664,0.27760758747582365
7,8000,46560899.98757219,2292141,3945895,4453636,5317353,5751090,5928417,9684443,10490051,30796,16678,65349,47113,39261,41226,42992,74174,0.04926146308661188,0.08477733285677429,0.09578628288952665,0.11431778284190705,0.12362182685645165,0.1274389197478853,0.20818741467452304,0.22565691123966056
8,9000,52769016.92554101,3409663,5206409,5542503,6059974,6378504,6580261,10223365,10935878,52377,45899,62375,40094,30732,38103,35751,54727,0.06467906537320925,0.09875002095575657,0.10515758161618277,0.11492694452639103,0.12094636769105298,0.12478943583818204,0.19386936918406147,0.20745566364351942
9,10000,58977132.71607244,3469743,5265255,5849172,6590044,6995055,7313846,12052868,12957294,137801,125456,187796,75350,66079,72628,70274,116371,0.05896978940452873,0.08946652489447347,0.0994937573160422,0.11188191080338532,0.1187392612889484,0.12416445966660296,0.20460890739555657,0.2201346639464555
10,11000,65185247.2237947,3483132,5550742,6262617,7217719,7737660,8070167,12995736,14015699,82551,66419,98431,68279,61219,57691,59320,93950,0.05350211591892462,0.08524020089740704,0.09621943987038173,0.11084236869250524,0.11881421053086595,0.12391324760089066,0.19954780767024258,0.2153237006755557
11,12000,71393360.31408072,3268143,5335787,5894814,6635427,7098371,7381346,12397559,13362095,181748,160610,194104,127331,124970,129683,122769,178826,0.045893399879583796,0.07490637349355952,0.08279319623784065,0.09310785326283044,0.09960055178343986,0.10357795553361865,0.17395055620298538,0.18763157168266442
12,13000,77601471.85151196,2199302,3762362,4298450,4926539,5314763,5561815,9688381,10437716,119694,105223,283026,216352,213453,226967,225191,273006,0.028384764275992715,0.048548956314117084,0.05559410762413746,0.06366261381326457,0.0686768194725037,0.07188175240246876,0.125211251993261,0.13497896130569514
13,14000,83809581.70151633,2320458,4156856,4630648,5407932,5865943,6173139,11187465,11917203,62424,51124,73419,47116,50634,47692,45937,68724,0.02770790154180941,0.04962908957580705,0.05530045622589947,0.06456271260293263,0.07003362817909191,0.07369865964101152,0.1335599118193275,0.14231049606008764
14,15000,90017689.72858536,2059493,3821189,4388374,5143143,5609164,5883269,11378718,12364439,189322,164928,222264,122348,127752,123656,125870,160719,0.022926977881004333,0.042527229285867836,0.04887079675154333,0.057212564089564585,0.06240035471975039,0.06544671271247206,0.12658235236928458,0.13760133353868578
15,16000,96225795.79821241,2445045,4250815,4786143,5543736,6042743,6365947,11116919,12380087,267463,260146,333165,262453,282436,275737,282652,318163,0.025480278040486633,0.04429517237613892,0.04991147870446392,0.05776930897100083,0.06298239933132492,0.06634646273003222,0.1158698637536946,0.12908343829158453
16,17000,102433899.77492535,3533903,5928689,6704096,7758575,8315493,8635864,14495855,15961673,258081,268790,467615,308401,307159,334399,344738,379080,0.03458649064300177,0.058030466693190924,0.06574816386414632,0.07597098758948677,0.08142326815585267,0.08458282297616175,0.14199210521444797,0.1564029316322574
17,18000,108642001.52417827,3910375,6686245,7620623,8769262,9870507,10394297,16366856,18131926,100964,116533,186888,127318,90399,125290,129348,151746,0.03602669634633755,0.061609916003360805,0.07026522542250724,0.0808117548262131,0.09092916889735912,0.09578521919809632,0.15082900904596547,0.16712953538909397
18,19000,114850100.9104147,4202141,7243424,8194358,9480403,10495635,11063069,16813610,18473469,167573,157790,227556,122048,130217,155705,156385,192300,0.036641510058816815,0.06315527119911102,0.07148993251200667,0.08263369559145892,0.09148924007102457,0.09645692722982842,0.14659573862907035,0.16111829158867116
19,20000,121058197.7991836,3400501,6118406,6852380,7958231,8640481,9118264,14884149,16371523,376535,379355,469594,330829,352917,349713,373110,425810,0.028177445695776442,0.05069990611512055,0.056824440984583245,0.06591902962150713,0.07158328900601373,0.07553954483953286,0.12333047331221883,0.1357141585164809
20,21000,127266292.0549581,3382632,6024695,6750631,7806594,8348194,8791139,14989954,16070195,138578,219808,271106,208519,230336,210276,233283,252850,0.026608139894167115,0.047421186385558076,0.05315658970788558,0.06144129408456815,0.06571520583029593,0.06919104874339355,0.11800046390710085,0.12652357687500906
21,22000,133474383.5432682,3401801,5655832,6230179,7170120,7723224,8131862,13130929,14166830,534984,586365,641762,548310,532478,555813,563047,627334,0.025589110614967124,0.04256088744493144,0.046902477174785066,0.05394065896083273,0.05809472918594766,0.06117927665610038,0.09879465018941656,0.10664015534184575
22,23000,139682472.12840867,3326872,5359840,6012510,7133202,7748322,8150425,13144273,14246242,763054,836632,938883,757354,759878,751382,750578,862655,0.02394821433044617,0.03860281298339989,0.04333540769538085,0.05134566085743236,0.05577438319959736,0.05866523463154918,0.09460947093869838,0.1026239790160665
23,24000,145890557.67618132,2144435,3876757,4605136,5740008,6413394,6701369,11358485,12488025,762109,762453,829929,645116,564564,672758,678049,794018,0.014776117429497113,0.0267126550618852,0.03174628458477207,0.03951936758743252,0.04413108651636314,0.04614702202445752,0.07821974224912685,0.08606700771686289
24,25000,152098640.05075598,1702509,3300633,3714676,4516804,4917721,5196458,10150487,11071591,414915,405820,450786,315715,323893,344459,338617,428433,0.011224071662469465,0.021758663322994573,0.024495407622165965,0.02975831437224963,0.03240144421624655,0.03424260184476883,0.0668851176742717,0.07299779709732265
25,26000,158306719.11791325,1873143,3603325,3963643,4752504,5141885,5474728,10989283,11936193,387257,396142,432563,370057,384695,390014,392271,424679,0.011861381585769245,0.0228187691145563,0.02510634480946729,0.03009120198103116,0.03255964472796262,0.03466845382768169,0.06959010483825016,0.07560196834982323
26,27000,164514794.74183464,1568551,3179161,3527908,4238630,4597064,4818895,8673253,9595856,547175,515915,580773,501533,468417,512159,515046,569742,0.009566224126871315,0.01938526046644101,0.021520291898626108,0.02584321508508149,0.028022953406716216,0.0293830338652952,0.05288577004866803,0.05853092752430083
27,28000,170722866.78810644,2251632,4169569,4795266,5768161,6246035,6559111,11044845,12099198,176506,164517,204983,151936,122391,160818,161973,196720,0.013202462893931326,0.024446583853444136,0.028121777572367855,0.033816787968200514,0.03661206084652343,0.038455864282848466,0.06475602205580246,0.07095215735469766
28,29000,176930935.12177467,2975071,5359272,6000950,7039645,7577388,8018831,13747150,14997390,185241,181508,206671,145205,159790,158342,166570,207262,0.016832494928845216,0.03032129771095458,0.03395657087509472,0.03982021057441065,0.04286552533661568,0.04536241087144095,0.07777104842669763,0.08486350320291144
29,30000,183138999.60710335,1468235,3035233,3395241,4003803,4358031,4611883,8978440,9989110,75331,67175,168107,67667,93028,147708,154192,172242,0.008020351668747388,0.01657946549947823,0.01855618099481354,0.021870180016620736,0.023808396118950047,0.025202745767279867,0.049066587097646365,0.05459521789991097
