,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629225955,547349,547349,2706976,2706976,2706976,2706976,2754829,2754829,19186,9976,23790,12279,6906,11511,14581,23023,0.1774299009802349,0.17690175466756058,0.8788110935175327,0.8755391953983849,0.8740202941293025,0.8753217650633269,0.8916805839856601,0.8941237763110644
1,2000,9312181.820186887,1651584,1651584,7647426,7647426,7668802,7668802,8032790,8032790,670482,682222,751042,663132,661049,644390,706049,704992,0.19111795530572856,0.19137794780187448,0.8932719428279422,0.8841926175694934,0.8864506139710769,0.8847469066042535,0.9333797383602969,0.9332651153063085
2,3000,15520302.808605049,2760718,2760718,10479239,10479239,10702810,10702810,11695479,11695479,2390206,2406090,2450455,2374942,2336093,2346115,2411803,2389755,0.21025876962237727,0.2105134360934361,0.801787377592919,0.797181542034222,0.811790024231449,0.8124075772632597,0.8922057573912864,0.8907076209216053
3,4000,21728423.459529348,1928892,1950216,9350679,9355679,10066249,10098332,11922353,11925757,6744497,6772418,6834218,6531367,6449085,6436908,6604447,6585653,0.12873074392148262,0.1303968499662056,0.6278065000115474,0.6156244154856384,0.6588144523836978,0.66038791424737,0.7883080902633869,0.7875544988199381
4,5000,27936543.63784629,2370648,2525448,9601445,9782486,10530805,10851207,12204247,12396586,10288680,10376930,10758592,9196191,9309353,8851628,9769204,9662161,0.13433059369951642,0.1438213876504033,0.5589400414218301,0.5220011698309344,0.5653458540658169,0.5685750571766501,0.6717685276591655,0.6783586754020702
5,6000,34144663.20869176,2464567,3318578,8933104,9522361,9970106,10820529,12476702,12905878,13141793,13151009,13778143,12412465,12365700,12142676,12658611,12296616,0.11734429511353507,0.1580752910861058,0.43861709847653035,0.43816833016880663,0.4577860711028261,0.4917978043240299,0.5806884335388888,0.5907108253988798
6,7000,40352782.03686176,2176468,3919559,8117009,8687601,9295004,10147236,11749419,12088159,15668980,15878489,16072563,15336624,15422998,15441985,15291055,14819611,0.08817393676832092,0.16015003963941216,0.33430542729770735,0.3472795857460871,0.37284735344101616,0.40734288770385885,0.46881920718067427,0.4734296019303106
7,8000,46560899.98757154,1617434,2762827,6562383,7030760,7480951,8104614,9452100,9756792,19154950,19048958,20339273,18522065,18658146,18783388,19595513,18690406,0.059017622112479164,0.10042282733978217,0.25026604958992144,0.2507507891507064,0.26810797971168615,0.2917688957753394,0.3505271407510863,0.3500760339716586
8,9000,52769016.92554405,1917958,3779936,5993629,6474576,6951743,7779078,9306472,9688710,21411395,20895631,22607774,21191562,21238350,21314701,22073288,21936973,0.06116401315616422,0.11859223268057861,0.198719562545743,0.2050379302342856,0.22047560923515255,0.24731353301130324,0.3031845903569808,0.31424157358484417
9,10000,58977132.71608913,1434165,2719070,4375549,4640811,5137307,5525022,6707042,7023939,24883648,25276380,25920555,25222071,25094050,24923174,25497958,25404962,0.042065661868914216,0.0806827676196646,0.1323654565085349,0.13748489157073554,0.15161864234863695,0.16224316374089126,0.2003347471040494,0.20921908980505236
