,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292269067,1826096,2296464,2413526,2490793,2506799,2522590,2613268,2644377,294119,292603,295977,288458,285600,285028,287887,298748,0.6498697271880377,0.8168232649593515,0.8594922084512375,0.8846393926986454,0.8894213295034055,0.8948424270959208,0.9279498866401188,0.942631838052482
1,2000,9312181.820185535,5481091,6690445,7322455,7549307,7617991,7640526,7862657,8018285,302305,302740,306164,281160,280017,280589,278301,298882,0.6083425011671948,0.7426037188019958,0.8130624595909526,0.8359305458797912,0.8434291392662512,0.8459776865630487,0.8703520841709,0.8896059334499035
2,3000,15520302.808601694,6525066,8193419,9028099,9405582,9553567,9635515,10238555,10533339,406498,401290,407070,382855,379379,377712,380569,389140,0.43172887850757474,0.5419281737322492,0.5973638542021041,0.6213452967055237,0.6309764926346524,0.6363187859851949,0.676270476709632,0.696135461182934
3,4000,21728423.459531903,7696086,9725165,10596301,11178104,11342052,11458931,12247167,12828053,485866,477862,492729,454040,448292,456327,454609,484869,0.3622956423519821,0.4576427318647524,0.4989853767294019,0.5254255203805539,0.5329878728225437,0.5386836704976166,0.5756921037032247,0.603856243757932
4,5000,27936543.63784843,7900345,10140971,11267716,12082493,12356937,12477414,13775692,14427301,596154,597297,605300,577822,561306,570387,572671,577284,0.2889624143857565,0.370930886806546,0.41226503079415006,0.4416322209764697,0.45139104045312683,0.45594323547586746,0.5034262577638995,0.5273279025446094
5,6000,34144663.20868926,7917869,10765878,12377176,13484326,14025184,14333616,15993040,16810327,495062,483361,505926,468130,454817,457825,461303,497187,0.23530350184225624,0.3198295161980073,0.3679441330753295,0.4004071890784993,0.4163029986281931,0.42549603234365746,0.4748053608937238,0.4996014231717871
6,7000,40352782.03685993,7462682,10229753,11965136,13333286,14105452,14530017,16607955,17569005,387674,360540,394533,355687,350722,335894,355315,385532,0.1867299343496619,0.2557934359011798,0.29944094870029536,0.3333563596984358,0.3526181398408612,0.36309712505920666,0.41522516875118193,0.43958503484220024
7,8000,46560899.98757407,5890891,8556647,10186295,11581204,12497310,13069783,15307308,16205049,375556,371558,380128,337031,335839,325937,338491,381039,0.12754892551162797,0.1852515457419143,0.2205743767718054,0.25054596799573975,0.27035789100114865,0.2826818095109665,0.3311663830440999,0.35091160201544136
8,9000,52769016.92555243,2994351,4642047,5500009,6435526,6804453,7133511,8745091,9583068,433886,437310,448162,407178,408134,410988,416127,444674,0.05721493281940028,0.08870429177102553,0.10512077847019104,0.12290488898126689,0.1299529843619078,0.13624483477296476,0.16704122756997394,0.18314741216406444
9,10000,58977132.7160753,2585765,4295772,4984326,6100519,6439508,6674229,8482597,9360694,485929,482352,504921,423533,425151,430011,423670,470589,0.0442077583588752,0.07343855207956106,0.08524264524493262,0.10418691642497198,0.10997933479392465,0.11399755964719706,0.14486926317461296,0.15999396657964002
10,11000,65185247.22379106,1715657,3000141,3546180,4309779,4577805,4892280,6544060,7303879,448069,431106,499741,458330,461461,461175,460077,498560,0.026501881099437418,0.0463312607240281,0.054821863613950195,0.06658403002724646,0.07072832519673113,0.07558671498734457,0.10110533471559101,0.1129116254590591
11,12000,71393360.31409031,1457787,2432337,2913296,3475105,3635276,3787471,5125129,5722390,414161,408418,446277,414275,400677,413705,417131,443170,0.020538228299098463,0.034265534643073,0.04106294246237759,0.04895956301243212,0.05120634733464831,0.05335995199244285,0.07220909098058484,0.0806536243901176
12,13000,77601471.85151327,1081802,1995242,2402960,3006859,3198738,3390852,5087380,5713449,430440,499188,538055,390164,380933,395300,403286,416422,0.01401823940985424,0.025877858609772424,0.031181591709462515,0.03894324657448564,0.04142340946559343,0.043919442172595406,0.06590025327519113,0.074022741592982
13,14000,83809581.70148897,1308492,2430409,2870008,3428543,3607716,3774701,5062339,5581979,397453,431826,483236,427724,415904,431092,444231,460413,0.015687071177415503,0.029149369391776484,0.034442984098710036,0.04111857296672793,0.04326126511549191,0.04527188023570774,0.060724737044854565,0.06697102187055505
14,15000,90017689.72858346,1512111,2613090,3023135,3637816,3846444,4055754,5818214,6401566,478381,476549,538756,488803,483980,494475,481922,504554,0.016887677841958722,0.029183121621387222,0.03378599715068218,0.04063287429261166,0.042960846944243514,0.04530393610524642,0.06498200828117309,0.07151538093146974
15,16000,96225795.79823959,1108617,2359541,2995479,3870047,4227751,4512673,6301334,6983237,537141,514573,572103,526013,513542,522100,490917,538633,0.011585668147781251,0.02465270979740736,0.03131587409090733,0.04043945437325684,0.04417147055080381,0.04715254685162334,0.06582067141151351,0.072979873117614
16,17000,102433899.77492535,1047253,2039250,2549214,3310500,3642612,3860686,5568875,6111399,368996,365559,383364,342740,337013,334735,337995,367902,0.010260657300078526,0.019979260802297404,0.024979917847980204,0.032426901675899004,0.035677992885622574,0.03781310070959709,0.05454552768082927,0.05987693387837916
17,18000,108642001.52416563,1120176,2289180,2884061,3875157,4168677,4446333,6548586,7323449,371207,403457,461083,394875,386326,381162,388581,399722,0.010346058740244867,0.021149397472625026,0.026659609100617442,0.035799167372215564,0.03850769929443041,0.04107055717970397,0.060493109301226616,0.06765793396253267
18,19000,114850100.91039371,1963664,3628234,4475214,5825955,6240176,6620241,9515185,10604054,370903,380778,413848,380323,368593,369541,387224,410180,0.017153020250342935,0.03169612528275521,0.03910661076524585,0.05089513674570526,0.054508156940807184,0.05782851695678112,0.08312900441467046,0.09266044502340191
19,20000,121058197.79919934,2691573,4386163,5226250,6232127,6469046,6685620,8781744,9731183,620603,613471,662826,548761,529011,549246,556106,694363,0.022348279243599552,0.03641639710231928,0.04340906067981224,0.05171484628531104,0.05367202892339578,0.05547820224293428,0.07287627848513704,0.08084806384105611
20,21000,127266292.05494809,1757595,3116070,3724434,4644210,4915884,5149423,7256172,8096903,626058,624004,716945,599847,624053,633634,648068,711803,0.013878646175254184,0.024605288232379268,0.029430685236035554,0.036664879937108326,0.038817096386515045,0.04066425738110604,0.05730748519147657,0.063979579550785
21,22000,133474383.54324841,1452478,2706026,3259654,3959230,4218914,4557664,6450959,7213864,1062536,1038996,1176596,1017790,1070122,1084379,1090980,1153756,0.010969396069529134,0.020432801611399473,0.024638764264552894,0.02989077322683277,0.031863883766474824,0.034426043081757944,0.04872936355570079,0.054518060667768375
22,23000,139682472.12846327,1202901,2483877,3227310,4348084,4703192,5064741,7743314,8722035,792771,890332,1074923,951259,900027,916586,950730,1061765,0.008660836550345807,0.01789638085918246,0.023283796736127897,0.031341786047626725,0.03388895472800262,0.03649845896066479,0.05581501306910585,0.06292014505392093
23,24000,145890557.67615294,1277033,2659609,3528463,4739020,5087481,5483666,8150289,9249958,428723,414229,507972,446026,448517,468720,474997,506909,0.008779161921359687,0.018282073958029253,0.024270190157848957,0.03258300566811209,0.03497943906967029,0.03770868314985708,0.056048258949061604,0.06362447279476799
24,25000,152098640.0507655,2037848,3686688,4764078,6055769,6490333,6764602,8802728,9621287,365820,387202,403934,356062,363846,366889,366884,403890,0.013430502374622667,0.02430065951102754,0.03140569716655553,0.03990817262887178,0.04277419059091052,0.04458263977812224,0.0580150670440724,0.06342531298400361
25,26000,158306719.1179316,3424344,5812936,7176847,8548093,9015779,9274038,11868965,12885717,342950,364616,385836,357238,349164,350356,354948,385479,0.02167803426774069,0.03680422056720126,0.04544583881689985,0.05411915847711865,0.05707722554498132,0.05871265846426156,0.07514296874289728,0.08159584480451947
26,27000,164514794.7418158,3721499,5901095,7172065,8630802,9173910,9582584,12724223,13952057,351282,409879,477270,402764,392772,431711,447112,481477,0.02266946496115064,0.03595928234888538,0.04372209963109572,0.05259091585782728,0.05589688602870617,0.058400803918813256,0.07755471880482034,0.08505623852564012
27,28000,170722866.78810883,2730229,4760186,6096054,7676889,8251007,8631164,11513343,12659216,523721,640382,917635,713905,729767,839795,855189,922860,0.016041378982001628,0.027987514445889636,0.03590027195161425,0.045155790137511184,0.04853730539818749,0.05080649831176498,0.06777830338248118,0.07455368370978493
28,29000,176930935.12178135,2086779,4074349,5545787,7053319,7631836,8060949,11652818,12991682,796275,841674,1072857,915999,889881,880037,986780,1105405,0.011847634069053639,0.02313797544520461,0.031535582892925476,0.04007227542962572,0.04335259203072292,0.04578760509602128,0.06623020805626874,0.07388962223518747
29,30000,183138999.6070838,1756613,3533815,5041013,6629527,7175696,7558062,10667685,11903633,824616,794490,1018288,803590,755511,755828,921489,986341,0.00963507631842026,0.0193798815638303,0.027679515171650165,0.036358966227602346,0.03934400013292264,0.041440566766119576,0.058543687510926236,0.06534976261684426
