,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292276504,2295043,2295043,3067787,3067787,3067787,3067787,3077998,3077998,0,0,0,0,0,0,0,0,0.7393679680061696,0.7393679680061696,0.988314136365089,0.988314136365089,0.988314136365089,0.988314136365089,0.99160369840001,0.99160369840001
1,2000,9312181.820187647,6620227,6620227,8247257,8247257,8470769,8470769,8718658,8718658,0,0,0,4248,7648,20061,38289,11919,0.7109211490746642,0.7109211490746642,0.8856417496188678,0.8860459430977923,0.9103915535909318,0.9116077119441651,0.9401292606079081,0.9374636145846132
2,3000,15520302.80860018,10885683,10886785,11894822,11905404,12399600,12399600,13355463,13355463,0,4255,0,22130,91057,105020,105511,99548,0.7013834159194353,0.7016467810807925,0.7664039900953986,0.7681811363848972,0.8036426507048405,0.8043705817114344,0.8664056683885121,0.8660706408840401
3,4000,21728423.459528267,10805727,11092306,12292391,12429880,13392052,13392052,14590156,14590156,22975,0,0,0,24677,16166,45097,41693,0.49783477269074794,0.5104975066718815,0.5657286191469905,0.5720562296271566,0.61703872301368,0.6167968496579794,0.672874433137941,0.6727688171911446
4,5000,27936543.6378501,7802082,8141330,8742892,8926467,9301894,9301894,10324905,10324905,1649,0,851,0,1701,25474,106066,106066,0.2792952005420722,0.2914222355327321,0.31296492674587373,0.3195265354124155,0.3329853731624917,0.33326899042900654,0.3709927344530332,0.3709927344530332
5,6000,34144663.20868705,4340692,4878974,6181352,6359114,6479273,6479273,7210391,7210391,2230451,2187978,2200729,2169702,2140500,2197627,2253030,2300693,0.1360112532816481,0.1526745958831083,0.19350628384148752,0.19887792696593912,0.20245094232744376,0.20281296072898786,0.22609036523209294,0.22642876980311336
6,7000,40352782.036868125,1791433,2182865,3493646,3541634,3601373,3601373,4183138,4183138,7658422,7469747,7499057,7594560,7488063,7631835,7631854,7629506,0.05479333432371432,0.06638271064555307,0.10633941801361839,0.10811435358164513,0.10958173705851332,0.1100632263467856,0.12784288988645653,0.12783371674911187
7,8000,46560899.987567335,1914600,3310046,3489255,3525056,3559082,3559082,3790890,3790890,11242631,11065058,11160241,11140784,11114301,11139333,11204192,11265430,0.054209904813680806,0.09325165469125557,0.09856469059588471,0.09952130030396611,0.10040686840642525,0.10047782474584502,0.10721840962492918,0.10740443465791286
8,9000,52769016.925554216,1085699,1572492,1572492,1588422,1588423,1588423,1720270,1720270,14530994,14497642,14511860,14464073,14468873,14423289,14447427,14375774,0.028393178227696353,0.04108794113247366,0.041103211173270426,0.041467806429559155,0.041473029529275195,0.04142372790741701,0.04489036084728995,0.044806582328449335
9,10000,58977132.716065764,907938,1117429,1117429,1141425,1141425,1141425,1179272,1179272,18004137,17889725,17853672,17719690,17638541,17636062,17731966,17581271,0.022159424375308538,0.027196386000352835,0.027172542887750017,0.02766591734381845,0.02761160824828966,0.027609952529759348,0.028591762232849732,0.028487678504886
10,11000,65185247.22380763,1044054,1111308,1111308,1228350,1228349,1228349,1284801,1284801,21177959,21067590,20981035,20871731,20766113,20688812,20797478,20634638,0.023724570227782727,0.025189642196147582,0.02514031908030404,0.027719533557124126,0.02765360067152397,0.02760555972229382,0.028944932860263894,0.028839134242712186
11,12000,71393360.31407225,742809,1005177,1005177,1136214,1136214,1136214,1263546,1263546,24264728,23983811,23904345,23756167,23696469,23640926,23739360,23604226,0.015761310344204554,0.021201994419753747,0.021166515947997334,0.023851405193184565,0.023821552488993702,0.02379384457192305,0.02651500381232159,0.026440026967132765
12,13000,77601471.85151607,149682,217570,217570,278492,278493,278493,333830,333830,27270241,27461150,27539148,27605401,27816690,27848594,27860323,27760839,0.0029739387944153826,0.004339222246006014,0.00434598283222546,0.005570277728965877,0.005593938341049881,0.00559752545030948,0.0067113447861151514,0.006697948659571353
13,14000,83809581.70150763,17030,17030,17030,21287,21286,21286,28098,28098,30251509,30365469,30574118,30690699,30947644,30955301,30990336,30913786,0.0003179726069478339,0.0003186506265922082,0.00031989953342921124,0.000400742615759044,0.0004026715804515982,0.00040272991548616105,0.0005319651885751559,0.0005311953365548702
14,15000,90017689.7285657,851,851,851,851,852,852,852,852,32960417,32981816,33131115,33239749,33346100,33459565,33677284,33746756,1.4914838359842378e-05,1.492043418235193e-05,1.4959592910287651e-05,1.4988215301226154e-05,1.5033988001408468e-05,1.5064148680475648e-05,1.5122361810895147e-05,1.5141031853315168e-05
15,16000,96225795.79825664,0,0,0,0,0,0,0,0,35802191,35737667,35814940,35883122,36065359,36251049,36391203,36419296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,17000,102433899.77491403,0,0,0,0,0,0,0,0,38688124,38652499,38869572,38772977,39106218,39268820,39401246,39363978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,18000,108642001.52416742,80,80,80,80,80,80,80,80,41667742,41633437,41697292,41709334,41801470,41873864,41928206,42006430,1.194488756850418e-06,1.19387723894827e-06,1.19501601498651e-06,1.1952310128849168e-06,1.1968785731614737e-06,1.1981763003504953e-06,1.1991522798462214e-06,1.2005599737519407e-06
18,19000,114850100.91037858,5030,5030,5030,5030,5030,5030,5030,5030,44642123,44569833,44612429,44585201,44643180,44698558,44789118,44860061,7.164427960624165e-05,7.157058658931492e-05,7.161399094232718e-05,7.158624016280761e-05,7.16453582463894e-05,7.170191547213763e-05,7.179459652220886e-05,7.186736864903715e-05
19,20000,121058197.79921699,0,0,0,0,0,0,0,0,47485747,47446982,47539360,47473619,47583502,47603012,47655586,48352430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,21000,127266292.05494308,0,0,0,0,0,0,0,0,50480656,50442063,50471319,50475496,50500994,50498717,50577365,50642444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,22000,133474383.54326272,0,0,0,0,0,0,0,0,53536169,53497691,53513785,53515069,53557509,53550695,53573032,53573886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,23000,139682472.12841558,0,0,0,0,0,0,0,0,56476459,56468150,56493685,56489990,56502764,56506171,56517677,56526191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,24000,145890557.67619824,0,0,0,0,0,0,0,0,59344185,59344219,59347626,59327423,59329978,59328280,59335112,59335754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,25000,152098640.05074787,0,0,0,0,0,0,0,0,62109969,62098915,62088337,62062340,62061734,62060643,62070003,62095881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,26000,158306719.11791372,0,0,0,0,0,0,0,0,65082804,64858732,64854082,64917791,64924704,65142265,65141720,65138402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,27000,164514794.74184942,0,0,0,0,0,0,0,0,64419757,64403403,64434825,64449458,64611719,64700431,64646588,64707552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,28000,170722866.78808546,0,0,0,0,0,0,0,0,59337522,59329215,59343109,59401077,59417793,59451257,59464019,59489434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,29000,176930935.121809,0,0,0,0,0,0,0,0,57218008,57065051,57102424,57174681,57229174,57310757,57346475,57370036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,30000,183138999.60709,0,0,0,0,0,0,0,0,55113683,54849114,54870544,55075566,55108580,55191732,55210157,55236616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
