,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292279847,26954,216479,387408,758393,1047840,1137748,1348042,1491896,228756,228756,202088,160894,129200,131294,117774,112165,0.009374311064646083,0.07528906599998217,0.13349815780414945,0.2576792603138927,0.35223162715758155,0.382723618064654,0.4514107878346882,0.4986457366445507
1,2000,9312181.82018732,30115,239607,356578,801808,1321571,1516283,2029845,2329001,596138,596138,472318,467330,225423,234148,350659,122241,0.0034551226016384107,0.02749033907390917,0.0403374992254625,0.09065250795609361,0.14543920732923737,0.1670276879370243,0.22650670435469258,0.25342937953244926
2,3000,15520302.80859809,26401,327451,384729,647517,1159175,1471741,2025514,2353171,1465926,1465926,1236556,1250849,693206,407663,1016702,271005,0.0018784895523683823,0.023298863013241133,0.026934739543857826,0.045377840573676144,0.07817949899185966,0.09738477318586505,0.13965593970286508,0.15431340049462472
3,4000,21728423.459537853,4347,68540,101019,167530,225541,296970,581354,700334,2214695,2214695,1796370,1905255,916104,736074,1185941,444710,0.00022276624423741474,0.003512398983214264,0.005068168224867998,0.008451222131414289,0.010836898810749286,0.014146582333359164,0.028300085013828403,0.032904690308455546
4,5000,27936543.63783972,3478,58392,90059,157263,274783,341441,569136,674153,1608244,1608244,1324159,1387564,676283,604391,868427,234179,0.0001321012009070775,0.002217841668592889,0.003384101095245203,0.005923504486622764,0.010079984327757169,0.012492283521324095,0.02102606574424094,0.024335575999138666
5,6000,34144663.2086909,5217,37250,66134,121956,196589,249913,391940,456282,1677082,1677082,1385103,1394449,720259,583582,971518,468122,0.00016068335877769414,0.001147298277644069,0.0020187694700020756,0.0037238229717482777,0.005881600724206286,0.007446512180164301,0.011814978577832206,0.013548956740315345
6,7000,40352782.036864206,2608,34779,39994,67817,100086,173965,454233,554223,1564351,1564351,1174431,1175821,668319,716824,1095442,742247,6.723654270834977e-05,0.0008966333277813254,0.0010208188691343421,0.0017310428937095574,0.002522044960190763,0.00438907014277794,0.01157065149022978,0.013991807974424054
7,8000,46560899.987580985,870,7704,12662,41758,87845,132214,294617,371447,977766,977766,789611,707022,461260,640061,607136,519717,1.9086006684775763e-05,0.0001690098798844971,0.0002766362993062212,0.0009106754288330791,0.0019055463344977315,0.002879172134371423,0.006411161446527433,0.008067711902628415
8,9000,52769016.9255451,0,20118,21179,34793,74606,132862,252947,313378,1260729,1260729,1109112,894025,811024,919022,867174,792359,0.0,0.00039057792076258567,0.00040996978276526563,0.0006707085381321609,0.0014358907224709218,0.002562430337568702,0.004873564901401686,0.006029206426640666
9,10000,58977132.7160767,869,37915,42329,78129,117243,162956,424572,509656,1075260,1075260,871316,880144,762287,684406,836077,695091,1.5008150155369991e-05,0.0006548147446960337,0.0007284812845301325,0.0013448029188194398,0.002013970810329263,0.002795477397955686,0.007302447380270061,0.008744649037568204
10,11000,65185247.223796666,12172,86850,109449,230172,295523,353487,499609,563223,2679651,2679651,2482562,2349134,2225668,2088949,2354026,2290266,0.00019473456354882296,0.0013894755869384879,0.0017455233314069038,0.003663052792272829,0.00469385284405303,0.005602341340948635,0.007951604159028796,0.00895497524668791
11,12000,71393360.3140794,2609,41285,65716,89764,118150,148827,280280,343739,1764797,1764797,1540243,1382304,1304177,1343721,1347192,1370682,3.747025467452725e-05,0.0005929319525633796,0.0009407740488448389,0.0012821403464805062,0.0016857094691851862,0.0021245933805984205,0.0040013609130374545,0.004908966755858647
12,13000,77601471.85149354,9564,53041,142603,227083,315371,354323,523114,584538,5142511,5142511,4926064,4858405,4848214,4883206,4989387,4936673,0.00013199195637930358,0.0007320143620153325,0.001962190570590233,0.003121713309992753,0.004334802444774998,0.004872544688065092,0.0072042277958259205,0.008044307687338841
13,14000,83809581.70151299,2609,9567,22535,52920,78766,102832,229399,276806,12773504,12773504,12606335,12327110,12157881,12283248,12191604,12418328,3.672781612412183e-05,0.0001346780440243287,0.00031648837720093956,0.0007403213506798744,0.0010992900270172762,0.0014376802875026265,0.003203092398895728,0.0038773096933880243
14,15000,90017689.72860122,1740,13044,25215,34905,61321,74883,178861,231031,14740200,14740200,14657607,14454501,14323728,14386099,14501533,14442624,2.3114479591086814e-05,0.00017327889183111286,0.00033459358173488596,0.00046193127351159814,0.0008101174598294233,0.0009901021422213969,0.0023685130142786733,0.003056973854705717
15,16000,96225795.79821599,10486,36564,66987,121683,151942,185328,290516,332243,15930261,15930261,15896268,15793916,15669968,15712229,15694962,15725225,0.0001305925669011545,0.00045536778716134016,0.0008339025740107449,0.0015128702736436478,0.0018861701772911947,0.002301823250042706,0.003607512629608907,0.004127212971356509
16,17000,102433899.77492821,2555,6600,7647,18080,30239,35417,77310,95570,19003231,19003231,18968368,18809020,18606756,18805891,18707804,18601353,3.0624230124448004e-05,7.910760032147038e-05,9.161865787449573e-05,0.00021620359931950073,0.0003607304106792692,0.0004235064366451598,0.0009233680286230483,0.0011400106960436768
17,18000,108642001.52416253,0,6393,48758,60990,83607,106264,187448,216151,22845812,22845812,22685863,22522144,22126036,22409196,22134648,22013015,0.0,7.451379875326e-05,0.0005672427919303748,0.0007081990350818697,0.0009663765467270882,0.0012322920419216177,0.002166844694279586,0.0024951348119455516
18,19000,114850100.91040027,0,5420,26381,44282,60290,70223,136697,159312,33203706,33203706,33009744,32729291,32376264,32665714,32400743,32366524,0.0,6.638382510272466e-05,0.00032234707906860925,0.0005392299472973399,0.0007310197058674398,0.0008544566996229963,0.0016579510558293487,0.0019314390326823049
19,20000,121058197.79923439,4350,57212,77220,141903,228545,250798,335038,350695,41128879,41128879,41080711,40566096,40330137,40603037,40334403,40244220,5.442308361123762e-05,0.0007157824044979602,0.0009655217123019076,0.001762943156260702,0.0028310478133294573,0.003117239435091485,0.004150424305909583,0.004339533946358007
