,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292268992,1414016,1693787,1840878,1950352,2046910,2129811,2251031,2297448,71902,72428,72428,71902,71902,71902,80759,81284,0.46633971797198737,0.558704568512292,0.6072233100583314,0.6432222843490466,0.6750669243587347,0.7024075124140295,0.7445605090272188,0.7600455745840512
1,2000,9312181.820187774,3720103,4787692,5303497,5549616,5818068,6028600,6502704,6765320,588448,622635,624737,606100,608971,605818,651332,669162,0.4264347212647906,0.5509714256763211,0.6104783523546303,0.6374412869784292,0.6684967330108262,0.6924360300704708,0.7508159285758192,0.7827495644749106
2,3000,15520302.808599481,6502065,8233844,9000905,9354138,9677908,10011738,10604576,11117797,543135,661442,663018,589417,584963,584962,610381,646496,0.43413181204170603,0.5541369628575233,0.6058243559274185,0.6264958502738304,0.6479871314630316,0.6703387708592116,0.711242898261457,0.7474748827295581
3,4000,21728423.45952973,6538125,8090251,8922708,9406230,10161069,10816975,12260922,13103264,449930,487206,489833,464811,464852,469060,484362,495072,0.307264469283743,0.3808751082848296,0.420117710589235,0.44236274611863524,0.4778627625814993,0.5088099190077668,0.5771458543064963,0.6171076678580163
4,5000,27936543.6378489,5965493,7161683,7954400,8671723,9634754,10439158,12789304,14363381,403344,470543,501539,384449,393347,389677,396506,419630,0.21666544675030983,0.2607472086828326,0.28993616385346754,0.3147391555518058,0.3498052214738306,0.37895990630225745,0.46438948879370334,0.5219837220495358
5,6000,34144663.208689585,4961560,6350516,7081742,7935625,9007770,10150492,12553531,14297393,3317137,3354444,3401746,3120372,3147498,3055995,3105616,3061612,0.16094577185377423,0.20625108112928808,0.2303536112701212,0.2557874713920076,0.2905997996705456,0.3265013455019227,0.40444318137721563,0.45997392289477096
6,7000,40352782.03686269,2987678,3500898,3817062,4240910,4938306,6116438,8470200,9921679,10154900,10180481,10309855,10131058,10212602,10215372,10207751,10207185,0.09893667364992446,0.11603019589797992,0.12705359884928866,0.14032654109431966,0.16384460855775407,0.20295168007199876,0.2809816314218507,0.3291253109987358
7,8000,46560899.98757705,2742659,3288456,3756085,4558899,5638035,7008790,9294371,10701155,13028569,13090270,13122206,13001243,13048909,13049299,13053491,13063352,0.08179148061660525,0.09824900222136668,0.11232750302375562,0.13584462444558332,0.16823933266424035,0.2091451853523262,0.27738256346367784,0.3194608454316909
8,9000,52769016.92554939,1490068,1982590,2362429,2854204,3593338,4724245,7205386,8677516,15519248,15543889,15574858,15464572,15484213,15479752,15493799,15527440,0.0400020736498575,0.05325945431175412,0.06351612909781922,0.07651109688661226,0.09637540289001406,0.12669182429399678,0.19330231722297306,0.23300613766563777
9,10000,58977132.716061264,1385126,1880188,2174010,2590679,3205213,4033845,5796652,6932930,19180863,19205563,19304593,19123071,19179711,19110771,19157004,19161831,0.034805422967594896,0.04727467418115783,0.05479886126674822,0.0650041398153391,0.08053820729563631,0.10118417699438206,0.14557090061996578,0.17412727522301547
10,11000,65185247.223811746,2038191,2719304,3186303,3801188,4405342,5511730,7864499,9120679,21466771,21551189,21585594,21426819,21462673,21447910,21445953,21484639,0.04662081518042198,0.06232067588240133,0.07308092529185108,0.08686756253122299,0.10075669326900719,0.12601887425829095,0.17980397579708896,0.20870828509499534
11,12000,71393360.31408143,2339247,2968718,3280152,3760874,4395400,5756669,8124400,9258032,23708301,23835549,23869190,23774277,23806185,23797731,23819372,23852873,0.04905618308225987,0.06242335208392969,0.06902071047893896,0.07897829479820903,0.0923652217428288,0.12094953009260574,0.1707739941070961,0.19473994742283138
12,13000,77601471.85151243,1457869,1894332,2280349,3067522,3821983,4873667,6697818,7763028,25533198,25564789,25582967,25494941,25522614,25519548,25538317,25554586,0.027999180540486713,0.03640378087522429,0.04383726534450171,0.058870202062415035,0.07338837980850621,0.09357693878388618,0.1286479472690931,0.14915451468407911
13,14000,83809581.70150548,871230,1266324,1653413,2054067,2540756,3676429,5926776,7036396,27476964,27486908,27498739,27429908,27437925,27440092,27444591,27452260,0.015465817772155766,0.022483378660451477,0.02936224926990474,0.03643275785658105,0.04507151552159626,0.06522019304180099,0.10514995081586519,0.12485327172337993
14,15000,90017689.72858083,1233542,1752024,2247947,2723629,3309014,4262753,6237081,7290019,29474919,29526443,29551070,29431790,29479667,29473739,29471697,29519062,0.02037471997325807,0.028963264848238048,0.03717666061192867,0.044954832926499454,0.05466009378660742,0.07040757910084142,0.10301393566969752,0.12049891499532378
15,16000,96225795.79823756,1849761,2596788,3368826,4108535,4986830,6144633,8073452,9057303,30961899,30997179,31053650,30949951,30960581,30969047,30967268,31026873,0.02834279120228617,0.039810563637004234,0.05169119351124852,0.06294112336192897,0.07640869666048607,0.09416088164303325,0.12371489631149846,0.13891798531746347
16,17000,102433899.77491498,1482929,2403588,3159645,3769518,4395784,5511422,7545243,8623814,32988910,33100329,33348209,33067576,33158297,33187053,33212218,33210079,0.021354009912111265,0.034667015893397816,0.04573515824419125,0.05434219077591041,0.06345356552554941,0.07959094538867206,0.10900115117882467,0.12457870576142857
17,18000,108642001.52416539,1766461,2516823,3292462,3853907,4686286,5872156,8022640,9113756,34874181,34962044,34986921,34896906,34913866,34913864,34913341,34953582,0.02394622733121592,0.03415885519714826,0.04470108479373369,0.05225984145260373,0.0635617049947507,0.07964606454456172,0.1088130442485184,0.12367962372990282
18,19000,114850100.91040182,1530562,2226400,2613555,2934431,3393459,4343462,6107507,7120659,36160029,36181239,36201337,36106969,36073931,36050445,36085229,36037719,0.019450509611209026,0.028300905160363314,0.03323071934070587,0.0372658659721454,0.04307722759128352,0.05512031683156942,0.0775410008531155,0.09034949620092882
19,20000,121058197.7992065,1652123,2257746,2521665,2714100,2999351,3589775,4855307,5499294,40018883,40083986,40413059,39898318,39973143,39979064,40006718,40046434,0.020386685204502455,0.02788228436972726,0.031268654720510096,0.03344139994680643,0.03699018280776141,0.04427495499508077,0.059903989563525946,0.06788265977803418
20,21000,127266292.05491376,1858885,2509112,2747650,3075351,3397857,4180373,5311680,5896849,40484438,40550893,41010621,40587031,40632962,40699653,40477534,40388532,0.02142020380002179,0.02893502223764281,0.031854717103188934,0.035479663330905395,0.03922112884090015,0.0482908086260363,0.061202396704872146,0.06787524213645374
21,22000,133474383.5432806,2450584,3380264,3787158,4102253,4435526,5058739,6105229,6664075,41705551,41766511,41996199,41773865,41791908,41781803,41798673,41679103,0.026703881177133206,0.03685903844737777,0.04139957541689299,0.04473533045577957,0.04837921286174388,0.05517064706900883,0.06659592779613842,0.07259714181992126
22,23000,139682472.12842345,3095023,3719562,4096638,4346250,4674329,5133542,5878606,6414668,43796096,43682660,43999098,43788297,43889320,43885468,43611310,43640017,0.032278026607812815,0.03874551332479867,0.04281452276653216,0.045323399405432216,0.048796066275525005,0.0535877092055831,0.06119012063309647,0.06678992109710864
23,24000,145890557.67622066,2682138,3457338,3902358,4170883,4401837,4783443,5423522,5918931,45520578,45069277,46054092,45776177,45830521,45864930,44918667,45051118,0.026722512136120754,0.034291748496063645,0.03908750148122957,0.04166117766326727,0.04399195869019804,0.04782217428801179,0.053713186548038604,0.058696587555471774
24,25000,152098640.05073643,2096990,2928245,3402960,3658267,3931095,4338057,5238937,5671733,49515058,49439238,50157256,49771026,50011158,50064648,49485294,49578071,0.02044177009692309,0.02852388521172956,0.033381536180697134,0.03575053551220441,0.03850712076575937,0.042515801967670734,0.05105512296041536,0.055322878642949345
25,26000,158306719.1179297,1017046,1594846,1893350,2170331,2523873,3090742,4189350,4768614,49149959,49237312,49389639,49131751,49243707,49242233,49147214,49243740,0.009317297425291974,0.014622303743483231,0.017383407615683234,0.019879382952103366,0.023141420276114686,0.028338665591455956,0.038378242879299106,0.04372348929551706
26,27000,164514794.741781,619125,1014621,1187567,1490457,1772671,2178160,2990791,3316946,51145989,51215040,51325129,51141431,51202320,51198550,51151139,51229053,0.005461158349062747,0.008955191494565903,0.010491832379019394,0.013146447726422431,0.015644093944992398,0.019221957142715723,0.02638227375811172,0.0292794657915602
27,28000,170722866.7881093,1133994,1769087,2147383,2479450,2858631,3352587,4078074,4459914,53739037,53969274,54211337,53934352,54015093,54021452,53954205,54089185,0.009693596132508081,0.01515231315588407,0.018430648056078937,0.021230255427928797,0.02449392107495799,0.02872790365127257,0.03492438756727514,0.03823864540349856
28,29000,176930935.12179852,2447432,3034704,3528854,3939110,4447849,5109440,6403634,7001326,54987389,55090519,55382628,54975499,55194894,55162760,55095091,55259064,0.020070205253466047,0.02490720318097354,0.029032522817976247,0.032299585203122545,0.03653682967684047,0.0419603890334177,0.05255952422013285,0.05754268373987104
