,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292273104,19228,73305,109406,199323,364120,533796,790019,904467,714,0,714,0,714,0,0,0,0.0061958918217226355,0.023615840267349326,0.035254199118337146,0.06421362976071031,0.11733139848791585,0.17196700186003683,0.2545114591388179,0.2913818729839526
1,2000,9312181.82018792,26544,332522,689548,1179008,1672479,1971440,2336323,2514066,2857,3572,3572,0,714,0,0,2143,0.0028513346040346,0.03572198281196054,0.07407636729004928,0.12660921175787432,0.17961496858464648,0.21170548836644346,0.2508888942583869,0.2700381865807574
2,3000,15520302.808599772,42845,477452,1113348,1621506,2238425,2513351,2871053,3106180,1429,714,1428,714,1429,714,714,22881,0.0027608317799618603,0.030764474876772026,0.07174154142818648,0.10448124753804593,0.1442388814811793,0.16194700974340845,0.18499542967330948,0.20043204852799
3,4000,21728423.459528584,45432,1174343,2146026,2949235,3738655,4112668,4946126,5536176,238037,229547,225444,215893,218705,201644,201640,289437,0.0021140615635535016,0.054623459147304224,0.09980133237066525,0.137093820996483,0.1738123633293682,0.19104892154128397,0.22976614268912776,0.258229371544728
4,5000,27936543.637849376,145979,1534853,2498464,4044266,5908954,6912967,7649508,8154602,869814,864734,825993,787518,759706,758206,735344,790324,0.005393300260252608,0.056695618820180614,0.09215836422414318,0.14896541975199845,0.21742610669942544,0.2543557701032013,0.2812195087659302,0.3003954918507407
5,6000,34144663.20868847,202722,2220700,3390270,5297189,7709747,8819205,10184099,11023787,203252,176097,170456,66295,22743,43209,16948,49115,0.0059727039265858916,0.06537514672703466,0.09978952501157944,0.15544139225097792,0.22594704380197414,0.258616683793884,0.29841139196471206,0.32332042096894165
6,7000,40352782.03687194,537571,2923784,4836620,7318576,9841407,11130163,13036515,14333122,399785,321246,248181,215385,208199,219314,179842,221977,0.013455085722452433,0.0730370175480397,0.12060012754030988,0.18233808219493758,0.2451490650920668,0.27732871203092524,0.3245098563369943,0.3571600915264674
7,8000,46560899.98755664,2693135,7747955,9133729,11209231,13139996,14545446,16272110,17319684,1960879,1589038,1323310,727231,770801,614011,660676,931604,0.060384164409953575,0.17228450541237983,0.20190573818172866,0.24456324897409346,0.28696151112428836,0.31657085649344413,0.3545104704589525,0.3795737721818714
8,9000,52769016.92555991,4190969,9196345,10530438,12215478,14606796,15854929,17816582,19081714,3696708,3241952,2285803,1322915,1290752,1402220,1245556,1647766,0.08540394963598469,0.18568322216998476,0.208592860500674,0.23744224621090287,0.2837468594002176,0.30866104076874323,0.34579552071901865,0.3732638316653439
9,10000,58977132.71608466,2285877,7247440,9278813,11449836,13809821,15302781,17252547,18465884,5141010,4968669,3543273,1779711,2196323,1718896,1733470,2075741,0.04245991138802882,0.13419081938895416,0.16738529569334074,0.20018098117839037,0.24321282259009427,0.26725903341870166,0.3013878948586614,0.32452429445201314
