,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292278226,92,1936693,2131382,2379015,2480022,2506049,2521971,2540410,509083,501259,453229,431898,416748,431702,427666,475219,3.545309946559195e-05,0.744080139743328,0.8040427677486494,0.8902957379833825,0.9228632251516691,0.9377667250911312,0.9423016219127686,0.9663609902381993
1,2000,9312181.820184473,7408,3699221,4338678,4699138,4826132,4890847,5056406,5131269,3507767,3492257,3502722,3464116,3452534,3450080,3465784,3496631,0.0012762699134181734,0.6356131933475296,0.7468298489518136,0.8035371256905192,0.8236215124355484,0.8343162827980513,0.8648754593029822,0.8823358541018188
2,3000,15520302.80860032,52502,4231025,5569961,6495190,7073271,7624418,8077656,8196492,6227163,6213829,6218894,6209662,6203893,6199727,6215560,6229662,0.005649543758226054,0.45463245123948187,0.5988298240208378,0.6976093411315295,0.7592271213177424,0.8180200619112787,0.8681224367140884,0.8822310719851025
3,4000,21728423.459535062,10834,3392462,4883663,6206246,7241880,8037415,8873244,9282194,9895305,9863648,9875303,9869185,9850029,9858690,9880161,9898584,0.0009155659209403098,0.2859271978277234,0.412014964048679,0.5233258460209185,0.6096682531187348,0.6771352555977972,0.7489067726432012,0.7846424316873029
4,5000,27936543.637846,833,2528367,3413129,4752239,5572963,7140919,9651889,10436770,13470132,13216433,13359844,13238334,13090488,13057069,13176709,13266855,5.7581660252274616e-05,0.17176277150386804,0.2341496418804139,0.32332094296461766,0.3753834106476901,0.47991741468055904,0.6539293452008865,0.711451364623678
5,6000,34144663.20869389,5364,2262593,2885469,3589950,4143435,5607386,8153850,8947540,20111899,19592147,19875620,19870038,19829114,19123031,17976028,18208674,0.00038224828125286785,0.15547778594112083,0.2022188143800652,0.2514917167712087,0.2894359789901511,0.37328739794033033,0.5043004492806954,0.5614674986801989
6,7000,40352782.03685543,2971,2527457,3118083,3571449,3817915,5010352,7479949,8304697,26818378,26518888,26564679,26614918,26580253,26490879,26078326,26271451,0.00021951465257795565,0.18270032958662982,0.22614300108328192,0.259971200065647,0.2772123398529943,0.3614476300027992,0.5240093899681647,0.5897664772075809
7,8000,46560899.987565875,5012,1240849,1678119,2178441,2275989,2670995,4491457,5227655,33935114,33245786,33377275,33532105,33560862,33524192,33398543,33446996,0.00039696538535786345,0.09319101595065192,0.12728813217781274,0.16720203227382202,0.17507556533118684,0.2048826285399302,0.3412350086115244,0.39863453361841533
8,9000,52769016.925557286,25106,932809,1204877,1483645,1572768,1787900,3060841,3468336,39566058,38717148,38837236,39029901,39095290,39056805,38780497,38864233,0.0019015434450380445,0.06638326936735255,0.08648406161696831,0.10798693365998514,0.11502116493641329,0.13038742470626868,0.21881092612291217,0.24943472826105018
9,10000,58977132.71606612,48255,755161,925027,1176553,1306936,1590312,2536944,3147161,44009360,43379219,43496212,43683511,43658289,43335907,43335842,43455671,0.0032239265597749224,0.0484142311431157,0.05975271219107825,0.0769309599677111,0.08531557761303547,0.10167438465941239,0.16219531022424832,0.20276189559791283
