,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226811,921008,2347727,2470889,2536624,2571524,2611604,2651058,2686670,181658,179491,190324,172991,181657,174074,181657,181116,0.31515438385835076,0.8027598237148776,0.8480138442216292,0.8654260460776354,0.8799345765527794,0.8913364907365366,0.907149845246188,0.9191655473510247
1,2000,9312181.8201865,4680663,6116678,6771793,7189262,7360300,7451201,7698822,7812258,388539,406417,410750,367068,392612,381235,386160,412426,0.5245237953060717,0.6868223138045889,0.7607532290078384,0.8037082752123225,0.8251855356681431,0.8343125482684713,0.8625143602706475,0.8778058811771186
2,3000,15520302.808603998,5892700,7702259,8956427,9857816,10274188,10541828,11034352,11337804,398604,485972,508738,393234,447973,431220,442365,490038,0.3896850528888428,0.5123113957019008,0.5966351352569556,0.6516672942211419,0.6816589160711576,0.6986394159086269,0.7318210315009664,0.754331619860066
3,4000,21728423.459525272,4962772,6371163,7857620,8945212,9460470,9855656,10685932,11210458,612016,812321,835588,656142,706392,687406,706177,714389,0.23501971201836103,0.30460565070996526,0.3760916039961261,0.42450135345722184,0.4500264409847686,0.4684020636814948,0.5083154181725501,0.5334748080665922
4,5000,27936543.637849055,4102211,5899389,7660946,9004285,9588162,10150276,11215567,11628315,1191786,1356195,1415865,1295359,1323820,1296272,1354570,1366321,0.15338374179897485,0.22194550870561466,0.28886689155332024,0.3379836565978991,0.36028488216679777,0.38101248132841997,0.4219237876314264,0.4376446203892761
5,6000,34144663.208692744,4385081,6568267,8156890,9560514,10247151,10683404,11909064,12487850,1352461,1455218,1522909,1389259,1455614,1444102,1464712,1503631,0.13372328494722374,0.2009292895020859,0.2500444932488158,0.29187592798695483,0.3134735101831917,0.3267039954396882,0.3644149871567811,0.3825813448593797
6,7000,40352782.0368689,4110063,6063935,7807142,10020405,10897401,11408823,12512486,13188878,1267172,1334329,1440943,1309155,1325582,1306711,1361157,1426032,0.10515540108298262,0.15541197889803912,0.20063667493594292,0.2566463661415916,0.2792257961038776,0.29218875797330085,0.3209018856784938,0.3388127184393341
7,8000,46560899.987564325,3734979,6103950,7392734,9015154,9712773,10361361,11439415,11975217,810845,872884,1001061,880506,941767,912030,948195,978755,0.08163878712310255,0.1336006799170578,0.16226426967878146,0.19735280747478262,0.2129100744340687,0.22697957261204152,0.25079448813918837,0.26271727675972834
8,9000,52769016.92555794,2601891,4233720,5197539,6460935,6950802,7398506,8721964,9284842,629262,658422,822008,693641,737504,708225,797937,786250,0.049902248365279546,0.08124489858632467,0.10005463466526578,0.12406890752427682,0.13358831233572988,0.14211282092249328,0.16782341279983254,0.17861384741786412
9,10000,58977132.716056794,2692419,4243760,5278108,6618975,7129683,7720453,8727105,9406770,702750,697385,927631,795127,863109,776650,895455,990764,0.04620244564612328,0.07281706195222241,0.0909242602256489,0.11376326612565243,0.1226843805349875,0.13265273138138461,0.15025573198253836,0.16222381584303633
10,11000,65185247.22380388,2728642,4763527,6133652,7410984,7961018,8686761,9650048,10106866,867568,976919,1654767,1151830,1503932,1462329,1575434,1611516,0.04242444741367679,0.07418861589724467,0.09654660217257127,0.11573619402659381,0.12501340419904197,0.13632082839475226,0.15170690670081682,0.1589786505438852
11,12000,71393360.31408256,3571191,5668539,7344380,9005465,9648873,10149994,10985609,11439274,916440,956157,1185752,1021815,1063609,1064198,1098359,1068108,0.050671779982508845,0.0804764915881702,0.10460946009076384,0.1279702607041919,0.13719475498938594,0.14432126967005815,0.1562786655471503,0.1626623954210726
12,13000,77601471.85150874,2917929,4558425,5766318,6883026,7286338,7594377,8350168,8713369,630577,716892,785177,673909,698140,718652,718237,750451,0.037909511194188804,0.05928919698597466,0.07506633860884199,0.08947412013150768,0.09474671414847226,0.09877859598110161,0.1086084374067689,0.11338000332924582
13,14000,83809581.70150715,1493215,2538941,3244948,3856210,4095703,4460160,5025345,5263595,787661,845831,887730,780833,821426,822893,847331,884683,0.017985792033993413,0.030603016118868367,0.0391326041738769,0.046444274547160574,0.04935286204854915,0.053745487014702366,0.06057387495525969,0.06347424093873913
14,15000,90017689.72857761,1171340,2064034,2604038,3121195,3401967,3666171,4062638,4223951,631955,715816,749318,672635,686846,672738,704149,732960,0.013104328152101765,0.02311299767654803,0.02917089165597904,0.034934166300327585,0.03808278146724461,0.04103389088101493,0.045487369181189334,0.04730877287572757
15,16000,96225795.79825175,1307682,2257559,2739701,3370711,3656868,3910846,4424200,4636134,485608,525084,549344,503596,512849,503970,520411,535053,0.013658652965624105,0.02358978274643555,0.028635060649793674,0.035213471975197565,0.03820661804205149,0.04085636653277697,0.04622728396449451,0.04844913796702915
16,17000,102433899.77490497,1860269,3240173,4351938,5237655,5689026,6053956,6773871,7143674,396045,431743,528561,471946,494471,493481,501942,523852,0.01823116532686565,0.03176573027911859,0.04270569189326615,0.05136871946925266,0.05580790542354404,0.05938719962851795,0.06645483073089455,0.07009783780867884
17,18000,108642001.52416646,1533459,2631948,3266948,3998084,4369337,4626977,5357012,5586971,436091,459168,608935,485602,528532,538462,578822,618705,0.014171675027470156,0.02432870275497139,0.030240259812204812,0.03696576455567632,0.04041436297651448,0.042801346009264045,0.049572962998020956,0.05172005650420147
18,19000,114850100.91041398,1754501,3077981,3813393,4705417,5024186,5352585,5994203,6210960,532259,616954,905314,624288,702632,777913,869205,935915,0.015347569291720252,0.02694472736896473,0.03346702471784144,0.04119399004575617,0.044014869956889864,0.04692278721088111,0.05258954101142781,0.05452314784468119
19,20000,121058197.79919553,1012946,1901906,2376178,2888527,3171099,3414749,3965819,4153701,425782,449772,482596,445736,450291,449163,449468,469931,0.008396963563144982,0.01576926311240094,0.01970695534207032,0.023948827151949122,0.026292629431664688,0.028312547278777963,0.032881691123045495,0.03444531636661445
20,21000,127266292.05493975,1155970,1936111,2478127,2970513,3328938,3670593,4181199,4353713,502107,561404,680322,574798,581436,613230,627899,681109,0.00911905834837341,0.015280475992058763,0.019576632378173225,0.023446822710227393,0.02627731603970352,0.028981478540232725,0.0330168355672838,0.03439354350114126
21,22000,133474383.54325795,1068516,1631415,1986575,2295257,2488982,2712249,3118471,3237586,500798,535291,653526,575469,589028,591279,601979,634506,0.008035550787283227,0.01227189812108235,0.014956799984166639,0.01727069786753529,0.01873029567347446,0.020410788936053727,0.023469666336810743,0.024372094132243633
22,23000,139682472.1284213,898504,1382153,1578645,1800012,1903827,2019940,2212447,2264405,498814,529525,659966,594195,594237,509558,582317,589986,0.006455527984262152,0.009932617515635083,0.011355319681417158,0.012941507632149579,0.013687908242147015,0.014513887365583993,0.015905424389767248,0.01627985136385671
23,24000,145890557.67621493,648388,1172366,1352384,1510878,1567209,1634247,1822896,1874303,567912,606720,920382,732553,805161,661505,840301,831794,0.004461713430710835,0.008069486728542918,0.009328704981502508,0.010408506257509663,0.010801976187152168,0.011252893067088434,0.01256734073948671,0.01292099113834738
