,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227361,2737663,2839556,2896404,2934041,2953594,2972238,3015509,3053892,0,1985,662,662,662,662,0,0,0.8819618322601637,0.9153729113649149,0.9333006635764044,0.9454283353635671,0.9517288472655356,0.9577364544818351,0.971472326154466,0.9838377418420952
1,2000,9312181.82018334,6646493,7152078,7406989,7568029,7721705,7820091,8075114,8239561,115676,90848,114581,116119,124866,118010,118123,91183,0.7227193816822373,0.7756012459223389,0.805317511034617,0.8229640388482163,0.8404745358852709,0.850548712047461,0.8782969695900829,0.8935649120749126
2,3000,15520302.808607204,6993622,7841506,8527422,8787438,9152208,9317280,9858044,10266643,1049409,913627,1112463,1113722,1111540,1107649,1108363,1019959,0.4832888757597153,0.5368439816661964,0.5918598563891404,0.6099599979163655,0.6351834728331323,0.6464652605778779,0.684019232033741,0.708027556829781
3,4000,21728423.45952738,7095597,8555652,9876673,10414903,10963683,11218129,12065509,12642165,518618,495441,623439,609515,644570,642757,627314,569542,0.3345432381989472,0.4029416035315859,0.46797821713350723,0.49315536453786374,0.5200037564786681,0.5320262948070671,0.5717950055252802,0.5974873966840771
4,5000,27936543.63785,4740001,6512999,7963803,8669344,9337743,9596048,10635527,11154989,449102,487493,546177,552441,600439,623356,637957,547718,0.1724424216138418,0.2372759293546971,0.2907519678467917,0.31658309620916075,0.3415901103579628,0.35133387311783454,0.38959991376453323,0.40728248620431384
5,6000,34144663.20868881,3831936,5677178,6257398,6837656,7235489,7499258,8230216,8661401,700466,625318,738554,749113,749034,787439,751923,662911,0.1145770064710796,0.1693701939776668,0.1873129840086996,0.20474751747677414,0.216659759718421,0.22481660803318915,0.246467224569324,0.2586901947668166
6,7000,40352782.03686409,3273093,4939062,5339435,5924696,6301356,6650762,7619863,8035986,992883,846179,1006009,1013652,1040297,1061025,1030670,885164,0.08315806392019588,0.12501864550063446,0.135701979803972,0.15060566907422862,0.16028892587408541,0.16926608789116152,0.19378061363683757,0.20360960199052594
7,8000,46560899.98758358,3802144,5880770,6294252,6863450,7375379,7854441,8750327,9249258,2091484,1973177,2235989,2287312,2270659,2262572,2229427,2056056,0.08550020088101914,0.13189213545705458,0.1420025863506678,0.15502357753170667,0.16652379475802875,0.17730784336152663,0.19738407975865824,0.20782587177657455
8,9000,52769016.925539196,2992958,4831135,5253067,5878156,6314564,6742159,7581803,7949085,1177151,1138349,1243787,1242076,1248432,1265455,1255481,1192381,0.05801220689167621,0.09357103431176553,0.10195135485259124,0.11407927376271831,0.12256390351790855,0.13090665476200297,0.1471807916847176,0.1541218200325441
9,10000,58977132.716059655,2739928,4363233,4773562,5418601,5725804,6018860,6679937,7066962,2371773,2190128,2444410,2368045,2350740,2393856,2359022,2215752,0.048404038305627936,0.07683506150423981,0.0844389191013427,0.0957196312220869,0.10111546445684365,0.1063717117374312,0.1179823366678543,0.12450299677084009
