,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292269393,1912620,2431448,2554991,2675699,2777282,2888306,2954559,3061242,0,0,0,0,0,0,0,0,0.6161670883588168,0.7833120194580567,0.8231124662781848,0.8619995933089677,0.8947254360465495,0.9304927786540457,0.9518367560803178,0.9862056079627533
1,2000,9312181.820187392,4529425,5763087,6188511,6593229,6947194,7176213,7532089,7835945,159875,160503,160503,138494,157953,158580,147909,163641,0.4948943571263776,0.6297300324053542,0.6762159295132784,0.7187108531741294,0.758905434467585,0.7839769678612795,0.8218970722268375,0.8565240243240774
2,3000,15520302.808601145,6692257,8144178,8799288,9412432,10181288,10800013,11517432,12217517,190201,190829,190829,168857,185218,184591,182708,195851,0.4365435457346556,0.5312757699113207,0.5740110919569104,0.6131300020436108,0.663921205984431,0.70423943373419,0.7509281698810532,0.7972563816698932
3,4000,21728423.459526137,6906672,8568345,9606289,10520725,11408943,12153936,13192674,14168229,245125,246202,246202,221307,232568,234902,235529,256873,0.3214902968932799,0.39885749321332076,0.4471739116040143,0.48917413079520755,0.5307508241056764,0.5654697403999965,0.6138156042613753,0.65986054554873
4,5000,27936543.637854703,6682580,8635106,10430134,11740778,13297538,14535949,15894640,17207267,159155,173758,173758,161654,167933,168107,167421,178781,0.24057625024164644,0.3110316850995668,0.37568758899245536,0.4227119586462142,0.47886940306161885,0.5234701971008404,0.5723853867220321,0.6199082838374573
5,6000,34144663.20868102,5960514,8070802,10496892,11774097,13419806,14827096,16370839,17797747,311905,313161,313161,279158,301761,299878,296797,310649,0.17617582235641122,0.23855878317839127,0.31026975790943573,0.34767226791531375,0.3965323634849997,0.4380910060022164,0.4836594099926259,0.5260311971918932
6,7000,40352782.036874875,4174484,5165490,7513987,8433542,9882984,11099619,12687491,13988085,662662,663917,663917,578017,635774,633252,626984,661416,0.10517690538908965,0.13014960229275263,0.18932229462895359,0.21203247818513393,0.24883505803922185,0.2794499076322232,0.3193766173865916,0.352421354986989
7,8000,46560899.98757014,3793587,4632184,6501255,7376925,8829940,10109654,11668578,13141076,329986,329987,329987,293556,313655,313664,311929,329977,0.08205736535989666,0.10019668011413556,0.14062571080410977,0.15944128977841981,0.19092899484873577,0.21860017759152506,0.2522991917622566,0.28424861869042006
8,9000,52769016.92554358,3108095,3981564,5443838,6139860,7251819,8331206,9484290,10959966,170727,249398,249398,136829,166331,238543,235874,255708,0.05909117966382021,0.07581098418944385,0.103653417739334,0.11665599022191112,0.1378602417805163,0.15859757922246445,0.1805391695951316,0.208708348878561
9,10000,58977132.7160759,2967219,3834841,5486855,6180921,7147906,7916546,9265997,10638244,337804,791966,791966,249131,598787,775177,750762,758079,0.05060117612135182,0.06590753651549609,0.09429989307711384,0.10524657436638214,0.12244105091233598,0.13601855646602232,0.15913746445202573,0.18272787551444666
10,11000,65185247.22379613,2781310,3741507,5043671,5796028,6909557,7876976,9314935,10606773,335580,347696,347696,228623,316143,311142,312327,332583,0.0428885778303488,0.05770586534160815,0.0777893505353255,0.08922920593950279,0.10651537558098954,0.1214194164655806,0.14358741625728721,0.1635518467429145
11,12000,71393360.31409156,1860387,2878972,3835968,4631904,5741321,6568197,7731096,8753656,466772,475560,475560,285603,360702,361467,353305,393947,0.0262297545140823,0.04059590099028974,0.05409034097237478,0.06513922214619032,0.08082649778659667,0.09246828000144236,0.10882728012834829,0.12329194836124968
12,13000,77601471.85148597,1313967,1957085,2368326,2813041,3210885,3761836,4716236,5519919,1824340,2171062,2171062,1751427,2015523,2070599,2084948,2131145,0.017339888273618178,0.025945570279324762,0.03139749611148831,0.037086873257727415,0.042479919201766775,0.0498052764118956,0.0624530335807717,0.07314025565123568
