,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292255986,19358,1345028,1431823,1478693,1574335,1679877,1867736,2262335,0,0,0,0,0,0,0,0,0.006236347260017739,0.43331241256571645,0.46127417310054647,0.47637374930041376,0.5071856474635823,0.5411869163197034,0.6017073192497413,0.7288308026909924
1,2000,9312181.820188485,74467,6334981,6581572,6753791,7035824,7228305,7615542,8130456,0,0,0,0,0,0,0,0,0.007996729599776299,0.6802896595367137,0.7067701347638404,0.7252640820820333,0.7555505396969998,0.7762203465925984,0.817804264032922,0.8730989318070933
2,3000,15520302.808601147,93966,6077287,6260931,6554312,7123033,7635291,8715533,9776529,0,0,0,0,0,0,0,0,0.006054392182859041,0.39157013074719443,0.40340263184364383,0.4223056779773451,0.4589493573574163,0.49195502782127565,0.5615568914783007,0.6299187020102454
3,4000,21728423.459528103,72219,4407674,4682045,5115138,6150441,7364395,9721612,11756020,0,0,0,0,0,0,0,0,0.0033237109970043104,0.20285291329165422,0.21548019849304265,0.23541229346563416,0.2830596988067709,0.33892909965221835,0.44741451298147394,0.5410433951592049
4,5000,27936543.637858197,66384,3031710,3313120,3759313,5049149,6645334,9676044,12821239,775,775,0,0,0,0,0,0,0.0023763083400553816,0.10852430943645006,0.11859448480628171,0.13456614564536065,0.18073635255141754,0.2378724471482069,0.34635795055503976,0.45894149133843826
5,6000,34144663.208679706,22072,1895617,2098281,2309789,3088037,4005257,6798410,10589974,774,0,0,774,774,774,774,774,0.0006464407105207301,0.05551722646712552,0.06145267818798133,0.06764867897394738,0.09044186446150344,0.11730523653942226,0.19911059218970809,0.31015722711834265
6,7000,40352782.03686623,13163,2092656,2495038,2749192,3308230,3968040,6470013,9604183,2660,2660,1886,0,0,0,0,1124,0.0003262195833750766,0.05186244537471354,0.06183352155849107,0.06812893340261751,0.08198269940787742,0.09833374056774587,0.16033623144220904,0.23801210327529518
7,8000,46560899.98757166,22479,1728666,1930630,2151787,2535038,2945255,4494069,7144047,4311,4311,2761,0,775,775,1550,1975,0.00048283176428584146,0.037130426381998684,0.04146707840954225,0.04621446322073605,0.05444654628132292,0.0632570252074319,0.09652344805500133,0.1534409783281512
8,9000,52769016.92555708,23982,1964714,2169068,2397070,2726263,3038456,4490401,6968671,10069,7744,1549,2324,3872,2324,3098,3098,0.0004545579649131484,0.03723780513734176,0.04110616039147572,0.04542770954741794,0.05166787666074466,0.05758283931658622,0.08510040365894363,0.13206765165658352
9,10000,58977132.71606484,3096,1137288,1371500,1526791,1706687,1946339,3168562,5218762,10837,10064,9289,1549,1549,1548,0,3097,5.2504569981941776e-05,0.019286832884235945,0.02325843906729723,0.02588852714626214,0.028938874233390616,0.03300245363179623,0.05372526357384126,0.08849253636169895
10,11000,65185247.22379804,0,944808,1283678,1403363,1463503,1592487,2292389,3687202,12,12,12,0,0,0,0,787,0.0,0.014494202510065753,0.01969277238308332,0.021528843714926586,0.022451445109587614,0.024430175044555323,0.0351672977802727,0.05656565978057832
11,12000,71393360.31409085,0,956917,1176958,1366245,1428122,1495383,1965381,2889594,3085,3085,2311,774,0,0,0,761,0.0,0.013404024508799253,0.016486072292086304,0.019137071095718834,0.02000356887134969,0.020945687293904523,0.02752890452772391,0.0404746994473092
12,13000,77601471.85150969,0,639508,798905,961623,1009347,1037671,1182249,1716191,4645,4645,0,2322,0,3097,0,0,0.0,0.008241419474842327,0.01029497225940126,0.012392184731921926,0.013006802266990298,0.013372329020880414,0.015234878563414775,0.022115443934928567
13,14000,83809581.70150101,0,536650,729985,821611,886817,945312,1172408,1695321,3680,3679,3679,581,774,0,1550,2325,0.0,0.006403486898905371,0.008710424641567944,0.009803374257214894,0.010581429617261065,0.01127928311785226,0.0139892081486386,0.02022880913568474
14,15000,90017689.7285831,0,471544,574018,625484,657216,675787,901155,1401155,19546,19547,17225,11030,9286,9286,10060,13155,0.0,0.005239485901637826,0.006377944844296993,0.006949307994387967,0.0073017182038002774,0.007508043382680242,0.010011984569723943,0.015567604501543295
15,16000,96225795.79822314,3094,661009,829172,940725,983828,1033157,1264019,1836027,3871,3871,3097,1549,2323,3097,1549,2324,3.215483380204773e-05,0.00686962977913955,0.008617218290029,0.009776382058595353,0.010224407531653414,0.01073714427992201,0.01313617972661898,0.01908086421834869
16,17000,102433899.77492177,435,906311,1172450,1291029,1310527,1340772,1508680,2138693,6194,4645,3097,2322,3096,3097,1548,774,4.246897816454898e-06,0.00884816551669276,0.01144626389950594,0.01260381835410995,0.012794266487254272,0.01308953911985021,0.014728549856153609,0.02087891962507705
17,18000,108642001.52417767,11972,1288547,1481666,1590743,1660352,1774620,2405519,3714840,11626,10853,4652,3102,1551,3874,3102,8529,0.00011020858523438882,0.011861671514162555,0.013638642754904926,0.014642480796171715,0.015282999950653672,0.0163351489982654,0.022142335853325264,0.03419608996824822
18,19000,114850100.91038144,6980,1454117,1764613,1928158,2037424,2146598,2757160,4121333,9293,8516,6195,3097,774,5419,3099,1551,6.077978836100663e-05,0.012661937756560436,0.015365316827320534,0.016788927306319628,0.017739973361705734,0.018691313905811406,0.024007244021498224,0.03588493719090016
19,20000,121058197.7992301,0,1885994,2054255,2156949,2398642,2738791,3499778,4713765,37893,32475,22418,13916,13142,15464,24738,27056,0.0,0.01558341447072934,0.016972295327939608,0.017819503473758637,0.019816108837840334,0.022626645268461545,0.02891578911984686,0.038946711812562484
20,21000,127266292.05493283,2323,1903234,2458296,2836393,2988955,3077650,3366833,4031406,13937,10066,6969,1549,2323,3872,3100,9292,1.8255064898383983e-05,0.014955920499940246,0.01931721732433584,0.022287343155014214,0.023486262625596985,0.024183494221401196,0.026455669904513437,0.03167924749333843
21,22000,133474383.54324841,2327,1226762,1459366,1527075,1610294,1710347,2100051,2849455,43363,36397,21761,13781,13009,15980,16662,13371,1.743972271609629e-05,0.009193499031120315,0.010935461380888627,0.011442140758394564,0.012065618277280527,0.01281558114432072,0.015735702481024717,0.021350467418914765
22,23000,139682472.12844324,0,684752,876729,917600,962905,1005429,1222566,1531399,182362,148343,121243,95208,104471,122379,116290,116484,0.0,0.004907415872210559,0.006282038396158826,0.00657366562579561,0.0068986874164640765,0.007204272922594426,0.008759758140226752,0.010972580214820291
23,24000,145890557.67616892,6206,442342,471769,482606,517544,529169,634957,947405,180230,158279,171403,83508,89100,90412,92730,93512,4.2591352987637254e-05,0.0030353055892505896,0.0032375222121512463,0.0033098948306810047,0.0035496490107080184,0.0036294133832713506,0.004355051169968738,0.006498108350592298
24,25000,152098640.05075693,10082,600948,648755,676638,735441,776485,967413,1276511,187591,168592,167043,85726,106443,125212,107436,117481,6.636778603662579e-05,0.003955425590329799,0.004270046603823071,0.004451187612745003,0.004838676025943646,0.005109347140216283,0.006364927536707557,0.008399139787937038
25,26000,158306719.11792064,0,283318,316113,325401,353260,361849,485695,733608,152546,135548,133519,66619,73963,85262,83234,78598,0.0,0.0017912113692878913,0.001998524400874059,0.0020563750892315597,0.002232533949776734,0.0022869780533642673,0.0030696770434428347,0.0046363945600622625
26,27000,164514794.7418139,6205,321115,572291,584698,607035,624309,760007,1107271,112059,88518,91649,58387,51607,67537,61058,67143,3.774268093533818e-05,0.0019529421109755012,0.0034805987771249812,0.0035553372959352164,0.003691008354726573,0.0037964087001084563,0.004621403046579489,0.006733273405073839
27,28000,170722866.78812218,0,666665,1026638,1066822,1136111,1186968,1427235,1885779,269401,238940,225364,137543,130865,163813,173087,203340,0.0,0.003910427291063824,0.006021425435631198,0.0062538908758942285,0.006659813989468667,0.00695927875792813,0.008368436486831506,0.011059020837790392
28,29000,176930935.12178135,773,715097,1102395,1168993,1260661,1343990,1537231,2065642,272056,217405,199067,131237,121347,172757,143541,166301,4.375664579345178e-06,0.004046645435169531,0.006237669593580984,0.006611962647101277,0.007130048847417104,0.007603552006934747,0.008695365456549841,0.011685833030247915
29,30000,183138999.60708618,10827,1210915,1755802,1868738,1965555,2109477,2542634,3476213,231003,160404,85306,63869,44723,125705,121634,140741,5.919369410216668e-05,0.006617795901113065,0.009591732160120867,0.010207492376507789,0.010735207219054757,0.01152635935290311,0.013892856514275784,0.018995880214706
