,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226493,1416514,2706424,2706424,2712650,2712650,2712650,2721167,2721167,8842,8842,8842,692,8150,8150,0,692,0.4576458627589716,0.8743886375084094,0.8743886375084094,0.874098543902637,0.8762042335433146,0.8762042335433146,0.8766475030734476,0.8768429810023065
1,2000,9312181.8201874,2520359,6787618,6787618,6839503,6839503,6839503,6916085,6916085,3611,3611,3611,0,3611,3611,0,0,0.27075681634543985,0.7291793908125793,0.7291793908125793,0.7344683697190054,0.734753286204499,0.734753286204499,0.7426922211728056,0.7426922211728056
2,3000,15520302.808599144,3637366,11284980,11284980,11719383,11719383,11719383,11882228,11882228,19284,10377,16517,8041,13750,12366,3199,2075,0.23465335052572042,0.7275972908744209,0.7278854429052295,0.7554915681930677,0.7557697152071753,0.7557022668225993,0.7657503711108256,0.7656949070831193
3,4000,21728423.459533844,4681661,11951552,11951552,12960753,12960753,12960753,13643283,13643283,30531,16607,30531,4412,22920,16694,3028,692,0.21576570207135135,0.550463017328611,0.5508162611778732,0.5966095637604728,0.5971182849622946,0.5969470568503606,0.6279877862482297,0.6279202697902226
4,5000,27936543.63784632,7997934,14551101,14551101,15386270,15386270,15386270,15686107,15686107,8301,2767,6917,5533,4150,4150,2075,0,0.2863744097225001,0.520914203211796,0.5209916046740984,0.5508669270689301,0.5508396523222681,0.5508396523222681,0.5615323206380259,0.5614906125591588
5,6000,34144663.20868902,6968641,12767757,12767757,13836676,13836676,13836676,14308977,14308977,1163087,399157,904999,693737,646074,918929,836864,906014,0.21128890129162797,0.37835428874711835,0.38411209330635904,0.4136410428123173,0.4130524994291694,0.4164445520779946,0.42959839256708415,0.4304921331237325
6,7000,40352782.03686394,5966916,10404277,10404277,11674548,11674548,11674548,12194270,12194270,1315734,558124,1214041,785072,686025,825375,847514,936063,0.152852643836318,0.261449086718171,0.2658306507662174,0.29505240483018114,0.2943156656126531,0.29535324665015633,0.3086745288912112,0.3093679610572224
7,8000,46560899.98757726,3129452,5350375,5350375,5789910,5789910,5789910,5948555,5948555,1853309,879782,1570099,940187,675943,785960,993187,902284,0.06999822470572324,0.11712443205647914,0.11892153245898715,0.12691406207475583,0.12618318464518863,0.12648645747151843,0.13054319846207124,0.1302832964016797
8,9000,52769016.925540954,2175164,4291038,4291038,4503959,4503959,4503959,4615761,4615761,2460832,991346,1988651,759662,779118,900044,1150239,1147004,0.04323678151416851,0.08287429548870093,0.08450191174856699,0.08659901678165553,0.08663142443209003,0.08683339472454046,0.0894201913624949,0.08941458766161879
9,10000,58977132.71608108,1701673,4676717,4676717,4842942,4842942,4842942,4902322,4902322,1737005,714894,1620799,909027,805980,857699,933236,972779,0.029728672312552,0.0802701218329458,0.08153793481902386,0.08340106742381335,0.08325332701652302,0.08332741202638395,0.08445887125703277,0.08451644895477706
10,11000,65185247.22380912,2235039,4488820,4488820,4677814,4677814,4677814,4713360,4713360,1776818,1062457,1524208,934974,868936,763047,910118,809869,0.03524829470402287,0.07000350397000157,0.07051125860856491,0.0728061339709066,0.07273137888337616,0.07261183231477362,0.0733310077617713,0.07321681254614784
11,12000,71393360.31405926,1106558,1802080,1802080,1882282,1882282,1882282,1936173,1936173,2023173,859573,1873689,1425534,930975,993879,982061,1098037,0.015951492173291767,0.025549173929595548,0.025921871693826,0.026902107713781816,0.026713288112663863,0.026737157218573077,0.027498043905765532,0.027543411264355906
12,13000,77601471.85152626,763614,1849913,1849913,1983951,1983951,1983951,2015624,2015624,1779074,996294,1469061,590140,659711,638998,682320,919700,0.01007108745749893,0.02414866790839443,0.02429862629212817,0.02576180611737701,0.025785100029467874,0.025778160455540707,0.026204449106389947,0.026285568934201427
13,14000,83809581.70149338,901826,2222868,2222868,2361350,2361350,2361350,2426089,2426089,1774381,1280214,1599760,596124,661881,546852,525952,703899,0.010993158940166803,0.0269342666969176,0.027038959019657142,0.02837702055923128,0.028399462403385364,0.028360228021177252,0.02913044266557101,0.02919281715925792
