,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292265686,3009419,3038640,3044440,3048789,3050964,3050964,3056039,3061113,0,0,0,0,0,0,0,0,0.9695103799405651,0.9789241780232658,0.9807926982272173,0.982193766221525,0.9828944612980067,0.9828944612980067,0.9845294164764642,0.9861640494962659
1,2000,9312181.820187762,7257325,7624428,7950815,8220488,8553046,8704599,8896924,9068447,47376,27896,20646,39404,42476,37953,22380,39054,0.7833218678136227,0.8212185781076918,0.8557051443234205,0.8865183831001728,0.9226879650671324,0.9385792790719358,0.9577086973659658,0.9779275316638936
2,3000,15520302.808601685,7663860,8479635,9341588,9939785,10939297,11836748,12877222,13385408,97583,74295,49676,88341,87260,64960,56323,70508,0.4969201343932637,0.5489855440366798,0.6038273765873576,0.6441037842939465,0.7088230840585065,0.765867709735448,0.8327236687697415,0.8663809562407693
3,4000,21728423.45952492,9122840,10033511,10741966,11353477,12498480,13699024,15764416,16411199,26988,23396,12302,23734,22659,17437,39424,41216,0.42037956507600144,0.4622666807821497,0.4946539841389799,0.5230886634509126,0.5758138591850157,0.6309719747436922,0.7268392453703951,0.7567225531746495
4,5000,27936543.637849137,6931034,8031237,8534412,8965734,9870700,11521667,14893765,15876239,59956,49047,15179,55052,58484,18835,46431,34813,0.2486327986065792,0.2879870181355733,0.30565884263518683,0.3215657941280664,0.3540669662173644,0.41270102605697456,0.5340159501467182,0.5690055289424819
5,6000,34144663.208691955,5631898,6382477,6795699,7198864,7938562,9102565,12234848,13208413,77454,58725,5718,65857,76003,54089,158672,169753,0.1653172693278048,0.18724662824074653,0.19906001660150235,0.2112416719035157,0.2330165598345024,0.26701119624084096,0.35999679764734727,0.3887696220200998
6,7000,40352782.03686851,3938734,4518611,4731998,4970473,5438598,6301758,8784294,9725776,597160,191651,22607,230012,428064,273943,443256,375203,0.09907363533004973,0.11251204543646563,0.11733145208703319,0.12388160128108477,0.13622132521957256,0.15723404548228093,0.2201051947318304,0.24328076472641327
7,8000,46560899.98756981,3850933,4214660,4467599,4746001,5362166,5838222,7865123,8697686,853179,558483,125806,387926,674830,210064,670149,818401,0.08425125814186316,0.09161822956256477,0.09621169284584477,0.10278742281746173,0.11685825352776061,0.12595721038484986,0.17138797754977653,0.19014453063361345
8,9000,52769016.925552815,4394271,4855754,5125781,5512072,6156012,6664210,9062196,9887863,1831176,867472,98115,1385417,1748840,959258,1337978,1348516,0.08626731954388014,0.09355702237698428,0.09731712981192132,0.10727298219638506,0.12065838205505788,0.12862846958187987,0.1762009127040514,0.19229417882015112
9,10000,58977132.71606448,3594223,3911796,4165479,4504121,5199920,5599361,7530311,8224526,3087048,384786,112327,2927483,3004343,2759422,2942080,2929451,0.06430877709811222,0.06676291733042139,0.07076348846018905,0.0803594852566771,0.09290085461842892,0.09960136990067714,0.1343857217045352,0.1467415912341415
10,11000,65185247.22381002,4304044,4976022,5221938,5485993,6594901,7652232,10393468,11303844,3497087,877589,73753,3405266,3481858,3187022,3447495,3680790,0.06977098983637303,0.0773783735473922,0.08019994107415888,0.08879887774853673,0.10688069298882481,0.12342662991361258,0.16834866229534698,0.18378902132029515
11,12000,71393360.3140729,5170095,6360867,6668983,6941988,7925485,8907721,11718003,12811580,4467236,2728690,683155,4276418,4409091,3987137,4499177,4578644,0.07725077543318697,0.09263667867194773,0.09431429268771652,0.10343123152891937,0.11831860048871076,0.13214983071363187,0.17517222603620333,0.19174787691647432
12,13000,77601471.85150814,5051236,6182871,6559665,7010934,8318176,9248079,11488190,12521551,5511224,4170222,2441404,5272503,5448214,4491043,5228204,5286151,0.0700682290676065,0.0841994520385113,0.08727593238685954,0.09693120351810205,0.11528482909418808,0.12649466218811858,0.15873526705427887,0.17315211842469289
13,14000,83809581.70150286,5224737,5976291,6303312,6867700,7865716,8427699,10577990,11760942,4226856,3586576,3040614,4096846,4223232,3929969,4138469,4359139,0.06565164681085225,0.07449597466139371,0.07804125989693335,0.08615561791427163,0.09883247604019045,0.10550500578280146,0.13277070749132971,0.14802865283188074
14,15000,90017689.72859955,4915132,5536238,5820836,6357387,7305614,8251066,10977686,11687578,3555233,3053448,2626471,3446787,3525526,3353370,3487712,3457885,0.05684700835448504,0.06366108517656771,0.06660664635055696,0.07343560942099053,0.08446561728902986,0.09520718590810236,0.12686569774039938,0.1350231558013023
15,16000,96225795.79823744,5661366,6829627,7221883,7556405,8373720,9152833,10966829,11546545,3895134,3263459,2366131,3696621,3810985,3170554,3419453,3375715,0.06131620731118894,0.07346660201564005,0.07694341350487774,0.08166510742667879,0.0906101514213099,0.09835913402756172,0.11816895989363649,0.12435686539778634
16,17000,102433899.77490354,5615617,6420371,6789261,7077952,7760200,8345636,9803868,10613990,1672973,1216727,543606,1444474,1546001,968926,1305429,1395706,0.055732089607959806,0.0634316373791455,0.06663304961117164,0.07008607035528776,0.07691903681445683,0.08225139858129268,0.09694468753336444,0.10504928486396167
17,18000,108642001.52417588,5674222,6316413,6643053,7075616,7803174,8382272,10023472,10770451,1126758,702007,230725,752619,946347,497585,782907,951559,0.05277597681973435,0.058517818421653524,0.061276402353943216,0.06558213453872065,0.07245579252455647,0.07750998405105942,0.09293117139745047,0.10001306288236392
18,19000,114850100.91039956,5431744,6394663,6714622,7176465,7966506,8955576,11317799,12284029,1323251,976286,511292,896667,1150936,574550,674679,653521,0.04784545686141185,0.05615569308037651,0.058725659852393995,0.06297717193536075,0.07006653044706171,0.07836825925277605,0.09912640400735082,0.10756914970341706
19,20000,121058197.79922247,8335556,9478600,10190674,10726901,11732457,12592955,14887983,15805477,1186448,742010,285572,947303,1060088,768292,776013,574655,0.06953728475609577,0.07878075405628214,0.08437900503166511,0.08930830977432232,0.09777201507282426,0.10468837693679031,0.12377546205077113,0.1311837005518566
20,21000,127266292.0549345,8803589,10147985,10572529,10993528,11655410,12622817,14567941,15464463,1394613,1108422,205180,780308,745354,403949,660386,576750,0.06994098327835785,0.08043877877441286,0.08320822027300531,0.08691498968949293,0.0921223805259751,0.09950010929984172,0.1150652560685356,0.12206582129166095
21,22000,133474383.54323149,8992633,10507301,10948104,11333933,12005264,12711325,14356849,15159520,1222221,690173,227140,814396,858665,680957,947156,794684,0.06799611308480817,0.07913065082824033,0.08216383100223709,0.0854359570650983,0.09052670476679879,0.09572254689776961,0.10833131625964691,0.1142565143890797
22,23000,139682472.1284163,7537690,8622974,9090628,9360180,10285228,11493433,13720757,14513386,402099,276478,70440,330622,375963,169234,266446,212137,0.054118824000063966,0.06185511644540044,0.06511349961325945,0.0671693988373628,0.07383163977297583,0.08238238287767903,0.09841592377164582,0.10406073798157081
23,24000,145890557.67621398,6222105,6993369,7471265,7877723,8519941,9160609,10896020,11620396,479322,252355,83596,246473,379586,107678,337765,166108,0.042789712714186065,0.04801878127779296,0.05124079751823547,0.054088863392654896,0.058551880328022825,0.06283734427763983,0.07485957362727133,0.0797422534503951
24,25000,152098640.05072927,5102271,5599090,6017145,6482413,7076671,7852320,9494641,10184339,1157937,793206,227656,848966,911777,582620,708163,498587,0.033803148500541905,0.03700521422200046,0.0396201093817243,0.04285902128837509,0.046807446475197335,0.05182501492166277,0.06271623674729851,0.06717899364185617
25,26000,158306719.1179397,6002628,6606334,7079751,7540476,8305750,9429269,12282142,13170422,285016,176964,31531,128800,163678,170870,204008,223004,0.03798609862798359,0.041777931010344785,0.044730643407761936,0.04767085091300078,0.052520489939268014,0.0596276495974517,0.07768457550887856,0.08331295851804908
26,27000,164514794.7418375,3721293,4284135,4526633,4764769,5278474,5953974,7830678,8654730,186901,175860,32199,137696,161669,82075,132251,144026,0.02264553457884775,0.026068898442904064,0.027520437524616557,0.028986817728686824,0.032116663289332985,0.03620918032218802,0.04763691947910276,0.05265370519494991
27,28000,170722866.78805447,3084181,3349331,3579661,3751217,4137469,4605639,5953368,6724357,370886,352216,216375,292642,298198,244606,218147,206201,0.018104755728301287,0.01965908438165594,0.02099427982161315,0.02201028018747837,0.02427740672417259,0.02701599006647492,0.034916147819252875,0.039435189334267845
28,29000,176930935.12179327,3984489,4347911,4697111,4990901,5747253,6215255,7441869,8134672,939844,838159,514640,737021,781298,428828,658571,539207,0.02264028806573263,0.024691024218919687,0.026625153854167697,0.028326182688410348,0.03262710666855497,0.035213488956883865,0.04221801322672526,0.04611708319101704
29,30000,183138999.60709858,4777166,5676122,5915591,6135589,6764793,7236841,8341411,9071646,657277,480746,305211,532784,618854,362220,476367,514920,0.026178873871580643,0.03107509180619589,0.03235502061772801,0.033600110377411965,0.03706326760533169,0.03959387519331772,0.045665667251944764,0.049673876629614984
