,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292270906,1231474,1917272,2110585,2243412,2339122,2395342,2548913,2715528,0,0,0,0,0,0,0,0,0.39673000855870405,0.6176657704258179,0.6799432266648524,0.7227345944459237,0.7535683993976755,0.771680159029767,0.8211543859678662,0.8748308504129202
1,2000,9312181.820186386,1449914,2272350,2734870,2933823,3209664,3441847,4060879,4593018,0,0,0,0,0,0,0,0,0.15570078290964678,0.24401907564499403,0.2936873498401324,0.315052160347668,0.3446736824921399,0.3696069370702118,0.4360824432354909,0.4932268386387745
2,3000,15520302.808602707,1600878,2671529,3170374,3409033,3677718,3915321,4620394,5191264,0,0,0,0,0,0,0,0,0.1031473431763621,0.1721312420862823,0.2042726897211504,0.21964990258504596,0.23696174265114772,0.2522709156054473,0.2976999905851691,0.3344821337585339
3,4000,21728423.459528252,1752563,3639471,4497714,4997195,5527734,6152649,7022793,7868092,0,0,0,0,0,0,0,0,0.08065762356225958,0.16749816233924855,0.20699679423946804,0.2299842420370656,0.2544010618301901,0.283161316855778,0.3232076645174363,0.362110579014407
4,5000,27936543.637850463,1279890,2383241,2901916,3421332,3875160,4364277,5539296,6556176,0,0,0,0,0,0,0,649,0.04581418577013628,0.08530908586597705,0.10387526952576456,0.12246797758347351,0.13871293636875145,0.15622107933520307,0.1982813647889841,0.23468645214307934
5,6000,34144663.20869093,747951,1332323,1454021,1848315,2156412,2629315,3572832,4528598,0,0,0,0,0,0,0,0,0.02190535590960587,0.03901994850137753,0.04258413653440003,0.054131885521997,0.06315516972067023,0.07700515257478814,0.1046380799881663,0.13262974574742106
6,7000,40352782.03686167,744289,1724603,1925521,2444626,2913932,3713968,4843096,5817201,17532,34889,34889,19480,30518,22725,19479,24023,0.018452569385830196,0.04277512712341484,0.047758472850740065,0.06061060901400514,0.07226608102501762,0.09208933170130242,0.12007685052656775,0.14424448306685825
7,8000,46560899.987573594,309149,617779,670642,787600,954733,1322327,1876386,2480706,14272,24172,24172,12324,18160,17512,14263,19805,0.006641705605023258,0.013275084577604202,0.014411026064812232,0.016919959059762738,0.020513038129145456,0.028410630535814066,0.04031195638260467,0.053301410305501944
8,9000,52769016.925554335,291142,621986,653323,738819,808292,998842,1479961,1979092,14925,16224,16224,3246,12329,7139,1300,28194,0.0055188515122363314,0.01179057952206924,0.012384614420737511,0.014001861188427965,0.01532112859587758,0.018931130567591634,0.02804671276735274,0.03752486006510674
9,10000,58977132.716067046,83586,157093,162873,192901,251926,318506,519922,758196,2596,7790,7790,1947,7140,6492,6491,11035,0.001417323554442231,0.0026639774629402093,0.0027619944957538575,0.0032708841465749986,0.004272104987582267,0.005401094445175671,0.00881662442310413,0.012858168157079982
