,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292263027,84272,1191607,1451665,1853225,2006368,2099732,2304875,2349334,0,0,0,0,0,0,0,0,0.027148954246104747,0.3838865094258845,0.46766644514989136,0.5970324749945114,0.6463688180279178,0.6764468387730446,0.7425354319108444,0.7568582835914449
1,2000,9312181.820187923,139400,3312119,3817198,4957633,5590946,5852959,6562003,6714380,15389,15389,10060,7545,9222,9222,7545,7545,0.014994418257583825,0.3562646887007911,0.4103577736120085,0.5328131657157869,0.6009857193908703,0.629150196617937,0.705240099835242,0.7216165584702953
2,3000,15520302.808603609,111703,2355650,2784877,3769017,4402674,4668516,6084888,6477803,275442,44450,19283,5868,242636,248910,227712,262089,0.007327256142408277,0.1522145518656268,0.17965766345607118,0.24293614601479857,0.28817711861084944,0.3057033538794083,0.39789778436866585,0.4245453026977101
3,4000,21728423.4595295,71854,1118236,1337885,2164362,2753975,3210482,4712416,5194084,224490,103308,37731,15089,195546,108293,125298,200410,0.0033414351906933468,0.05171005917137099,0.061680142415749345,0.09967893250270041,0.12789628349374238,0.14849503364513308,0.21813584376149953,0.24127093796946733
4,5000,27936543.637844674,18699,1088933,1286772,1549913,1690772,1822626,2452816,2645535,164087,15693,49514,46973,117535,80702,51452,52031,0.0006732929767012201,0.03900071004728025,0.04614231120024914,0.055573211223870544,0.06077757917296493,0.06543065629450585,0.08796155421885447,0.09487470820664434
5,6000,34144663.20868683,21795,1686311,1953253,2199729,2264788,2412116,2864148,2929831,200608,57830,68404,51126,120084,107342,214797,221284,0.0006420859224392938,0.04947103738490596,0.05732005347294901,0.0645204100277258,0.06656329196928837,0.07086679898253545,0.08441377229087664,0.08636613062562329
6,7000,40352782.03687227,3666,666246,759554,853860,927519,981702,1199251,1266659,703652,118818,489627,97735,617640,128022,141307,287190,9.246104508701078e-05,0.016559293023909384,0.019054036222106215,0.02121125331732672,0.02334253641623598,0.02440541594530625,0.029823601320278257,0.03161463329517998
7,8000,46560899.987573236,17296,983794,1146858,1296964,1357828,1450126,1755659,1836275,920554,356716,726192,228336,809374,185425,220240,488176,0.0003789629466154635,0.021292314139009456,0.025021605904218647,0.02799249358071045,0.029678310628782203,0.03126924307273565,0.03788592999044035,0.039856011129172246
8,9000,52769016.9255476,5870,604891,661827,761505,829906,889290,1018736,1071226,1479766,484228,1208775,346913,1358846,306412,213756,550373,0.00011444893216555254,0.01156915830455683,0.012835994853470057,0.01452641048290481,0.016142836817288023,0.016950931072943053,0.01938409175521347,0.0205142439456554
9,10000,58977132.71606219,2516,457443,517400,569756,612297,648951,769128,798291,1709819,869893,1400564,535381,1577266,400091,280709,709401,4.3934311507513906e-05,0.007872392532071218,0.008986294451681356,0.00974912598048302,0.010667219891447258,0.01107858951200763,0.01310348997956973,0.013700396025197282
10,11000,65185247.22379804,838,341327,362289,419452,445279,470419,579594,603490,2343593,1368717,1992362,1072792,2252981,940898,622754,1124868,1.3335104085828644e-05,0.005348567194158021,0.005733066289297459,0.006542441691490591,0.00707552781297452,0.007322340496613555,0.008977255540471584,0.009420643575831458
11,12000,71393360.31409055,13408,615281,711899,882535,952840,990880,1141867,1177998,1724730,987791,1383261,731352,1663929,613592,547574,1248370,0.00019245390557489142,0.008739095585679205,0.010168518641948562,0.012489526140796308,0.013664818169934726,0.013999480693450358,0.01611764170331318,0.016793758110525633
12,13000,77601471.85149902,0,323350,367361,413961,436602,450951,522623,556993,2173602,1042480,1447495,743320,2041774,757120,588070,1029071,0.0,0.004223540464419907,0.004823924044260452,0.005386038956542073,0.005778239093254107,0.00586836884084153,0.006786130562155234,0.007274069949565856
13,14000,83809581.70151138,2516,439388,473859,533575,575101,616999,729885,776027,3527132,1801420,2857956,1314596,3375020,1248393,804130,1953079,3.13393526151038e-05,0.0053578569606188625,0.00585360696457456,0.00646796887668561,0.007149923960973032,0.007473233000928257,0.008793217614484834,0.00948033417491304
14,15000,90017689.72858608,5867,347167,381650,447275,475334,495434,554469,572619,4480417,2671780,3791890,2071627,4268487,1851518,1529639,3082781,6.858998203761155e-05,0.003974622292890049,0.004426169443499788,0.005085787653511603,0.005543305183892265,0.005619320769933869,0.006266032480483591,0.006586755635618566
15,16000,96225795.79822719,0,349889,406068,441919,464687,476598,556774,587818,5476481,3627908,4648256,3144148,4979318,3154088,2574225,3947150,0.0,0.003778585109440247,0.004434144014948313,0.004747649085004882,0.005092656847835372,0.005120761306252491,0.00594516456322524,0.006370032794860247
16,17000,102433899.77491975,0,397109,429815,460812,492000,507598,566608,593248,5674129,3770759,4959277,3342827,5380714,3395415,2980071,4022758,0.0,0.0040248972096471654,0.004409506677368661,0.004650388648498242,0.005069385369183228,0.00512526015673195,0.005697196447633267,0.0060282605129899055
17,18000,108642001.52418816,6706,385588,433043,522691,582269,607547,733244,768705,5764627,4853551,5384057,4447951,5341289,4442030,3975259,4945581,6.518440066161787e-05,0.003715133986995381,0.004193798375470855,0.005016514833336475,0.005636640694648258,0.0058305870060527685,0.007005510846299144,0.007413033122205914
18,19000,114850100.91039968,8303,603250,704163,848498,921948,965690,1106825,1148518,5876830,4699244,5543157,4265785,5613858,4241457,3799186,4828883,7.619299604970945e-05,0.0054765801821288,0.006442070144941675,0.007672860233520735,0.008439946078667515,0.00873069197722262,0.009966824684812643,0.010439059136169018
19,20000,121058197.7992053,918,411159,467321,557748,582052,615366,687153,719711,7023010,6113475,6689458,5890978,6757719,6062182,5765174,6211443,8.050146781153435e-06,0.003577015020674291,0.0040860903147176865,0.004842940560451462,0.005092297128715499,0.005351194088971669,0.005960057055982397,0.006266707328895114
20,21000,127266292.05491996,1676,233495,284652,331973,349579,358856,421787,447930,8227443,7199871,7778707,6948946,7751250,7289621,6634767,7279724,1.4079437203116421e-05,0.0019447152496799777,0.002382272600698773,0.002759144968577248,0.002924979098776205,0.0029910481499835226,0.003496490654561259,0.003733167864214389
21,22000,133474383.54326534,2514,215818,246856,260381,273464,277656,307870,325493,5540405,4542167,5163641,4441995,5015604,4755582,4286798,4603627,1.9650760717566545e-05,0.001673887301298188,0.0019238919135454472,0.002017950709427445,0.002128807396211455,0.0021570741544441234,0.0023831237243527037,0.002525732049153629
22,23000,139682472.1284399,0,113687,140433,159225,172161,187054,244926,258563,1367918,523634,673823,596612,594222,1000891,569846,462176,0.0,0.0008169585311934692,0.0010102464909952764,0.0011447964577633014,0.001237782485875114,0.0013488020433424393,0.001760630985241158,0.0018572220228684083
23,24000,145890557.67614388,5034,242059,276575,325463,369576,429991,603166,626635,1265325,467887,737065,521771,644116,982397,824901,573768,3.480720415691587e-05,0.0016645203865019444,0.0019053967968726347,0.002238878148753311,0.0025444754152672733,0.0029673346069238257,0.00415788280851722,0.004312199584070996
24,25000,152098640.05077457,12572,424021,535713,640317,698504,780884,926584,944818,3061213,1507538,2213349,2080410,1470005,2621131,2345851,1142456,8.435465002839138e-05,0.002815710850280075,0.003574153249090492,0.0042682612625364325,0.004637259042840992,0.005224090265879056,0.006187423993057226,0.006258889001077343
25,26000,158306719.11792755,2516,264019,324895,389942,408374,421784,481961,497049,3804191,1713815,3120343,3004458,2598969,3376148,2758931,2460480,1.628452317673149e-05,0.0016860214802656168,0.002093579398703848,0.002510858484564501,0.0026226954001371925,0.0027224065396296336,0.0030984754320942474,0.0031893551157425567
26,27000,164514794.741848,0,271238,305246,350907,371034,417964,493977,514444,2763304,1447797,1954176,1900929,2064544,2241873,1733065,1898590,0.0,0.0016633531232935186,0.0018777364552526798,0.002157915614385985,0.0022839853943322956,0.002575685428681184,0.0030345973149651833,0.003163546959029551
27,28000,170722866.78808117,4192,720795,819173,949929,986733,1036045,1219189,1259105,1620184,1114090,1055163,1030180,1043570,1040173,972798,487916,2.4789671759692885e-05,0.004249750594573312,0.00482810211790905,0.005597937176787755,0.005815282233473468,0.006105778832660032,0.007182259239741788,0.007396277874614659
