,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292258087,2737227,2803687,2845591,2868970,2884689,2899566,2916003,2929705,46129,46804,48221,54598,54598,54598,54598,57432,0.8951236757026504,0.9170597499726347,0.9311977542227651,0.9408116605542296,0.9459663392341223,0.9508449036924699,0.9562350336919226,0.9616219620257686
1,2000,9312181.820188329,8353747,8517730,8688992,8747823,8795828,8849664,8900223,8948124,78902,88146,86729,86020,85311,86019,81293,82001,0.9047431858108261,0.9234276802522318,0.9418499199286592,0.948154082975041,0.9532839649987068,0.9591922636174934,0.964178333567928,0.969441896569197
2,3000,15520302.808606349,12509489,12904883,13484334,13681485,13882813,14012273,14128947,14227534,222614,224739,230407,235367,234659,233950,233008,228757,0.8177371860880233,0.8437010339389265,0.8819114380367433,0.8950960063761924,0.9082255987270549,0.9166524661206935,0.9242280715385806,0.9304182963629809
3,4000,21728423.459522624,15466422,16226522,17500543,17973227,18616598,19181824,19400716,19546351,141369,148455,147038,148454,149871,148455,149164,164647,0.7164674564100778,0.7519251953697689,0.8109091528355987,0.8328661925918032,0.8627361837603007,0.8888717347283985,0.8990445680673596,0.9064437779110939
4,5000,27936543.637848467,14862711,16027868,18282590,19146381,19822204,20829650,21321658,21518953,847336,854212,883002,991451,915207,905331,909838,884560,0.5486580190420238,0.5918200919451306,0.6757928497769133,0.7105702421340354,0.7335759983181318,0.7705777124787518,0.7889107272527118,0.7954667313155108
5,6000,34144663.20868996,13102677,14700048,17669056,19242511,20618481,21608075,22390558,22658761,1785618,1807787,1826745,1978453,1679905,1712544,1764600,1773605,0.4049154391144181,0.45459084869952976,0.5467263047670247,0.598221266203175,0.6351034825967371,0.6662554136829353,0.6914921028934546,0.6999697338877013
6,7000,40352782.03686966,10664751,12039731,15008718,16703071,19787191,20743877,21902085,22447063,1265781,1350247,1354454,1355902,1267669,1317184,1261301,1329125,0.2728464890396744,0.3086909860761273,0.384855422155804,0.4283181368408974,0.5062590194208829,0.5314092275570397,0.5602776978273796,0.5752167967956451
7,8000,46560899.98757139,9796805,11197478,13154981,14664245,16845339,17665318,18495732,18897655,688178,686462,699336,829927,790011,788780,744494,887406,0.21356493740777616,0.24408970422773782,0.28684108992805035,0.32066330633256807,0.36803608958904377,0.3859405682934657,0.4036923368676569,0.4137554049432348
8,9000,52769016.92555064,9811483,10878763,12236218,13099874,14850870,15366164,15952628,16202598,568007,592263,576971,657817,838012,887730,712402,783291,0.18795580801967604,0.20849827138580837,0.23444603067399114,0.25138308115559244,0.2859730910520702,0.2961793145580672,0.30644766323770445,0.31167397803012176
9,10000,58977132.71607295,5461521,6108315,6872339,7439997,9029410,9531439,10198325,10441140,416182,367252,384818,402293,476211,511119,755714,594241,0.09326216417625546,0.10421988452068082,0.11729079203137867,0.12701694167775013,0.15434645703230343,0.1630252927159921,0.17516448799940684,0.17883903474287022
