,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292265477,1207587,1521121,1789754,1922663,2027700,2055402,2167566,2221747,155589,154918,135734,87486,83388,93907,71202,68057,0.4095637170220213,0.5157841417791769,0.6029504914916838,0.6373662966505067,0.6712743315448912,0.6828229562914804,0.7146940444608794,0.7317998498460334
1,2000,9312181.820189256,1947018,2208326,2401757,2433816,2478540,2493441,2525494,2543151,1676847,1677518,1659147,1607475,1605537,1604228,1579320,1589172,0.2550009981031506,0.2892499332007598,0.3138306640999453,0.315886906121136,0.3216107732780052,0.32348935374638477,0.32659241283819945,0.3292953212815776
2,3000,15520302.808600783,1109525,1268278,1355964,1398217,1433544,1456639,1522982,1540334,5106865,5117259,5109838,5033350,5045979,5044290,4985943,4993864,0.10654742654568972,0.12191412660892988,0.13025009208808305,0.1333291972910629,0.13686267736184304,0.13904517172832231,0.14457281008728795,0.14633001986782532
3,4000,21728423.459532164,765511,872361,957699,998092,1089537,1137443,1178769,1195788,7064552,7154373,7102107,7145440,7094576,6993103,7033087,6997520,0.05220388095412443,0.0598571414599043,0.06547779836773975,0.06844223630711159,0.07445321560259259,0.07719160252563065,0.08021381499131235,0.08117546919542278
4,5000,27936543.63784378,674873,813551,894096,921201,964578,1011277,1089357,1131380,8003669,8016444,8059832,7927999,7856441,7843241,7793567,7803036,0.03385728412291885,0.04084070937348291,0.04498208840026173,0.046040380081300764,0.048036507452014564,0.050329058304997516,0.05408123236132646,0.05619388436187895
5,6000,34144663.20869057,1137949,1292047,1345549,1370406,1413209,1454702,1487073,1508533,12043446,12096094,12087558,12023520,12013496,11966672,11931030,11999752,0.051488069152704374,0.05860003829594223,0.06100297329451235,0.061950053262239124,0.06385605362219914,0.06559214431602656,0.06694415929305149,0.06812097758188301
6,7000,40352782.03687087,1029028,1137591,1214228,1242632,1289753,1312017,1354672,1379824,14622111,14737521,14737079,14567346,14599299,14578896,14482712,14522232,0.0399922722001867,0.04441067371371074,0.04740170504991637,0.04819123470408441,0.050080721048624,0.050904896456944536,0.05236445042743515,0.05341829724997807
7,8000,46560899.98757163,159731,189640,190311,190980,190981,191641,191767,192115,17756460,17794592,17782258,17760240,17744400,17755309,17731700,17777148,0.00554536037044705,0.006592434457766816,0.006612924962970382,0.006631098040198168,0.00662748772690538,0.006652909849434606,0.006651832173028439,0.006674425213327027
8,9000,52769016.92553991,67233,79259,79259,80599,80598,80598,81270,81940,20790773,20881032,20820817,20852211,20809918,20805712,20773154,20783574,0.002102460665337015,0.002485544326023543,0.0024808596473267675,0.002525284020839456,0.002521910902049576,0.002521579047841173,0.002540015882338595,0.002561790380416214
9,10000,58977132.71607679,222971,257989,268872,295035,301044,307577,309590,309956,24798156,24997249,24876439,24965183,24896859,24872031,24858487,24857490,0.006523630062193201,0.007592403851515787,0.007884648982177162,0.008674451257951339,0.008833379758273115,0.00901850411004672,0.00907392405244621,0.009084385864742722
10,11000,65185247.22380191,248908,350986,379034,415289,424048,426911,435637,469504,27701476,27745994,27717779,27699947,27667419,27658950,27676755,27697804,0.006640420423917893,0.009374813057886035,0.010116349408397217,0.011078716123935574,0.0113025732052096,0.011376315586213019,0.011614356487610455,0.012524300395656158
11,12000,71393360.31408024,354926,413838,441358,478278,484990,489689,492374,496401,30982778,30997026,30959829,30955844,30923782,30920182,30943132,30976147,0.008782996425080796,0.010244444379096936,0.010915643171792545,0.011827581008813462,0.011984063590582596,0.012099099215779697,0.012172341678195437,0.012281920481317984
12,13000,77601471.85150754,114046,124786,124786,126129,126129,126129,126129,126800,35721401,35740109,35727656,35726409,35699567,35680153,35706846,35703343,0.0027231568065958687,0.0029809349600644,0.0029800484494299424,0.0030120313000427945,0.0030101018186876566,0.003008707823500745,0.0030106248101380607,0.003026388134166941
13,14000,83809581.70148945,10059,25481,25481,26150,31515,31516,35540,38893,39803187,39813279,39803898,39780472,39772808,39765734,39776749,39790137,0.00022858041582896453,0.0005791623030891041,0.0005790388390020072,0.0005939252503012883,0.0007156518825295795,0.0007155596444162214,0.0008071249978609218,0.0008835413591367728
14,15000,90017689.72860086,2681,8043,8043,10720,13403,14073,14073,14074,43348015,43370112,43330620,43335545,43323844,43308754,43320761,43338902,5.7446297099580735e-05,0.0001724205283883074,0.00017227468005071212,0.00022963812100587042,0.00028703996834834297,0.000301291386337086,0.0003013688562215997,0.00030150740164523656
15,16000,96225795.79823935,3347,6697,6697,8036,8036,8036,9374,9374,46840899,46859742,46822026,46837912,46829024,46809740,46831683,46836369,6.777375709974808e-05,0.0001356600231278533,0.00013555645707503616,0.00016271197269413027,0.00016268269580091118,0.00016261921090606984,0.00018977970185009852,0.00018979770788378874
16,17000,102433899.77488124,86595,90623,90623,91292,91292,91292,91961,91961,50213568,50230551,50201503,50196393,50169314,50161113,50169328,50167963,0.0016582621568416286,0.0017359614301909534,0.0017349960100544522,0.0017476331784636086,0.0017467277057015465,0.0017464536641820815,0.0017595284315368134,0.0017594824789248973
17,18000,108642001.52420557,11422,12091,12092,13430,13430,13430,13430,13430,52489037,52571873,52545715,52525161,52480278,52458955,52520152,52512367,0.00020340867301986128,0.00021564066853851238,0.00021555794062735862,0.00023932209786841212,0.00023913083782430044,0.00023904008114287466,0.00023930073783843476,0.00023926754759481632
18,19000,114850100.91036212,22121,22790,22790,22790,22790,22790,22790,22790,51842945,51867903,51873405,51856935,51851297,51858474,51861049,51916225,0.0003510871055895731,0.00036184828024635326,0.00036187989335671316,0.00036178527734944554,0.0003617528998237294,0.00036179411642170244,0.0003618089066085926,0.00036212611523339536
19,20000,121058197.79921627,5365,11384,11384,11384,11384,11384,14060,14059,54546444,54542678,54530513,54532055,54522501,54505100,54502350,54509392,8.066243473590704e-05,0.0001711480273230028,0.00017111673184415564,0.00017112069813454017,0.00017109612655524326,0.0001710513916924549,0.00021125115921317381,0.00021125848662735238
