,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227046,299859,672761,863487,999013,1065744,1124110,1253576,1360369,83361,18961,82632,77527,82632,76832,76798,74950,0.09926806263644614,0.21806783600325946,0.2857876541074878,0.3300848833637908,0.35272850389077137,0.37133303680700963,0.41409555546889465,0.4490984868212398
1,2000,9312181.820186233,362378,988641,1330458,1776825,1954001,2332628,3132004,3484460,413992,110848,408887,397220,394303,397185,390656,387400,0.040724912293724894,0.10744540077777442,0.1494343416533263,0.19930820073471522,0.21911051264533715,0.2616521404380346,0.3510614734660512,0.3904252305774899
2,3000,15520302.808602145,942892,2423791,2962832,3698902,4027319,4540136,5295491,5644203,22442,15773,22442,3543,5002,12469,0,0,0.06084013862588341,0.15632792673630416,0.19117683637702237,0.23838108249567744,0.2595707972201953,0.2927640350054307,0.34119765994932577,0.363665778277966
3,4000,21728423.45952992,1857927,4328181,4992814,5713707,6303035,7009932,8801530,9460110,302134,166863,282462,157444,166414,95052,166576,196278,0.08671249417727048,0.20073598142972077,0.23280905402267932,0.2648793491607411,0.29232131688979485,0.32403326560141826,0.40819925178117766,0.4393482301975183
4,5000,27936543.637849778,1343322,3307408,3940158,4743972,5470082,6526334,8839857,10049932,292851,97142,227099,155035,119812,100251,421792,425639,0.04859415916673599,0.1188031281356036,0.14219548791020994,0.17076005705236502,0.19664718598920328,0.23445413816083982,0.32127700501718276,0.3653072166217756
5,6000,34144663.20868397,1147447,2802499,3401307,4245027,5058550,6782427,10189011,11186180,193570,33994,139570,141125,60640,66651,207240,165522,0.03379705604609243,0.0821590154932092,0.1000234576369695,0.12484074374695181,0.1484141108879182,0.19902648542016957,0.3002293644201254,0.32920726075152174
6,7000,40352782.03686766,1088843,3516918,4945958,6309139,7473842,8374665,11666467,12788827,199092,37858,110157,150839,92882,112014,128403,86698,0.0271168851231422,0.08723613113555188,0.12290346356553124,0.15693617082672173,0.18563985487186735,0.20811394534834238,0.2900347321535305,0.31760791509525826
7,8000,46560899.98756954,1585133,4825873,6838202,8065809,8906300,10009387,12950522,14247055,230300,58115,87175,135539,148591,186379,160201,178063,0.034213521957956294,0.10377599968023385,0.14714125028344582,0.1737371304912337,0.19189521474541044,0.21583806768986286,0.2791018730875016,0.3071622161408145
8,9000,52769016.925552756,1919158,5885456,8478467,10340572,11540547,12505126,15492633,16597298,251614,55005,144223,187443,167602,135148,112404,170856,0.03654327695374705,0.11164879668639043,0.16111164277420864,0.19665771159000728,0.2193961325248273,0.2375870566856429,0.2942200825165848,0.3155490174550353
9,10000,58977132.716070205,1840244,6179750,8282281,9810824,11680989,12985808,16762377,17810600,410183,106454,120112,145744,270467,250283,279489,332328,0.0314212027247691,0.10497161124648431,0.14071865852595938,0.16676172727026084,0.19897210746892202,0.22112216239732202,0.28557154834157006,0.3037029466843707
