,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292267623,1878320,2058315,2141442,2167927,2215425,2242511,2413785,2557701,4600,6900,6900,1725,4025,4025,1725,6325,0.6060151183364422,0.664581287963059,0.6914210324747131,0.6988047906797055,0.7146450121776795,0.7233823311118996,0.7780541142163979,0.8256679414048117
1,2000,9312181.820186697,4276560,4879745,5215795,5302870,5418772,5534419,6004012,6474850,61625,80582,82882,65336,64507,62442,53815,58981,0.4623029816613449,0.5285914787304238,0.565134419903859,0.5734787951609788,0.5859604825389614,0.598332397190421,0.6484958002429771,0.6997416489518445
2,3000,15520302.808603685,4824629,5947127,6463959,6737975,6989144,7246680,8458499,9303267,130776,168157,173908,103145,114896,108913,111212,126168,0.3135008022015815,0.3873808309368126,0.4212037472394556,0.43704391455601577,0.45368123586951753,0.4702158656680276,0.5489291422227965,0.6043384130169149
3,4000,21728423.459527038,4699186,6237432,7140288,7494817,7822862,8240961,9523461,10379951,221168,426367,426367,231623,367677,387015,349081,352169,0.21849305732398358,0.29280891316060703,0.3351924267765523,0.34864802388201066,0.36622605931970836,0.38614888120568935,0.4454515389343121,0.48558324470046854
4,5000,27936543.637848333,6840632,8608825,9605695,9949894,10300337,10556263,11930313,12933490,242873,304413,306714,206071,242659,246318,247468,278716,0.24701066498028826,0.3115512557764295,0.3476566857597187,0.35880722733949166,0.3719354339305243,0.38122704878111185,0.4308671461640416,0.4676249403731613
5,6000,34144663.20869489,8514806,10590053,11464925,11984991,12340926,12781269,14282339,15417892,306959,384527,387405,293483,313656,313180,308579,355141,0.2516366343143353,0.31368513842881185,0.33962844165605155,0.3540494282950164,0.36478151312114243,0.37779215652936965,0.42210377867335647,0.4562920986208142
6,7000,40352782.036860004,9438994,11308590,12736072,13097761,13456024,13854418,15369955,16604864,320356,353787,355514,254542,272744,269761,270917,337288,0.23578371171682205,0.2827218531260316,0.31842354803490347,0.3266417924567258,0.33572882310203983,0.34564305887172514,0.3834640674994917,0.4149608645267391
7,8000,46560899.987573475,8740263,10237211,12499517,12874560,13366630,13738642,15191345,16474894,172184,218476,218476,164916,176051,167551,171760,203047,0.18841355734746626,0.22090365844361237,0.2697208286591071,0.27749298308768006,0.28816801804358416,0.29613387047526823,0.327476323209902,0.355385181544456
8,9000,52769016.92555219,10234800,11998099,14455872,14893643,15426192,15845547,17512765,19227389,930503,988992,988991,893496,924030,910115,900151,943719,0.19743621537258368,0.23171288575566576,0.2791785392456974,0.28710348800880914,0.297544524838082,0.3055511476650164,0.33763539432568695,0.3710039260675439
9,10000,58977132.71605688,10071057,12525136,14954154,15464498,16016833,16540666,18380276,20028609,1867736,1902114,1903266,1779174,1815548,1825332,1822455,1851435,0.17634675866166907,0.21945040547969738,0.26201403304943544,0.2703680052074784,0.2802027459448796,0.2894163577133428,0.3215883062330049,0.3506059409471398
