,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292263567,65112,237113,245459,339898,349079,354921,390456,405256,0,0,0,0,0,0,0,0,0.02097639439994709,0.07638800536544194,0.07907674150719704,0.10950108280736603,0.11245882142675899,0.1143408722942564,0.12578878013001815,0.13055672823665315
1,2000,9312181.820186477,440594,1078525,1111072,1423852,1476634,1501671,1648776,1703618,0,0,0,0,0,0,0,0,0.04731372394865643,0.11581872227430397,0.11931382155699262,0.15290208325974108,0.15857014269191216,0.16125877146693524,0.17705582127121558,0.18294509631534286
2,3000,15520302.808606222,1144706,1717346,1747274,2288285,2327029,2363264,2520381,2617447,0,0,0,0,0,0,0,3339,0.0737553908655213,0.11065157820553011,0.11257989109794381,0.147438167168434,0.14993451021520213,0.1522691940449472,0.1623925145714563,0.16868293515953664
3,4000,21728423.45952457,2827476,3678854,3746681,4062253,4151133,4194406,4380449,4484288,0,0,0,0,0,0,0,15025,0.1301279867481866,0.16931067303860875,0.1724322524816064,0.1869557175911595,0.19104621224511192,0.19303775111955482,0.20159994617924512,0.20652170172067053
4,5000,27936543.637844704,3176367,4394367,4466190,4770400,4878436,4971421,5268743,5385088,0,0,0,0,0,0,2504,2504,0.1136993552665936,0.15729816318605347,0.15986909683235836,0.17075841814367107,0.1746256109288819,0.1779540470162308,0.18861371532035667,0.19277870547245687
5,6000,34144663.20869455,2259091,3523124,3644160,4043278,4150724,4267209,4507522,4607320,0,834,0,0,834,834,23371,23371,0.06616234537714662,0.10318479448997639,0.10672707408846419,0.11841610430558956,0.12156586112910382,0.12497745855972645,0.13210291018378914,0.13502771148936718
6,7000,40352782.03686406,570440,1422420,1561110,2195704,2230235,2295765,2516768,2606738,0,2503,2503,0,0,0,2505,2505,0.014136323970894442,0.03525180082894781,0.03868895178082333,0.05441270438291285,0.055268432247436654,0.05689235993450753,0.062373004222515696,0.06460272869052376
7,8000,46560899.98756963,418742,1360360,1548630,2433684,2576171,2737369,3075231,3185071,0,834,0,0,835,0,1668,3337,0.00899342581676453,0.02921731254339678,0.0332603106987502,0.052268835023586764,0.055330055932863775,0.0587911531076675,0.06604986527314334,0.06841146304952388
8,9000,52769016.9255611,283830,434806,461447,672036,748410,933710,1258797,1322786,0,0,0,0,0,0,0,0,0.0053787244208166,0.008239797239606746,0.0087446578861028,0.012735427702737218,0.014182754267636795,0.017694284532856527,0.023854850314451163,0.025067474762055834
9,10000,58977132.71607083,118446,219572,242167,376570,419115,464321,650140,685531,0,2503,834,0,2502,834,3339,12520,0.0020083377157418905,0.0037231602988795996,0.004106174942681005,0.006385017084721507,0.007106699862484928,0.00787301017711161,0.011024218708569051,0.011626142671384971
10,11000,65185247.22379166,30395,101422,115602,198825,228072,294538,450206,485136,0,3337,2503,0,3337,0,3337,1669,0.00046628648803998505,0.0015559838558241665,0.0017735061844451365,0.0030501533470817578,0.003499007611420888,0.004518476381454882,0.006906916327770845,0.0074426107498180875
11,12000,71393360.31409371,32766,276315,308844,834469,1014581,1185426,1705026,1820979,0,2136,2136,0,2137,2137,1668,3805,0.0004589502420931949,0.003870433693423174,0.004326077931388403,0.011688327826688221,0.01421156485211406,0.01660464613114395,0.02388269481690665,0.025507638925445202
12,13000,77601471.8514967,39763,134453,146964,350862,389503,433963,686089,753287,0,11220,2036,2503,5373,7044,6808,11350,0.0005124000750410134,0.0017328594351947117,0.0018938797478018706,0.004521477607150352,0.005019620905754944,0.005592708291251734,0.008841961108473392,0.009708542557024857
13,14000,83809581.70149851,23031,145514,148016,254160,261395,266399,386313,409551,0,0,0,0,0,0,1537,1538,0.00027480151472451754,0.0017362453915862727,0.0017660987800557592,0.0030325888143104243,0.0031189154592251864,0.0031786222361641593,0.004609497827755581,0.004886774370473429
14,15000,90017689.72861171,66737,275291,277794,372542,376712,376712,445085,460099,0,834,0,0,0,0,20922,20022,0.0007413765027874066,0.003058216128210077,0.0030859934401505137,0.004138542114590497,0.00418486634277911,0.00418486634277911,0.004945566504590129,0.00511234359302988
15,16000,96225795.79820943,152918,484197,490870,612250,619759,628099,697935,717953,0,835,0,835,0,0,15783,12512,0.001589158070676569,0.005031927225363027,0.005101230869832246,0.006362694200353396,0.006440674196134135,0.006527345342169544,0.007254286531110298,0.00746209849261336
16,17000,102433899.77489567,31931,107468,114974,375787,393705,407982,511494,527163,0,0,0,0,0,0,1670,3340,0.0003117229752081117,0.001049144865480735,0.001122421388355436,0.0036685804291920285,0.003843502989393054,0.003982880676187899,0.004993486924223514,0.005146540262578946
17,18000,108642001.52420771,13630,67471,67471,111749,117188,122935,180091,189449,0,3548,3547,834,1879,0,3548,3548,0.00012545792427216053,0.0006210600189091016,0.0006210600131923412,0.0010286063979853659,0.00107868066858897,0.0011315605224063137,0.0016577095324711213,0.0017438484611508706
