,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292262906,1236098,2207511,2398148,2612723,2714483,2756203,2842109,2922128,7647,3522,7647,1545,3353,1375,2823,3013,0.3992031259431148,0.7119766156730203,0.7744921341788668,0.8421304877202389,0.8754398429616971,0.8883281548209278,0.9164434783119347,0.9423034888145426
1,2000,9312181.8201873,2024769,3405195,3786062,4408911,4931031,5174930,5599662,5817437,1235759,1073137,1235759,1136431,1140199,1042544,1075649,1113685,0.25070121328207573,0.41329973004353543,0.46877956792165537,0.5392668021527343,0.6034069219796746,0.6257746847591437,0.6798566972592556,0.7095736117962045
2,3000,15520302.80860336,1848907,2888323,3367202,4641407,5724766,6366665,7308388,7724392,1747645,1586006,1747645,1625619,1642682,1614084,1640590,1598450,0.13424474968404748,0.20728157578907622,0.2444845466135528,0.33404193027596046,0.4125178284487324,0.45782862240461336,0.5265518170858612,0.5548393670148931
3,4000,21728423.459527336,2062268,3030319,3429445,4577145,5990817,6831153,8255833,8978491,2391960,2222916,2391960,2245621,2225325,2245016,2299224,2281510,0.10665176723326275,0.15535709626051594,0.1773563716642438,0.23493257756466746,0.30717257631817285,0.3506138756370146,0.4249188453285272,0.46169234098181794
4,5000,27936543.637848675,1454553,2027109,2285763,3109484,4817426,5571082,7539327,8454982,3067443,2646015,3067443,2953868,2886151,2888258,2957194,2936601,0.0584883635794329,0.08015289158354402,0.09191176767049072,0.12446561149315574,0.1923094008802618,0.222413704496484,0.3018223896660793,0.3382000559953116
5,6000,34144663.20869599,650255,854680,959687,1307846,1917797,2259774,3419633,3967662,3026076,2331711,3026076,2142205,2094921,2387754,2528800,2221735,0.020896032189349788,0.02686578706663933,0.030839671273116744,0.0408670481333406,0.059838141209124854,0.07115849924655786,0.10816193685514885,0.12428878623105714
6,7000,40352782.03686522,509573,808075,893734,1232112,1589129,1875486,2913718,3445536,3977622,2544694,3977622,1367289,1205575,1866698,2684264,2294207,0.014008818091344804,0.021373072322834124,0.024569898774169662,0.031604371370522306,0.0405936750099057,0.0487315362665503,0.0773515431944633,0.0905324489070466
7,8000,46560899.987567544,294689,492364,540190,744770,1063755,1385835,2178252,2576116,3984721,2023498,3984721,2146282,1658558,1594397,3502577,2731780,0.006921452488398516,0.011055067831245335,0.012687611073735344,0.016768578313754147,0.023690412413110436,0.030819274524931575,0.050588407742422715,0.05877635692276583
8,9000,52769016.92554405,380991,789656,855809,1002930,1206644,1348588,1601301,1909697,4044257,1849786,4044257,2753337,2199193,2378829,3571449,2817918,0.0078192483776665,0.015508011131485148,0.017564150163238472,0.020052311624934697,0.02386094920513446,0.02676290872327481,0.03254837723733458,0.038231331063337565
9,10000,58977132.716071755,500702,787575,823202,992706,1188993,1397649,1753877,2023192,3408860,1575215,3408860,1551846,1610462,1897369,2815637,2442347,0.009010573399651205,0.013720360422374699,0.014814244887657074,0.017286914123881406,0.020726198420765136,0.024485893230957238,0.031229171830943463,0.035786674953732875
10,11000,65185247.22379917,459070,634166,693985,814042,1040174,1249639,1735493,2054722,3671038,1745197,3671038,1525498,1399300,1495229,2713884,1939630,0.007462828601597155,0.009996303561596115,0.011281702370181893,0.01278738936181154,0.01630725959670159,0.019620641269231808,0.027780616756876604,0.03248797450626845
11,12000,71393360.3140819,310593,550236,629021,843906,1126131,1350591,1937643,2341790,4541715,2060319,4541715,2266357,1900220,1800456,3423855,2730288,0.004646003827441707,0.007936129579364697,0.009409207462953801,0.012208051261323625,0.016204923175299417,0.019407021639801174,0.028507534239749124,0.034105523115657746
12,13000,77601471.85151207,310552,630774,720733,887736,1153297,1385136,2159184,2813057,5994818,3260020,5994818,3725448,3459643,2524642,3715846,3092063,0.0043369154023588305,0.008484822185876779,0.010065167986966071,0.012016564423991127,0.015555281247644584,0.018449580286481727,0.029223329641130898,0.037754386236053365
13,14000,83809581.70149755,533143,1188015,1367587,1731073,2151450,2491597,3434729,4076152,3859849,2044379,3859849,1545094,1109359,1525242,2396670,2180395,0.006668477579413015,0.01452959157133284,0.017105585644745794,0.021042773721284443,0.026015044817540026,0.030280330486198864,0.042188995924792846,0.04993498238449581
14,15000,90017689.72858965,822532,1285698,1407713,1676286,2000854,2307408,2983174,3558824,4540914,2621510,4540914,1891045,1694870,2574973,3166957,2720540,0.009622871159901337,0.014711146459636535,0.016468952975833392,0.019021330100136978,0.02265387366649407,0.02638765224051629,0.034348288221384166,0.04076678346388773
15,16000,96225795.7982353,478198,744333,833852,1035088,1327539,1531956,2139936,2486543,4460124,3000815,4460124,2016487,1519459,2071112,2908299,2635489,0.005211077199450046,0.007984265522252485,0.009086753070727647,0.010987109588255349,0.014017425284099222,0.01627062975733463,0.02293177671307261,0.026568381759454657
16,17000,102433899.77491105,455856,1042222,1268315,1579609,1841970,2034876,2501334,2837793,8835185,3888680,8835185,4947190,4806247,3730932,6386909,5628997,0.004870323284846977,0.010576078701539846,0.01355055999486832,0.016203326624184874,0.018867297816191692,0.02061615821563207,0.02604281487446025,0.02931455864997234
17,18000,108642001.52416933,305237,830031,1026703,1265424,1507955,1684462,2047747,2500915,9457569,3771977,9457569,7059178,6599659,5769312,7814321,7638582,0.003077468834896239,0.007914854638073468,0.010351453084634147,0.01245706661913095,0.014777737973261757,0.016374238952936538,0.020309373272839853,0.024760696338618028
18,19000,114850100.91040158,163165,580109,853037,1113966,1417289,1686158,2221967,2703190,6323189,3205897,6323189,4096843,3522650,3846668,5189837,4950880,0.0015034519745176838,0.005196051202671998,0.007860142567257937,0.010058087870437082,0.01273081336552528,0.015190142825231475,0.020262280253269024,0.02459698965658593
19,20000,121058197.79922843,199797,601267,936479,1215946,1474632,1736062,2323403,2739470,6908536,3867265,6908536,2885188,4276563,2015612,4944937,4034443,0.0017503074196699065,0.00513066143973861,0.0082039577274186,0.010289540751021297,0.012627259436256349,0.014583537381554865,0.02000979891536591,0.023409520611434545
20,21000,127266292.05493426,491291,970203,1111311,1419921,1763611,2089736,2827335,3251120,7401723,4251144,7401723,2844212,4002635,2486373,5043930,3376156,0.004098717443140683,0.007886857962945679,0.009271388607676744,0.011412130382108088,0.014307631642098861,0.016747374223571945,0.023132714443280203,0.026241960042391245
21,22000,133474383.54323578,594572,1244633,1441898,1775468,2042508,2356820,3078519,3585678,7925737,4983875,7925737,5082301,5572323,3920800,6354744,5259251,0.004735789802363536,0.00968657540631644,0.011484775341671619,0.013828485096829197,0.015969312701647635,0.018191854949450015,0.024217493151032242,0.027966106097428584
22,23000,139682472.1284492,527296,1062330,1212803,1409047,1593308,1852351,2370175,2700997,10989753,8130465,10989753,8395976,8399976,7261032,9463346,8329024,0.004097325812765691,0.008075361396521501,0.00942402187329255,0.01073261181882259,0.012136484657033625,0.01398830127661513,0.018201435307299178,0.02056281763809293
23,24000,145890557.676167,345787,945443,1069855,1328969,1576236,1835760,2312192,2591709,12373489,9941835,12373489,9972716,9897132,9415183,11157567,10296003,0.002589833670170468,0.0069544088490780965,0.008012870643489274,0.009777737665716867,0.011590530881642736,0.013451217879825925,0.01716129055249276,0.019113665782447057
