,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292263274,1914248,2864276,2969657,3050229,3067129,3079193,3087515,3101214,0,0,0,0,0,0,0,0,0.6166915626506682,0.9227513061540642,0.9567007074665849,0.9826576746860306,0.9881021559699584,0.9919886779941778,0.9946696823281924,0.9990829337547324
1,2000,9312181.820188144,3550449,6901362,7600793,8229178,8450570,8623077,8795661,9068111,0,0,0,0,0,0,0,0,0.38126929526900777,0.741111173864576,0.8162204246830774,0.8837003141583566,0.9074747640429194,0.9259996385922992,0.9445327818805724,0.9737901573550662
2,3000,15520302.808602458,2794705,6915386,8632524,10421874,11003761,11661612,12610572,13294690,0,0,0,0,0,0,0,0,0.1800676851775711,0.44557030138400394,0.5562084777891859,0.6714993984668556,0.7089913860379664,0.751377865742175,0.8125210026836798,0.8565999107073565
3,4000,21728423.459529273,1239181,4276378,5805141,7976185,8579012,9534081,11665281,13229914,0,0,0,0,0,0,0,0,0.05703041466897322,0.1968103211889743,0.26716807184895336,0.36708530717178856,0.39482901352594757,0.4387838361930814,0.5368673443670412,0.6088759280967463
4,5000,27936543.63784761,1243454,4027751,4999213,6301390,6758472,7560593,9570195,11539047,0,0,0,0,0,0,2269,2269,0.04450994425507259,0.14417499359309865,0.17894887301760598,0.22556083106369185,0.2419222681092095,0.2706345172119693,0.3425968679721337,0.41307845467968474
5,6000,34144663.20869161,1012662,4076158,4887250,6075258,6449596,6972983,8115598,9759893,0,0,0,0,0,0,0,0,0.029657987657123068,0.11937906591980686,0.14313364200224232,0.17792701491498464,0.1888903094630097,0.2042188249853643,0.23768276612944167,0.2858394865501439
6,7000,40352782.036869675,1048109,4099243,4857909,5784082,6132117,6769865,7848676,9414748,0,0,0,0,0,0,0,0,0.02597364907932147,0.10158513968763266,0.12038597476529396,0.14333787431843434,0.15196268238450536,0.1677669954407229,0.1945014842552564,0.23331100173955538
7,8000,46560899.98755929,975214,3401977,4122301,4938227,5149812,5718255,6704556,8303631,0,0,0,0,0,0,0,0,0.02094491301200298,0.07306510400161899,0.08853568124974918,0.10605952636910919,0.11060378990474819,0.12281238123678609,0.14399541249828515,0.17833914297658907
8,9000,52769016.92554328,866558,3031592,3589502,4231131,4500859,4803393,5732736,7091729,0,0,0,0,0,0,2269,15698,0.016421719609116602,0.05745022698219972,0.06802290831123048,0.08018210773132456,0.0852935920021152,0.09102676683891145,0.10864296598473719,0.13443190200050462
9,10000,58977132.7160888,878401,3228866,3745096,4508626,4702929,5020629,5794197,7083528,0,0,0,0,0,0,0,947,0.014893925146014678,0.054747761569615506,0.06350081510453538,0.07644701924903953,0.0797415673399981,0.08512840093751092,0.09824480664214046,0.12010827614556296
