,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292273174,20009,103388,243893,1175056,1784826,2258789,2415206,2463316,0,0,0,0,0,0,0,0,0.006446072544974989,0.03330733911139358,0.0785722410521058,0.3785544615127258,0.5749971450925848,0.7276884280969319,0.7780795185695869,0.7935785715027043
1,2000,9312181.820186954,92149,476825,907877,3553313,4947442,6246559,6865420,7025183,21944,19311,18433,5267,7022,2633,0,0,0.009918906467579064,0.05131083916115464,0.09768684494980111,0.38179279263336185,0.5316880199378025,0.6709840745939132,0.7372514983671322,0.754407842936529
2,3000,15520302.808602426,237233,650965,1433896,5244766,7277510,9385034,10501849,10762900,7022,5266,0,0,0,878,1756,2633,0.015292252034041021,0.04195703871221676,0.09238840360802984,0.33792936031460596,0.46890257810990005,0.6047282109835586,0.6767288928225219,0.6935899611701651
3,4000,21728423.459528975,353075,725305,1567406,6679813,9097371,11322690,13051419,13529754,1756,878,878,877,878,0,1755,1756,0.01625076651344184,0.033381819467412754,0.07213911957609496,0.3074352188104726,0.4187021961107069,0.5211003928144841,0.6007096313137623,0.6227256906841487
4,5000,27936543.63784428,188077,775774,1763583,7487528,9803447,12183738,13909814,14499298,141605,7321,9668,130774,0,137795,133407,135162,0.006766591660825731,0.027776426507081554,0.06315002877049851,0.2692796530188219,0.35091839302266964,0.43828368530997364,0.5002965737709837,0.5215315623113858
5,6000,34144663.20869084,188569,663204,1476601,7731799,10185432,12465853,14171515,14751586,11977,11113,7887,6145,1756,864,4375,6131,0.005524587161030025,0.019429681235769602,0.04325543194158077,0.22648314589212815,0.2983176546081398,0.3650985915131257,0.4150965250607481,0.43210955614092295
6,7000,40352782.03687136,54441,346363,930848,6983960,9146635,11085819,12068370,12367708,5281,3511,2633,878,878,892,2647,1769,0.0013493028961136743,0.008584120384318513,0.02306925803791716,0.17307634340174977,0.2266717077747386,0.2747286184084657,0.2990911923583924,0.30650303596340484
7,8000,46560899.9875671,118775,300769,908344,6830026,9084064,10649741,11565151,11785966,44765,37745,17555,16674,1755,4389,22823,21063,0.002553415068378883,0.0064649312816462655,0.019516087643521144,0.1467427130880732,0.19510805025362385,0.2287486921613179,0.2485094303120796,0.2532446773105064
8,9000,52769016.925551444,45730,256103,756181,5071437,6799749,8064109,8813532,8995444,635508,185608,276193,350431,603037,460183,390251,509329,0.0008771709586113628,0.004870414551528893,0.01440541665414043,0.09674883269844041,0.13034834215142216,0.15416342508183692,0.1682653618171744,0.17212969225562172
9,10000,58977132.71606439,63392,227815,671055,4488056,5972893,7198554,7784794,7909984,136772,46078,74845,95385,125361,109370,54688,98844,0.0010773557338626739,0.0038657886083599733,0.011392681439382931,0.07622151471525611,0.10149045348739463,0.12228346497081313,0.13211933139423157,0.1343446654529182
10,11000,65185247.223804,99574,439872,832141,4220807,5955856,7413623,8048907,8174504,62713,2634,33805,47792,17099,36243,53936,61835,0.001529025262711645,0.006748302626188105,0.012772411041055443,0.06479846327274906,0.09139213192840888,0.11379487819233969,0.12357968615651499,0.12552327528396992
11,12000,71393360.31408149,414189,1000410,1288200,3838832,4954871,5726867,6422403,6515437,29007,1756,17036,12770,4360,8518,23303,16211,0.005803863984826062,0.014012992278458663,0.018048001383924688,0.053779773788767624,0.06940664497612598,0.08022525250952763,0.08998735942913197,0.09128183266790421
12,13000,77601471.85150385,94227,468812,825083,3415974,4475523,5230600,5838257,5961045,136474,47392,78176,67582,14524,1755,39498,294952,0.0012163816254229813,0.006044968890065547,0.010643033051386894,0.044057817897985206,0.057683967779810684,0.06740488512360639,0.07527215605907123,0.07710921422216938
13,14000,83809581.70150965,47220,313050,789870,3235347,4270854,5071050,5716107,5856852,115726,7405,31875,107400,86450,74926,98625,125827,0.0005641991231519789,0.003735583159313815,0.009428164497438633,0.03865307850083969,0.05101163696583259,0.06056094645061727,0.06828385703895455,0.06998792084426325
14,15000,90017689.72858512,95976,414755,1003090,4200956,5559444,6657183,7831777,8019257,277489,55784,106797,183128,152298,115548,139248,148903,0.001069487244521268,0.004610340306165978,0.011156490271184798,0.04676324923465694,0.06186412692430969,0.07404921475728642,0.08713743640160558,0.08923295052618381
15,16000,96225795.79823685,46637,480482,1020806,4500746,5894429,7089009,8005085,8143641,17896,12629,17018,12288,0,0,7900,2633,0.00048475229266832715,0.004993931870131574,0.010610320839339335,0.04677873308016401,0.06125622501848932,0.07367056766008988,0.08319746481243138,0.08463285515854214
16,17000,102433899.77491307,48002,401791,792488,3217376,4392847,5481406,6242094,6356831,48825,22486,40926,26340,14047,0,8781,23707,0.00046883786631527375,0.003923302932650498,0.007739671686282879,0.03141736808368092,0.04289058108347518,0.05351164030701526,0.06094299986820101,0.062072249136095776
