,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226337,1180527,1449656,1741371,1874575,2157595,2300949,2508335,2648729,0,0,0,779,84953,85733,70924,83394,0.38031699151902104,0.46701922841027604,0.5609977407026432,0.6040621586985453,0.714646599251215,0.7623257918457922,0.8269772537875425,0.8768690243313613
1,2000,9312181.820186242,2817030,3828443,5017860,5833252,6638003,7013615,7586740,7933154,1559,1559,0,0,779,37413,24163,35075,0.3025608548863598,0.41119085950937695,0.5388490148595105,0.6264108790654321,0.7128896824879529,0.7562037540747202,0.8168308168703594,0.8551323331470208
2,3000,15520302.808604084,4601673,6100885,8207484,9188311,10300466,10927703,11970523,12697414,0,11204,18804,10135,11865,12644,20388,21290,0.29649376411966283,0.3933745651691491,0.5294638990291989,0.5924056472750019,0.6641846282083486,0.7046649100853962,0.7722960511599135,0.819240177216396
3,4000,21728423.4595295,8044872,10292439,11912497,13029934,14116257,14826992,15975214,16762773,49089,111424,153578,149335,176974,174887,180280,183490,0.37108482343025745,0.47612708781665564,0.5521475007710106,0.6038222617436778,0.6550026728600452,0.6879145808781889,0.7413731039058534,0.7780378171734704
4,5000,27936543.637849823,8125231,10019293,11584486,12737233,14112918,15128418,16959768,18255481,45824,100863,270094,322120,338065,318601,257286,220427,0.2913238204500627,0.35994424315876705,0.4187196460564834,0.4612529005509157,0.5113657961075034,0.5477749808657657,0.612724814440416,0.6586594088390384
5,6000,34144663.20868258,8304202,10919564,13048029,14532141,16453918,18216366,20735834,23223118,182461,198524,176929,200512,439759,363187,267527,328733,0.24451306040092405,0.3216732227742425,0.3841300959268799,0.4281191451999784,0.4881757829105882,0.5392412660556851,0.6120893416807022,0.6867508259180529
6,7000,40352782.036872536,11899785,15180646,18762791,20802497,22707678,24697995,27640931,30036406,86096,74761,103022,104541,115644,184317,265005,245622,0.2955243197590998,0.3768965209612178,0.46615907729167905,0.5168548106473089,0.5643462509483433,0.6148603133659337,0.6895101959526468,0.7489038359331854
7,8000,46560899.98757419,12191618,16015038,21023875,22968143,24910212,27078944,30653916,32500460,418854,406702,436060,501539,493716,563619,443117,480093,0.2642192763468516,0.3469898448741679,0.45580374925232764,0.4986639525067728,0.5407365904266926,0.5887074935432633,0.6646875459789401,0.7052927699109921
8,9000,52769016.92554313,15110570,20634705,25939312,28157710,30543334,31785203,34652652,36563140,2199062,2430680,2347491,2732845,2522002,2626463,2715604,2941172,0.29880528907427556,0.4099202766774234,0.5144491667765921,0.5627470870853267,0.6078636521046996,0.6338967705394098,0.6923134702432279,0.7337893110696571
9,10000,58977132.71607423,18318593,24910257,29445287,31439565,33725256,35718868,39263141,41791162,2146939,2262028,2301532,2415655,2442861,2480468,2531546,2649900,0.322339091285178,0.43921733239681243,0.519540801120239,0.5558476593878872,0.5965453339414116,0.6322296754951163,0.695592751962996,0.7419352946141443
10,11000,65185247.22379595,18812394,24594773,28643930,30883589,33333912,35451149,39511937,41518237,3788054,3981619,4002521,4223609,4096484,4341822,4134450,4261670,0.3064047884310908,0.4018515521672547,0.46817021352113997,0.5066069400337212,0.5456635597267325,0.5826619535241913,0.6471977238095642,0.68148061706041
11,12000,71393360.31407112,20154111,26003661,30043326,32102261,34649073,36791911,40096566,42177344,5202432,5678919,5386083,5637736,5374266,5750806,5600719,5613077,0.30448448923952565,0.39570694781866705,0.45515172299942,0.4882055540476467,0.5248341159478008,0.5604887162672963,0.6094384599729471,0.6411851982853624
12,13000,77601471.85152322,17868663,24224750,28927239,31632372,35642378,38651784,43094101,45953798,10870248,10630529,10968896,10369025,10070449,9796150,9598040,9084404,0.2677706472124312,0.3617203068755813,0.43413058298178825,0.4704926487333896,0.5277926572853036,0.570040565320784,0.6337047973415584,0.6706912516977824
13,14000,83809581.70148063,19337843,25532687,31002525,33713814,38099364,41137262,46490461,49481368,14228201,15371860,15169783,15745504,14918618,15228471,14484532,14398743,0.27791691980019173,0.37307914941077897,0.45166981236107917,0.4953246284753023,0.5530386273168241,0.5998337090086217,0.670615617301275,0.7128766764050712
14,15000,90017689.72859168,19056269,24132013,29136076,32445186,36380009,39689407,44945589,48668307,17982084,18660560,18487169,19542034,18800025,18889861,19058493,18662025,0.26453958160355096,0.3381864305891592,0.4073236948819517,0.46037437558508765,0.5108284459851793,0.5580011046231447,0.6334004762188918,0.6820524647218229
15,16000,96225795.79824293,24300170,29849609,35422198,39334282,44151211,48090661,53140806,56471927,16610253,17204231,17368941,17451772,17448129,17595570,17328240,17375168,0.30521892014955015,0.3777400393957235,0.4491961807331589,0.49933061818377444,0.5604533974467083,0.6116052766196513,0.6735418538933174,0.7161886794927763
16,17000,102433899.77492762,20959245,26261115,33360428,36360485,40685149,44270169,50209644,53984668,15458082,15768780,16022079,16282752,16006341,16304008,16141163,16326610,0.24097784345342355,0.3030182738822844,0.38606324575537154,0.42205456269709635,0.47074277668713516,0.5139930875065494,0.5818524927649349,0.6269465470473912
17,18000,108642001.52415252,22150880,28202362,35685154,39100887,44003414,48267095,54107780,57346062,21487616,21711393,21610996,22267672,21643905,21765658,21340153,21564344,0.25415680308894467,0.32442384194474316,0.4100280559219414,0.45269106244195356,0.5057974341747089,0.555583868312566,0.619778170963136,0.6585622952029234
18,19000,114850100.91042209,23122360,28611324,35279415,38895121,44783204,50004550,56320046,59674034,20890897,20695306,20886260,21821038,19983343,21004666,20089585,20199070,0.24608935620659547,0.30387537912668733,0.37545735314963,0.4180964505409692,0.4720642402714608,0.5328394508239068,0.594340854509908,0.6304636455198847
19,20000,121058197.79919863,23463748,29516023,36581610,40536265,46702084,51552276,59393223,63800146,19598767,19969213,20428917,21202759,19714719,20706284,20390981,20626704,0.23126236580646506,0.2919806055885328,0.3635284850440004,0.40594949546529174,0.4608296908036405,0.513714926285857,0.5899956797104259,0.6352603509767678
20,21000,127266292.05494285,23373175,29495723,35433434,38734177,44618824,50480795,59559331,64865446,21011668,21154295,21589424,21872669,21317719,22344960,21938569,22273598,0.21997325017981376,0.2779678435863162,0.3352998120797607,0.3675191712482211,0.42113662047021205,0.48112994765988437,0.5654668046790648,0.6178091398060117
21,22000,133474383.5432539,22678705,27947011,33264230,35936428,41365912,46805372,55695664,60713562,21699717,22009692,22454538,22789280,22796684,23292704,23341138,23461236,0.20289664645274455,0.25072523516700496,0.2996241783370171,0.324672669127121,0.37375110045392484,0.4248017655387588,0.5057116379824292,0.5518755108440946
22,23000,139682472.12839675,21223363,26025026,31014932,34004175,38597491,43530588,50745197,55145472,21355210,21546278,21872812,22530058,22320047,22835635,22981685,23001178,0.17936156569709658,0.2202968039728333,0.26326306320040205,0.29025586244199875,0.32887434762679457,0.37254399921982106,0.43483166008271246,0.47261621849443675
23,24000,145890557.67620754,18834952,23737564,29240932,32829179,38444020,43478002,50546317,55470193,20036991,20193761,20409846,20500406,20215783,20479324,20048340,20293149,0.14965767357597443,0.18884780382389135,0.23303128910723564,0.2618162476170707,0.3059008468409702,0.3466834726484989,0.4016642263096145,0.4416507759567173
