,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292265737,16742,55952,93337,130060,514959,743739,1024887,1098001,0,0,0,0,0,0,0,0,0.00539358021630252,0.018025421112325805,0.0300693224614161,0.04189995478033125,0.16589849925976163,0.2396019565459694,0.33017621832192334,0.3537305262860102
1,2000,9312181.820188679,267847,654104,843966,1223127,2325902,3005735,3548956,3864393,0,0,0,0,0,693,4851,10396,0.028763076706611494,0.07024175565192593,0.09063031803892549,0.13134698437140455,0.24976982246603877,0.3227985403884204,0.3813076024225875,0.415446353496195
2,3000,15520302.808599658,538889,1260966,1673264,2324976,3963995,4877110,5724309,6158194,0,693,0,13054,7971,4160,50722,125189,0.03472155193398717,0.08124985199700568,0.10781129857033844,0.1499283353673069,0.2555383064848096,0.3143248976347983,0.37003646516509436,0.40000964439509723
3,4000,21728423.45953455,689794,1473686,1929127,2671569,5083201,6563793,8295004,8991095,12478,36739,57537,111036,62729,20037,286214,639778,0.03176440101516007,0.06793783132652215,0.0890192934009509,0.12358426775672561,0.2346198045714157,0.30236208537355913,0.3868539767627129,0.42634767686963826
4,5000,27936543.637845203,927396,1867623,2279939,2965598,5127023,6241660,8070718,8934943,1386,6239,6920,16024,7624,21072,176194,482524,0.033198165982196166,0.0668672620730887,0.08163156903090654,0.1062157165578052,0.183573982326642,0.22359142202484364,0.2907282546973879,0.32545117683543995
5,6000,34144663.2086865,992522,1990877,2567676,3549608,6291115,7512091,9766174,10799724,10397,27057,33229,47040,51300,53884,170930,443640,0.02907699828471551,0.058353361247633885,0.07527317626961987,0.10410133217425324,0.18452608976978588,0.22035550886105537,0.28746249168469235,0.320456857737671
6,7000,40352782.03686094,681762,1539811,2285114,3350734,6097968,7833190,10103785,11192725,22174,38568,49745,65084,26507,43681,254391,382432,0.016904332297120104,0.038195238001963464,0.05669830782007934,0.08317015275815137,0.15121575187457917,0.1943280747649739,0.25197482339657895,0.28002569378746966
7,8000,46560899.987587035,703049,1658775,2262972,3246466,5636318,7501666,11097697,12607710,9703,19640,21007,35720,88138,24560,379106,517856,0.015102705096658833,0.03564095601284559,0.04862434902038929,0.06977868760241573,0.12128218248584992,0.1612001717797526,0.24030458849179598,0.27382442401938006
8,9000,52769016.925539374,1012022,2211217,2899334,3873130,7006527,8927895,11916411,13267077,42173,89690,89807,145076,267500,145880,787870,901021,0.01919367678120794,0.04197504275492145,0.05503753765666056,0.07360015103164382,0.13345380115277533,0.16965721774877812,0.22924486481742537,0.25578541764069584
9,10000,58977132.71606985,652327,1575348,2080463,3218022,6118729,7610963,10879392,12221556,124380,280261,314197,320319,548780,373260,1016763,1164888,0.011084052485141974,0.02683870458412703,0.03546469290370151,0.05486186166839775,0.10472191522724779,0.12987133182945754,0.18770397865463626,0.21140082105483132
10,11000,65185247.22379589,690461,1505021,1887347,2635460,5235925,6585350,10094859,11492910,95321,304169,258297,218621,319598,253160,735669,786415,0.010607801238336293,0.023196608952901404,0.02906877642480553,0.0405663669669626,0.08071953433989845,0.10141904074795617,0.15663188616916046,0.17846457153229678
11,12000,71393360.31409985,562904,1314292,1607012,2446551,5457111,7071707,11906636,13495608,85735,793151,529417,561883,757252,395279,660415,700958,0.007894022518916998,0.01861597880188604,0.022677428390867598,0.034540448579815024,0.0772566769354519,0.09960419872072791,0.16833225234898483,0.19090606003225688
