,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292266077,2993905,3033621,3065670,3073692,3076541,3078677,3082515,3087487,0,0,0,0,0,0,0,0,0.9645124105536387,0.9773072637295238,0.9876321264909788,0.990216483228237,0.9911343132387641,0.9918224441276676,0.9930588890488341,0.9946606618857387
1,2000,9312181.82018831,8319838,8421991,8589205,8671014,8728173,8760801,8824913,8853496,76679,78670,78670,78103,78103,78103,77391,78103,0.9008538205210964,0.9121113574128982,0.930220826838648,0.9390231737076696,0.9452131793501419,0.9487466124770788,0.9556159063947317,0.9587849716686143
2,3000,15520302.808601083,9691861,9940808,10660613,10845274,11015430,11148726,11383129,11459197,1788588,1802052,1792206,1801352,1815293,1818854,1815292,1816716,0.7058012152953647,0.7246410740476695,0.7765543285884167,0.7905323192208377,0.8037520697786631,0.8136895707701647,0.8305815412313355,0.8362188060725542
3,4000,21728423.459527124,11350300,11651158,12628249,12827889,12975531,13101617,13361544,13470443,4385643,4397384,4426451,4427643,4435066,4440050,4449305,4447169,0.6544682974271752,0.6722711599156385,0.7298733730815995,0.7414630241687155,0.7503187874516305,0.7578282034843525,0.773276948780503,0.7794829380903983
4,5000,27936543.637852594,11812110,12353094,13231289,13556345,13780569,13901193,14168371,14309366,8062223,8074510,8070338,8081933,8080509,8075089,8078628,8099993,0.5943403155880799,0.6219450749724724,0.6660199356232082,0.682780702541453,0.6940242224260318,0.6999081010666088,0.7134873195348184,0.7213636211879759
5,6000,34144663.208693415,10919317,11380299,12001373,12286083,12451211,12564914,12788966,12869631,13270428,13302013,13368193,13447628,13434414,13578570,13553772,13603100,0.5231002185628565,0.5460101707820874,0.57764253886487,0.5936156012741116,0.6012101001070248,0.6109528860196322,0.6210982259281976,0.6265166321204528
6,7000,40352782.0368685,9052294,9565490,10176931,10372537,10440844,10494929,10641102,10708660,18016985,18274287,18352271,18387363,18389179,18452032,18426131,18423157,0.40528188830950895,0.4332491858718972,0.46257702754929103,0.4722212211198845,0.47537027428850415,0.47920409037738276,0.48530448093087963,0.48831933888501966
7,8000,46560899.98756805,7616921,8226186,8609519,8814040,8899600,8965731,9083121,9140592,20462743,19924430,20370632,20766196,21221133,21104766,21287652,21262518,0.29185666266121196,0.30883168842715947,0.32872970234923715,0.3416995986559098,0.3512108064910871,0.35220316660725354,0.3593966633994966,0.36131132830913076
8,9000,52769016.925542414,8542335,8837201,9015234,9140416,9189472,9244454,9447122,9513386,22160042,20932968,21547016,22297703,23343391,22433449,22815866,22943287,0.2790794210122874,0.2775847285782318,0.2887461960397524,0.2999678984088079,0.3122948692154492,0.30473977024891,0.31539660129525837,0.3189657394387134
9,10000,58977132.716067225,8482795,8844883,9136445,9315389,9385877,9487806,9645735,9750037,23256224,23285637,23490450,23738513,24081944,23888080,24127644,24355983,0.2374742218185633,0.24781485960585012,0.25746123054391085,0.2643516992168851,0.2689733841639419,0.2703921954454914,0.27678268334401335,0.2816208323513628
