,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292267344,2856734,2868387,2909472,2931643,2948550,2959307,2997644,3028629,0,0,0,0,0,0,0,0,0.9203215855714948,0.9240757003881577,0.937311588763906,0.9444541683228378,0.9499009047173559,0.9533663653783739,0.9657169617678363,0.9756990477194624
1,2000,9312181.820184486,7372298,7514719,7734773,7849986,7937283,8083225,8405585,8624757,14839,13607,14839,11877,11261,10290,11261,13607,0.7929467744262132,0.8081581473848813,0.8319337201601135,0.8440568510145116,0.8533867940016032,0.8689872077914237,0.9037368624575898,0.9275353660948316
2,3000,15520302.80860715,11095398,11613703,12162164,12406162,12666648,12896479,13595298,13964161,113613,114845,117310,113494,112878,94748,104868,124480,0.7201675465550952,0.753869384752158,0.78959746012501,0.8052389144382183,0.8221132445782859,0.8360463633245803,0.8819276373838717,0.9070097242346301
3,4000,21728423.459527176,11484165,12225344,13439337,13853004,14417015,14967432,15482906,15800173,1740267,1725731,1748887,1720554,1783608,1789151,1794085,1814012,0.5745484844114364,0.6111849204669011,0.672655095238283,0.6923777680588372,0.7228452441315182,0.7506508590211082,0.7766952503307321,0.793403964365771
4,5000,27936543.637845166,12503307,13535969,14793548,15176247,15870269,16511381,17388818,17737270,4270775,4279146,4272007,4264001,4289021,4280400,4291483,4293948,0.5283287938514412,0.5721664405871196,0.6251357559370773,0.6410907029369045,0.6711176152804033,0.6979743297459965,0.7354101673213,0.7502251559726211
5,6000,34144663.20869,12509402,13499097,14724242,15197597,15856457,16845846,18079706,18522651,6813175,6810096,6818713,6806389,6817479,6819943,6827337,6834500,0.4576919450739113,0.49384710930080017,0.5388373281642554,0.5559091581270755,0.5802448169891455,0.6165057087992639,0.6618402497331018,0.6782328929512276
6,7000,40352782.036868125,14743103,15582679,17656660,18245582,18886592,19940368,21073478,21492712,6959944,6961178,6961813,6961793,6966667,6967332,6970603,6983778,0.44150494138062,0.4666645837916307,0.5287854922839966,0.5464223290856833,0.5657019985447133,0.597277196442747,0.6312792815809273,0.6440921034458664
7,8000,46560899.98757222,15382670,16477963,18613408,19269108,20314516,21734903,23597686,24116543,7895722,7892367,7858093,7884053,7869371,7898501,7879489,7910062,0.39784298949675867,0.4261336473585873,0.4809317320569775,0.4982078297693609,0.5250378191703164,0.5621716077935708,0.6100523584204721,0.6239591236742247
8,9000,52769016.92555055,15009325,16143346,18436323,19421366,20522510,21843727,23559912,24141670,7634611,7611740,7548247,7481595,7519118,7559618,7537730,7641026,0.33254730381868686,0.3574915738744622,0.4076959112008207,0.428846800595702,0.4535371456578409,0.4831678261410106,0.520876446402663,0.5349599994342198
9,10000,58977132.71606776,12920020,13427656,15301165,16164156,16967932,17872642,19260001,19972595,6794454,6774788,6768322,6753792,6704757,6777232,6786142,6864112,0.2475921190305194,0.25722323533615143,0.29307629861966805,0.30951976220523003,0.324606099637907,0.3423884289975016,0.36902922776038677,0.38325536930239673
10,11000,65185247.2238071,10122179,10790712,12450227,13263292,14238754,15022583,16459277,17208807,5853465,5836266,5879976,5828043,5836287,5858327,5881654,6002152,0.17060298242547042,0.18181798200221577,0.2099345765238161,0.22344873168201435,0.23991581227885272,0.2532169703623287,0.2775426598163114,0.2907723385355748
11,12000,71393360.31406611,7946903,8685386,10523566,11096218,11897648,12893468,14310161,15364478,6588229,6496425,6393753,6304139,6259090,6473370,6477668,6602507,0.12262768146378411,0.13383353093589742,0.16190199348670017,0.17047704329506322,0.18266341117558565,0.1986055133037565,0.22044224577882587,0.23713961483918855
