,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226489,1348346,2369579,2585550,2694563,2771233,2874660,2985593,3027432,0,0,0,0,0,0,0,0,0.43438133498571474,0.7633803855791577,0.8329573126425374,0.868076794193117,0.8927766983374202,0.926096601636401,0.9618346278062196,0.9753134238084826
1,2000,9312181.82018805,2162171,4793158,5403921,5774374,6093319,6347409,6638332,6811842,1735830,1689083,1735830,1717126,1702019,1702738,1710651,1714967,0.2853841863888435,0.6287676590662065,0.7132616235693595,0.7602806531917009,0.8006818177182485,0.8341488747390658,0.8732888357658173,0.8966235865673983
2,3000,15520302.808600562,1797852,4619225,5463483,6059261,6708492,7196369,7802105,8096584,5420929,5376295,5422367,5414959,5414959,5414959,5419489,5423041,0.17801618536675617,0.45536489000763647,0.5410494880891074,0.5996095842719394,0.6638558892266947,0.7121349986999195,0.7724234054642929,0.8018593707358919
3,4000,21728423.45953529,1541140,4776628,5993038,6670185,7209367,7771951,8880350,9518015,8832737,8791782,8834895,8827626,8826929,8826907,8836043,8841413,0.11950817855535367,0.36923246384626834,0.46480977017333874,0.5170366421860151,0.5588009220646273,0.6024060058657589,0.6888060764164026,0.7385743210099965
4,5000,27936543.637842648,1601119,5187775,6470586,7306550,8216534,8947763,10390312,11198308,11808166,11774549,11808166,11795003,11792822,11793564,11791408,11799749,0.0992734071555487,0.3209860612039208,0.4011926149855153,0.45265505715546966,0.5089615755477068,0.5542819975455152,0.6435568107366101,0.6939611150369773
5,6000,34144663.20869149,1942597,4460645,5618111,6472868,7457326,8304854,9809873,10984705,14623729,14599055,14623729,14528258,14503075,14508830,14521432,14545358,0.09951352631141387,0.22821725230409823,0.28779928972347,0.3299721804855483,0.37967021407668544,0.42294380440774915,0.499911196870321,0.5604640002814351
6,7000,40352782.0368602,2208824,4093870,4751997,5306016,6030132,6590772,8263087,9263486,17134052,17093049,17134772,17117356,17113757,17118795,17122022,17126878,0.09513112889867137,0.1760067492396562,0.20466857376906444,0.22835888576274205,0.2594830028555589,0.2836694360526193,0.3556959387849979,0.3988428603381196
7,8000,46560899.98757547,1440866,2756069,3383167,3810638,4313679,4637268,6326840,7490411,19548637,19520705,19552929,19531800,19477189,19477436,19482043,19484499,0.05334118065793818,0.10192489370976685,0.12526550037973475,0.14098279268461195,0.15927208062362208,0.17122137707818116,0.2336450169555875,0.27663983124777625
8,9000,52769016.92554563,1373950,2984860,3534799,4055030,4487084,4842147,5713808,6591224,21547971,21495636,21563096,21538194,21515083,21511235,21515676,21503149,0.04400717398374565,0.09544410970806869,0.11327334349252807,0.1298406388351406,0.14356861477628097,0.15491012802935716,0.18282231053671733,0.2108121231656157
9,10000,58977132.71606454,836076,2419377,2680313,2952225,3294715,3574296,4360010,4995094,23697295,23665896,23716712,23681303,23684058,23676531,23695139,23691547,0.023698408329675957,0.06851578208529087,0.0760147764992168,0.08364231762644538,0.09335301688805046,0.10125311825416888,0.12357606645156242,0.1415618842264498
10,11000,65185247.22379762,516090,2085610,2314438,2519218,2663449,2908623,3674526,4156538,26339654,26247606,26358353,26340249,26297225,26333521,26350446,26354042,0.013285676885578685,0.05356282338759987,0.05960914583225779,0.06485308573026657,0.06849021492201514,0.07486470442125165,0.0946194105339796,0.10704117927951087
11,12000,71393360.31409967,530658,2169245,2401110,2667821,2866519,3030215,3607740,4189962,28977911,28945116,29013721,28988360,28986920,29005806,29009947,29012824,0.012510960241640057,0.051103291432938264,0.056657159873495025,0.06291288716517116,0.06759631270080725,0.07148831889534231,0.08512150669091616,0.09886524250062481
12,13000,77601471.85152072,760624,1624884,1822021,2076399,2282786,2362126,2746151,3297178,31484346,31460586,31488787,31480427,31479706,31483842,31481863,31484653,0.016493308851226216,0.03521570880170795,0.039512359904151466,0.04502064093917717,0.049494765819438645,0.05121958798847746,0.05954410864240125,0.07149621509271285
13,14000,83809581.70149618,968501,2233655,2377526,2524595,2612916,2681258,2946205,3395178,33663311,33644440,33669140,33659326,33656449,33659327,33663962,33670925,0.019313519957748392,0.04452603788684964,0.04741733258263369,0.050340620694475965,0.052098759524189214,0.05346449416776356,0.05875298814807736,0.06771577507976365
14,15000,90017689.72856486,2031258,3090798,3377875,3586037,3765230,3903900,4254309,4719296,36078162,36069431,36100313,36083510,36087105,36081356,36071690,36069880,0.03765806052699833,0.057291895472494005,0.06264909765556968,0.06648913579565849,0.06981622800773583,0.07237978056955847,0.07886236275916689,0.08747891756393544
15,16000,96225795.79823613,1270326,2342761,2723452,3044988,3295135,3521954,4050771,4760999,38524314,38489159,38533754,38444652,38417501,38411028,38414620,38494868,0.02201548314550966,0.040576679382744577,0.04720671890110269,0.05269864526449464,0.057001075909620884,0.060917895792490774,0.0700689952084246,0.0824687768164617
16,17000,102433899.7749281,914763,1590485,1819232,1966683,2077630,2143880,2384652,2691812,40565724,40549955,40574603,40541283,40543799,40543081,40555292,40572829,0.01478567920489269,0.02570109267895888,0.029409193037211255,0.03177572871335888,0.03356966581062113,0.03463970977337407,0.03853758327391152,0.04351382810352152
17,18000,108642001.5241847,851321,1428990,1624261,1705876,1813358,1885518,2067481,2312851,42515285,42481835,42531579,42484617,42489121,42490360,42467879,42482978,0.012874085464210884,0.021598948054002188,0.024568909681462227,0.025785118505952945,0.027411625701424414,0.028502966163139947,0.03124304367231158,0.03495896518416007
18,19000,114850100.91039348,1222119,1794017,2118346,2216295,2293455,2340408,2439678,2693032,44357180,44347742,44375274,44326948,44328970,44329721,44302228,44288236,0.017336762106275706,0.0254461982226743,0.030058193724880094,0.03142648773539689,0.032521528943064475,0.033187682808485046,0.034581878933455046,0.03816554456744988
19,20000,121058197.79919648,1208642,1971735,2416492,2691288,2897807,3023427,3238227,3661127,46252647,46167464,46345330,46246495,46198017,46174448,46212180,46179484,0.01615711651190706,0.02632815703591297,0.03234371897615726,0.03597415777614015,0.03870959125483576,0.040374941267063015,0.04326518758403155,0.04889409572149044
20,21000,127266292.05492401,696194,1187617,1428831,1546159,1676199,1740007,1882397,2180598,48069626,48050959,48115850,47964286,47768647,47758312,47762486,47773888,0.00879069832961377,0.014992261651876978,0.01805209121900427,0.019497098206180827,0.02108488872647653,0.021884683761277866,0.023676816160217214,0.02743152664616044
21,22000,133474383.54324985,181024,370337,446230,532852,590985,646837,826959,999463,49412823,49293188,49455733,49249186,49210377,49203258,49150492,49169317,0.0021534694196744396,0.0043992841585355205,0.005311082683603642,0.006326515289280019,0.007013492762139996,0.007675665844382589,0.00980693590944924,0.011855313576999071
22,23000,139682472.1284237,881021,1313798,1494976,1602026,1685554,1769497,2026930,2418356,50704214,50600503,50729488,50515123,50517433,50495369,50524420,50479031,0.009901531211460769,0.014748192174624954,0.01680636141269488,0.01796650921732208,0.018903754391587382,0.019840278896064583,0.022734121614505443,0.02711056848713225
23,24000,145890557.67620802,846617,1452227,1714624,1895884,2082055,2155415,2452287,2862247,47382147,47346187,47402541,47317197,47330331,47300838,47273245,47283948,0.008594362594913705,0.014736782933767493,0.017409468256803732,0.01923322880537233,0.021124697763125158,0.021862472142926193,0.02486669869064104,0.029026928411783823
24,25000,152098640.05076241,389337,877694,1126980,1355009,1605572,1684843,1982233,2538146,47278877,47335532,47405124,47252857,47244741,47265867,46262074,46259236,0.003714347263039039,0.008377891953861448,0.010764563485035355,0.012923829271645149,0.015312468249012869,0.016071720235657228,0.018729188540086053,0.02398110630689739
25,26000,158306719.11789775,1552921,3195374,3766450,4064082,4446956,4718992,5239958,5938731,47197451,47221016,47551990,46719748,46913919,46743229,46556978,46158522,0.013976520827697287,0.02876494373545692,0.03400712574530913,0.036420757363384966,0.0399213952364368,0.042298712553838866,0.04689011310077006,0.052954315384640606
26,27000,164514794.74184394,2627900,4410998,4935701,5211082,5487228,5659390,6011240,6593434,46138607,45749891,46536521,45405678,45580458,45536931,45951850,45666713,0.02219956606248338,0.0371405849794487,0.04183567739599355,0.043750488145206,0.04613661748423794,0.04756674747732607,0.050700832482600086,0.05547783273710668
27,28000,170722866.78815842,1818662,3466215,3802063,4044124,4327783,4612421,5182164,5864246,45577338,45461416,46080960,45300474,44793883,44895440,44979987,44928205,0.014532376966328232,0.027671841402045125,0.030503889887227034,0.032244034817854476,0.03436685399828469,0.03665672197020621,0.04121238521600982,0.04661760615784752
28,29000,176930935.12174988,1600092,2599940,3034336,3228159,3456965,3643265,4188994,4765056,46878950,46570971,47385383,46170653,45918046,46093067,46057900,45948579,0.012303480016103197,0.019944313559121435,0.02342292691877419,0.024687611158518964,0.026386449632352225,0.02784564631250179,0.03200807558335467,0.036379373078087064
29,30000,183138999.60703468,1006483,1933291,2233830,2351893,2497551,2674295,3032410,3404865,47801309,47500109,48275568,47391962,46947126,47104611,47134942,47076745,0.0074368270618893235,0.01425322038058407,0.01656364496573792,0.01732555672270612,0.01833847302230663,0.019658962909189753,0.022296467130133266,0.025024317065990776
