,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227158,2800291,2867124,2898669,2951015,2960372,2967570,2968290,2974991,0,0,0,0,0,0,0,0,0.9021379845590226,0.9236688140056883,0.9338313088045912,0.9506950258039054,0.9537094643467279,0.9560283623515623,0.9562603165837769,0.9584191017366521
1,2000,9312181.82018818,8379785,8595650,8715731,8807851,8852082,8875300,8881058,8914664,1440,1437,7139,8578,7138,7858,6418,7858,0.9000126049924813,0.9231968189443166,0.9366674789599451,0.9467138939093225,0.9513208289029832,0.9538898442832245,0.9543609929937389,0.9581205654791689
2,3000,15520302.808601424,13837125,14228643,14459477,14643841,14719245,14793935,14838620,14905881,37253,45893,75460,56908,69146,69866,31914,59787,0.8936950517534956,0.9194950357390066,0.9362009817249378,0.9470003955311578,0.9526306141560883,0.9575091748709692,0.9580480050810335,0.9641257241693802
3,4000,21728423.459529188,17899686,18501176,18966146,19320764,19517208,19656791,19754035,19891533,11700,16020,34741,41055,47533,51854,27169,54014,0.8242351123251841,0.8521017046539895,0.8742704718473886,0.8908763659387486,0.9002032474833982,0.9068220428836687,0.9102715714817053,0.9177427895851924
4,5000,27936543.637849964,18306776,19470329,20460207,20987049,21374372,21932960,22626440,22944704,20159,17279,61913,59753,78839,82437,56206,84597,0.6557717353979664,0.6973797215849376,0.7340081834920466,0.7528502571420344,0.7672696755840706,0.787422848815983,0.8115554515122749,0.823809707032069
5,6000,34144663.20868984,16665922,18201610,19834423,20925441,21791308,22477868,23744031,24298660,728238,765752,878343,1023214,1053963,1055479,777858,1047402,0.49873443661071437,0.545302687861832,0.5962313497727604,0.631779149159631,0.6585326953667018,0.6793116402699614,0.7116063660124181,0.7341592359195048
6,7000,40352782.03686237,15147146,17331788,18959477,20397384,21607651,23160063,24881106,25748740,209205,207663,285089,352456,379916,399327,236024,415546,0.3773242724755428,0.4317283997610137,0.47318613982984337,0.5099304435969535,0.5405579619953633,0.5796761000677354,0.6202172662391442,0.644730145477111
7,8000,46560899.98757544,14222037,16532443,18531849,20098842,21322086,22730093,24756404,25906030,124476,146762,204375,214618,228061,271232,235282,361780,0.30626899702279525,0.3561941192234477,0.39976786450164115,0.43366676113065805,0.4601938164358481,0.4910403117624641,0.5343998650301801,0.5607472611375939
8,9000,52769016.92555469,13415383,16237472,18461616,20274517,21431057,22905697,25000898,26621640,12385,64300,114531,173687,132844,322306,236442,335136,0.25428808683106524,0.30808384803461514,0.3506181035762437,0.3854813160920803,0.4071545442771978,0.4367422970053053,0.47591228938291025,0.507718283103958
9,10000,58977132.71607435,11534629,14613706,17430287,19272080,20845470,23143328,25241803,26287778,20697,70188,123184,142651,157727,161208,141271,226509,0.19564664756107547,0.24808120791931443,0.2961617254279388,0.3275643710605615,0.3543978342899729,0.3934874459888403,0.4290207071634301,0.44744679013182265
