,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226951,1473059,2642244,2793429,2827597,2837934,2849288,2857782,2875192,148965,146519,159563,160320,157292,146270,149497,157823,0.4984809917590891,0.8933919894445022,0.9486945998096753,0.9605455629909041,0.9630664490766272,0.9633163253156599,0.96724334237734,0.9758859813199819
1,2000,9312181.820188126,3647395,6144540,6801613,7324789,7802674,8106272,8411075,8499110,234028,238664,260794,232146,238690,200054,215518,252154,0.40177717543063346,0.6771949007835423,0.7514442133204976,0.8066916414266129,0.8599417021173027,0.8896135084980229,0.924632938653113,0.9380887309266034
2,3000,15520302.808601499,2192849,4982438,6119446,7203672,9360443,10650312,11642352,12395875,596470,608070,661794,604934,669795,588988,614047,743601,0.14693604706802463,0.33411750365955184,0.41184792355862054,0.4829697537110672,0.6303113079122034,0.7132869500457296,0.7810379849567524,0.838879687805866
3,4000,21728423.459527772,793258,2481492,3794978,6138572,9409918,12112839,14232226,15019952,623980,804178,1063532,1626361,1820280,1874484,1929244,2043836,0.03758725035897013,0.11859409720650464,0.1836437422104283,0.30537025801999246,0.4726667767453996,0.6100975085922875,0.718829082240131,0.7630310785471917
4,5000,27936543.637850076,811219,2205624,3396300,5238876,7869411,11568321,15534180,17037829,993520,1098177,1316916,1515561,1433353,1215256,1105666,1292500,0.030108684567250424,0.08218175233098629,0.12758630759999245,0.19828467668325514,0.2969231556883357,0.4329252825232024,0.5789665254216684,0.6394610829940374
5,6000,34144663.20869158,954856,2498692,3782488,5185237,7422222,11613254,17105333,19189887,1045030,1146262,1278656,1413998,1777033,1318126,1437469,1713539,0.028847932965893587,0.07572160797117224,0.11508815098779938,0.15842137539639944,0.22931002214696994,0.35377639518203957,0.5229838087259238,0.5917120503290196
6,7000,40352782.03686081,834115,2314829,3647578,4928966,6656734,10298196,15828266,18428788,999527,1048255,1238187,1494129,1793824,1359874,1962240,2328745,0.02119557833827758,0.058894717085110654,0.09325363068600341,0.12684345994505902,0.17263780814918367,0.2641043338000054,0.4122959760454134,0.48466153086625136
7,8000,46560899.987574965,990183,2625728,4198310,5434335,6717698,9566129,14997910,17191857,1116581,1233203,1471906,1459163,1781839,1477370,1689072,2045856,0.021788928122582894,0.05792767280278443,0.09311163609365326,0.12049059222479834,0.15001873312761044,0.21218677868916716,0.33423889047161015,0.386203302523942
8,9000,52769016.92553836,1237279,3149701,5208751,6403467,7557246,9827720,14055708,16031003,1678933,1790329,2131256,2080584,2342479,1673805,1856990,2559389,0.0242175957628741,0.06178466194737274,0.10286298021074325,0.12632994611229617,0.14986644554419543,0.19234131006878,0.27607834236411855,0.3192814538234424
9,10000,58977132.71608007,1271886,3536253,5982178,7386632,9094526,11902754,16344901,18677725,2073654,2185219,2466022,2398058,2992373,2217799,2315844,3299847,0.022351638752106454,0.06226683991806997,0.10585843959173481,0.1305541321958148,0.1624464594672155,0.20970566813803027,0.28846680635700817,0.3354640004407707
10,11000,65185247.22379702,1149832,3104475,5117635,6352516,7215750,9161702,14263902,16677185,3529496,3523835,4080067,3932774,4158181,3136140,4406703,5978873,0.018649225371147597,0.05034712777470069,0.08375124631425225,0.1037103592011694,0.1182385201598676,0.14765243868788996,0.23468647007203508,0.28167887695607075
11,12000,71393360.31407803,1610473,4290792,7095595,8455010,9170179,10577849,14648107,16617341,2762985,3025829,3161210,3070117,3373746,2440063,3420876,4972447,0.02346589236369288,0.0627606689539257,0.10399195932325758,0.12375012645598224,0.1348166862231391,0.15340599234607372,0.21550053889918183,0.25018236231445984
12,13000,77601471.85152233,1212203,3167832,5754299,7068793,7673810,8733400,11713708,13766523,3128234,3446113,3777238,3354412,3856662,3285201,4253278,6055762,0.01627702829863226,0.04271885469993876,0.07794593590464116,0.0952063693045357,0.10405898415699269,0.11751666088639728,0.15970001965845113,0.1924157720787095
13,14000,83809581.70150363,1057060,3301137,6517136,7752702,8413497,9310777,11441312,13163139,3395024,4152574,4636416,3843503,4086851,3454601,4416164,6178844,0.013145132302086075,0.04144189061645717,0.08231496040679637,0.09694988332414282,0.10553448089355669,0.11587056482020626,0.14410907517567811,0.1695609160718441
14,15000,90017689.72856593,908917,3168779,6502247,7643096,8608651,10047632,13232784,15278813,3701790,3914787,4497745,4486929,4200696,3236672,3702589,5677794,0.010530122525029965,0.036802231975725366,0.07603193641714406,0.08936078593122258,0.10031405932522705,0.11578144924996189,0.15330786720174236,0.18115759888027777
15,16000,96225795.79825282,1199268,4219379,7681094,9065396,10074072,11919462,16169184,18542555,4722296,4935573,5450741,4904763,5279550,3895180,3465115,5806317,0.013106252795184332,0.046219396455243984,0.0846167927639504,0.09926952994527939,0.11076952007834868,0.1290954457191604,0.17431075171997393,0.2050725711588408
16,17000,102433899.77490163,1451925,4546764,8660727,10336532,11147601,12847027,17289528,20017103,4421759,4359536,5122322,4450645,4902845,3932446,3565313,5981642,0.014813726019254549,0.046360372119625924,0.0889999648349526,0.10549284185084755,0.1142979641277159,0.13042474509420335,0.17487382558996026,0.20753379404259795
17,18000,108642001.52418256,1266843,3940731,7677593,9376522,10622812,12791821,16803563,18883471,3700126,3684191,4844454,4668898,4957699,4112122,4144676,6421969,0.012071854001771406,0.037545857524267284,0.07396699809512637,0.0901821882985263,0.10245342584546406,0.12237477990243607,0.16080376139493976,0.18473356477882816
