,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292269495,1831911,1894802,2172033,2306366,2366159,2387981,2397660,2434672,0,0,0,0,0,0,0,0,0.5901659854035223,0.6104268654288144,0.6997392317497786,0.7430157704665674,0.7622786029760249,0.7693087491640633,0.7724269227940709,0.7843506589645263
1,2000,9312181.820187576,4921773,5518550,6693544,7100139,7605641,7643721,7708698,7919347,2871,11016,16399,5383,20551,2530,1920,2530,0.5286935945168957,0.5933180965360649,0.7200624336299773,0.7628980852792194,0.8185474807582228,0.8210533699471899,0.8279786486009575,0.8506598477536227
2,3000,15520302.808603916,5150867,5517759,7539600,8466858,9615290,9902469,10095677,10353674,93977,24276,81201,78698,79299,82301,83662,82303,0.3339010898581659,0.35607572625883394,0.4883444706477889,0.5483146411882233,0.6227114583471732,0.6414346314223872,0.654007379272113,0.670661622513409
3,4000,21728423.45952612,8169164,9169528,11777776,12297600,13333762,13688542,13912134,14309623,78815,96761,97463,92209,92959,83952,11892,7388,0.37733541533890685,0.4238938184781973,0.5444869645080023,0.5683803894162982,0.6162919231497768,0.6324267157826774,0.6406241266441901,0.6587910151274247
4,5000,27936543.63784691,11391766,13159910,16398877,17167437,17843057,18118829,18367282,18712281,54855,51922,46995,41758,32922,29825,26790,29934,0.40857518165297535,0.471941494165317,0.5879936320570731,0.6154353441851754,0.6394530871863127,0.6492640440867656,0.6580954543107511,0.6705322231125642
5,6000,34144663.20869583,13266265,15264662,17485704,18114648,18659380,18780892,19118367,19418447,1965428,1977133,1913524,1963976,1958538,1956969,1987022,1959116,0.41226166234103173,0.47453633838116405,0.5425096484111375,0.5629043246505028,0.5797336547662076,0.5834805027732043,0.5945201912020261,0.6033281607451919
6,7000,40352782.036866724,10306763,12561940,14967078,15643455,16846663,17261283,17608693,17873053,7359970,7361719,7379194,7410696,7451985,7422852,7376444,7374567,0.31239419630200205,0.38076796694796805,0.45391111162260483,0.4748774859762318,0.512044221333684,0.5241821947594519,0.5339796365598242,0.5419654453711188
7,8000,46560899.98757172,8504150,9877693,12330022,13031483,14325098,15003485,16043879,16707639,11173057,11179121,11173883,11252615,11237597,11236096,11239715,11237086,0.24031275381736816,0.2791745718458549,0.3484334948133783,0.3690772011324536,0.4055424263421854,0.4247294622010828,0.45422822041914157,0.4729851370488587
8,9000,52769016.925536424,9979541,11483978,13676648,14857733,15778637,16338810,17403233,18042132,15115386,15103371,15114127,15112637,15108133,15116389,15120268,15105820,0.2650352902150519,0.30489263406509465,0.36321040977801144,0.3945608427942466,0.41896618866401864,0.4339354488699271,0.4622526245007765,0.4790387824929185
9,10000,58977132.71608323,8351968,10299866,12653921,13811672,14839552,15086869,15586138,15957486,17856174,17855427,17868700,17846924,17855946,17856693,17851267,17846261,0.20310732679326804,0.2504727326029083,0.30781813277569425,0.3358035962165977,0.36087363194204675,0.36689464179292686,0.3789862591003082,0.3879685825807629
10,11000,65185247.223802924,7817988,10248709,12492970,13409481,14255536,14660318,15287761,15673591,20819941,20788725,20829325,20821014,20820261,20824016,20828204,20818387,0.17621850642846423,0.23084486096312332,0.28165280696826184,0.30225882485906136,0.32132402629602413,0.33047590419748557,0.34465239089237276,0.3532724858359727
11,12000,71393360.31408322,6772253,8435525,10738159,11477720,12271065,12803578,13382619,13696870,23967736,23966684,23937098,23959191,23971401,23966691,23975915,23974413,0.1427973400023108,0.17786456179504812,0.2262748576558951,0.241971561133511,0.25876334882594737,0.2699657847614868,0.28222986100065783,0.2888480401995784
12,13000,77601471.85150057,5907261,7519388,9743963,11414471,12842853,13613295,14323937,14744221,27023666,27029670,27045609,27043310,27093342,27080808,27079336,27003592,0.11679551733311777,0.14868736577905586,0.19273655814403304,0.22576910595615765,0.2542729861065811,0.26945993900663395,0.2835180413215757,0.2913999765063819
13,14000,83809581.70152497,4630486,6146422,8039266,9355734,11514805,12496405,13030632,13354028,29603261,29618102,29606580,29603438,29598621,29603438,29609692,29611194,0.08542335912257797,0.1134204497432654,0.1483177268349295,0.17259545433660495,0.21240732226455608,0.2305348461755349,0.24041805383292816,0.246391609904371
14,15000,90017689.7285651,4693610,5657305,7338539,9087241,10873485,11266921,11610705,11892784,32702368,32714675,32716407,32714418,32713981,32714417,32723144,32728398,0.0818910172436627,0.09872613206822918,0.12806936687198603,0.15858153864310862,0.18975185448301918,0.19661915390713025,0.20264939449919228,0.20759174430620725
15,16000,96225795.7982496,7809772,9132357,10964573,11593393,12459507,12861824,13271861,13586332,36318910,36378187,36272946,36285483,36284774,36259916,36263112,36266115,0.13036518082914922,0.15259351515255692,0.18288660233662696,0.19341562395614584,0.2078627728759179,0.21448570492541053,0.22133533990330542,0.22659113289336633
16,17000,102433899.77489352,7239380,8397158,9309661,9901022,10919961,11561819,11950950,12240454,38110722,38106981,38115322,38110811,38104774,38109309,38094958,38106849,0.11254698928798351,0.13053878780336312,0.14474295486729474,0.15392640789763426,0.169751428586363,0.17974181974139639,0.18574986890231268,0.19028470686203725
17,18000,108642001.52416694,7171073,8591314,10114375,11708612,14280736,14858206,15467338,15802393,40780554,40782059,40784233,40788727,40784979,40793232,40791828,40794922,0.10567226697376628,0.12660361445104934,0.14905257305061329,0.1725578033206018,0.2104533247817348,0.21899005839313976,0.22796313106687677,0.2329119117702219
18,19000,114850100.91041243,6312634,8741651,10261709,12269677,15194633,16305383,17130147,17644441,43575934,43567747,43590281,43587283,43581960,43588783,43584273,43590283,0.0885683309064085,0.12263415165815786,0.14400413883870294,0.17217501861103418,0.2132037233733991,0.2288111345414441,0.24036971859127404,0.24760715810672607
19,20000,121058197.79922104,7588041,9360098,11371294,12805002,15314694,16217669,16688010,17111926,46278930,46274150,46284117,46286155,46278936,46289160,46283145,46283897,0.10147252337871973,0.12516169257285772,0.15207534319991883,0.17125387405001324,0.20479867855768977,0.216903540253516,0.22317617140049475,0.22884768987606854
20,21000,127266292.0549221,9268417,10979091,12732532,13454773,14400496,15016947,15352325,15703295,48878224,48876933,48905223,48903186,48902973,48898685,48888187,48889687,0.11823759954775441,0.14005843563930273,0.1624854299917215,0.17169780113833155,0.18376577426368576,0.19162186475179374,0.1958751744411545,0.20035691759034444
