,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227484,1008142,1701245,1853076,1944102,2183711,2236140,2317377,2350792,0,0,0,0,0,0,0,0,0.324781671629558,0.5480708024776544,0.5969844733545621,0.6263092871622916,0.7035014005327164,0.7203918567004647,0.7465630594260434,0.7573279909113915
1,2000,9312181.820187569,2081077,2935610,3239224,3426003,3910584,4014472,4209724,4357847,1465783,1423137,1512205,1447038,1407037,1399351,1412272,1415921,0.2652270229555132,0.37211222231720104,0.4152863623410236,0.43559317900919153,0.4946884704772824,0.5073370189791117,0.5328825386389091,0.5518874185182352
2,3000,15520302.808598297,3115970,3725724,3911429,4017232,4398491,4540238,4784324,4886956,1263500,1302648,1556128,1372796,1153796,1219149,1326329,1373937,0.21856022292184293,0.26204912484911536,0.2801045570978944,0.28395335336106603,0.3061628730351849,0.31747354519537213,0.33706726985094165,0.34545663996824266
3,4000,21728423.45953163,4082364,4350242,4472233,4489531,4806769,4883145,5050300,5129463,1240976,1216021,1344189,1175203,1103552,1029305,1116928,1210173,0.19926171906304077,0.21207861968301742,0.21939666210563977,0.21843443020716316,0.23305691913917784,0.2359107712508107,0.24502346323757535,0.24999514505960904
4,5000,27936543.63784439,4414254,5378065,5743669,5907778,6459311,6590913,6897504,7071527,1128025,1055270,1285202,1143827,1010517,1013317,1117847,1175242,0.1646586318189396,0.20006734325372788,0.21551143946329895,0.22049940212689498,0.23989098305805995,0.24480397868565806,0.25719012721396745,0.26424450857053333
5,6000,34144663.208690345,3261756,4081704,4476593,4638839,5290407,5567098,6333411,6704759,1436252,1239339,1655940,1515795,1290159,1361590,1516680,1596657,0.09972223900417942,0.12404387734073795,0.13778913290142977,0.14216977954400808,0.16102531836717338,0.16981623304688342,0.1941097909573865,0.205995997328089
6,7000,40352782.03686558,2092419,2952013,3273394,3540455,4050123,4281032,5195349,5633334,1378327,1344856,1693496,1566257,1372470,1435218,1488854,1602978,0.053686934121870346,0.07567726100613793,0.08467290360402632,0.09128054128682295,0.10390175933352205,0.11000256840188384,0.13368049145911837,0.14537709647874836
7,8000,46560899.98757866,1920446,2413169,2529419,2605313,2920461,3107635,4055282,4585280,1172696,1160809,1804455,1380857,1635251,1646396,1705789,1737743,0.04231156625024349,0.05315339567623854,0.05651519017433119,0.057665128842756486,0.0650065400459205,0.06919001044427503,0.09040847097943853,0.10229712291953615
8,9000,52769016.92554706,1555000,2000958,2120878,2226709,2539715,2764767,3641787,4097060,1101304,1034345,1379422,1227355,1192600,1191920,1286554,1318928,0.030096164741039492,0.038677311086066986,0.041270572439279105,0.043202118767852786,0.049241788231745444,0.05360454862341353,0.07073839892366225,0.07963173797286953
9,10000,58977132.716068655,992073,1223054,1343345,1368240,1535398,1629783,2607780,3108519,1251002,1217116,1345365,1243609,1122159,1169758,1234261,1239625,0.017185856521019977,0.021174751489636434,0.02330910630085452,0.02369922900824405,0.02653873818239344,0.028193340521083566,0.045161938131911585,0.05383881506085311
